date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200622,AK,761,90063,,13,,,,1,,491,A,6/22/2020 00:00,Invalid DateTime,Invalid DateTime,12,,Invalid DateTime,90824,,,,02,6,2767,90824,90824,2773,90824,0,0,6699c6b53406099d10e87c71e6ab841039aa2a4f,0,0,0,0,0,
20200621,AK,755,87296,,15,,,,1,,475,A,6/20/2020 23:00,Invalid DateTime,Invalid DateTime,12,,Invalid DateTime,88051,,,,02,12,1121,88051,88051,1133,88051,0,0,d09d086d7402760eda5335857433410acae6ceba,0,0,0,0,0,
20200620,AK,743,86175,,16,,,,1,,464,A,6/19/2020 23:00,Invalid DateTime,Invalid DateTime,12,,Invalid DateTime,86918,,,,02,21,3266,86918,86918,3287,86918,0,0,c7f4a97e5bc09f5c2d026066e2147a2d940bb618,0,0,0,0,0,
20200619,AK,722,82909,,18,,,,1,,457,A,6/18/2020 23:00,Invalid DateTime,Invalid DateTime,12,,Invalid DateTime,83631,,,,02,14,2432,83631,83631,2446,83631,0,0,3ed909a757399c1eb79dba063cc84e1ad2510787,0,0,0,0,0,
20200618,AK,708,80477,,18,,,,0,,449,A,6/17/2020 23:00,Invalid DateTime,Invalid DateTime,12,,Invalid DateTime,81185,,,,02,12,3464,81185,81185,3476,81185,0,0,34f9481565b7ca768da485a74224b6dc1c857830,0,0,0,0,0,
20200617,AK,696,77013,,23,,,,0,,438,A,6/16/2020 23:00,Invalid DateTime,Invalid DateTime,12,,Invalid DateTime,77709,,,,02,20,1474,77709,77709,1494,77709,0,0,71e384edf8130f6fb575ec12b0c2b87d277aaa0d,0,0,0,0,0,
20200616,AK,676,75539,,22,,,,2,,429,A,6/15/2020 23:00,Invalid DateTime,Invalid DateTime,12,,Invalid DateTime,76215,,,,02,12,1766,76215,76215,1778,76215,0,0,17277226f0d2095a21da5810ecc233f6ce7810cb,0,0,0,0,0,
20200615,AK,664,73773,,21,,,,3,,417,A,6/14/2020 23:00,Invalid DateTime,Invalid DateTime,12,,Invalid DateTime,74437,,,,02,3,967,74437,74437,970,74437,0,0,07ab166580d1a1a6e87e1d2e2a42c89f8f1a8a31,0,0,0,0,0,
20200614,AK,661,72806,,11,,,,1,,411,A,6/13/2020 23:00,Invalid DateTime,Invalid DateTime,12,,Invalid DateTime,73467,,,,02,7,1657,73467,73467,1664,73467,0,0,8e50cc4599d621fed8afcafe8f1452aedd461f1b,0,0,0,0,0,
20200613,AK,654,71149,,12,,,,2,,405,A,6/12/2020 23:00,Invalid DateTime,Invalid DateTime,12,,Invalid DateTime,71803,,,,02,29,894,71803,71803,923,71803,0,0,235235e07f10a6ee4bd5b17c4cc9b465ed4326bc,0,0,0,0,0,
20200612,AK,625,70255,,15,,,,3,,403,A,6/11/2020 23:00,Invalid DateTime,Invalid DateTime,12,,Invalid DateTime,70880,,,,02,14,1855,70880,70880,1869,70880,1,0,6a3d7f1e5d7b879e12ab94bf30c63c3e90582037,0,0,0,0,0,
20200611,AK,611,68400,,18,,,,4,,397,A,6/10/2020 23:00,Invalid DateTime,Invalid DateTime,11,,Invalid DateTime,69011,,,,02,18,1273,69011,69011,1291,69011,0,0,ca75576e31ca7e469479b780ec5df9dbbe7a73e8,0,0,0,0,0,
20200610,AK,593,67127,,22,,,,3,,392,A,6/09/2020 23:00,Invalid DateTime,Invalid DateTime,11,,Invalid DateTime,67720,,,,02,20,810,67720,67720,830,67720,0,0,40fb42f4aff183daeb93f7aacc318d41ab07ba6c,0,0,0,0,0,
20200609,AK,573,66317,,12,,,,1,,389,A,6/08/2020 23:00,Invalid DateTime,Invalid DateTime,11,,Invalid DateTime,66890,,,,02,10,968,66890,66890,978,66890,1,0,f8de0d081166e6e3188fbb9a092be5b53c196a3d,0,0,0,0,0,
20200608,AK,563,65349,,7,,,,0,,384,B,6/07/2020 23:00,Invalid DateTime,Invalid DateTime,10,,Invalid DateTime,65912,,,,02,19,989,65912,65912,1008,65912,0,0,8760d2af65826cde8bcdba7b9ec8399fc7407623,0,0,0,0,0,
20200607,AK,544,64360,,7,,,,1,,382,B,6/06/2020 23:00,Invalid DateTime,Invalid DateTime,10,,Invalid DateTime,64904,,,,02,8,995,64904,64904,1003,64904,0,-48,81b314074059a7f9f8d8b9c3253947cf1742b3ed,0,0,0,0,0,
20200606,AK,536,63365,,7,48,,,1,,382,A,6/05/2020 23:00,Invalid DateTime,Invalid DateTime,10,48,Invalid DateTime,63901,,,,02,12,2899,63901,63901,2911,63901,0,48,f00d76f39d56e96a7ef56f637f22a7f1d22b182b,0,0,0,0,0,
20200605,AK,524,60466,,8,,,,1,,380,A,6/04/2020 23:00,Invalid DateTime,Invalid DateTime,10,,Invalid DateTime,60990,,,,02,11,882,60990,60990,893,60990,0,0,de51d54563d418d8452a4fbc4cd3f6d374f9087d,0,0,0,0,0,
20200604,AK,513,59584,,13,,,,1,,376,A,6/03/2020 23:00,Invalid DateTime,Invalid DateTime,10,,Invalid DateTime,60097,,,,02,8,1907,60097,60097,1915,60097,0,0,8cd783d2280f06676a85923f06a68e1865d21770,0,0,0,0,0,
20200603,AK,505,57677,,11,,,,0,,373,A,6/02/2020 23:00,Invalid DateTime,Invalid DateTime,10,,Invalid DateTime,58182,,,,02,18,1961,58182,58182,1979,58182,0,0,54c7ff09b7c0b1151897ca029ca91885ac2d7f31,0,0,0,0,0,
20200602,AK,487,55716,,10,,,,0,,371,A,6/01/2020 23:00,Invalid DateTime,Invalid DateTime,10,,Invalid DateTime,56203,,,,02,20,1993,56203,56203,2013,56203,0,0,3d74dece94f2dff588e190606b22de54b77386fa,0,0,0,0,0,
20200601,AK,467,53723,,10,,,,1,,368,A,5/31/2020 23:00,Invalid DateTime,Invalid DateTime,10,,Invalid DateTime,54190,,,,02,33,2462,54190,54190,2495,54190,0,0,eff886f049906b98e0c8327680a393344d7e24d8,0,0,0,0,0,
20200531,AK,434,51261,,14,,,,2,,368,A,5/29/2020 23:00,Invalid DateTime,Invalid DateTime,10,,Invalid DateTime,51695,,,,02,0,0,51695,51695,0,51695,0,0,7582554a53045e31e416c1c125a56434d9d372df,0,0,0,0,0,
20200530,AK,434,51261,,14,,,,2,,368,A,5/29/2020 23:00,Invalid DateTime,Invalid DateTime,10,,Invalid DateTime,51695,,,,02,4,2252,51695,51695,2256,51695,0,0,3522c1645d1d1a80fe593b4804c0f810ca3a1cd7,0,0,0,0,0,
20200529,AK,430,49009,,14,,,,1,,367,A,5/28/2020 23:00,Invalid DateTime,Invalid DateTime,10,,Invalid DateTime,49439,,,,02,5,1464,49439,49439,1469,49439,0,0,f0836a78a4deb4c020fd38d9f5232eb796e4425b,0,0,0,0,0,
20200528,AK,425,47545,,10,,,,,,366,B,5/27/2020 23:00,Invalid DateTime,Invalid DateTime,10,,Invalid DateTime,47970,,,,02,13,1594,47970,47970,1607,47970,0,0,fca1802b92e7a0688fca769203c03374f227fcd1,0,0,0,0,0,
20200527,AK,412,45951,,14,,,,,,364,C,5/26/2020 23:00,Invalid DateTime,Invalid DateTime,10,,Invalid DateTime,46363,,,,02,1,1398,46363,46363,1399,46363,0,0,8f4e81cd287fd6cce8b75d95f7d6d732595a8e88,0,0,0,0,0,
20200526,AK,411,44553,,12,,,,,,362,C,5/25/2020 23:00,Invalid DateTime,Invalid DateTime,10,,Invalid DateTime,44964,,,,02,2,490,44964,44964,492,44964,0,0,bd8ec111008b3877ca0c0b54e8d2144744a4b7b5,0,0,0,0,0,
20200525,AK,409,44063,,10,,,,,,361,C,5/24/2020 23:00,Invalid DateTime,Invalid DateTime,10,,Invalid DateTime,44472,,,,02,1,964,44472,44472,965,44472,0,0,816e3defec14ea42fedc61b0e9cdc14c1f4bfa9f,0,0,0,0,0,
20200524,AK,408,43099,,10,,,,,,358,C,5/23/2020 23:00,Invalid DateTime,Invalid DateTime,10,,Invalid DateTime,43507,,,,02,0,1156,43507,43507,1156,43507,0,0,3cb0449ac504ce38c560de618958d791b90ffbc0,0,0,0,0,0,
20200523,AK,408,41943,,10,,,,,,358,C,5/23/2020 14:00,Invalid DateTime,Invalid DateTime,10,,Invalid DateTime,42351,,,,02,4,901,42351,42351,905,42351,0,0,caa3694cc8a18a28c2d831a6a00dc7b3e1cf4b58,0,0,0,0,0,
20200522,AK,404,41042,,15,,,,,,356,C,5/21/2020 23:00,Invalid DateTime,Invalid DateTime,10,,Invalid DateTime,41446,,,,02,2,1899,41446,41446,1901,41446,0,0,d6a5538902839dddee023bdfccb50de91bfad597,0,0,0,0,0,
20200521,AK,402,39143,,19,,,,,,356,C,5/20/2020 23:00,Invalid DateTime,Invalid DateTime,10,,Invalid DateTime,39545,,,,02,0,2500,39545,39545,2500,39545,0,0,dcc03711483022c47bed7c8c8d049e423383964a,0,0,0,0,0,
20200520,AK,402,36643,,16,,,,,,352,C,5/19/2020 23:00,Invalid DateTime,Invalid DateTime,10,,Invalid DateTime,37045,,,,02,3,662,37045,37045,665,37045,0,0,fa543010e750b269435ca5f4fdc53abcfb6aa23e,0,0,0,0,0,
20200519,AK,399,35981,,16,,,,,,348,B,5/18/2020 23:00,Invalid DateTime,Invalid DateTime,10,,Invalid DateTime,36380,,,,02,0,769,36380,36380,769,36380,0,0,c487049215b94e018b72f118cc2ee17f0a3db8b0,0,0,0,0,0,
20200518,AK,399,35212,,9,,,,,,345,B,5/17/2020 23:00,Invalid DateTime,Invalid DateTime,10,,Invalid DateTime,35611,,,,02,3,957,35611,35611,960,35611,0,0,3cf15c912d9306e7dacb939fba1a52aab81215ea,0,0,0,0,0,
20200517,AK,396,34255,,13,,,,,,344,B,5/16/2020 23:00,Invalid DateTime,Invalid DateTime,10,,Invalid DateTime,34651,,,,02,4,1366,34651,34651,1370,34651,0,0,8245043815628a398a919d78bdca229c2eccda5c,0,0,0,0,0,
20200516,AK,392,32889,,10,,,,,,344,B,5/15/2020 23:00,Invalid DateTime,Invalid DateTime,10,,Invalid DateTime,33281,,,,02,4,859,33281,33281,863,33281,0,0,2a95e4b5bbae6f122e6e8217b4eb894f96c7c9a4,0,0,0,0,0,
20200515,AK,388,32030,,8,,,,,,343,B,5/13/2020 23:00,Invalid DateTime,Invalid DateTime,10,,Invalid DateTime,32418,,,,02,1,655,32418,32418,656,32418,0,0,2579657cf4298f593d5d913c69e6dab893808e15,0,0,0,0,0,
20200514,AK,387,31375,,12,,,,,,339,B,5/13/2020 23:00,Invalid DateTime,Invalid DateTime,10,,Invalid DateTime,31762,,,,02,4,1109,31762,31762,1113,31762,0,0,497474630a84cf23458ff551bca3bdd831282084,0,0,0,0,0,
20200513,AK,383,30266,,12,,,,,,338,B,5/12/2020 23:00,Invalid DateTime,Invalid DateTime,10,,Invalid DateTime,30649,,,,02,0,688,30649,30649,688,30649,0,0,cc9fde72c90fb3ab6f63850f2b83ceb753ca9de0,0,0,0,0,0,
20200512,AK,383,29578,,10,,,,,,334,B,5/11/2020 23:00,Invalid DateTime,Invalid DateTime,10,,Invalid DateTime,29961,,,,02,2,1279,29961,29961,1281,29961,0,0,8a9d3c031a2e6fff17e58b27045eb5a4141a0c90,0,0,0,0,0,
20200511,AK,381,28299,,7,,,,,,328,C,5/10/2020 23:00,Invalid DateTime,Invalid DateTime,10,,Invalid DateTime,28680,,,,02,2,1314,28680,28680,1316,28680,0,0,e049f8f83960e15df29f1da250818c864c8b0930,0,0,0,0,0,
20200510,AK,379,26985,,8,,,,,,324,C,5/10/2020 13:00,Invalid DateTime,Invalid DateTime,10,,Invalid DateTime,27364,,,,02,1,914,27364,27364,915,27364,0,0,e322e12f1918f4874988a192fec45369792123c7,0,0,0,0,0,
20200509,AK,378,26071,,8,,,,,,318,C,5/08/2020 23:00,Invalid DateTime,Invalid DateTime,10,,Invalid DateTime,26449,,,,02,1,975,26449,26449,976,26449,0,0,758a2e82530c2611792cc1773802da19a5a553f1,0,0,0,0,0,
20200508,AK,377,25096,,16,,,,,,305,C,5/07/2020 23:00,Invalid DateTime,Invalid DateTime,10,,Invalid DateTime,25473,,,,02,3,1129,25473,25473,1132,25473,0,0,42941c78aaef3ed95d839e7603505df08b04041b,0,0,0,0,0,
20200507,AK,374,23967,,12,,,,,,291,C,5/06/2020 23:00,Invalid DateTime,Invalid DateTime,10,,Invalid DateTime,24341,,,,02,2,684,24341,24341,686,24341,0,0,45bc271eabf1cab02fcead838c9b5fcaa38dd006,0,0,0,0,0,
20200506,AK,372,23283,,8,,,,,,284,C,5/05/2020 23:00,Invalid DateTime,Invalid DateTime,10,,Invalid DateTime,23655,,,,02,1,962,23655,23655,963,23655,1,0,11a7ea86cccdb2a3a9049d669651cf3c214bdbe2,0,0,0,0,0,
20200505,AK,371,22321,,13,,,,,,277,C,5/04/2020 23:00,Invalid DateTime,Invalid DateTime,9,,Invalid DateTime,22692,,,,02,1,968,22692,22692,969,22692,0,0,35e55a85481e88e512657b4c3921867195c24f64,0,0,0,0,0,
20200504,AK,370,21353,,12,,,,,,263,C,5/03/2020 23:00,Invalid DateTime,Invalid DateTime,9,,Invalid DateTime,21723,,,,02,2,143,21723,21723,145,21723,0,0,62ba42af07715323057966140cd494bc8177407a,0,0,0,0,0,
20200503,AK,368,21210,,12,,,,,,262,C,5/03/2020 13:15,Invalid DateTime,Invalid DateTime,9,,Invalid DateTime,21578,,,,02,3,176,21578,21578,179,21578,0,0,fddc69c0238fc0fb1a16f3de00899bbc57129045,0,0,0,0,0,
