date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200811,AL,103851,679838,,1506,12070,,1270,,691,37923,B,8/11/2020 11:00,2020-08-11T18:00:00Z,08/11 14:00,1847,12070,2020-08-11T11:00:00Z,779764,,,99926,1781,66,,,,,,,,,,,,,01,831,2291,783689,783689,3122,783689,50,0,b206c634b07250ded6ea4f2f2b1d1087a2b8bd13,0,0,0,0,0,
20200810,AL,103020,677547,,1528,12070,,1249,,680,37923,B,8/10/2020 11:00,2020-08-10T18:00:00Z,08/10 14:00,1797,12070,2020-08-10T11:00:00Z,776937,,,99390,1733,64,,,,,,,,,,,,,01,1686,16430,780567,780567,18116,780567,29,533,6fae45047a1ccb68243dead3d661610345cd92d0,0,0,0,0,0,
20200809,AL,101334,661117,,1595,11537,,1242,,674,37923,B,8/9/2020 11:00,2020-08-09T18:00:00Z,08/09 14:00,1768,11537,2020-08-09T11:00:00Z,758852,,,97735,1707,61,,,,,,,,,,,,,01,2947,10002,762451,762451,12949,762451,33,0,a4a8de3a2629abafcc39721a376de650764bb4d7,0,0,0,0,0,
20200808,AL,98387,651115,,1575,11537,,1228,,661,37923,B,8/8/2020 11:00,2020-08-08T18:00:00Z,08/08 14:00,1735,11537,2020-08-08T11:00:00Z,745942,,,94827,1674,61,,,,,,,,,,,,,01,86,0,749502,749502,86,749502,0,0,64e77a9667576ee620c073c41b3e073443e95a13,0,0,0,0,0,
20200807,AL,98301,651115,,1575,11537,,1219,,658,37923,B,8/7/2020 11:00,2020-08-07T18:00:00Z,08/07 14:00,1735,11537,2020-08-07T11:00:00Z,745942,,,94827,1674,61,,,,,,,,,,,,,01,1709,7923,749416,749416,9632,749416,21,224,8cce750ab12479de869f892bf91e8290f3298e49,0,0,0,0,0,
20200806,AL,96592,643192,,1575,11313,,1211,,654,37923,B,8/6/2020 11:00,2020-08-06T18:00:00Z,08/06 14:00,1714,11313,2020-08-06T11:00:00Z,736594,,,93402,1654,60,,,,,,,,,,,,,01,1938,10386,739784,739784,12324,739784,19,213,fe78546b4a4143f19c9f2e4dbaf53fc090e021ad,0,0,0,0,0,
20200805,AL,94654,632806,,1575,11100,,1200,,645,37923,B,8/5/2020 11:00,2020-08-05T18:00:00Z,08/05 14:00,1695,11100,2020-08-05T11:00:00Z,724582,,,91776,1639,56,,,,,,,,,,,,,01,952,4207,727460,727460,5159,727460,29,0,835b4471e5332ae5380f44e7e64d8e9a9b8f1698,0,0,0,0,0,
20200804,AL,93702,628599,,1517,11100,,1173,,634,35401,B,8/4/2020 11:00,2020-08-04T18:00:00Z,08/04 14:00,1666,11100,2020-08-04T11:00:00Z,719489,,,90890,1611,55,,,,,,,,,,,,,01,1041,7209,722301,722301,8250,722301,33,235,c1da89c110897651e1472ff475dda2fb373ce027,0,0,0,0,0,
20200803,AL,92661,621390,,1517,10865,,1153,,619,35401,B,8/3/2020 11:00,2020-08-03T18:00:00Z,08/03 14:00,1633,10865,2020-08-03T11:00:00Z,711317,,,89927,1580,53,,,,,,,,,,,,,01,1217,6764,714051,714051,7981,714051,6,344,7be01de0c007f48464a8b744d49c2d0cbe6a337b,0,0,0,0,0,
20200802,AL,91444,614626,,1529,10521,,1151,,616,35401,B,8/2/2020 11:00,2020-08-02T18:00:00Z,08/02 14:00,1627,10521,2020-08-02T11:00:00Z,703437,,,88811,1576,51,,,,,,,,,,,,,01,2095,6604,706070,706070,8699,706070,24,0,2339568d2654c21c46b1e0db4106350e4bc84f60,0,0,0,0,0,
