date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200811,AR,50411,522457,,507,3401,,,116,450,42998,A,8/11/2020 14:55,2020-08-11T21:55:00Z,08/11 17:55,566,3401,2020-08-11T14:55:00Z,572868,,522457,50411,,,,,,,,,,,,,1495,,05,383,3165,572868,572868,3548,572868,11,65,68cd356fc7d70f8a9a8c318a5a59132a5642c6f1,0,0,0,0,0,
20200810,AR,50028,519292,,508,3336,,,117,443,42130,A,8/10/2020 15:30,2020-08-10T22:30:00Z,08/10 18:30,555,3336,2020-08-10T15:30:00Z,569320,,,50028,,,,,,,,,,,,,,,05,645,4844,569320,569320,5489,569320,11,52,f8db36002ada81d5f08d79529beda50f9774019e,0,0,0,0,0,
20200809,AR,49383,514448,,497,3284,,,117,437,41452,A,8/9/2020 00:00,2020-08-09T07:00:00Z,08/09 03:00,544,3284,2020-08-09T00:00:00Z,563831,,,49383,,,,,,,,,,,,,,,05,1344,10964,563831,563831,12308,563831,23,61,0e1fc1521552fbf030d94f31c4204f023d46c58c,0,0,0,0,0,
20200808,AR,48039,503484,,523,3223,,,116,435,40360,A,8/7/2020 15:30,2020-08-07T22:30:00Z,08/07 18:30,521,3223,2020-08-07T15:30:00Z,551523,,,48039,,,,,,,,,,,,,,,05,0,0,551523,551523,0,551523,0,55,ade1a1bd6739388d21f971f449c3e4a48328ac6f,0,0,0,0,0,
20200807,AR,48039,503484,,514,3168,,,111,429,40360,A,8/7/2020 15:30,2020-08-07T22:30:00Z,08/07 18:30,521,3168,2020-08-07T15:30:00Z,551523,,,48039,,,,,,,,,,,,,,,05,1011,10676,551523,551523,11687,551523,6,50,0f72005e3a5df0d510643d4a42ef42af66bb095d,0,0,0,0,0,
20200806,AR,47028,492808,,514,3118,,,111,424,39555,A,8/6/2020 14:40,2020-08-06T21:40:00Z,08/06 17:40,515,3118,2020-08-06T14:40:00Z,539101,,,47028,,,,,,,,,,,,,,,05,735,4290,539836,539836,5025,539836,7,0,72cd0ee474a62527511bfe1d80049d3cb5ad0ced,0,0,0,0,0,
20200805,AR,46293,488518,,516,3118,,,106,424,38848,A,8/5/2020 15:00,2020-08-05T22:00:00Z,08/05 18:00,508,3118,2020-08-05T15:00:00Z,533899,,,46293,,,,,,,,,,,,,,,05,912,0,534811,534811,912,534811,18,64,19e8f77506c19919465aa8baab2eb8bd0729e9c7,0,0,0,0,0,
20200804,AR,45381,488518,,526,3054,,,101,414,38000,A,8/4/2020 14:40,2020-08-04T21:40:00Z,08/04 17:40,490,3054,2020-08-04T14:40:00Z,533899,,,45381,,,,,,,,,,,,,,,05,784,5715,533899,533899,6499,533899,15,88,decf3e3cda3c434346c3790b18938a0e052886bb,0,0,0,0,0,
20200803,AR,44597,482803,,513,2966,,,108,403,37240,A,8/3/2020 14:50,2020-08-03T21:50:00Z,08/03 17:50,475,2966,2020-08-03T14:50:00Z,527400,,,44597,,,,,,,,,,,,,,,05,1424,11395,527400,527400,12819,527400,17,72,6e883f84acc88126fe0b3685591940258b464597,0,0,0,0,0,
20200802,AR,43173,471408,,499,2894,,,104,397,36034,A,8/1/2020 17:30,2020-08-02T00:30:00Z,08/01 20:30,458,2894,2020-08-01T17:30:00Z,514581,,,43173,,,,,,,,,,,,,,,05,0,0,514581,514581,0,514581,-2,42,672c7e806050f5f905aae72ceef8de0b0a7843fd,0,0,0,0,0,
