date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200812,AS,0,1396,,,,,,,,,,7/24/2020 00:00,2020-07-24T07:00:00Z,07/24 03:00,0,,2020-07-24T00:00:00Z,,,,0,,,,1396,,,,,,,,,,,60,0,0,1396,1396,0,1396,0,0,657623afc14d2fe1d8a25283a5a11d79e17523a1,0,0,0,0,0,
20200811,AS,0,1396,,,,,,,,,C,7/24/2020 00:00,2020-07-24T07:00:00Z,07/24 03:00,0,,2020-07-24T00:00:00Z,,,,0,,,,1396,,,,,,,,,,,60,0,0,1396,1396,0,1396,0,0,8a77950a168e0fe5ac4e1d5cc655252805049a92,0,0,0,0,0,
20200810,AS,0,1396,,,,,,,,,C,7/24/2020 00:00,2020-07-24T07:00:00Z,07/24 03:00,0,,2020-07-24T00:00:00Z,,,,0,,,,1396,,,,,,,,,,,60,0,0,1396,1396,0,1396,0,0,59f012e01cdf092bf5acd4b41deb88be9199e69a,0,0,0,0,0,
20200809,AS,0,1396,,,,,,,,,C,7/24/2020 00:00,2020-07-24T07:00:00Z,07/24 03:00,0,,2020-07-24T00:00:00Z,,,,0,,,,1396,,,,,,,,,,,60,0,0,1396,1396,0,1396,0,0,8c9e6fee9a2fee05e5c76170550452a7b78a9ea0,0,0,0,0,0,
20200808,AS,0,1396,,,,,,,,,C,7/24/2020 00:00,2020-07-24T07:00:00Z,07/24 03:00,0,,2020-07-24T00:00:00Z,,,,0,,,,1396,,,,,,,,,,,60,0,0,1396,1396,0,1396,0,0,193958ee60f8a42f1c55594d074a252d2d0c1749,0,0,0,0,0,
20200807,AS,0,1396,,,,,,,,,C,7/24/2020 00:00,2020-07-24T07:00:00Z,07/24 03:00,0,,2020-07-24T00:00:00Z,,,,0,,,,1396,,,,,,,,,,,60,0,0,1396,1396,0,1396,0,0,70e9173cd71cde1b0eae54fd5e34f7606d692f9f,0,0,0,0,0,
20200806,AS,0,1396,,,,,,,,,C,7/24/2020 00:00,2020-07-24T07:00:00Z,07/24 03:00,0,,2020-07-24T00:00:00Z,,,,0,,,,1396,,,,,,,,,,,60,0,0,1396,1396,0,1396,0,0,3a17cabf5ac4c9b7e6dc05772267c53a7e8319ba,0,0,0,0,0,
20200805,AS,0,1396,,,,,,,,,C,7/24/2020 00:00,2020-07-24T07:00:00Z,07/24 03:00,0,,2020-07-24T00:00:00Z,,,,0,,,,1396,,,,,,,,,,,60,0,129,1396,1396,129,1396,0,0,7c4049bb1c42b6fce1eec5512d410257440c937a,0,0,0,0,0,
20200804,AS,0,1267,,,,,,,,,C,7/23/2020 00:00,2020-07-23T07:00:00Z,07/23 03:00,0,,2020-07-23T00:00:00Z,,,,0,,,,1267,,,,,,,,,,,60,0,0,1267,1267,0,1267,0,0,e312e92d6ca4b6372f54c636a7c29b6d086144d8,0,0,0,0,0,
20200803,AS,0,1267,,,,,,,,,C,7/23/2020 00:00,2020-07-23T07:00:00Z,07/23 03:00,0,,2020-07-23T00:00:00Z,,,,0,,,,1267,,,,,,,,,,,60,0,0,1267,1267,0,1267,0,0,f525e69bf6d1966a9231566a58460a1423e61375,0,0,0,0,0,
