date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200812,AZ,189443,854785,,1469,19821,519,,328,,26418,,8/12/2020 00:00,2020-08-12T07:00:00Z,08/12 03:00,4347,19821,2020-08-12T00:00:00Z,1042838,,,188053,4095,252,,,241948,,,,,,,,,,04,706,6247,1044228,1044228,6953,1044228,148,529,dfee24a509fd9007e4173fa8c072f72abcb5cfe8,0,0,0,0,0,
20200811,AZ,188737,848538,,1574,19292,510,,346,,26102,A+,8/11/2020 00:00,2020-08-11T07:00:00Z,08/11 03:00,4199,19292,2020-08-11T00:00:00Z,1035900,,,187362,3951,248,,,241052,,,,,,,,,,04,1214,7830,1037275,1037275,9044,1037275,45,15,9ad0bc2484168db820a15c6dd09c018249b16d2f,0,0,0,0,0,
20200810,AZ,187523,840708,,1575,19277,506,,366,,25848,A+,8/10/2020 00:00,2020-08-10T07:00:00Z,08/10 03:00,4154,19277,2020-08-10T00:00:00Z,1026888,,,186180,3922,232,,,240582,,,,,,,,,,04,600,5068,1028231,1028231,5668,1028231,4,9,42f5a25b75cc53e881148d87dc5115f9952d9d44,0,0,0,0,0,
20200809,AZ,186923,835640,,1626,19268,514,,374,,25527,A+,8/9/2020 00:00,2020-08-09T07:00:00Z,08/09 03:00,4150,19268,2020-08-09T00:00:00Z,1021233,,,185593,3918,232,,,239427,,,,,,,,,,04,816,5226,1022563,1022563,6042,1022563,13,24,34024cc38d6dcedf8e80782051a77ef0ca37f11d,0,0,0,0,0,
20200808,AZ,186107,830414,,1659,19244,539,,400,,25163,A+,8/8/2020 00:00,2020-08-08T07:00:00Z,08/08 03:00,4137,19244,2020-08-08T00:00:00Z,1015218,,,184804,3905,232,,,237810,,,,,,,,,,04,1054,10622,1016521,1016521,11676,1016521,56,3,37b147313b5640aff0be308aad825c378369a021,0,0,0,0,0,
20200807,AZ,185053,819792,,1772,19241,565,,411,,24815,A+,8/7/2020 00:00,2020-08-07T07:00:00Z,08/07 03:00,4081,19241,2020-08-07T00:00:00Z,1003583,,,183791,3860,221,,,236405,,,,,,,,,,04,1406,7575,1004845,1004845,8981,1004845,79,5173,fcb5c010854f2ba58848de1dd92deae50313bb28,0,0,0,0,0,
20200806,AZ,183647,812217,,1879,14068,593,,427,,24531,A+,8/6/2020 00:00,2020-08-06T07:00:00Z,08/06 03:00,4002,14068,2020-08-06T00:00:00Z,994625,,,182408,3786,216,,,235088,,,,,,,,,,04,1444,8878,995864,995864,10322,995864,70,509,1e784792c0b24111f08688dca5bbd87070e1275c,0,0,0,0,0,
20200805,AZ,182203,803339,,1945,13559,618,,455,,24222,A+,8/5/2020 00:00,2020-08-05T07:00:00Z,08/05 03:00,3932,13559,2020-08-05T00:00:00Z,984332,,,180993,3717,215,,,233685,,,,,,,,,,04,1698,12600,985542,985542,14298,985542,87,265,36927a1c0163bdebabe1a70f006478bf3ff5712d,0,0,0,0,0,
20200804,AZ,180505,790739,,2024,13294,638,,474,,23944,A+,8/4/2020 00:00,2020-08-04T07:00:00Z,08/04 03:00,3845,13294,2020-08-04T00:00:00Z,971244,,,137710,2431,152,,,232219,,,,,,,,,,04,1008,5818,971244,971244,6826,971244,66,1894,afc26f1bd2660b5a826faed651e09382e340cd47,0,0,0,0,0,
20200803,AZ,179497,784921,,2017,11400,628,,461,,23702,A+,8/3/2020 00:00,2020-08-03T07:00:00Z,08/03 03:00,3779,11400,2020-08-03T00:00:00Z,964418,,,137710,2431,152,,,231917,,,,,,,,,,04,1030,6960,964418,964418,7990,964418,14,29,019de44368f253ff3e5c8d18c7914d0e61d0e58b,0,0,0,0,0,
