date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200811,CA,574411,8611868,,6759,,1885,,,,,B,8/10/2020 00:00,2020-08-10T07:00:00Z,08/10 03:00,10468,,2020-08-10T00:00:00Z,9186279,,,574411,,,,,,,,,,,,,,,06,12500,175426,9186279,9186279,187926,9186279,109,0,2e6ec2767a51098e2dd3fbb2c4f8d88566418876,0,0,0,0,0,
20200810,CA,561911,8436442,,6770,,1879,,,,,B,8/9/2020 00:00,2020-08-09T07:00:00Z,08/09 03:00,10359,,2020-08-09T00:00:00Z,8998353,,,561911,,,,,,,,,,,,,,,06,7751,164483,8998353,8998353,172234,8998353,66,0,0b96d8c1339d84c57e85417bff9592b016e6e492,0,0,0,0,0,
20200809,CA,554160,8271959,,6849,,1891,,,,,B,8/9/2020 00:00,2020-08-09T07:00:00Z,08/09 03:00,10293,,2020-08-09T00:00:00Z,8826119,,,554160,,,,,,,,,,,,,,,06,8373,110219,8826119,8826119,118592,8826119,104,0,cfb4e20f935efec5b1af62b36af8483401a612d3,0,0,0,0,0,
20200808,CA,545787,8161740,,6956,,2038,,,,,B,8/8/2020 00:00,2020-08-08T07:00:00Z,08/08 03:00,10189,,2020-08-08T00:00:00Z,8707527,,,545787,,,,,,,,,,,,,,,06,7371,103274,8707527,8707527,110645,8707527,178,0,34051e4d7ac5eb09f8b91900a1318fa7eea1f116,0,0,0,0,0,
20200807,CA,538416,8058466,,7277,,1978,,,,,B,8/7/2020 00:00,2020-08-07T07:00:00Z,08/07 03:00,10011,,2020-08-07T00:00:00Z,8596882,,,538416,,,,,,,,,,,,,,,06,8436,87983,8596882,8596882,96419,8596882,142,0,aed2b329bb4936cea35c36061123dfe58ab2db08,0,0,0,0,0,
20200806,CA,529980,7970483,,7485,,2026,,,,,B,8/6/2020 00:00,2020-08-06T07:00:00Z,08/06 03:00,9869,,2020-08-06T00:00:00Z,8500463,,,529980,,,,,,,,,,,,,,,06,5258,85805,8500463,8500463,91063,8500463,166,0,aaff45bbf9c1c1a4ddbfc02818dd9f8aaac05d23,0,0,0,0,0,
20200805,CA,524722,7884678,,7552,,2005,,,,,B,8/5/2020 00:00,2020-08-05T07:00:00Z,08/05 03:00,9703,,2020-08-05T00:00:00Z,8409400,,,524722,,,,,,,,,,,,,,,06,5295,98392,8409400,8409400,103687,8409400,202,0,8255e99b58b6ea535efaabe5bfa0d1e4fd43be0c,0,0,0,0,0,
20200804,CA,519427,7786286,,7630,,2082,,,,,B,8/4/2020 00:00,2020-08-04T07:00:00Z,08/04 03:00,9501,,2020-08-04T00:00:00Z,8305713,,,519427,,,,,,,,,,,,,,,06,4526,116491,8305713,8305713,121017,8305713,113,0,8421177d3911d915fc93bb1e31d237b8b3119e4a,0,0,0,0,0,
20200803,CA,514901,7669795,,7629,,2069,,,,,B,8/3/2020 00:00,2020-08-03T07:00:00Z,08/03 03:00,9388,,2020-08-03T00:00:00Z,8184696,,,514901,,,,,,,,,,,,,,,06,5739,142982,8184696,8184696,148721,8184696,32,0,81ee8d1fd061b2b8887b0240da340cbe238ec0da,0,0,0,0,0,
20200802,CA,509162,7526813,,7761,,2119,,,,,B,8/2/2020 00:00,2020-08-02T07:00:00Z,08/02 03:00,9356,,2020-08-02T00:00:00Z,8035975,,,509162,,,,,,,,,,,,,,,06,9032,140356,8035975,8035975,149388,8035975,132,0,0b391b177ab7d43b98dde434dbea6e644778b7ca,0,0,0,0,0,
