date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200812,CO,51441,549859,,315,6679,,,,,5608,,8/11/2020 01:59,2020-08-11T08:59:00Z,08/11 04:59,1751,6679,2020-08-11T01:59:00Z,,,,48008,,,817422,597867,145694,9992,135702,,,,,,,,08,402,3716,601300,817422,7146,601300,5,52,1afef6f6acd87c246b3d23a993617742fbbeaa36,0,0,0,0,0,
20200811,CO,51039,546143,,309,6627,,,,,5579,A,8/9/2020 01:59,2020-08-09T08:59:00Z,08/09 04:59,1746,6627,2020-08-09T01:59:00Z,,,,47651,,,810276,593794,145181,9956,135225,,,,,,,,08,379,4963,597182,810276,8537,597182,10,11,7c1bb928094fc0168d60703991414cc7ada870f0,0,0,0,0,0,
20200810,CO,50660,541180,,319,6616,,,,,5554,A,8/9/2020 01:59,2020-08-09T08:59:00Z,08/09 04:59,1736,6616,2020-08-09T01:59:00Z,,,,47367,,,801739,588547,144812,9941,134871,,,,,,,,08,336,5624,591840,801739,10717,591840,0,14,7a6770b7b676e99df4ff68dff1193428e58b391f,0,0,0,0,0,
20200809,CO,50324,535556,,346,6602,,,,,5507,A,8/8/2020 01:59,2020-08-08T08:59:00Z,08/08 04:59,1736,6602,2020-08-08T01:59:00Z,,,,47083,,,791022,582639,144070,9890,134180,,,,,,,,08,431,6318,585880,791022,11352,585880,0,20,b6e71752a02573bd8ba9d0dc6556e83e69c337b2,0,0,0,0,0,
20200808,CO,49893,529238,,317,6582,,,,,5490,A,8/7/2020 01:59,2020-08-07T08:59:00Z,08/07 04:59,1736,6582,2020-08-07T01:59:00Z,,,,46656,,,779670,575894,143068,9795,133273,,,,,,,,08,457,7311,579131,779670,13197,579131,7,10,12d893d53c6fe42eee77ba31e79013a9748b33f3,0,0,0,0,0,
20200807,CO,49436,521927,,317,6572,,,,,5490,A,8/6/2020 01:59,2020-08-06T08:59:00Z,08/06 04:59,1729,6572,2020-08-06T01:59:00Z,,,,46200,,,766473,568127,142116,9726,132390,,,,,,,,08,448,5596,571363,766473,11829,571363,12,36,a5a3fadf0baef37a47754793b18179358cff6e5e,0,0,0,0,0,
20200806,CO,48988,516331,,320,6536,,,,,5471,A,8/5/2020 01:59,2020-08-05T08:59:00Z,08/05 04:59,1717,6536,2020-08-05T01:59:00Z,,,,45755,,,754644,562086,141311,9661,131650,,,,,,,,08,594,9303,565319,754644,27618,565319,7,20,044f6351ce7f69b0eebdce8feb1db215cdc100a9,0,0,0,0,0,
20200805,CO,48394,507028,,335,6516,,,,,5449,A,8/4/2020 01:59,2020-08-04T08:59:00Z,08/04 04:59,1710,6516,2020-08-04T01:59:00Z,,,,45177,,,727026,552205,140274,9584,130690,,,,,,,,08,426,2993,555422,727026,5105,555422,0,29,7ac338e950317352a0789f6a3b97d29d80ef4b25,0,0,0,0,0,
20200804,CO,47968,504035,,340,6487,,,,,5424,A,8/3/2020 01:59,2020-08-03T08:59:00Z,08/03 04:59,1710,6487,2020-08-03T01:59:00Z,,,,44773,,,721921,548808,139950,9553,130397,,,,,,,,08,252,4539,552003,721921,7361,552003,19,13,b98e24a6558775da183ca2c241d15f6d290ec55a,0,0,0,0,0,
20200803,CO,47716,499496,,308,6474,,,,,5393,A,8/2/2020 01:59,2020-08-02T08:59:00Z,08/02 04:59,1691,6474,2020-08-02T01:59:00Z,,,,44527,,,714560,544023,139566,9525,130041,,,,,,,,08,449,6191,547212,714560,10606,547212,0,9,d3e179ebca0126f6302a73b37aa92c6356875f73,0,0,0,0,0,
