date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200811,CT,50684,860615,,70,10920,,,,,8721,B,8/10/2020 20:30,2020-08-11T03:30:00Z,08/10 23:30,4444,10920,2020-08-10T20:30:00Z,909305,,,48690,3561,883,,,,,,,,,,,,,09,117,8225,911299,911299,8342,911299,0,0,f45d53b093e75a704b8f4ac3dd31bfada8377f63,0,0,0,0,0,
20200810,CT,50567,852390,,64,10920,,,,,8721,B,8/9/2020 20:30,2020-08-10T03:30:00Z,08/09 23:30,4444,10920,2020-08-09T20:30:00Z,900967,,,48577,3560,884,,,,,,,,,,,,,09,247,38077,902957,902957,38324,902957,3,0,49349206cf52ac0b643b109a51a0964873caa494,0,0,0,0,0,
20200809,CT,50320,814313,,65,10920,,,,,8721,B,8/6/2020 20:30,2020-08-07T03:30:00Z,08/06 23:30,4441,10920,2020-08-06T20:30:00Z,862658,,,48345,3558,883,,,,,,,,,,,,,09,0,0,864633,864633,0,864633,0,0,873a0b4c1872b1a547c1675993f806ab71fdae62,0,0,0,0,0,
20200808,CT,50320,814313,,65,10920,,,,,8721,B,8/6/2020 20:30,2020-08-07T03:30:00Z,08/06 23:30,4441,10920,2020-08-06T20:30:00Z,862658,,,48345,3558,883,,,,,,,,,,,,,09,0,0,864633,864633,0,864633,0,0,fde1c54c102034e761be437def77aaa9367973c3,0,0,0,0,0,
20200807,CT,50320,814313,,65,10920,,,,,8721,B,8/6/2020 20:30,2020-08-07T03:30:00Z,08/06 23:30,4441,10920,2020-08-06T20:30:00Z,862658,,,48345,3558,883,,,,,,,,,,,,,09,75,7460,864633,864633,7535,864633,4,0,74b09319c7050209ac555e23e82b3a0bb19329c6,0,0,0,0,0,
20200806,CT,50245,806853,,66,10920,,,,,8721,B,8/5/2020 20:30,2020-08-06T03:30:00Z,08/05 23:30,4437,10920,2020-08-05T20:30:00Z,855126,,,48273,3555,882,,,,,,,,,,,,,09,20,8969,857098,857098,8989,857098,0,113,fd1f425230f581c80061c9fbd1ecaa028d59afc2,0,0,0,0,0,
20200805,CT,50225,797884,,59,10807,,,,,8613,B,8/4/2020 20:30,2020-08-05T03:30:00Z,08/04 23:30,4437,10807,2020-08-04T20:30:00Z,846142,,,48258,3555,882,,,,,,,,,,,,,09,115,11723,848109,848109,11838,848109,0,0,ddeb8bdc1936e06e38d368b91a441791ac99410e,0,0,0,0,0,
20200804,CT,50110,786161,,60,10807,,,,,8613,B,8/3/2020 20:30,2020-08-04T03:30:00Z,08/03 23:30,4437,10807,2020-08-03T20:30:00Z,834303,,,48142,3555,882,,,,,,,,,,,,,09,48,7041,836271,836271,7089,836271,0,0,c815def26e28d00a64182fc642b4e544e7fedb11,0,0,0,0,0,
20200803,CT,50062,779120,,56,10807,,,,,8613,B,8/2/2020 20:30,2020-08-03T03:30:00Z,08/02 23:30,4437,10807,2020-08-02T20:30:00Z,827213,,,48093,3555,882,,,,,,,,,,,,,09,252,34934,829182,829182,35186,829182,5,0,ee4c6108ef191e58204d1c5a7dea0353ad54fa94,0,0,0,0,0,
20200802,CT,49810,744186,,69,10807,,,,,8613,B,7/30/2020 20:30,2020-07-31T03:30:00Z,07/30 23:30,4432,10807,2020-07-30T20:30:00Z,792040,,,47854,3551,881,,,,,,,,,,,,,09,0,0,793996,793996,0,793996,0,0,9f235c22cd3ec04d75c0da49a2192287dbb5e90c,0,0,0,0,0,
20200801,CT,49810,744186,,69,10807,,,,,8613,B,7/30/2020 20:30,2020-07-31T03:30:00Z,07/30 23:30,4432,10807,2020-07-30T20:30:00Z,792040,,,47854,3551,881,,,,,,,,,,,,,09,0,0,793996,793996,0,793996,0,0,16226ed2821b6b77560cdfbbd3aa71eb0f43132c,0,0,0,0,0,
20200731,CT,49810,744186,,69,10807,,,,,8613,B,7/30/2020 20:30,2020-07-31T03:30:00Z,07/30 23:30,4432,10807,2020-07-30T20:30:00Z,792040,,,47854,3551,881,,,,,,,,,,,,,09,140,15128,793996,793996,15268,793996,1,0,14c09708b8b6521e51a08d6e16c0186c1d8ba8d1,0,0,0,0,0,
20200730,CT,49670,729058,,66,10807,,,,,8613,B,7/29/2020 20:30,2020-07-30T03:30:00Z,07/29 23:30,4431,10807,2020-07-29T20:30:00Z,776775,,,47717,3550,881,,,,,,,,,,,,,09,130,12822,778728,778728,12952,778728,6,95,2ef6d4f3fc938dfaeac1be05d0a53eb679debded,0,0,0,0,0,
20200729,CT,49540,716236,,53,10712,,,,,8516,B,7/28/2020 20:30,2020-07-29T03:30:00Z,07/28 23:30,4425,10712,2020-07-28T20:30:00Z,763817,,,47581,3544,881,,,,,,,,,,,,,09,463,12625,765776,765776,13088,765776,2,0,83793a79a66b89d0418f53685a2bee640cd44bce,0,0,0,0,0,
20200728,CT,49077,703611,,54,10712,,,,,8516,B,7/27/2020 20:30,2020-07-28T03:30:00Z,07/27 23:30,4423,10712,2020-07-27T20:30:00Z,750700,,,47089,3541,882,,,,,,,,,,,,,09,94,7543,752688,752688,7637,752688,5,0,3bfcf712bf847662b97994d404ce22bc8ef623da,0,0,0,0,0,
