date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200812,AK,4655,287927,,39,,,,3,,1359,,8/12/2020 00:00,2020-08-12T07:00:00Z,08/12 03:00,27,,2020-08-12T00:00:00Z,292582,4646,287633,4655,27,,,,,,,,,,,,,,02,66,1772,292582,292582,1838,292582,1,0,f6d3e15de75f5239dc93127ffb11ef6ad6dddd2f,0,0,0,0,0,
20200812,AL,104786,690985,,1372,12292,,1282,,700,41523,,8/12/2020 11:00,2020-08-12T18:00:00Z,08/12 14:00,1882,12292,2020-08-12T11:00:00Z,791786,,,100801,1814,68,,,,,,,,,,,,,01,935,11147,795771,795771,12082,795771,35,222,7aa66aebc1dc57f7cdf4b66f4db397c12ac67dbd,0,0,0,0,0,
20200812,AR,51114,522457,,486,3472,,,113,455,42998,,8/12/2020 14:40,2020-08-12T21:40:00Z,08/12 17:40,566,3472,2020-08-12T14:40:00Z,572868,,522457,51114,,,,,,,,,,,,,1836,,05,703,0,573571,573571,703,573571,0,71,05ea1b94a4f431fd2548ef2738b78fba5bb10304,0,0,0,0,0,
20200812,AS,0,1396,,,,,,,,,,7/24/2020 00:00,2020-07-24T07:00:00Z,07/24 03:00,0,,2020-07-24T00:00:00Z,,,,0,,,,1396,,,,,,,,,,,60,0,0,1396,1396,0,1396,0,0,657623afc14d2fe1d8a25283a5a11d79e17523a1,0,0,0,0,0,
20200812,AZ,189443,854785,,1469,19821,519,,328,,26418,,8/12/2020 00:00,2020-08-12T07:00:00Z,08/12 03:00,4347,19821,2020-08-12T00:00:00Z,1042838,,,188053,4095,252,,,241948,,,,,,,,,,04,706,6247,1044228,1044228,6953,1044228,148,529,dfee24a509fd9007e4173fa8c072f72abcb5cfe8,0,0,0,0,0,
20200812,CA,586056,8717411,,6647,,1873,,,,,,8/11/2020 00:00,2020-08-11T07:00:00Z,08/11 03:00,10648,,2020-08-11T00:00:00Z,9303467,,,586056,,,,,,,,,,,,,,,06,11645,105543,9303467,9303467,117188,9303467,180,0,03fd1b575ea00d8794c7e9e036d578a8ec40a4ef,0,0,0,0,0,
20200812,CO,51441,549859,,315,6679,,,,,5608,,8/11/2020 01:59,2020-08-11T08:59:00Z,08/11 04:59,1751,6679,2020-08-11T01:59:00Z,,,,48008,,,817422,597867,145694,9992,135702,,,,,,,,08,402,3716,601300,601300,4118,601300,5,52,1fe1310b33c51898c87e1dd92f43f0fa241b90a4,0,0,0,0,0,
20200812,CT,50706,868577,,58,10920,,,,,8721,,8/11/2020 20:30,2020-08-12T03:30:00Z,08/11 23:30,4450,10920,2020-08-11T20:30:00Z,917282,,,48705,3566,884,,,,,,,,,,,,,09,22,7962,919283,919283,7984,919283,6,0,ef1dbfe6554c5afbb1105fcdfe2eb9b647ea4d27,0,0,0,0,0,
20200812,DC,12959,213782,,85,,25,,11,,10300,,8/11/2020 00:00,2020-08-11T07:00:00Z,08/11 03:00,593,,2020-08-11T00:00:00Z,,,,,,,,226741,,,,,,,,,,,11,63,1929,226741,226741,1992,226741,0,0,5d188d877cc3e8c230cf0df5ff33ff1b08fb7abf,0,0,0,0,0,
20200812,DE,15699,186501,,35,,13,,,,8519,,8/11/2020 18:00,2020-08-12T01:00:00Z,08/11 21:00,591,,2020-08-11T18:00:00Z,,,,14700,521,70,,202200,,,,,,,,,,,10,0,0,202200,202200,0,202200,0,0,d1441dc386f1c7baf914cb6ff232dd5f654b8218,0,0,0,0,0,
