date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200811,DC,12896,211853,,83,,21,,12,,10232,A+,8/10/2020 00:00,2020-08-10T07:00:00Z,08/10 03:00,593,,2020-08-10T00:00:00Z,,,,,,,,224749,,,,,,,,,,,11,89,4269,224749,224749,4358,224749,2,0,f68a57db8d43de75a2f55c3d6232e52c31244932,0,0,0,0,0,
20200810,DC,12807,207584,,75,,21,,8,,10188,A+,8/9/2020 00:00,2020-08-09T07:00:00Z,08/09 03:00,591,,2020-08-09T00:00:00Z,,,,,,,,220391,,,,,,,,,,,11,54,2395,220391,220391,2449,220391,0,0,ae7a783aec0d5a521a1e949d5717812c204da49d,0,0,0,0,0,
20200809,DC,12753,205189,,77,,17,,8,,10156,A+,8/8/2020 00:00,2020-08-08T07:00:00Z,08/08 03:00,591,,2020-08-08T00:00:00Z,,,,,,,,217942,,,,,,,,,,,11,100,4508,217942,217942,4608,217942,1,0,f0d32b2e1d73c040f5cbad37c7a56327d1fa0ac2,0,0,0,0,0,
20200808,DC,12653,200681,,80,,17,,8,,10124,A+,8/7/2020 00:00,2020-08-07T07:00:00Z,08/07 03:00,590,,2020-08-07T00:00:00Z,,,,,,,,213334,,,,,,,,,,,11,64,4545,213334,213334,4609,213334,1,0,d140576a6b2ecb5cbce75d360c91a656c6789dec,0,0,0,0,0,
20200807,DC,12589,196136,,90,,18,,12,,10118,A+,8/6/2020 00:00,2020-08-06T07:00:00Z,08/06 03:00,589,,2020-08-06T00:00:00Z,,,,,,,,208725,,,,,,,,,,,11,71,2671,208725,208725,2742,208725,2,0,86f66c1b12bb37892ab8e646dde2a8c2f875c654,0,0,0,0,0,
20200806,DC,12518,193465,,98,,23,,12,,10094,A+,8/5/2020 00:00,2020-08-05T07:00:00Z,08/05 03:00,587,,2020-08-05T00:00:00Z,,,,,,,,205983,,,,,,,,,,,11,75,3083,205983,205983,3158,205983,0,0,0d4ad250b05671b63bb2bce1bbbb557aa2a371c6,0,0,0,0,0,
20200805,DC,12443,190382,,97,,21,,13,,10015,A+,8/4/2020 00:00,2020-08-04T07:00:00Z,08/04 03:00,587,,2020-08-04T00:00:00Z,,,,,,,,202825,,,,,,,,,,,11,45,2653,202825,202825,2698,202825,0,0,fa057de7d2a22d7282ace254d88a35f4dd6354e8,0,0,0,0,0,
20200804,DC,12398,187729,,100,,17,,10,,9959,A+,8/3/2020 00:00,2020-08-03T07:00:00Z,08/03 03:00,587,,2020-08-03T00:00:00Z,,,,,,,,200127,,,,,,,,,,,11,85,1227,200127,200127,1312,200127,1,0,d345f8cbcc47ab7458f60029ef6668d1b8046d82,0,0,0,0,0,
20200803,DC,12313,186502,,104,,24,,12,,9893,A+,8/2/2020 00:00,2020-08-02T07:00:00Z,08/02 03:00,586,,2020-08-02T00:00:00Z,,,,,,,,198815,,,,,,,,,,,11,39,1584,198815,198815,1623,198815,0,0,d12127e7dfe3efc8e19dca64e88763245a42c1cd,0,0,0,0,0,
20200802,DC,12274,184918,,102,,24,,12,,9870,A+,8/1/2020 00:00,2020-08-01T07:00:00Z,08/01 03:00,586,,2020-08-01T00:00:00Z,,,,,,,,197192,,,,,,,,,,,11,69,3342,197192,197192,3411,197192,1,0,edbccee8c6b8077e7980ce44634562ab3f2ae4bd,0,0,0,0,0,
20200801,DC,12205,181576,,100,,26,,13,,9816,A+,7/31/2020 00:00,2020-07-31T07:00:00Z,07/31 03:00,585,,2020-07-31T00:00:00Z,,,,,,,,193781,,,,,,,,,,,11,79,4961,193781,193781,5040,193781,0,0,804206bab115610d48d320771c0c38f3989d7ac3,0,0,0,0,0,
20200731,DC,12126,176615,,86,,17,,9,,9816,A+,7/30/2020 00:00,2020-07-30T07:00:00Z,07/30 03:00,585,,2020-07-30T00:00:00Z,,,,,,,,188741,,,,,,,,,,,11,69,5682,188741,188741,5751,188741,1,0,28c187e2a6bcf7efedddc28ad241d75ee4f1e9b6,0,0,0,0,0,
20200730,DC,12057,170933,,87,,17,,7,,9777,A+,7/29/2020 00:00,2020-07-29T07:00:00Z,07/29 03:00,584,,2020-07-29T00:00:00Z,,,,,,,,182990,,,,,,,,,,,11,58,2883,182990,182990,2941,182990,0,0,42eac8bac6742ad48d6de4dd8527f01ef1c4aa34,0,0,0,0,0,
20200729,DC,11999,168050,,83,,17,,8,,9723,A+,7/28/2020 00:00,2020-07-28T07:00:00Z,07/28 03:00,584,,2020-07-28T00:00:00Z,,,,,,,,180049,,,,,,,,,,,11,54,1973,180049,180049,2027,180049,1,0,d0f7cb1fa7c1e24afdfeadbf11aa3310de49c305,0,0,0,0,0,
20200728,DC,11945,166077,,106,,20,,9,,9664,A+,7/27/2020 00:00,2020-07-27T07:00:00Z,07/27 03:00,583,,2020-07-27T00:00:00Z,,,,,,,,178022,,,,,,,,,,,11,87,3787,178022,178022,3874,178022,1,0,b88d65db75c1f2627f2e3280745ae5fc5d456abf,0,0,0,0,0,
20200727,DC,11858,162290,,102,,20,,8,,9639,A+,7/26/2020 00:00,2020-07-26T07:00:00Z,07/26 03:00,582,,2020-07-26T00:00:00Z,,,,,,,,174148,,,,,,,,,,,11,78,2472,174148,174148,2550,174148,1,0,d9b2b3a862964055fb4c245eaf16fc8eaccbbabf,0,0,0,0,0,
20200726,DC,11780,159818,,85,,22,,9,,9607,A+,7/25/2020 00:00,2020-07-25T07:00:00Z,07/25 03:00,581,,2020-07-25T00:00:00Z,,,,,,,,171598,,,,,,,,,,,11,63,2526,171598,171598,2589,171598,0,0,e67bcf6677f269cd636855445efa43ee6d46491c,0,0,0,0,0,
20200725,DC,11717,157292,,97,,28,,9,,9603,A+,7/24/2020 00:00,2020-07-24T07:00:00Z,07/24 03:00,581,,2020-07-24T00:00:00Z,,,,,,,,169009,,,,,,,,,,,11,68,3681,169009,169009,3749,169009,0,0,2782e19540a7903983dcd486cfe17e17a5be57b0,0,0,0,0,0,
20200724,DC,11649,153611,,97,,21,,9,,9582,A+,7/23/2020 00:00,2020-07-23T07:00:00Z,07/23 03:00,581,,2020-07-23T00:00:00Z,,,,,,,,165260,,,,,,,,,,,11,78,3161,165260,165260,3239,165260,0,0,2f37cb20e1abca59786f7896b7e3398181231fa8,0,0,0,0,0,
20200723,DC,11571,150450,,91,,22,,9,,2020,A+,7/22/2020 00:00,2020-07-22T07:00:00Z,07/22 03:00,581,,2020-07-22T00:00:00Z,,,,,,,,162021,,,,,,,,,,,11,42,2407,162021,162021,2449,162021,1,0,db52bb252b5cbc5ae379b909d74699ae2446f5a3,0,0,0,0,0,
20200722,DC,11529,148043,,81,,18,,11,,1974,A+,7/21/2020 00:00,2020-07-21T07:00:00Z,07/21 03:00,580,,2020-07-21T00:00:00Z,,,,,,,,159572,,,,,,,,,,,11,102,3759,159572,159572,3861,159572,0,0,c05e37dd2048385bc343effebb3d629e72a3d0fa,0,0,0,0,0,
20200721,DC,11427,144284,,83,,19,,13,,1932,A+,7/20/2020 00:00,2020-07-20T07:00:00Z,07/20 03:00,580,,2020-07-20T00:00:00Z,,,,,,,,155711,,,,,,,,,,,11,88,3883,155711,155711,3971,155711,1,0,e4f8e2722b2200bb015bef4834df481c81331057,0,0,0,0,0,
