date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200811,DE,15699,186501,,35,,13,,,,8519,A+,8/10/2020 18:00,2020-08-11T01:00:00Z,08/10 21:00,591,,2020-08-10T18:00:00Z,,,,14700,521,70,,202200,,,,,,,,,,,10,65,1463,202200,202200,1528,202200,0,0,c75a7d03dbeb2bcc7238983b5d116d172d957664,0,0,0,0,0,
20200810,DE,15634,185038,,34,,12,,,,8500,A+,8/9/2020 18:00,2020-08-10T01:00:00Z,08/09 21:00,591,,2020-08-09T18:00:00Z,,,,14636,521,70,,200672,,,,,,,,,,,10,59,2494,200672,200672,2553,200672,0,0,f0305bc0d823574b20bbae52bce2bbf4e9e689ec,0,0,0,0,0,
20200809,DE,15575,182544,,36,,11,,,,8449,A,8/8/2020 18:00,2020-08-09T01:00:00Z,08/08 21:00,591,,2020-08-08T18:00:00Z,,,,14576,521,70,,198119,,,,,,,,,,,10,73,2152,198119,198119,2225,198119,1,0,2663e58d8eb3e967e5094d6a66cbc4c3df7f1910,0,0,0,0,0,
20200808,DE,15502,180392,,36,,11,,,,8416,A+,8/7/2020 18:00,2020-08-08T01:00:00Z,08/07 21:00,590,,2020-08-07T18:00:00Z,,,,14502,520,70,,195894,,,,,,,,,,,10,57,1053,195894,195894,1110,195894,2,0,9d6ec7043f978dd93c567e7f101dbb987914b65b,0,0,0,0,0,
20200807,DE,15445,179339,,37,,15,,,,8392,A+,8/6/2020 18:00,2020-08-07T01:00:00Z,08/06 21:00,588,,2020-08-06T18:00:00Z,,,,14447,518,70,,194784,,,,,,,,,,,10,80,2001,194784,194784,2081,194784,1,0,495c199c50afe6b72be727b07e390194636c49a6,0,0,0,0,0,
20200806,DE,15365,177338,,45,,15,,,,8365,A+,8/5/2020 18:00,2020-08-06T01:00:00Z,08/05 21:00,587,,2020-08-05T18:00:00Z,,,,14368,517,70,,192703,,,,,,,,,,,10,69,1934,192703,192703,2003,192703,0,0,1bd5b5d1eb6aa661635a90f0529bc2e17e2be410,0,0,0,0,0,
20200805,DE,15296,175404,,47,,4,,,,8339,A+,8/4/2020 18:00,2020-08-05T01:00:00Z,08/04 21:00,587,,2020-08-04T18:00:00Z,,,,14299,517,70,,190700,,,,,,,,,,,10,159,1233,190700,190700,1392,190700,0,0,32e5c1446fa7fe3ac5655eed5fe874a92c424280,0,0,0,0,0,
20200804,DE,15137,174171,,42,,11,,,,8303,A+,8/3/2020 18:00,2020-08-04T01:00:00Z,08/03 21:00,587,,2020-08-03T18:00:00Z,,,,14140,517,70,,189308,,,,,,,,,,,10,82,1567,189308,189308,1649,189308,2,0,1ea5133a53706266bb7f03def76a578b4b46bf92,0,0,0,0,0,
20200803,DE,15055,172604,,40,,9,,,,8267,A+,8/2/2020 18:00,2020-08-03T01:00:00Z,08/02 21:00,585,,2020-08-02T18:00:00Z,,,,14058,515,70,,187659,,,,,,,,,,,10,106,2642,187659,187659,2748,187659,0,0,9cf818096d2795008948415fc95ad0f29b120b95,0,0,0,0,0,
20200802,DE,14949,169962,,43,,8,,,,8235,A+,8/1/2020 18:00,2020-08-02T01:00:00Z,08/01 21:00,585,,2020-08-01T18:00:00Z,,,,13952,515,70,,184911,,,,,,,,,,,10,72,1943,184911,184911,2015,184911,0,0,37c1bbb24329485072a14c13c11652a6c4ec226f,0,0,0,0,0,
