date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200812,FL,550901,3536678,3529,6551,32349,,,,,,,8/11/2020 23:59,2020-08-12T06:59:00Z,08/12 02:59,8898,32349,2020-08-11T23:59:00Z,5438795,701395,4709452,550901,8898,,,4093972,408950,27323,381574,401862,26788,375046,,,,,12,8109,30195,4091108,4087579,38304,4087579,213,599,c8135e40fe874ec4ec67b29051faf468f6f2fe15,0,0,0,0,0,
20200811,FL,542792,3506483,3444,6753,31750,,,,,,A,8/10/2020 23:59,2020-08-11T06:59:00Z,08/11 02:59,8685,31750,2020-08-10T23:59:00Z,5375903,690302,4658471,542792,8685,,,4055587,408950,27323,381574,401862,26788,375046,,,,,12,5831,29587,4052719,4049275,35418,4049275,277,573,25f9e02403d47d6406883a4bcd775ec47dabdc62,0,0,0,0,0,
20200810,FL,536961,3476896,3362,6948,31177,,,,,,A,8/9/2020 23:59,2020-08-10T06:59:00Z,08/10 02:59,8408,31177,2020-08-09T23:59:00Z,5320145,682190,4611442,536961,8408,,,4020073,408950,27323,381574,401862,26788,375046,,,,,12,4155,24039,4017219,4013857,28194,4013857,93,284,c72a2b502e0ff945a80482b1c626efdee31eb90d,0,0,0,0,0,
20200809,FL,532806,3452857,3353,6848,30893,,,,,,A,8/8/2020 23:59,2020-08-09T06:59:00Z,08/09 02:59,8315,30893,2020-08-08T23:59:00Z,5274241,676365,4571866,532806,8315,,,3991826,408950,27323,381574,401862,26788,375046,,,,,12,6229,33562,3989016,3985663,39791,3985663,77,254,1d44ccb8eae256aa9425cd48605c31531048f12f,0,0,0,0,0,
20200808,FL,526577,3419295,3350,6890,30639,,,,,,A,8/7/2020 23:59,2020-08-08T06:59:00Z,08/08 02:59,8238,30639,2020-08-07T23:59:00Z,5212309,667997,4518861,526577,8238,,,3952028,408950,27323,381574,401862,26788,375046,,,,,12,8502,40431,3949222,3945872,48933,3945872,187,525,6a9c76f74ea6ba65a1ee32a0746f97aa7d93595f,0,0,0,0,0,
20200807,FL,518075,3378864,3374,7144,30114,,,,,,A,8/6/2020 23:59,2020-08-07T06:59:00Z,08/07 02:59,8051,30114,2020-08-06T23:59:00Z,5135173,656841,4453694,518075,8051,,,3903010,358283,19175,339059,353026,18780,334221,,,,,12,7686,31890,3900313,3896939,39576,3896939,180,599,e935fd530edd3afb3e9eda78cb91c17f042dc943,0,0,0,0,0,
20200806,FL,510389,3346974,3325,7459,29515,,,,,,A,8/5/2020 23:59,2020-08-06T06:59:00Z,08/06 02:59,7871,29515,2020-08-05T23:59:00Z,5073879,646583,4403366,510389,7871,,,3863276,358283,19175,339059,353026,18780,334221,,,,,12,7650,34829,3860688,3857363,42479,3857363,120,559,9708b226d525b4068b59bb1ed85f05c9e9e259e2,0,0,0,0,0,
20200805,FL,502739,3312145,3277,7615,28956,,,,,,A,8/4/2020 23:59,2020-08-05T06:59:00Z,08/05 02:59,7751,28956,2020-08-04T23:59:00Z,5004570,637404,4344367,502739,7751,,,3820683,358283,19175,339059,353026,18780,334221,,,,,12,5409,25017,3818161,3814884,30426,3814884,225,623,eabd3ea16ab078ee5b98b68318e1bace6211cd88,0,0,0,0,0,
20200804,FL,497330,3287128,3280,7857,28333,,,,,,A,8/3/2020 23:59,2020-08-04T06:59:00Z,08/04 02:59,7526,28333,2020-08-03T23:59:00Z,4957810,630093,4305309,497330,7526,,,3790202,358283,19175,339059,353026,18780,334221,,,,,12,5446,26214,3787738,3784458,31660,3784458,247,589,f3e74d681d0328b1f1a631cbf1a7ad7d8df8aba1,0,0,0,0,0,
20200803,FL,491884,3260914,3228,7938,27744,,,,,,A,8/2/2020 23:59,2020-08-03T06:59:00Z,08/03 02:59,7279,27744,2020-08-02T23:59:00Z,4908466,622594,4263794,491884,7279,,,3758496,358283,19175,339059,353026,18780,334221,,,,,12,4752,27049,3756026,3752798,31801,3752798,73,220,4fbd3a904920e43e31d348bae91ed43084b250c2,0,0,0,0,0,
20200802,FL,487132,3233865,3394,7952,27524,,,,,,A,8/2/2020 10:45,2020-08-02T17:45:00Z,08/02 13:45,7206,27524,2020-08-02T10:45:00Z,4859321,615892,4221931,487132,7206,,,3726562,358283,19175,339059,353026,18780,334221,,,,,12,7104,34450,3724391,3720997,41554,3720997,62,180,9fd7f718568d5ed4c6dc6348fe13a3d4e55e9841,0,0,0,0,0,
20200801,FL,480028,3199415,3409,8072,27344,,,,,,A,7/31/2020 23:59,2020-08-01T06:59:00Z,08/01 02:59,7144,27344,2020-07-31T23:59:00Z,4793361,605946,4166771,480028,7144,,,3684875,358283,19175,339059,353026,18780,334221,,,,,12,9642,41713,3682852,3679443,51355,3679443,178,439,90c3cb1bc5b157e214c8ed8afd8dae18583a1e30,0,0,0,0,0,
20200731,FL,470386,3157702,3363,8209,26905,,,,,,A,7/30/2020 23:59,2020-07-31T06:59:00Z,07/31 02:59,6966,26905,2020-07-30T23:59:00Z,4712187,592572,4099817,470386,6966,,,3633393,358283,19175,339059,353026,18780,334221,,,,,12,9007,39964,3631451,3628088,48971,3628088,257,519,30e31a3680057b0cacd3a035f30371ac1a2f557a,0,0,0,0,0,
20200730,FL,461379,3117738,3304,8395,26386,,,,,,A,7/29/2020 23:59,2020-07-30T06:59:00Z,07/30 02:59,6709,26386,2020-07-29T23:59:00Z,4635026,580808,4035319,461379,6709,,,3584193,358283,19175,339059,353026,18780,334221,,,,,12,9956,42396,3582421,3579117,52352,3579117,252,519,4d7533783ad0130bc1f87645b090f04fa4b2e92b,0,0,0,0,0,
