date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200811,GA,222588,1672897,,2881,21031,,3832,,,,A,8/11/2020 14:50,2020-08-11T21:50:00Z,08/11 17:50,4351,21031,2020-08-11T14:50:00Z,1895485,204556,1690929,222588,,,,,243577,16791,226786,,,,,,,,13,3563,29960,1895485,1895485,33523,1895485,122,355,2d70054864df5b7a0854da287419b79c54da747f,0,0,0,0,0,
20200810,GA,219025,1642937,,2871,20676,,3767,,,,A,8/10/2020 14:50,2020-08-10T21:50:00Z,08/10 17:50,4229,20676,2020-08-10T14:50:00Z,1861962,201853,1660109,219025,,,,,243257,16749,226508,,,,,,,,13,2429,24485,1861962,1861962,26914,1861962,30,48,4d5a6e3bf1ad6ad1c28aa77316fbc97956898f5f,0,0,0,0,0,
20200809,GA,216596,1618452,,2865,20628,,3752,,,,A,8/9/2020 14:50,2020-08-09T21:50:00Z,08/09 17:50,4199,20628,2020-08-09T14:50:00Z,1835048,199610,1635438,216596,,,,,241290,16503,224787,,,,,,,,13,3169,33913,1835048,1835048,37082,1835048,13,72,7f907653f75dc455ec149f0270c8c9d9565eb284,0,0,0,0,0,
20200808,GA,213427,1584539,,2878,20556,,3739,,,,A,8/8/2020 14:50,2020-08-08T21:50:00Z,08/08 17:50,4186,20556,2020-08-08T14:50:00Z,1797966,196576,1601390,213427,,,,,239168,16252,222916,,,,,,,,13,4423,40414,1797966,1797966,44837,1797966,69,274,ed3d4940eb1710abf87a2b53558754d9ce7b9e9a,0,0,0,0,0,
20200807,GA,209004,1544125,,2981,20282,,3700,,,,A,8/7/2020 14:50,2020-08-07T21:50:00Z,08/07 17:50,4117,20282,2020-08-07T14:50:00Z,1753129,192229,1560900,209004,,,,,236570,15910,220660,,,,,,,,13,4109,24258,1753129,1753129,28367,1753129,91,280,4fe9b113596ebf599c705ceae83bda4e337c0f39,0,0,0,0,0,
20200806,GA,204895,1519867,,3006,20002,,3647,,,,A,8/6/2020 14:50,2020-08-06T21:50:00Z,08/06 17:50,4026,20002,2020-08-06T14:50:00Z,1724762,188995,1535767,204895,,,,,234055,15596,218459,,,,,,,,13,3182,26356,1724762,1724762,29538,1724762,42,214,39034e230a5a51b3ecdf50c976ed9f1eded649c2,0,0,0,0,0,
20200805,GA,201713,1493511,,3077,19788,,3616,,,,A,8/5/2020 14:50,2020-08-05T21:50:00Z,08/05 17:50,3984,19788,2020-08-05T14:50:00Z,1695224,185954,1509270,201713,,,,,231824,15410,216414,,,,,,,,13,3765,27047,1695224,1695224,30812,1695224,142,362,f0db2bd96da4ae8b6ea102447c0a267fa4864733,0,0,0,0,0,
20200804,GA,197948,1466464,,3094,19426,,3556,,,,A,8/4/2020 14:50,2020-08-04T21:50:00Z,08/04 17:50,3842,19426,2020-08-04T14:50:00Z,1664412,182579,1481833,197948,,,,,229556,15079,214477,,,,,,,,13,2513,15498,1664412,1664412,18011,1664412,0,302,9491e7ade38754e876934a1501cf871871923cdd,0,0,0,0,0,
20200803,GA,195435,1450966,,3111,19124,,3512,,,,A,8/3/2020 14:50,2020-08-03T21:50:00Z,08/03 17:50,3842,19124,2020-08-03T14:50:00Z,1646401,180291,1466110,195435,,,,,229417,15069,214348,,,,,,,,13,2258,19503,1646401,1646401,21761,1646401,2,60,29d63bf9b28a3b5b2745fa348ae5cc48bcef57df,0,0,0,0,0,
20200802,GA,193177,1431463,,3069,19064,,3496,,,,A,8/2/2020 14:50,2020-08-02T21:50:00Z,08/02 17:50,3840,19064,2020-08-02T14:50:00Z,1624640,177680,1446960,193177,,,,,227358,14823,212535,,,,,,,,13,3165,25390,1624640,1624640,28555,1624640,15,69,c1d7a1a2ead83bf99b1acdf9e195aec590b89ea0,0,0,0,0,0,
20200801,GA,190012,1406073,,3095,18995,,3475,,,,A,8/1/2020 14:50,2020-08-01T21:50:00Z,08/01 17:50,3825,18995,2020-08-01T14:50:00Z,1596085,174402,1421683,190012,,,,,224874,14462,210412,,,,,,,,13,3660,17738,1596085,1596085,21398,1596085,73,306,524c21591bf6a1270d6564e484e2558265d7012e,0,0,0,0,0,
20200731,GA,186352,1388335,,3155,18689,,3414,,,,A,7/31/2020 14:50,2020-07-31T21:50:00Z,07/31 17:50,3752,18689,2020-07-31T14:50:00Z,1574687,171306,1403381,186352,,,,,222213,14138,208075,,,,,,,,13,4066,29232,1574687,1574687,33298,1574687,81,386,473aae1ebc3f113415e6f222a33616f6293c1357,0,0,0,0,0,
20200730,GA,182286,1359103,,3200,18303,,3354,,,,A,7/30/2020 14:50,2020-07-30T21:50:00Z,07/30 17:50,3671,18303,2020-07-30T14:50:00Z,1541389,167410,1373979,182286,,,,,219867,13886,205981,,,,,,,,13,3963,24962,1541389,1541389,28925,1541389,29,339,0cdf46783a52311fd917982fce528035d6ec6166,0,0,0,0,0,
20200729,GA,178323,1334141,,3188,17964,,3301,,,,A,7/29/2020 14:50,2020-07-29T21:50:00Z,07/29 17:50,3642,17964,2020-07-29T14:50:00Z,1512464,163761,1348703,178323,,,,,217543,13606,203937,,,,,,,,13,3271,21867,1512464,1512464,25138,1512464,79,420,b23e5a3aca66d4b6d7fa0364dd3fb5a1b19ea3d5,0,0,0,0,0,
20200728,GA,175052,1312274,,3157,17544,,3236,,,,A,7/28/2020 14:50,2020-07-28T21:50:00Z,07/28 17:50,3563,17544,2020-07-28T14:50:00Z,1487326,160824,1326502,175052,,,,,216727,13511,203216,,,,,,,,13,4209,30154,1487326,1487326,34363,1487326,54,406,943ebfb6adcf174573c3bfc11b6c49fed0d3bbac,0,0,0,0,0,
20200727,GA,170843,1282120,,3181,17138,,3172,,,,A,7/27/2020 14:50,2020-07-27T21:50:00Z,07/27 17:50,3509,17138,2020-07-27T14:50:00Z,1452963,156693,1296270,170843,,,,,216240,13456,202784,,,,,,,,13,2890,21128,1452963,1452963,24018,1452963,11,47,c12eaa25fc537468c9e5a64bc00b933fa16e7cc3,0,0,0,0,0,
20200726,GA,167953,1260992,,3079,17091,,3168,,,,A,7/26/2020 14:50,2020-07-26T21:50:00Z,07/26 17:50,3498,17091,2020-07-26T14:50:00Z,1428945,153305,1275640,167953,,,,,213487,13147,200340,,,,,,,,13,2765,18340,1428945,1428945,21105,1428945,3,62,170507c47b549c0def3d9d51e298a6de486f9a16,0,0,0,0,0,
20200725,GA,165188,1242652,,3094,17029,,3158,,,,A,7/25/2020 14:50,2020-07-25T21:50:00Z,07/25 17:50,3495,17029,2020-07-25T14:50:00Z,1407840,150626,1257214,165188,,,,,211405,12875,198530,,,,,,,,13,3787,21609,1407840,1407840,25396,1407840,53,277,b06bb370fc9bc049f82960c617f8bf63a6ac0b46,0,0,0,0,0,
20200724,GA,161401,1221043,,3135,16752,,3119,,,,A,7/24/2020 14:50,2020-07-24T21:50:00Z,07/24 17:50,3442,16752,2020-07-24T14:50:00Z,1382444,147195,1235249,161401,,,,,208597,12547,196050,,,,,,,,13,4813,40693,1382444,1382444,45506,1382444,82,399,958f59996d104f7ca1445da3b1f991b8d5677c77,0,0,0,0,0,
20200723,GA,156588,1180350,,3157,16353,,3034,,,,A,7/23/2020 14:50,2020-07-23T21:50:00Z,07/23 17:50,3360,16353,2020-07-23T14:50:00Z,1336938,142092,1194846,156588,,,,,205171,12208,192963,,,,,,,,13,4286,15808,1336938,1336938,20094,1336938,25,431,60e6c534706faa662fc275d21f4fa4d7f73dd47e,0,0,0,0,0,
20200722,GA,152302,1164542,,3179,15922,,2967,,,,A,7/22/2020 14:50,2020-07-22T21:50:00Z,07/22 17:50,3335,15922,2020-07-22T14:50:00Z,1316844,138662,1178182,152302,,,,,203453,12035,191418,,,,,,,,13,3314,18239,1316844,1316844,21553,1316844,81,428,0c176ecddea1d0ba5b666167e075a470d340a34a,0,0,0,0,0,
20200721,GA,148988,1146303,,3155,15494,,2904,,,,A,7/21/2020 14:50,2020-07-21T21:50:00Z,07/21 17:50,3254,15494,2020-07-21T14:50:00Z,1295291,136015,1159276,148988,,,,,203234,12022,191212,,,,,,,,13,3413,18097,1295291,1295291,21510,1295291,78,447,9d66deb5f3ac4b77ff7d00de02330f63ebec27a4,0,0,0,0,0,
20200720,GA,145575,1128206,,3183,15047,,2829,,,,A,7/20/2020 14:50,2020-07-20T21:50:00Z,07/20 17:50,3176,15047,2020-07-20T14:50:00Z,1273781,133027,1140754,145575,,,,,202941,11985,190956,,,,,,,,13,2452,16010,1273781,1273781,18462,1273781,3,37,3b6f5f90db754ec0c05cc8bb1fc355bbf31f38e3,0,0,0,0,0,
20200719,GA,143123,1112196,,3036,15010,,2822,,,,A,7/19/2020 14:50,2020-07-19T21:50:00Z,07/19 17:50,3173,15010,2020-07-19T14:50:00Z,1255319,130490,1124829,143123,,,,,200457,11782,188675,,,,,,,,13,3251,20262,1255319,1255319,23513,1255319,5,49,774e12fa816854a7231b3266dde8ea918ad8d454,0,0,0,0,0,
20200718,GA,139872,1091934,,2929,14961,,2819,,,,A,7/18/2020 14:50,2020-07-18T21:50:00Z,07/18 17:50,3168,14961,2020-07-18T14:50:00Z,1231806,127413,1104393,139872,,,,,197631,11530,186101,,,,,,,,13,4689,28439,1231806,1231806,33128,1231806,36,314,71a1bee8a9b77455ada471c6100e61ca74e361d7,0,0,0,0,0,
20200717,GA,135183,1063495,,2902,14647,,2781,,,,A,7/17/2020 14:50,2020-07-17T21:50:00Z,07/17 17:50,3132,14647,2020-07-17T14:50:00Z,1198678,123040,1075638,135183,,,,,193476,10253,183223,,,,,,,,13,3908,16548,1198678,1198678,20456,1198678,28,301,e36448dba06dfb72ed2cefbf905b2ec4181d14f6,0,0,0,0,0,
20200716,GA,131275,1046947,,2841,14346,,2736,,,,A,7/16/2020 14:50,2020-07-16T21:50:00Z,07/16 17:50,3104,14346,2020-07-16T14:50:00Z,1178222,119761,1058461,131275,,,,,191262,10071,181191,,,,,,,,13,3441,19798,1178222,1178222,23239,1178222,13,244,d170546d44f5d5ce1b7eda751f0408016c893883,0,0,0,0,0,
20200715,GA,127834,1027149,,2786,14102,,2702,,,,A,7/15/2020 14:50,2020-07-15T21:50:00Z,07/15 17:50,3091,14102,2020-07-15T14:50:00Z,1154983,116295,1038688,127834,,,,,187083,9591,177492,,,,,,,,13,3871,20078,1154983,1154983,23949,1154983,37,417,e37e9a1fe33bab4f35df6392fc5c785d68322c86,0,0,0,0,0,
20200714,GA,123963,1007071,,2741,13685,,2662,,,,A,7/14/2020 14:50,2020-07-14T21:50:00Z,07/14 17:50,3054,13685,2020-07-14T14:50:00Z,1131034,113044,1017990,123963,,,,,186113,9516,176597,,,,,,,,13,3394,19673,1131034,1131034,23067,1131034,28,209,9e9a242759a59ff2cb3e7d1c9d6379a1374e7aff,0,0,0,0,0,
20200713,GA,120569,987398,,2600,13476,,2643,,,,A,7/13/2020 14:50,2020-07-13T21:50:00Z,07/13 17:50,3026,13476,2020-07-13T14:50:00Z,1107967,109888,998079,120569,,,,,185935,9505,176430,,,,,,,,13,3643,20908,1107967,1107967,24551,1107967,25,217,83e90c4a514eecab910119548d7a5802281d0749,0,0,0,0,0,
20200712,GA,116926,966490,,2512,13259,,2621,,,,A,7/12/2020 14:50,2020-07-12T21:50:00Z,07/12 17:50,3001,13259,2020-07-12T14:50:00Z,1083416,106089,977327,116926,,,,,183094,9367,173727,,,,,,,,13,2525,16018,1083416,1083416,18543,1083416,5,54,b6a62937deea595fda576a9118ad5eef84d5a6f3,0,0,0,0,0,
20200711,GA,114401,950472,,2446,13205,,2610,,,,A,7/11/2020 14:50,2020-07-11T21:50:00Z,07/11 17:50,2996,13205,2020-07-11T14:50:00Z,1064873,103672,961201,114401,,,,,180366,9270,171096,,,,,,,,13,3190,15335,1064873,1064873,18525,1064873,31,268,6eb8115811a61f4de74238469fff17f69e7a24e2,0,0,0,0,0,
20200710,GA,111211,935137,,2443,12937,,2565,,,,A,7/10/2020 14:50,2020-07-10T21:50:00Z,07/10 17:50,2965,12937,2020-07-10T14:50:00Z,1046348,101057,945291,111211,,,,,177244,9169,168075,,,,,,,,13,4484,22442,1046348,1046348,26926,1046348,35,331,549b5c1cf6eac911ea67e8c9f5340967d54aeb89,0,0,0,0,0,
20200709,GA,106727,912695,,2322,12606,,2519,,,,A,7/9/2020 14:50,2020-07-09T21:50:00Z,07/09 17:50,2930,12606,2020-07-09T14:50:00Z,1019422,97500,921922,106727,,,,,174915,9117,165798,,,,,,,,13,2837,16176,1019422,1019422,19013,1019422,8,106,0b0346ede06c6fe4943d02cc200b6c06043fb474,0,0,0,0,0,
20200708,GA,103890,896519,,2215,12500,,2502,,,,A,7/8/2020 16:45,2020-07-08T23:45:00Z,07/08 19:45,2922,12500,2020-07-08T16:45:00Z,1000409,94773,905636,103890,,,,,171858,9032,162826,,,,,,,,13,3420,17537,1000409,1000409,20957,1000409,23,274,880f1028e8bdc2951a2c491a378f541eb993dfc3,0,0,0,0,0,
20200707,GA,100470,878982,,2096,12226,,2471,,,,A,7/7/2020 14:50,2020-07-07T21:50:00Z,07/07 17:50,2899,12226,2020-07-07T14:50:00Z,979452,91665,887787,100470,,,,,171020,8976,162044,,,,,,,,13,3406,17093,979452,979452,20499,979452,21,307,e1721b6ada696fd954d78b58ddaa5b8792d774c5,0,0,0,0,0,
20200706,GA,97064,861889,,1962,11919,,2441,,,,A,7/6/2020 14:50,2020-07-06T21:50:00Z,07/06 17:50,2878,11919,2020-07-06T14:50:00Z,958953,89063,869890,97064,,,,,170796,8942,161854,,,,,,,,13,1548,8220,958953,958953,9768,958953,18,144,12f071cceb1afd1ecf7539c4d27ca2a0378217db,0,0,0,0,0,
20200705,GA,95516,853669,,1805,11775,,2429,,,,A,7/4/2020 14:50,2020-07-04T21:50:00Z,07/04 17:50,2860,11775,2020-07-04T14:50:00Z,949185,87822,861363,95516,,,,,170392,8925,161467,,,,,,,,13,2197,20629,949185,949185,22826,949185,3,32,8addb06fac836c420f2a905bb80f1f09b83f6121,0,0,0,0,0,
20200704,GA,93319,833040,,1726,11743,,2425,,,,A,7/4/2020 14:50,2020-07-04T21:50:00Z,07/04 17:50,2857,11743,2020-07-04T14:50:00Z,926359,85349,841010,93319,,,,,168048,8839,159209,,,,,,,,13,2826,22316,926359,926359,25142,926359,1,90,b58afd5dbb034237e38c129a3d4d448d197de0ba,0,0,0,0,0,
20200703,GA,90493,810724,,1671,11653,,2413,,,,A,7/3/2020 15:22,2020-07-03T22:22:00Z,07/03 18:22,2856,11653,2020-07-03T15:22:00Z,901217,82421,818796,90493,,,,,164412,8717,155695,,,,,,,,13,2784,15194,901217,901217,17978,901217,7,153,51524b95b50e60304c9eeae16c099e3ac7427782,0,0,0,0,0,
20200702,GA,87709,795530,,1649,11500,,2389,,,,A,7/2/2020 14:50,2020-07-02T21:50:00Z,07/02 17:50,2849,11500,2020-07-02T14:50:00Z,883239,79970,803269,87709,,,,,161483,8645,152838,,,,,,,,13,3472,24729,883239,883239,28201,883239,22,225,376970316a52e1b8dd9ac5557bc71d16f9106803,0,0,0,0,0,
20200701,GA,84237,770801,,1570,11275,,2357,,,,A,7/1/2020 14:57,2020-07-01T21:57:00Z,07/01 17:57,2827,11275,2020-07-01T14:57:00Z,855038,76664,778374,84237,,,,,157971,8556,149415,,,,,,,,13,2946,18214,855038,855038,21160,855038,22,224,ebb7758eb33599c38052cfff9692b81da882a7e2,0,0,0,0,0,
20200630,GA,81291,752587,,1459,11051,,2323,,,,A,6/30/2020 14:50,2020-06-30T21:50:00Z,06/30 17:50,2805,11051,2020-06-30T14:50:00Z,833878,74214,759664,81291,,,,,157623,8547,149076,,,,,,,,13,1874,8887,833878,833878,10761,833878,21,227,ce27b535dc4d1cf6c0747cdaa0e0e529761c85ed,0,0,0,0,0,
20200629,GA,79417,743700,,1359,10824,,2289,,,,A,6/29/2020 14:50,2020-06-29T21:50:00Z,06/29 17:50,2784,10824,2020-06-29T14:50:00Z,823117,73044,750073,79417,,,,,157375,8529,148846,,,,,,,,13,2207,13972,823117,823117,16179,823117,6,113,1b5ee7517f309e26535adcdea024e4270a6e6d22,0,0,0,0,0,
20200628,GA,77210,729728,,1236,10711,,2268,,,,A,6/28/2020 14:50,2020-06-28T21:50:00Z,06/28 17:50,2778,10711,2020-06-28T14:50:00Z,806938,70881,736057,77210,,,,,154116,8416,145700,,,,,,,,13,2225,14900,806938,806938,17125,806938,2,22,97c486ef8099a68e9b0bfcc7254ce172f89681b2,0,0,0,0,0,
20200627,GA,74985,714828,,1178,10689,,2261,,,,A,6/27/2020 14:50,2020-06-27T21:50:00Z,06/27 17:50,2776,10689,2020-06-27T14:50:00Z,789813,68568,721245,74985,,,,,152220,8367,143853,,,,,,,,13,1990,16795,789813,789813,18785,789813,6,84,7e7058274d30ea285e94732161ae03a3ffecaade,0,0,0,0,0,
20200626,GA,72995,698033,,1184,10605,,2244,,,,A,6/26/2020 14:50,2020-06-26T21:50:00Z,06/26 17:50,2770,10605,2020-06-26T14:50:00Z,771028,66510,704518,72995,,,,,149086,8275,140811,,,,,,,,13,1900,11204,771028,771028,13104,771028,25,148,5bbed1a2edc4b585c17c951dcc8d0e3bb6ac6942,0,0,0,0,0,
20200625,GA,71095,686829,,1135,10457,,2222,,,,A,6/25/2020 14:50,2020-06-25T21:50:00Z,06/25 17:50,2745,10457,2020-06-25T14:50:00Z,757924,64822,693102,71095,,,,757924,146230,8185,138045,,,,,,,,13,1714,12976,757924,757924,14690,757924,47,144,ccd6fe6535a76b29d75d80e47721a92926dcac1d,0,0,0,0,0,
20200624,GA,69381,673853,,1124,10313,,2206,,,,A,6/24/2020 14:50,2020-06-24T21:50:00Z,06/24 17:50,2698,10313,2020-06-24T14:50:00Z,743234,63170,680064,69381,,,,743234,143350,8106,135244,,,,,,,,13,1703,10270,743234,743234,11973,743234,10,190,c6132af63249d25f9569e733545ae3cb863ed098,0,0,0,0,0,
20200623,GA,67678,663583,,1056,10123,,2174,,,,A,6/23/2020 14:50,2020-06-23T21:50:00Z,06/23 17:50,2688,10123,2020-06-23T14:50:00Z,731261,61843,669418,67678,,,,731261,142862,8090,134772,,,,,,,,13,1750,21485,731261,731261,23235,731261,40,170,75af140fdea2891b903d2943c0928be851c0a554,0,0,0,0,0,
20200622,GA,65928,642098,,1000,9953,,2155,,,,A,6/22/2020 14:50,2020-06-22T21:50:00Z,06/22 17:50,2648,9953,2020-06-22T14:50:00Z,708026,60017,648009,65928,,,,708026,142648,8079,134569,,,,,,,,13,1227,8492,708026,708026,9719,708026,5,116,501d75b6f729d64f812d429762bb0d39e1ff7c5f,0,0,0,0,0,
20200621,GA,64701,633606,,960,9837,,2140,,,,A,6/21/2020 14:50,2020-06-21T21:50:00Z,06/21 17:50,2643,9837,2020-06-21T14:50:00Z,698307,58928,639379,64701,,,,688588,140694,8017,132677,,,,,,,,13,892,3031,698307,698307,3923,698307,1,0,a95f439c7dd078e962acbc3d99aa76a6b2d1b354,0,0,0,0,0,
20200620,GA,63809,630575,,944,9837,,2140,,,,A,6/20/2020 14:50,2020-06-20T21:50:00Z,06/20 17:50,2642,9837,2020-06-20T14:50:00Z,688588,58013,630575,63809,,,,688588,138123,7943,130180,,,,,,,,13,1800,22278,694384,694384,24078,694384,6,65,ef8208f27ff9e73d00535c452a4b00bad668a328,0,0,0,0,0,
20200619,GA,62009,608297,,937,9772,,2122,,,,A,6/19/2020 14:50,2020-06-19T21:50:00Z,06/19 17:50,2636,9772,2020-06-19T14:50:00Z,663975,55678,608297,62009,,,,663975,134309,7848,126461,,,,,,,,13,1097,6005,670306,670306,7102,670306,31,109,f2862796064995d905f8f161c28ab6484ce9538c,0,0,0,0,0,
20200618,GA,60912,602292,,921,9663,,2109,,,,A,6/18/2020 14:50,2020-06-18T21:50:00Z,06/18 17:50,2605,9663,2020-06-18T14:50:00Z,657419,55127,602292,60912,,,,,121151,6982,114169,,,,,,,,13,882,11855,663204,663204,12737,663204,30,120,1bfb13601faa281c70baa74e0b8bea6cf2c74faa,0,0,0,0,0,
20200617,GA,60030,590437,,881,9543,,2084,,,,A,6/17/2020 14:50,2020-06-17T21:50:00Z,06/17 17:50,2575,9543,2020-06-17T14:50:00Z,644723,54286,590437,60030,,,,,118426,6912,111514,,,,,,,,13,952,14537,650467,650467,15489,650467,46,89,48bddfcc4530f6bb79e03159d713abda9f095df0,0,0,0,0,0,
20200616,GA,59078,575900,,875,9454,,2065,,,,A,6/16/2020 15:32,2020-06-16T22:32:00Z,06/16 18:32,2529,9454,2020-06-16T15:32:00Z,629273,53373,575900,59078,,,,,118075,6897,111178,,,,,,,,13,664,3818,634978,634978,4482,634978,35,132,3febce385ddf0e6e2a3437dd0a2209a3a2d1ae79,0,0,0,0,0,
