date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200812,GU,449,25787,,7,,1,,,,341,,8/12/2020 00:15,2020-08-12T07:15:00Z,08/12 03:15,5,,2020-08-12T00:15:00Z,26226,,,441,,,,26228,151,2,149,,,,,,,,66,15,605,26236,26236,620,26236,0,0,d7f87df81d359d0c35df4634b6af90c461561efc,0,0,0,0,0,
20200811,GU,434,25182,,7,,1,,,,325,A,8/11/2020 03:00,2020-08-11T10:00:00Z,08/11 06:00,5,,2020-08-11T03:00:00Z,,,,426,,,,25608,151,2,149,,,,,,,,66,16,524,25616,25616,540,25616,0,0,bf6eac615fe0c2171948db2f8b5b53f8753c81d8,0,0,0,0,0,
20200810,GU,418,24658,,5,,1,,,,325,A,8/10/2020 00:50,2020-08-10T07:50:00Z,08/10 03:50,5,,2020-08-10T00:50:00Z,24354,,,410,,,,25068,147,2,145,,,,,,,,66,6,541,25076,25076,547,25076,0,0,bf76fd728d08b2e32a718204f78ac83409118448,0,0,0,0,0,
20200809,GU,412,24117,,3,,,,,,321,B,8/8/2020 01:45,2020-08-08T08:45:00Z,08/08 04:45,5,,2020-08-08T01:45:00Z,24354,,,404,,,,24521,147,2,145,,,,,,,,66,0,0,24529,24529,0,24529,0,0,e21fbf18eb98283d9b1433375393364909abc68b,0,0,0,0,0,
20200808,GU,412,24117,,3,,,,,,321,B,8/8/2020 01:45,2020-08-08T08:45:00Z,08/08 04:45,5,,2020-08-08T01:45:00Z,24354,,,404,,,,24521,147,2,145,,,,,,,,66,1,166,24529,24529,167,24529,0,0,8c608e19b83054aaec2a094884834f86da96fee8,0,0,0,0,0,
20200807,GU,411,23951,,3,,,,,,321,B,8/6/2020 23:30,2020-08-07T06:30:00Z,08/07 02:30,5,,2020-08-06T23:30:00Z,24354,,,403,,,,24354,147,2,145,,,,,,,,66,14,471,24362,24362,485,24362,0,0,9869b4e71da93a3f88d6dad3a259263868e506bc,0,0,0,0,0,
20200806,GU,397,23480,,3,,,,,,321,B,8/5/2020 22:25,2020-08-06T05:25:00Z,08/06 01:25,5,,2020-08-05T22:25:00Z,23869,,,389,,,,23869,147,2,145,,,,,,,,66,8,434,23877,23877,442,23877,0,0,158a828ca42ce5eb95ca01c969e45b02d1a1f02d,0,0,0,0,0,
20200805,GU,389,23046,,3,,,,,,319,B,8/5/2020 01:25,2020-08-05T08:25:00Z,08/05 04:25,5,,2020-08-05T01:25:00Z,23427,,,381,,,,23427,146,2,144,,,,,,,,66,14,498,23435,23435,512,23435,0,0,f47f7d1c059e26235bf43f1c763e8a8fed0493a7,0,0,0,0,0,
20200804,GU,375,22548,,3,,,,,,318,B,8/3/2020 22:00,2020-08-04T05:00:00Z,08/04 01:00,5,,2020-08-03T22:00:00Z,22914,,,367,,,,22915,146,2,144,,,,,,,,66,7,343,22923,22923,350,22923,0,0,3735e1398916a79d5416b314a16c994a6fbdad3d,0,0,0,0,0,
20200803,GU,368,22205,,5,,2,,,,305,B,8/2/2020 23:20,2020-08-03T06:20:00Z,08/03 02:20,5,,2020-08-02T23:20:00Z,22563,,,360,,,,22565,146,2,144,,,,,,,,66,1,520,22573,22573,521,22573,0,0,614a9e3cd27e99c11c6613c08622c3740403502d,0,0,0,0,0,
20200802,GU,367,21685,,2,,2,,,,304,B,7/31/2020 21:30,2020-08-01T04:30:00Z,08/01 00:30,5,,2020-07-31T21:30:00Z,21873,,,359,,,,22044,145,2,143,,,,,,,,66,0,0,22052,22052,0,22052,0,0,489f647156e1ed0d635d7af052df54b68af6942f,0,0,0,0,0,
20200801,GU,367,21685,,2,,2,,,,304,B,7/31/2020 21:25,2020-08-01T04:25:00Z,08/01 00:25,5,,2020-07-31T21:25:00Z,21873,,,359,,,,22044,145,2,143,,,,,,,,66,11,159,22052,22052,170,22052,0,0,f1ef1b915e2c354865974184b3b9479a82c697f7,0,0,0,0,0,
20200731,GU,356,21526,,2,,2,,,,304,B,7/30/2020 23:30,2020-07-31T06:30:00Z,07/31 02:30,5,,2020-07-30T23:30:00Z,21873,,,348,,,,21874,145,2,143,,,,,,,,66,2,338,21882,21882,340,21882,0,0,aa03173f2a68a1f2bade897dc8c983e7b3a0976a,0,0,0,0,0,
