date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200811,HI,3638,142198,,105,242,24,,15,,1586,C,8/10/2020 23:37,2020-08-11T06:37:00Z,08/11 02:37,34,242,2020-08-10T23:37:00Z,183508,,,,,,,145836,,,,,,,,,,,15,140,3600,145836,145836,3740,145836,3,3,e932c66e807ee27f10e6fa2218f3c3e6716e4b51,0,0,0,0,0,
20200810,HI,3498,138598,,105,239,24,,15,,1548,C,8/8/2020 20:40,2020-08-09T03:40:00Z,08/08 23:40,31,239,2020-08-08T20:40:00Z,181000,,,,,,,141944,,,,,,,,,,,15,152,0,142096,142096,152,142096,0,2,94692aaf3cf79e19b271277ebc2a6b3a09025550,0,0,0,0,0,
20200809,HI,3346,138598,,105,237,24,,15,,1511,C,8/8/2020 20:40,2020-08-09T03:40:00Z,08/08 23:40,31,237,2020-08-08T20:40:00Z,178211,,,,,,,141944,,,,,,,,,,,15,231,2467,141944,141944,2698,141944,0,6,2d06e532817328562098dc637b73255a7e88ae2a,0,0,0,0,0,
20200808,HI,3115,136131,,102,231,24,,19,,1467,C,8/7/2020 23:38,2020-08-08T06:38:00Z,08/08 02:38,31,231,2020-08-07T23:38:00Z,174717,,,,,,,139246,,,,,,,,,,,15,201,3761,139246,139246,3962,139246,2,6,a0dcdf83e2c5ec81fbd92e96f0a28b720762b629,0,0,0,0,0,
20200807,HI,2914,132370,,117,225,21,,14,,1440,C,8/6/2020 23:37,2020-08-07T06:37:00Z,08/07 02:37,29,225,2020-08-06T23:37:00Z,172699,,,,,,,135284,,,,,,,,,,,15,151,224,135284,135284,375,135284,2,11,f9949c9ac48930618c588939c44a17e8dce7d5ec,0,0,0,0,0,
20200806,HI,2763,132146,,83,214,15,,13,,1402,C,8/5/2020 23:10,2020-08-06T06:10:00Z,08/06 02:10,27,214,2020-08-05T23:10:00Z,168422,,,,,,,134909,,,,,,,,,,,15,172,2211,134909,134909,2383,134909,0,6,a2cbc1db8f8dc3466ec69377d69a9d4b3f82d060,0,0,0,0,0,
20200805,HI,2591,129935,,83,208,15,,13,,1354,C,8/4/2020 23:22,2020-08-05T06:22:00Z,08/05 02:22,27,208,2020-08-04T23:22:00Z,165176,,,,,,,132526,,,,,,,,,,,15,143,1671,132526,132526,1814,132526,1,7,cc7939869575cf665bb27de9b5c8a5fccd68a536,0,0,0,0,0,
20200804,HI,2448,128264,,138,201,15,,10,,1315,C,8/3/2020 22:53,2020-08-04T05:53:00Z,08/04 01:53,26,201,2020-08-03T22:53:00Z,162785,,,,,,,130712,,,,,,,,,,,15,206,3227,130712,130712,3433,130712,0,2,f1033cb300cf8ec28d360b21a515c8179dbf0291,0,0,0,0,0,
20200803,HI,2242,125037,,75,199,15,,10,,1294,C,8/2/2020 22:32,2020-08-03T05:32:00Z,08/03 01:32,26,199,2020-08-02T22:32:00Z,158188,,,,,,,127279,,,,,,,,,,,15,45,593,127279,127279,638,127279,0,5,893cc2e70e64b496c7ea9bc3f864bc2579c659bb,0,0,0,0,0,
20200802,HI,2197,124444,,75,194,15,,10,,1269,C,8/1/2020 21:25,2020-08-02T04:25:00Z,08/02 00:25,26,194,2020-08-01T21:25:00Z,157291,,,,,,,126641,,,,,,,,,,,15,86,3304,126641,126641,3390,126641,0,15,1f1160504666737e37b8420985c89da426ba22b3,0,0,0,0,0,
