date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200812,IA,49806,478342,,243,,72,,25,,38657,,8/12/2020 00:00,2020-08-12T07:00:00Z,08/12 03:00,951,,2020-08-12T00:00:00Z,,,,49806,,,,531310,,,,42311,2871,39401,,,,,19,477,3751,528148,528148,4228,528148,11,0,c809207f45f033ef5d494aa6b1642a32f476a934,0,0,0,0,0,
20200811,IA,49329,474591,,244,,64,,25,,38033,A+,8/11/2020 00:00,2020-08-11T07:00:00Z,08/11 03:00,940,,2020-08-11T00:00:00Z,,,,49329,,,,527055,,,,42235,2860,39336,,,,,19,258,2275,523920,523920,2533,523920,7,0,a88bcd5d20631ccc7f8ca7c5bdc0a313ef2537ef,0,0,0,0,0,
20200810,IA,49071,472316,,224,,57,,23,,37317,A+,8/10/2020 00:00,2020-08-10T07:00:00Z,08/10 03:00,933,,2020-08-10T00:00:00Z,,,,49071,,,,524445,,,,42105,2849,39217,,,,,19,282,2295,521387,521387,2577,521387,3,0,9e74aa084257ea7a0b3d7c6f68bb593f07966d60,0,0,0,0,0,
20200809,IA,48789,470021,,221,,57,,20,,37096,A+,8/9/2020 00:00,2020-08-09T07:00:00Z,08/09 03:00,930,,2020-08-09T00:00:00Z,,,,48789,,,,521783,,,,42052,2839,39174,,,,,19,506,4757,518810,518810,5263,518810,5,0,bd839935eb123f28a81a34014bfa415d86b68d4a,0,0,0,0,0,
20200808,IA,48283,465264,,229,,58,,22,,36882,A+,8/8/2020 00:00,2020-08-08T07:00:00Z,08/08 03:00,925,,2020-08-08T00:00:00Z,,,,48283,,,,516402,,,,41699,2829,38831,,,,,19,418,4429,513547,513547,4847,513547,12,0,f744b32e92c28f75a818eeb5751824b523d229ba,0,0,0,0,0,
20200807,IA,47865,460835,,223,,65,,25,,36322,A+,8/7/2020 00:00,2020-08-07T07:00:00Z,08/07 03:00,913,,2020-08-07T00:00:00Z,,,,47865,,,,511424,,,,41130,2821,38270,,,,,19,504,5076,508700,508700,5580,508700,5,0,9e19173b1793621477da836ece7b1bf40c210e8c,0,0,0,0,0,
20200806,IA,47361,455759,,237,,68,,32,,35548,A+,8/6/2020 00:00,2020-08-06T07:00:00Z,08/06 03:00,908,,2020-08-06T00:00:00Z,,,,47361,,,,505772,,,,40563,2808,37716,,,,,19,702,5990,503120,503120,6692,503120,9,0,5138d64d23142a965b9236ebed0f0cd523f35b02,0,0,0,0,0,
20200805,IA,46659,449769,,248,,77,,34,,34733,A+,8/5/2020 00:00,2020-08-05T07:00:00Z,08/05 03:00,899,,2020-08-05T00:00:00Z,,,,46659,,,,498949,,,,39746,2796,36911,,,,,19,617,5440,496428,496428,6057,496428,11,0,013f040a3d36602768944cd5e3313764588969ee,0,0,0,0,0,
20200804,IA,46042,444329,,243,,75,,32,,34023,A+,8/4/2020 00:00,2020-08-04T07:00:00Z,08/04 03:00,888,,2020-08-04T00:00:00Z,,,,46042,,,,492517,,,,39596,2776,36781,,,,,19,201,3695,490371,490371,3896,490371,6,0,c42b7cf0561334d6020b6ea90337379dca153c58,0,0,0,0,0,
20200803,IA,45841,440634,,241,,78,,31,,33219,A+,8/3/2020 00:00,2020-08-03T07:00:00Z,08/03 03:00,882,,2020-08-03T00:00:00Z,,,,45841,,,,488480,,,,39487,2768,36680,,,,,19,349,2008,486475,486475,2357,486475,6,0,a0c23877278b06225d0acb55f01648073b83ce85,0,0,0,0,0,
20200802,IA,45492,438626,,231,,75,,36,,32952,A+,8/2/2020 00:00,2020-08-02T07:00:00Z,08/02 03:00,876,,2020-08-02T00:00:00Z,,,,45492,,,,486119,,,,39426,2760,36627,,,,,19,516,4632,484118,484118,5148,484118,4,0,e4eaf647d79a0ef47e68091a3750ae827584e471,0,0,0,0,0,
20200801,IA,44976,433994,,242,,77,,35,,32819,A+,8/1/2020 14:00,2020-08-01T21:00:00Z,08/01 17:00,872,,2020-08-01T14:00:00Z,,,,44976,,,,480891,,,,39382,2753,36590,,,,,19,394,4164,478970,478970,4558,478970,5,0,c190bfe2a6f442a9abb30b6deee88a3964b75b7e,0,0,0,0,0,
20200731,IA,44582,429830,,225,,71,,29,,32578,A+,7/31/2020 00:00,2020-07-31T07:00:00Z,07/31 03:00,867,,2020-07-31T00:00:00Z,,,,44582,,,,476322,,,,39222,2744,36439,,,,,19,544,4770,474412,474412,5314,474412,10,0,6f13196bb4a884add9057237b5767a32bd6ee274,0,0,0,0,0,
