date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200811,ID,25100,183305,,189,1006,32,282,,,9341,A,8/10/2020 18:58,2020-08-11T01:58:00Z,08/10 21:58,239,1006,2020-08-10T18:58:00Z,206830,,,23525,214,25,,,,,,,,,,,,,16,429,1500,208405,208405,1929,208405,2,7,1900b4f4bf6dbc54aa932c211c113ec3761a5120,0,0,0,0,0,
20200810,ID,24671,181805,,201,999,48,280,,,9157,A,8/9/2020 18:46,2020-08-10T01:46:00Z,08/09 21:46,237,999,2020-08-09T18:46:00Z,204928,,,23123,212,25,,,,,,,,,,,,,16,176,1469,206476,206476,1645,206476,2,11,f39a8aeb6695164199c95abd7d3aa2e1e2213664,0,0,0,0,0,
20200809,ID,24495,180336,,201,988,48,279,,,8921,A,8/8/2020 19:00,2020-08-09T02:00:00Z,08/08 22:00,235,988,2020-08-08T19:00:00Z,203289,,,22953,211,24,,,,,,,,,,,,,16,573,1287,204831,204831,1860,204831,6,20,6249e86ce2de4c0bd865fe7a2a63cad93105371b,0,0,0,0,0,
20200808,ID,23922,179049,,201,968,48,276,,,8738,A,8/7/2020 18:46,2020-08-08T01:46:00Z,08/07 21:46,229,968,2020-08-07T18:46:00Z,201457,,,22408,205,24,,,,,,,,,,,,,16,523,3748,202971,202971,4271,202971,6,14,474f4abbf71a2ae174af7a463569880b4b4f2e68,0,0,0,0,0,
20200807,ID,23399,175301,,242,954,42,269,,,8486,A,8/6/2020 19:00,2020-08-07T02:00:00Z,08/06 22:00,223,954,2020-08-06T19:00:00Z,197217,,,21916,199,24,,,,,,,,,,,,,16,692,3415,198700,198700,4107,198700,6,23,de8e47f4906962c7cca50cf8ebf5007683a1939e,0,0,0,0,0,
20200806,ID,22707,171886,,242,931,42,262,,,8207,A,8/5/2020 19:00,2020-08-06T02:00:00Z,08/05 22:00,217,931,2020-08-05T19:00:00Z,193154,,,21268,194,23,,,,,,,,,,,,,16,473,2233,194593,194593,2706,194593,7,25,1d6658aeed38975131945d3333afe60cebc5189c,0,0,0,0,0,
20200805,ID,22234,169653,,195,906,39,260,,,7875,A,8/4/2020 19:00,2020-08-05T02:00:00Z,08/04 22:00,210,906,2020-08-04T19:00:00Z,190520,,,20867,187,23,,,,,,,,,,,,,16,559,3550,191887,191887,4109,191887,10,20,8687c1e0cb752c1ab4df6b0c91b1ecbcfc964a59,0,0,0,0,0,
20200804,ID,21675,166103,,106,886,22,256,,,7617,A,8/3/2020 18:56,2020-08-04T01:56:00Z,08/03 21:56,200,886,2020-08-03T18:56:00Z,186475,,,20372,177,23,,,,,,,,,,,,,16,331,2110,187778,187778,2441,187778,3,12,ff6bf7ab2cae09bb78050959843d05ed62295cc6,0,0,0,0,0,
20200803,ID,21344,163993,,239,874,54,253,,,7370,A,8/2/2020 18:49,2020-08-03T01:49:00Z,08/02 21:49,197,874,2020-08-02T18:49:00Z,184060,,,20067,174,23,,,,,,,,,,,,,16,230,808,185337,185337,1038,185337,0,18,d4ac7279a9e5d073ad4e43a938539e69b9916fae,0,0,0,0,0,
20200802,ID,21114,163185,,239,856,54,250,,,7146,A,8/1/2020 18:52,2020-08-02T01:52:00Z,08/01 21:52,197,856,2020-08-01T18:52:00Z,183034,,,19849,174,23,,,,,,,,,,,,,16,393,2033,184299,184299,2426,184299,8,6,e966e86dde901322b6c5facf41651a5497c1c056,0,0,0,0,0,
20200801,ID,20721,161152,,239,850,54,249,,,6998,A,7/31/2020 19:15,2020-08-01T02:15:00Z,07/31 22:15,189,850,2020-07-31T19:15:00Z,180615,,,19463,155,22,,,,,,,,,,,,,16,475,2288,181873,181873,2763,181873,12,15,edce06ab6ee9d0a806cb0d1229f325685f48acae,0,0,0,0,0,
20200731,ID,20246,158864,,236,835,51,247,,,6744,A,7/30/2020 18:52,2020-07-31T01:52:00Z,07/30 21:52,177,835,2020-07-30T18:52:00Z,177884,,,19020,155,22,,,,,,,,,,,,,16,567,3024,179110,179110,3591,179110,4,27,2dceb56a9300842d9892741f04e7481e7b8d5c0d,0,0,0,0,0,
