date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200812,IL,199893,2991208,,1525,,357,,129,,,,8/12/2020 00:00,2020-08-12T07:00:00Z,08/12 03:00,7881,,2020-08-12T00:00:00Z,3189801,,,198593,7672,209,,,,,,,,,,,,,17,1645,40453,3191101,3191101,42098,3191101,15,0,2df9e6147957da14cc170064a70e03575c6a5638,0,0,0,0,0,
20200811,IL,198248,2950755,,1459,,336,,127,,,A,8/11/2020 00:00,2020-08-11T07:00:00Z,08/11 03:00,7866,,2020-08-11T00:00:00Z,3147703,,,196948,7657,209,,,,,,,,,,,,,17,1549,39813,3149003,3149003,41362,3149003,20,0,a763e25f5668a6b2218227d61bfa7dfbe576adad,0,0,0,0,0,
20200810,IL,196699,2910942,,1481,,352,,138,,,A,8/10/2020 00:00,2020-08-10T07:00:00Z,08/10 03:00,7846,,2020-08-10T00:00:00Z,3106341,,,195399,7637,209,,,,,,,,,,,,,17,1319,31034,3107641,3107641,32353,3107641,1,0,588f79a4112f673e39df2d1e5285224e6906c27c,0,0,0,0,0,
20200809,IL,195380,2879908,,1488,,322,,114,,,A,8/9/2020 00:00,2020-08-09T07:00:00Z,08/09 03:00,7845,,2020-08-09T00:00:00Z,3073988,,,194080,7636,209,,,,,,,,,,,,,17,1382,39972,3075288,3075288,41354,3075288,5,0,99e1284f3038c52e347bf4c4ea5b17441ba0de30,0,0,0,0,0,
20200808,IL,193998,2839936,,1538,,338,,125,,,A,8/8/2020 00:00,2020-08-08T07:00:00Z,08/08 03:00,7840,,2020-08-08T00:00:00Z,3032634,,,192698,7631,209,,,,,,,,,,,,,17,2190,45826,3033934,3033934,48016,3033934,18,0,e35134e728c6607b0a6786e3f7a34800bd71a3d9,0,0,0,0,0,
20200807,IL,191808,2794110,,1486,,333,,125,,,A,8/7/2020 00:00,2020-08-07T07:00:00Z,08/07 03:00,7822,,2020-08-07T00:00:00Z,2984618,,,190508,7613,209,,,,,,,,,,,,,17,2103,44785,2985918,2985918,46888,2985918,31,0,ae066f2e40c848490da02e550dda7c5e628d7948,0,0,0,0,0,
20200806,IL,189705,2749325,,1517,,346,,132,,,A,8/6/2020 00:00,2020-08-06T07:00:00Z,08/06 03:00,7791,,2020-08-06T00:00:00Z,2937749,,,188424,7594,197,,,,,,,,,,,,,17,1953,39733,2939030,2939030,41686,2939030,21,0,6634438fc6e10c20c2d793c33805b47a7cbec467,0,0,0,0,0,
20200805,IL,187752,2709592,,1552,,368,,129,,,A,8/5/2020 00:00,2020-08-05T07:00:00Z,08/05 03:00,7770,,2020-08-05T00:00:00Z,2896063,,,186471,7573,197,,,,,,,,,,,,,17,1759,44909,2897344,2897344,46668,2897344,28,0,b659d6528a2beafe9a6182e4f787454b9e5e57ff,0,0,0,0,0,
20200804,IL,185993,2664683,,1496,,365,,125,,,A,8/4/2020 00:00,2020-08-04T07:00:00Z,08/04 03:00,7742,,2020-08-04T00:00:00Z,2849395,,,184712,7545,197,,,,,,,,,,,,,17,1471,41127,2850676,2850676,42598,2850676,19,0,e21eaaf0f5529515d4607ca86502c93759e6a4cb,0,0,0,0,0,
20200803,IL,184522,2623556,,1418,,347,,132,,,A,8/3/2020 00:00,2020-08-03T07:00:00Z,08/03 03:00,7723,,2020-08-03T00:00:00Z,2806797,,,183241,7526,197,,,,,,,,,,,,,17,1298,27177,2808078,2808078,28475,2808078,9,0,8dcf76bb737ad826fadf5ef346b66117d7ace9ea,0,0,0,0,0,
