date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200811,IN,75862,785793,,964,9599,327,1961,87,,56349,A+,8/10/2020 23:59,2020-08-11T06:59:00Z,08/11 02:59,3069,9599,2020-08-10T23:59:00Z,1090369,,,,2863,206,,861655,,,,,,,,,,,18,870,8674,861655,861655,9544,861655,25,245,9fb581e73a011c512719dd767ab852c404934448,0,0,0,0,0,
20200810,IN,74992,777119,,921,9354,305,1927,81,,54068,A+,8/9/2020 23:59,2020-08-10T06:59:00Z,08/10 02:59,3044,9354,2020-08-09T23:59:00Z,1076630,,,,2838,206,,852111,,,,,,,,,,,18,664,10322,852111,852111,10986,852111,3,0,7b11380a3e6dddda0ec6aefbc3e36b67d4485a8e,0,0,0,0,0,
20200809,IN,74328,766797,,960,9354,289,1927,78,,54068,A+,8/8/2020 23:59,2020-08-09T06:59:00Z,08/09 02:59,3041,9354,2020-08-08T23:59:00Z,1057194,,,,2835,206,,841125,,,,,,,,,,,18,1041,11618,841125,841125,12659,841125,5,0,abf4b6a8ef68d6e1c28a766e0cf82c28d6a3e1f3,0,0,0,0,0,
20200808,IN,73287,755179,,960,9354,284,1927,85,,54068,A+,8/7/2020 23:59,2020-08-08T06:59:00Z,08/08 02:59,3036,9354,2020-08-07T23:59:00Z,1039524,,,,2834,202,,828466,,,,,,,,,,,18,1033,10329,828466,828466,11362,828466,13,0,350835ce2154f36ecf99673b27b985ce049c98c2,0,0,0,0,0,
20200807,IN,72254,744850,,990,9354,295,1927,76,,54068,A+,8/6/2020 23:59,2020-08-07T06:59:00Z,08/07 02:59,3023,9354,2020-08-06T23:59:00Z,1023328,,,,2821,202,,817104,,,,,,,,,,,18,1239,11520,817104,817104,12759,817104,10,87,12f4e23072641441d0f0561d77dcfd23e2afab98,0,0,0,0,0,
20200806,IN,71015,733330,,1009,9267,301,1923,82,,53301,A+,8/5/2020 23:59,2020-08-06T06:59:00Z,08/06 02:59,3013,9267,2020-08-05T23:59:00Z,1004353,,,,2811,202,,804345,,,,,,,,,,,18,1040,11080,804345,804345,12120,804345,6,119,ed72a9360cd595f8fb1795935ebc7f1541d50cf1,0,0,0,0,0,
20200805,IN,69975,722250,,923,9148,308,1894,93,,51709,A+,8/4/2020 23:59,2020-08-05T06:59:00Z,08/05 02:59,3007,9148,2020-08-04T23:59:00Z,987706,,,,2805,202,,792225,,,,,,,,,,,18,720,6487,792225,792225,7207,792225,11,0,6501430f927e987e30ffcb6e7934cf59708c0966,0,0,0,0,0,
20200804,IN,69255,715763,,980,9148,375,1894,83,,43535,A+,8/3/2020 23:59,2020-08-04T06:59:00Z,08/04 02:59,2996,9148,2020-08-03T23:59:00Z,977646,,,,2794,202,,785018,,,,,,,,,,,18,822,8714,785018,785018,9536,785018,16,144,31474c01a6e9a2109cbef6fadf7d9c87b1646f3b,0,0,0,0,0,
20200803,IN,68433,707049,,904,9004,310,1871,81,,47355,A+,8/2/2020 23:59,2020-08-03T06:59:00Z,08/03 02:59,2980,9004,2020-08-02T23:59:00Z,964378,,,,2780,200,,775482,,,,,,,,,,,18,576,5863,775482,775482,6439,775482,5,156,6eda18d6ee3dbc82c75ae834ef80edf944bcc386,0,0,0,0,0,
20200802,IN,67857,701186,,873,8848,322,1852,77,,47355,A+,8/1/2020 23:59,2020-08-02T06:59:00Z,08/02 02:59,2975,8848,2020-08-01T23:59:00Z,955422,,,,2775,200,,769043,,,,,,,,,,,18,735,9702,769043,769043,10437,769043,4,67,411c4287868ebbf0817ff73502bf18513e1b2939,0,0,0,0,0,
20200801,IN,67122,691484,,977,8781,322,1836,81,,46955,A+,7/31/2020 23:59,2020-08-01T06:59:00Z,08/01 02:59,2971,8781,2020-07-31T23:59:00Z,942105,,,,2771,200,,758606,,,,,,,,,,,18,968,10255,758606,758606,11223,758606,6,54,f5b039ed2bcc9a790b5aeeaf1bee36ff7ebc86d3,0,0,0,0,0,
20200731,IN,66154,681229,,865,8727,280,1825,81,,46466,A+,7/30/2020 23:59,2020-07-31T06:59:00Z,07/31 02:59,2965,8727,2020-07-30T23:59:00Z,926406,,,,2765,200,,747383,,,,,,,,,,,18,901,10634,747383,747383,11535,747383,19,60,4130294447d1acefa200c6fdb15918736015ec8f,0,0,0,0,0,
20200730,IN,65253,670595,,831,8667,301,1808,69,,45751,A+,7/29/2020 23:59,2020-07-30T06:59:00Z,07/30 02:59,2946,8667,2020-07-29T23:59:00Z,,,,,2746,200,,735848,,,,,,,,,,,18,954,10656,735848,735848,11610,735848,14,80,baa2a5c4bf18a7bf4b1b3d0138d1733aae57cff9,0,0,0,0,0,
20200729,IN,64299,659939,,837,8587,279,1796,69,,45058,A+,7/28/2020 23:59,2020-07-29T06:59:00Z,07/29 02:59,2932,8587,2020-07-28T23:59:00Z,,,,,2733,199,,724238,,,,,,,,,,,18,621,6808,724238,724238,7429,724238,8,82,0bb28e541aa2e984ff96138094bc51f291ff203a,0,0,0,0,0,
20200728,IN,63678,653131,,907,8505,304,1772,69,,44548,A+,7/27/2020 23:59,2020-07-28T06:59:00Z,07/28 02:59,2924,8505,2020-07-27T23:59:00Z,,,,,2725,199,,716809,,,,,,,,,,,18,771,8247,716809,716809,9018,716809,18,61,a7cc7ab669bf79bd2dfdb0e6c95be2694cfcf966,0,0,0,0,0,
20200727,IN,62907,644884,,835,8444,291,1767,66,,44124,A+,7/26/2020 23:59,2020-07-27T06:59:00Z,07/27 02:59,2906,8444,2020-07-26T23:59:00Z,,,,,2709,197,,707791,,,,,,,,,,,18,535,5945,707791,707791,6480,707791,3,43,e2955fc233bb5712a2233e66f412f100ce207077,0,0,0,0,0,
20200726,IN,62372,638939,,834,8401,282,1758,62,,43809,A+,7/25/2020 23:59,2020-07-26T06:59:00Z,07/26 02:59,2903,8401,2020-07-25T23:59:00Z,,,,,2706,197,,701311,,,,,,,,,,,18,852,10185,701311,701311,11037,701311,8,221,b5fe94c10f23f0e4b37176656d8f8c50603a40f5,0,0,0,0,0,
20200725,IN,61520,628754,,824,8180,281,1736,63,,43535,A+,7/24/2020 23:59,2020-07-25T06:59:00Z,07/25 02:59,2895,8180,2020-07-24T23:59:00Z,,,,,2698,197,,690274,,,,,,,,,,,18,922,10603,690274,690274,11525,690274,11,52,efe74025a8f27607918fa5a48e44e1b77be607fd,0,0,0,0,0,
