date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200812,KS,32547,302016,,357,1975,95,548,29,195,1367,,8/12/2020 10:00,2020-08-12T17:00:00Z,08/12 13:00,395,1975,2020-08-12T10:00:00Z,,,,,,,,334563,,,,,,,,,,,20,817,7077,334563,334563,7894,334563,8,64,f0654a3cb4e36110f1fcf597e6443c34b73fb22f,0,0,0,0,0,
20200811,KS,31730,294939,,216,1911,60,534,19,194,1319,A+,8/10/2020 10:00,2020-08-10T17:00:00Z,08/10 13:00,387,1911,2020-08-10T10:00:00Z,,,,,,,,326669,,,,,,,,,,,20,0,0,326669,326669,0,326669,0,0,96d43bc692bba159615107354a7b701829ebda08,0,0,0,0,0,
20200810,KS,31730,294939,,216,1911,60,534,19,194,1319,A+,8/10/2020 10:00,2020-08-10T17:00:00Z,08/10 13:00,387,1911,2020-08-10T10:00:00Z,,,,,,,,326669,,,,,,,,,,,20,1092,9065,326669,326669,10157,326669,7,36,e6223a368d53dfc25cfbc15cecfa41dddc155eaf,0,0,0,0,0,
20200809,KS,30638,285874,,333,1875,88,526,26,193,1293,A+,8/7/2020 10:00,2020-08-07T17:00:00Z,08/07 13:00,380,1875,2020-08-07T10:00:00Z,,,,,,,,316512,,,,,,,,,,,20,0,0,316512,316512,0,316512,0,0,003b17392e0ef76d084c032bf75f3d86e951b8bb,0,0,0,0,0,
20200808,KS,30638,285874,,333,1875,88,526,26,193,1293,A+,8/7/2020 10:00,2020-08-07T17:00:00Z,08/07 13:00,380,1875,2020-08-07T10:00:00Z,,,,,,,,316512,,,,,,,,,,,20,0,0,316512,316512,0,316512,0,0,61705b6a57c78869be36823e82bb54713e84930c,0,0,0,0,0,
20200807,KS,30638,285874,,333,1875,88,526,26,193,1293,A+,8/7/2020 10:00,2020-08-07T17:00:00Z,08/07 13:00,380,1875,2020-08-07T10:00:00Z,,,,,,,,316512,,,,,,,,,,,20,921,6873,316512,316512,7794,316512,12,54,ad18ce764b515daa3533c0a94ad3a193d25e246d,0,0,0,0,0,
20200806,KS,29717,279001,,358,1821,78,516,25,190,1254,A+,8/5/2020 10:00,2020-08-05T17:00:00Z,08/05 13:00,368,1821,2020-08-05T10:00:00Z,,,,,,,,308718,,,,,,,,,,,20,0,0,308718,308718,0,308718,0,0,ea873a50b6f69b45d69ef1fe4b8ed45da30d0c01,0,0,0,0,0,
20200805,KS,29717,279001,,358,1821,78,516,25,190,1254,A+,8/5/2020 10:00,2020-08-05T17:00:00Z,08/05 13:00,368,1821,2020-08-05T10:00:00Z,,,,,,,,308718,,,,,,,,,,,20,841,6038,308718,308718,6879,308718,3,39,c430fe5598912c34612d783a00eafa9afe4f96bf,0,0,0,0,0,
20200804,KS,28876,272963,,232,1782,62,505,16,184,1196,A+,8/3/2020 10:00,2020-08-03T17:00:00Z,08/03 13:00,365,1782,2020-08-03T10:00:00Z,,,,,,,,301839,,,,,,,,,,,20,0,0,301839,301839,0,301839,0,0,117375297d1aa376fd75bf62c8b7fc123796a979,0,0,0,0,0,
20200803,KS,28876,272963,,232,1782,62,505,16,184,1196,A+,8/3/2020 10:00,2020-08-03T17:00:00Z,08/03 13:00,365,1782,2020-08-03T10:00:00Z,,,,,,,,301839,,,,,,,,,,,20,1064,8268,301839,301839,9332,301839,7,31,7443304a30efd96b495c60aab8dfed072790f549,0,0,0,0,0,
20200802,KS,27812,264695,,366,1751,98,494,26,179,1178,A+,7/31/2020 10:00,2020-07-31T17:00:00Z,07/31 13:00,358,1751,2020-07-31T10:00:00Z,,,,,,,,292507,,,,,,,,,,,20,0,0,292507,292507,0,292507,0,0,e1904f869a086e9d963cfdaa6458f02fd335165d,0,0,0,0,0,
20200801,KS,27812,264695,,366,1751,98,494,26,179,1178,A+,7/31/2020 10:00,2020-07-31T17:00:00Z,07/31 13:00,358,1751,2020-07-31T10:00:00Z,,,,,,,,292507,,,,,,,,,,,20,0,0,292507,292507,0,292507,0,0,3a4907d9fe90a26da9b7bc2cc1ac209c748d65bd,0,0,0,0,0,
20200731,KS,27812,264695,,366,1751,98,494,26,179,1178,A+,7/31/2020 10:00,2020-07-31T17:00:00Z,07/31 13:00,358,1751,2020-07-31T10:00:00Z,,,,,,,,292507,,,,,,,,,,,20,942,6616,292507,292507,7558,292507,9,51,c9f8b1d819d66aebb9d941f201eb988268df0a2b,0,0,0,0,0,
20200730,KS,26870,258079,,393,1700,83,483,29,174,1149,A+,7/29/2020 10:00,2020-07-29T17:00:00Z,07/29 13:00,349,1700,2020-07-29T10:00:00Z,,,,,,,,284949,,,,,,,,,,,20,0,0,284949,284949,0,284949,0,0,97b0f9912e20e4ac57d9581b363f162a15c266b0,0,0,0,0,0,
20200729,KS,26870,258079,,393,1700,83,483,29,174,1149,A+,7/29/2020 10:00,2020-07-29T17:00:00Z,07/29 13:00,349,1700,2020-07-29T10:00:00Z,,,,,,,,284949,,,,,,,,,,,20,698,5315,284949,284949,6013,284949,14,56,cb049ba8b8833af577175f7913954fbaed37f40d,0,0,0,0,0,
20200728,KS,26172,252764,,212,1644,58,465,24,171,1108,A+,7/27/2020 10:00,2020-07-27T17:00:00Z,07/27 13:00,335,1644,2020-07-27T10:00:00Z,,,,,,,,278397,,,,,,,,,,,20,0,0,278936,278936,0,278936,0,0,1b0b69608de445d67c55df62a41217be062e4808,0,0,0,0,0,
20200727,KS,26172,252764,,212,1644,58,465,24,171,1108,A+,7/27/2020 10:00,2020-07-27T17:00:00Z,07/27 13:00,335,1644,2020-07-27T10:00:00Z,,,,,,,,278397,,,,,,,,,,,20,1063,-94,278936,278936,969,278936,9,48,8296e94764826bd563e7fd5d21423103063aea77,0,0,0,0,0,
20200726,KS,25109,252858,,315,1596,98,459,24,166,1077,A+,7/24/2020 10:00,2020-07-24T17:00:00Z,07/24 13:00,326,1596,2020-07-24T10:00:00Z,,,,,,,,277967,,,,,,,,,,,20,0,0,277967,277967,0,277967,0,0,57657dcc287365764d2ea3962d118b10804b1c9f,0,0,0,0,0,
20200725,KS,25109,252858,,315,1596,98,459,24,166,1077,A+,7/24/2020 10:00,2020-07-24T17:00:00Z,07/24 13:00,326,1596,2020-07-24T10:00:00Z,,,,,,,,277967,,,,,,,,,,,20,0,0,277967,277967,0,277967,0,0,ab992cf5accbb885f3a22b41e4196cff5f933cf4,0,0,0,0,0,
20200724,KS,25109,252858,,,1596,98,459,24,166,1077,A+,7/24/2020 10:00,2020-07-24T17:00:00Z,07/24 13:00,326,1596,2020-07-24T10:00:00Z,,,,,,,,277967,,,,,,,,,,,20,1005,8276,277967,277967,9281,277967,18,51,f1b98860100b71680cb05e2bfcd16e51488b7ea1,0,0,0,0,0,
20200723,KS,24104,244582,,,1545,112,450,28,164,1050,A+,7/22/2020 10:00,2020-07-22T17:00:00Z,07/22 13:00,308,1545,2020-07-22T10:00:00Z,,,,,,,,268686,,,,,,,,,,,20,0,0,268686,268686,0,268686,0,0,f12648b7b21cf8dd8a0c993e829e22b0c7a8d443,0,0,0,0,0,
20200722,KS,24104,244582,,,1545,112,450,28,164,1050,A+,7/22/2020 10:00,2020-07-22T17:00:00Z,07/22 13:00,308,1545,2020-07-22T10:00:00Z,,,,,,,,268686,,,,,,,,,,,20,770,6385,268686,268686,7155,268686,1,48,6f43838ee4f60872447b71ba5d08bacd4a091133,0,0,0,0,0,
20200721,KS,23334,238197,,,1497,111,439,21,162,1016,A,7/20/2020 10:00,2020-07-20T17:00:00Z,07/20 13:00,307,1497,2020-07-20T10:00:00Z,,,,,,,,261531,,,,,,,,,,,20,0,0,261531,261531,0,261531,0,0,af60bbf87e8a5f0d9239c28d38305feba231ae04,0,0,0,0,0,
20200720,KS,23334,238197,,,1497,111,439,21,162,1016,A,7/20/2020 10:00,2020-07-20T17:00:00Z,07/20 13:00,307,1497,2020-07-20T10:00:00Z,,,,,,,,261531,,,,,,,,,,,20,1369,10809,261531,261531,12178,261531,8,44,556e94d6695dc3bfd4e3f0ec87af58cc90ff73ac,0,0,0,0,0,
20200719,KS,21965,227388,,,1453,58,427,14,161,983,A,7/17/2020 10:00,2020-07-17T17:00:00Z,07/17 13:00,299,1453,2020-07-17T10:00:00Z,,,,,,,,249353,,,,,,,,,,,20,0,0,249353,249353,0,249353,0,0,9bd9d9377a8ac3cf48de7eb61e90a02fc44340c2,0,0,0,0,0,
20200718,KS,21965,227388,,,1453,58,427,14,161,983,A,7/17/2020 10:00,2020-07-17T17:00:00Z,07/17 13:00,299,1453,2020-07-17T10:00:00Z,,,,,,,,249353,,,,,,,,,,,20,0,0,249353,249353,0,249353,0,0,9bcbbd3aff5b1abf627cf01e3f76f8161713504f,0,0,0,0,0,
