date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200811,KY,35793,632562,,667,4063,148,1270,,,8819,B,8/11/2020 00:00,2020-08-11T07:00:00Z,08/11 03:00,783,4063,2020-08-11T00:00:00Z,665941,,,33379,778,5,,,44520,,,,,,,,556,,21,539,10009,668355,668355,10548,668355,8,39,e0d41dac0e437bdfee5c37faf615f0f149fa098a,0,0,0,0,0,
20200810,KY,35254,622553,,641,4024,155,1267,,,8738,B,8/10/2020 00:00,2020-08-10T07:00:00Z,08/10 03:00,775,4024,2020-08-10T00:00:00Z,655494,,,32941,770,5,,,44407,,,,,,,,516,,21,272,8696,657807,657807,8968,657807,2,22,e1c0523032c9958eb7affe9f1f2c490b584f4a84,0,0,0,0,0,
20200809,KY,34982,613857,,653,4002,149,1258,,,8674,B,8/9/2020 00:00,2020-08-09T07:00:00Z,08/09 03:00,773,4002,2020-08-09T00:00:00Z,646187,,,32713,768,5,,,44296,,,,,,,,459,,21,404,0,648839,648839,404,648839,1,0,3861378d2133790a0e3d7ca8ff39055d06b0ac0e,0,0,0,0,0,
20200808,KY,34578,613857,,653,4002,149,1258,,,8674,B,8/8/2020 00:00,2020-08-08T07:00:00Z,08/08 03:00,772,4002,2020-08-08T00:00:00Z,646187,,,32330,767,5,,,44296,,,,,,,,459,,21,782,5659,648435,648435,6441,648435,8,27,59b0c9142b2a2e474b6e527bc2bb64a61b47c992,0,0,0,0,0,
20200807,KY,33796,608198,,717,3975,136,1254,,,8589,B,8/7/2020 00:00,2020-08-07T07:00:00Z,08/07 03:00,764,3975,2020-08-07T00:00:00Z,639833,,,31635,760,4,,,44093,,,,,,,,430,,21,542,9008,641994,641994,9550,641994,4,51,8898f6321a0ff1164134c19173b2c840a434be3c,0,0,0,0,0,
20200806,KY,33254,599190,,701,3924,140,1248,,,8523,B,8/6/2020 00:00,2020-08-06T07:00:00Z,08/06 03:00,760,3924,2020-08-06T00:00:00Z,630336,,,31146,756,4,,,44033,,,,,,,,387,,21,513,11109,632444,632444,11622,632444,8,21,3eb29df35e39738ad1e6950b62d8021e128332bd,0,0,0,0,0,
20200805,KY,32741,588081,,620,3903,131,1239,,,8467,B,8/5/2020 00:00,2020-08-05T07:00:00Z,08/05 03:00,752,3903,2020-08-05T00:00:00Z,618793,,,30712,748,4,,,43944,,,,,,,,363,,21,544,12423,620822,620822,12967,620822,1,52,0d03c31f306acfb316566c091a9901a6e63c5b3e,0,0,0,0,0,
20200804,KY,32197,575658,,638,3851,135,1232,,,8406,B,8/4/2020 00:00,2020-08-04T07:00:00Z,08/04 03:00,751,3851,2020-08-04T00:00:00Z,605896,,,30238,747,4,,,43924,,,,,,,,273,,21,689,6873,607855,607855,7562,607855,7,36,cad75c4f6dc56147c49232cb2aeb0cb5867a22f0,0,0,0,0,0,
20200803,KY,31508,568785,,612,3815,136,1212,,,8335,B,8/3/2020 00:00,2020-08-03T07:00:00Z,08/03 03:00,744,3815,2020-08-03T00:00:00Z,598408,,,29623,740,4,,,43896,,,,,,,,273,,21,323,2834,600293,600293,3157,600293,2,33,650e514f3e6b00d9f00497e713d9f30506f12609,0,0,0,0,0,
20200802,KY,31185,565951,,602,3782,128,1207,,,8135,B,8/2/2020 00:00,2020-08-02T07:00:00Z,08/02 03:00,742,3782,2020-08-02T00:00:00Z,594873,,,29346,738,4,,,43626,,,,,,,,273,,21,462,0,597136,597136,462,597136,2,0,dc2df1f4c004ffe806b1e944386a10082199981c,0,0,0,0,0,
20200801,KY,30723,565951,,602,3782,128,1207,,,8135,B,8/1/2020 00:00,2020-08-01T07:00:00Z,08/01 03:00,740,3782,2020-08-01T00:00:00Z,594873,,,28922,736,4,,,43626,,,,,,,,273,,21,572,8279,596674,596674,8851,596674,5,468,08039a36db738091863a9cfc5bac47b127f45c36,0,0,0,0,0,
20200731,KY,30151,557672,,597,3314,150,1133,,,7481,B,7/31/2020 00:00,2020-07-31T07:00:00Z,07/31 03:00,735,3314,2020-07-31T00:00:00Z,586076,,,28404,731,4,,,43408,,,,,,,,222,,21,765,7752,587823,587823,8517,587823,4,10,428fdb01af7458e8e3aeb9f69f11e04cdc34eca6,0,0,0,0,0,
20200730,KY,29386,549920,,587,3304,110,1133,,,7590,B,7/30/2020 00:00,2020-07-30T07:00:00Z,07/30 03:00,731,3304,2020-07-30T00:00:00Z,577636,,,27716,727,4,,,43348,,,,,,,,222,,21,659,10306,579306,579306,10965,579306,7,23,34d45dbaa6a0971a2c05ecec1aba042360d72b98,0,0,0,0,0,
