date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200812,LA,134304,1464305,,1320,,,,211,,103512,,8/12/2020 13:00,2020-08-12T20:00:00Z,08/12 16:00,4361,,2020-08-12T13:00:00Z,,,,,4238,123,,1598609,,,,,,,,,,,22,1179,28866,1598609,1598609,30045,1598609,48,0,06ab11f7e5295a6708e21c1e7ce6c139dc067d1c,0,0,0,0,0,
20200811,LA,133125,1435439,,1335,,,,214,,89083,A,8/11/2020 13:00,2020-08-11T20:00:00Z,08/11 16:00,4313,,2020-08-11T13:00:00Z,,,,,4195,118,,1568564,,,,,,,,,,,22,1164,19467,1568564,1568564,20631,1568564,26,0,81c843a07d9cbe00a13c512f077d64a86f94ec27,0,0,0,0,0,
20200810,LA,131961,1415972,,1382,,,,215,,89083,A,8/10/2020 13:00,2020-08-10T20:00:00Z,08/10 16:00,4287,,2020-08-10T13:00:00Z,,,,,4169,118,,1547933,,,,,,,,,,,22,562,6800,1547933,1547933,7362,1547933,24,0,5f064299ee4e52f7a6a98c47d446561079bb9b0f,0,0,0,0,0,
20200809,LA,131399,1409172,,1383,,,,210,,89083,A,8/9/2020 00:00,2020-08-09T07:00:00Z,08/09 03:00,4263,,2020-08-09T00:00:00Z,,,,,4145,118,,1540571,,,,,,,,,,,22,2653,32916,1540571,1540571,35569,1540571,56,0,59a629f82cc605945102ede621b048ea8178ed59,0,0,0,0,0,
20200808,LA,128746,1376256,,1406,,,,207,,89083,A,8/7/2020 00:00,2020-08-07T07:00:00Z,08/07 03:00,4207,,2020-08-07T00:00:00Z,,,,,4089,118,,1505002,,,,,,,,,,,22,0,0,1505002,1505002,0,1505002,0,0,ee7789af94a2e6a8174ce7423a58c369c50bfca2,0,0,0,0,0,
20200807,LA,128746,1376256,,1406,,,,207,,89083,A,8/7/2020 00:00,2020-08-07T07:00:00Z,08/07 03:00,4207,,2020-08-07T00:00:00Z,,,,,4089,118,,1505002,,,,,,,,,,,22,1500,18530,1505002,1505002,20030,1505002,61,0,64ea591169434bb829a954f70289a1ce211652b4,0,0,0,0,0,
20200806,LA,127246,1357726,,1457,,,,215,,89083,A,8/6/2020 00:00,2020-08-06T07:00:00Z,08/06 03:00,4146,,2020-08-06T00:00:00Z,,,,,4028,118,,1484972,,,,,,,,,,,22,1303,13802,1484972,1484972,15105,1484972,50,0,fe4c62dd1b75bffafe9efdf05c65c900a3a3ef97,0,0,0,0,0,
20200805,LA,125943,1343924,,1471,,,,223,,89083,A,8/5/2020 13:00,2020-08-05T20:00:00Z,08/05 16:00,4096,,2020-08-05T13:00:00Z,,,,,3978,118,,1469867,,,,,,,,,,,22,1482,18528,1469867,1469867,20010,1469867,45,0,c4c174a925dc2b26a3ce975dc59375504cd52a38,0,0,0,0,0,
20200804,LA,124461,1325396,,1487,,,,240,,74246,A,8/4/2020 13:00,2020-08-04T20:00:00Z,08/04 16:00,4051,,2020-08-04T13:00:00Z,,,,,3937,114,,1449857,,,,,,,,,,,22,3615,52332,1449857,1449857,55947,1449857,27,0,75040362427725543ae63a7186d532632bb4e421,0,0,0,0,0,
20200803,LA,120846,1273064,,1496,,,,230,,74246,A,8/3/2020 13:00,2020-08-03T20:00:00Z,08/03 16:00,4024,,2020-08-03T13:00:00Z,,,,,3910,114,,1393910,,,,,,,,,,,22,1099,13371,1393910,1393910,14470,1393910,17,0,820f691dd526d7efbb80121123cca45413d058c1,0,0,0,0,0,
20200802,LA,119747,1259693,,1534,,,,221,,74246,A,8/2/2020 13:00,2020-08-02T20:00:00Z,08/02 16:00,4007,,2020-08-02T13:00:00Z,,,,,3893,114,,1379440,,,,,,,,,,,22,3467,33730,1379440,1379440,37197,1379440,58,0,fa3c7af4cb8ed2a7a39755d01fe68c44d476a5a7,0,0,0,0,0,
