date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200812,MA,122000,1240101,,422,12109,64,,33,,100486,,8/12/2020 10:00,2020-08-12T17:00:00Z,08/12 13:00,8769,12109,2020-08-12T10:00:00Z,1781548,,,113198,8547,222,,1353299,,,,102782,,,62738,,,,25,293,15464,1362101,1362101,15757,1362101,18,20,25e052fe2a689a019400a7e0a92dc961d9184c3d,0,0,0,0,0,
20200811,MA,121707,1224637,,387,12089,70,,33,,99021,A+,8/11/2020 10:00,2020-08-11T17:00:00Z,08/11 13:00,8751,12089,2020-08-11T10:00:00Z,1759976,,,112969,8529,222,,1337606,,,,102208,,,,,,,25,392,14676,1346344,1346344,15068,1346344,10,27,b9c0451afc85909599b155a2b6a0c5ab03da1f86,0,0,0,0,0,
20200810,MA,121315,1209961,,380,12062,60,,25,,99021,A+,8/10/2020 10:00,2020-08-10T17:00:00Z,08/10 13:00,8741,12062,2020-08-10T10:00:00Z,1739378,,,112673,8519,222,,1322634,,,,101714,,,,,,,25,275,11062,1331276,1331276,11337,1331276,6,8,d85d2755e91aad39da04766df1172cc361525a1e,0,0,0,0,0,
20200809,MA,121040,1198899,,375,12054,60,,26,,99021,A+,8/9/2020 10:00,2020-08-09T17:00:00Z,08/09 13:00,8735,12054,2020-08-09T10:00:00Z,1723320,,,112459,8514,221,,1311358,,,,101485,,,,,,,25,329,16866,1319939,1319939,17195,1319939,14,10,a7a50edc9f0b168ebe81674977b075cbaa61d974,0,0,0,0,0,
20200808,MA,120711,1182033,,386,12044,68,,30,,99021,A+,8/8/2020 10:00,2020-08-08T17:00:00Z,08/08 13:00,8721,12044,2020-08-08T10:00:00Z,1699442,,,112173,8500,221,,1294206,,,,101139,,,,,,,25,420,16269,1302744,1302744,16689,1302744,12,22,4fe8906b818a12c904c831f78f37e4d7a7b8e390,0,0,0,0,0,
20200807,MA,120291,1165764,,390,12022,69,,30,,99021,A+,8/7/2020 10:00,2020-08-07T17:00:00Z,08/07 13:00,8709,12022,2020-08-07T10:00:00Z,1676170,,,111853,8488,221,,1277617,,,,100383,,,,,,,25,417,14420,1286055,1286055,14837,1286055,18,15,03baecc4ffd4fbc45a4d8f34eb27348545cf706d,0,0,0,0,0,
20200806,MA,119874,1151344,,403,12007,73,,32,,99021,A+,8/6/2020 10:00,2020-08-06T17:00:00Z,08/06 13:00,8691,12007,2020-08-06T10:00:00Z,1653792,,,111533,8470,221,,1262877,,,,99768,,,,,,,25,231,11393,1271218,1271218,11624,1271218,32,14,285d87951eb74e33f2ee97d4a6a4bb9ec6b22630,0,0,0,0,0,
20200805,MA,119643,1139951,,396,11993,57,,21,,99021,A+,8/4/2020 10:00,2020-08-04T17:00:00Z,08/04 13:00,8659,11993,2020-08-04T10:00:00Z,1636875,,,111371,8438,221,,1251322,,,,99170,,,,,,,25,440,16878,1259594,1259594,17318,1259594,2,20,43ea3d4a3fa019419e3ab605b08764db9474ac1b,0,0,0,0,0,
20200804,MA,119203,1123073,,354,11973,56,,29,,97595,A+,8/4/2020 10:00,2020-08-04T17:00:00Z,08/04 13:00,8657,11973,2020-08-04T10:00:00Z,1611827,,,111033,8436,221,,1234106,,,,98298,,,,,,,25,546,14878,1242276,1242276,15424,1242276,9,31,ff1cefaaddf3c8b4e391053b17212deee71b60c3,0,0,0,0,0,
20200803,MA,118657,1108195,,375,11942,64,,24,,97595,A+,8/3/2020 10:00,2020-08-03T17:00:00Z,08/03 13:00,8648,11942,2020-08-03T10:00:00Z,1589682,,,110595,8427,221,,1218790,,,,97515,,,,,,,25,199,12113,1226852,1226852,12312,1226852,10,6,65afdfa501ee3b80c4286dd74d776c2d01881dff,0,0,0,0,0,
