date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200811,MD,96843,970616,,529,13266,121,,,,5935,A,8/11/2020 10:00,2020-08-11T17:00:00Z,08/11 13:00,3604,13266,2020-08-11T10:00:00Z,1485615,113763,,96843,3467,137,,1067459,,,,,,,,,,,24,585,10064,1067459,1067459,10649,1067459,13,19,2f87bff25d31460735720cb40c487d8c8a1f3e14,0,0,0,0,0,
20200810,MD,96258,960552,,534,13247,119,,,,5910,A,8/10/2020 10:00,2020-08-10T17:00:00Z,08/10 13:00,3591,13247,2020-08-10T10:00:00Z,1468470,113013,,96258,3454,137,,1056810,,,,,,,,,,,24,755,16710,1056810,1056810,17465,1056810,6,70,63c04a4d474ec39f24983659590e2295c9a47743,0,0,0,0,0,
20200809,MD,95503,943842,,525,13177,128,,,,5910,A,8/9/2020 10:00,2020-08-09T17:00:00Z,08/09 13:00,3585,13177,2020-08-09T10:00:00Z,1438739,112072,,95503,3448,137,,1039345,,,,,,,,,,,24,922,18900,1039345,1039345,19822,1039345,8,72,6b660901a49c48857ad91db6d72784b873c963e4,0,0,0,0,0,
20200808,MD,94581,924942,,515,13105,127,,,,5899,A,8/8/2020 10:00,2020-08-08T17:00:00Z,08/08 13:00,3577,13105,2020-08-08T10:00:00Z,1398266,110972,,94581,3440,137,,1019523,,,,,,,,,,,24,775,11924,1019523,1019523,12699,1019523,12,58,5c3d079302162d1545d2e629841c964c176c04d4,0,0,0,0,0,
20200807,MD,93806,913018,,528,13047,135,,,,5838,A,8/7/2020 10:00,2020-08-07T17:00:00Z,08/07 13:00,3565,13047,2020-08-07T10:00:00Z,1377459,110066,,93806,3429,136,,1006824,,,,,,,,,,,24,801,13882,1006824,1006824,14683,1006824,14,69,cc72aabda9fab4ef125fafa6bbdca8a4cb7a687c,0,0,0,0,0,
20200806,MD,93005,899136,,535,12978,139,,,,5790,A,8/6/2020 10:00,2020-08-06T17:00:00Z,08/06 13:00,3551,12978,2020-08-06T10:00:00Z,1348880,109142,,93005,3415,136,,992141,,,,,,,,,,,24,579,9167,992141,992141,9746,992141,15,56,29251d3291eef4cea1b43d3dd6254f7b500edf2a,0,0,0,0,0,
20200805,MD,92426,889969,,555,12922,134,,,,5749,A,8/5/2020 10:00,2020-08-05T17:00:00Z,08/05 13:00,3536,12922,2020-08-05T10:00:00Z,1332181,108502,,92426,3402,134,,982395,,,,,,,,,,,24,572,9477,982395,982395,10049,982395,6,34,5b54b192b66aea79a101f16e0810609bbf56ba54,0,0,0,0,0,
20200804,MD,91854,880492,,547,12888,137,,,,5740,A,8/4/2020 10:00,2020-08-04T17:00:00Z,08/04 13:00,3530,12888,2020-08-04T10:00:00Z,1310419,107832,,91854,3396,134,,972346,,,,,,,,,,,24,710,10999,972346,972346,11709,972346,7,56,d1545bad1f2c6319fa122f98237fd0bf183ddb24,0,0,0,0,0,
20200803,MD,91144,869493,,548,12832,135,,,,5740,A,8/3/2020 10:00,2020-08-03T17:00:00Z,08/03 13:00,3523,12832,2020-08-03T10:00:00Z,1294065,107026,,91144,3389,134,,960637,,,,,,,,,,,24,870,14981,960637,960637,15851,960637,8,86,46c5aead743e1d805918f761df923fb7cd60e3d0,0,0,0,0,0,
20200802,MD,90274,854512,,553,12746,129,,,,5713,A,8/2/2020 10:00,2020-08-02T17:00:00Z,08/02 13:00,3515,12746,2020-08-02T10:00:00Z,1269552,106015,,90274,3381,134,,944786,,,,,,,,,,,24,909,14523,944786,944786,15432,944786,9,74,5b7adfa0e0aaff4a2dff992ce3dc820293b96a49,0,0,0,0,0,
