date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200624,ME,3017,82173,,26,,12,,6,,2490,A,6/23/2020 23:59,Invalid DateTime,Invalid DateTime,103,,Invalid DateTime,84853,3690,81042,2680,23,23,3460,85190,85190,3483,85190,1,-339,79d7fe9f574a2875510b1fc5d62c06bcf7c2c4a2,0,0,0,0,0,
20200623,ME,2994,78713,,24,339,12,,6,,2443,B,6/23/2020 12:30,Invalid DateTime,Invalid DateTime,102,339,Invalid DateTime,81707,3645,77942,2655,23,23,680,81707,81707,703,81707,0,3,8c157e3d8ebc9f32cda9c0aa27bd46b855a0d398,0,0,0,0,0,
20200622,ME,2971,78033,,27,336,13,,6,,2409,B,6/21/2020 23:59,Invalid DateTime,Invalid DateTime,102,336,Invalid DateTime,80662,3619,76924,2640,23,14,0,81004,81004,14,81004,0,0,f425049d555101c861668dd38719933831c62692,0,0,0,0,0,
20200621,ME,2957,78033,,26,336,11,,5,,2391,B,6/20/2020 22:59,Invalid DateTime,Invalid DateTime,102,336,Invalid DateTime,80662,3619,76924,2629,23,19,1395,80990,80990,1414,80990,0,3,89180617512488f88c72bf92d405a93f66e86ef3,0,0,0,0,0,
20200620,ME,2938,76638,,29,333,13,,5,,2380,B,6/19/2020 22:59,Invalid DateTime,Invalid DateTime,102,333,Invalid DateTime,79248,3592,75537,2610,23,25,2390,79576,79576,2415,79576,0,5,14985f5cf20e40544370aa0f7a3946992c92c190,0,0,0,0,0,
20200619,ME,2913,74248,,26,328,11,,5,,2323,A,6/18/2020 22:59,Invalid DateTime,Invalid DateTime,102,328,Invalid DateTime,77920,3554,74248,2586,23,35,3066,77161,77161,3101,77161,0,5,d0b020808f4d64dab71fc015b1388394ceeed8dd,0,0,0,0,0,
20200618,ME,2878,71182,,27,323,10,,4,,2300,A,6/17/2020 22:59,Invalid DateTime,Invalid DateTime,102,323,Invalid DateTime,74763,3466,71182,2555,23,42,0,74060,74060,42,74060,0,0,6abe7a0d27436c3dc3a64e5d954eaca96eb20e51,0,0,0,0,0,
20200617,ME,2836,71182,,27,323,10,,5,,2275,A,6/16/2020 22:59,Invalid DateTime,Invalid DateTime,102,323,Invalid DateTime,74763,3466,71182,2509,23,17,1666,74018,74018,1683,74018,1,2,8e22f1afee10378694c81e3ced3c8b76b7119bef,0,0,0,0,0,
20200616,ME,2819,69516,,30,321,10,,6,,2233,B,6/15/2020 22:59,Invalid DateTime,Invalid DateTime,101,321,Invalid DateTime,73071,3441,69516,2499,23,9,1355,72335,72335,1364,72335,0,4,80460e81c5c30fb18b06d6f7171681519dfcb929,0,0,0,0,0,
20200615,ME,2810,68161,,31,317,11,,4,,2189,B,6/15/2020 11:15,Invalid DateTime,Invalid DateTime,101,317,Invalid DateTime,71697,3425,68161,2495,23,17,1096,70971,70971,1113,70971,1,3,71e2b5d352f24afc8b9fffe07273a7c62bd63ac3,0,0,0,0,0,
20200614,ME,2793,67065,,29,314,10,,5,,2173,B,6/14/2020 11:15,Invalid DateTime,Invalid DateTime,100,314,Invalid DateTime,70589,3413,67065,2486,23,36,1472,69858,69858,1508,69858,0,1,bcade0dfd4c756d739345bf38ab99a00ad2a3ac4,0,0,0,0,0,
20200613,ME,2757,65593,,29,313,10,,4,,2152,B,6/13/2020 11:15,Invalid DateTime,Invalid DateTime,100,313,Invalid DateTime,69073,3370,65593,2452,23,36,1427,68350,68350,1463,68350,0,5,cd96370ac5f9a6e9270e3b48abd02f8653859fa1,0,0,0,0,0,
20200612,ME,2721,64166,,32,308,11,,5,,2105,B,6/12/2020 11:15,Invalid DateTime,Invalid DateTime,100,308,Invalid DateTime,67585,3311,64166,2420,23,54,1376,66887,66887,1430,66887,0,0,84c3d9430bb93999cf4b1fa61cc0a6d7eebe8f29,0,0,0,0,0,
20200611,ME,2667,62790,,29,308,12,,5,,2062,B,6/11/2020 11:15,Invalid DateTime,Invalid DateTime,100,308,Invalid DateTime,66146,3248,62790,2380,23,30,1487,65457,65457,1517,65457,0,5,44db825f9954faa2aa30e27c751f101f23f75cca,0,0,0,0,0,
20200610,ME,2637,61303,,27,303,10,,5,,2023,B,6/09/2020 22:59,Invalid DateTime,Invalid DateTime,100,303,Invalid DateTime,64615,3204,61303,2350,23,31,1489,63940,63940,1520,63940,0,1,aa34006391700a6fd7841f4b4c342e96f18b2d3e,0,0,0,0,0,
