date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200811,MI,98213,2048341,,640,,185,,85,,63636,A+,8/11/2020 00:00,2020-08-11T07:00:00Z,08/11 03:00,6533,,2020-08-11T00:00:00Z,2172898,124557,2048341,88756,6264,269,,,230011,,,,,,,,,,26,907,23058,2146554,2146554,23965,2146554,7,0,a696173dc8e4da072cd39ae2eda22830fd7c2864,0,0,0,0,0,
20200810,MI,97306,2025283,,640,,185,,132,,63636,A+,8/10/2020 00:00,2020-08-10T07:00:00Z,08/10 03:00,6526,,2020-08-10T00:00:00Z,2148786,123503,2025283,87960,6257,269,,,229030,,,,,,,,,,26,580,20677,2122589,2122589,21257,2122589,7,0,978c0cfdc61ee97f5f99b6bae6878c9d0d0c524f,0,0,0,0,0,
20200809,MI,96726,2004606,,694,,232,,132,,63636,A+,8/9/2020 00:00,2020-08-09T07:00:00Z,08/09 03:00,6519,,2020-08-09T00:00:00Z,2127348,122742,2004606,87403,6249,270,,,228519,,,,,,,,,,26,535,25676,2101332,2101332,26211,2101332,-1,0,b24547c713e601c2151e83c7e646b83b7ec28c1d,0,0,0,0,0,
20200808,MI,96191,1978930,,694,,232,,132,,63636,A+,8/8/2020 00:00,2020-08-08T07:00:00Z,08/08 03:00,6520,,2020-08-08T00:00:00Z,2100848,121918,1978930,86889,6250,270,,,227521,,,,,,,,,,26,721,37805,2075121,2075121,38526,2075121,-4,0,c2438cd5f1986c1c13b11118ebba6d2c64ee9801,0,0,0,0,0,
20200807,MI,95470,1941125,,694,,232,,132,,60022,A+,8/7/2020 00:00,2020-08-07T07:00:00Z,08/07 03:00,6524,,2020-08-07T00:00:00Z,2061956,120831,1941125,86191,6247,277,,,225674,,,,,,,,,,26,814,29203,2036595,2036595,30017,2036595,18,0,0c0d12de1cc59e2d9c990dec93e21fe51b59fc00,0,0,0,0,0,
20200806,MI,94656,1911922,,694,,232,,132,,60022,A+,8/6/2020 00:00,2020-08-06T07:00:00Z,08/06 03:00,6506,,2020-08-06T00:00:00Z,2031654,119732,1911922,85429,6247,259,,,223982,,,,,,,,,,26,763,25343,2006578,2006578,26106,2006578,28,0,645842b73e44df1765dd6d78e6ed2247ee0e6740,0,0,0,0,0,
20200805,MI,93893,1886579,,694,,232,,132,,60022,A+,8/5/2020 00:00,2020-08-05T07:00:00Z,08/05 03:00,6478,,2020-08-05T00:00:00Z,2005494,118915,1886579,84707,6221,257,,,222019,,,,,,,,,,26,718,25339,1980472,1980472,26057,1980472,7,0,b8f9ef01049d5a8d5a1b6e860963fe2e2ad6fa6f,0,0,0,0,0,
20200804,MI,93175,1861240,,694,,232,,132,,60022,A+,8/4/2020 00:00,2020-08-04T07:00:00Z,08/04 03:00,6471,,2020-08-04T00:00:00Z,1979257,118017,1861240,84050,6219,252,,,220799,,,,,,,,,,26,801,26791,1954415,1954415,27592,1954415,8,0,e3c5946d38be334d2d65345a69b431b0022672dd,0,0,0,0,0,
20200803,MI,92374,1834449,,694,,232,,132,,60022,A+,8/3/2020 00:00,2020-08-03T07:00:00Z,08/03 03:00,6463,,2020-08-03T00:00:00Z,1951555,117106,1834449,83386,6212,251,,,218538,,,,,,,,,,26,613,24369,1926823,1926823,24982,1926823,6,0,97ea5e155dc7f57db8d5296a04d7cf8e55bb9dae,0,0,0,0,0,
20200802,MI,91761,1810080,,727,,238,,144,,60022,A+,8/2/2020 00:00,2020-08-02T07:00:00Z,08/02 03:00,6457,,2020-08-02T00:00:00Z,1926348,116268,1810080,82782,6206,251,,,217937,,,,,,,,,,26,429,24582,1901841,1901841,25011,1901841,0,0,b2740d0b21a7d0356872f2e849c5f728404b1d7b,0,0,0,0,0,
20200801,MI,91332,1785498,,727,,238,,144,,60022,A+,8/1/2020 00:00,2020-08-01T07:00:00Z,08/01 03:00,6457,,2020-08-01T00:00:00Z,1900915,115417,1785498,82356,6206,251,,,216608,,,,,,,,,,26,758,31625,1876830,1876830,32383,1876830,7,0,bf4125328dab857817c86f4eabf6a4f66bd419fd,0,0,0,0,0,
20200731,MI,90574,1753873,,727,,238,,144,,57502,A+,7/31/2020 00:00,2020-07-31T07:00:00Z,07/31 03:00,6450,,2020-07-31T00:00:00Z,1868156,114283,1753873,81621,6199,251,,,214923,,,,,,,,,,26,793,30476,1844447,1844447,31269,1844447,7,0,ebe2611f7b8e2ffa5f8e3856783421d499ff1cf0,0,0,0,0,0,
20200730,MI,89781,1723397,,727,,238,,153,,57502,A+,7/30/2020 00:00,2020-07-30T07:00:00Z,07/30 03:00,6443,,2020-07-30T00:00:00Z,1836584,113187,1723397,80887,6191,252,,,212732,,,,,,,,,,26,807,19138,1813178,1813178,19945,1813178,21,0,84f23d833e31c7c37cd48ac5d3ce9d7906209859,0,0,0,0,0,
20200729,MI,88974,1704259,,670,,195,,135,,57502,A+,7/29/2020 00:00,2020-07-29T07:00:00Z,07/29 03:00,6422,,2020-07-29T00:00:00Z,1819805,115546,1704259,80172,6172,250,,,210763,,,,,,,,,,26,1016,64335,1793233,1793233,65351,1793233,1,0,4a3c88dbf228571da806dcec234eecba3beac904,0,0,0,0,0,
20200728,MI,87958,1639924,,670,,195,,135,,57502,A+,7/28/2020 00:00,2020-07-28T07:00:00Z,07/28 03:00,6421,,2020-07-28T00:00:00Z,1751875,111951,1639924,79176,6170,251,,,209655,,,,,,,,,,26,785,26608,1727882,1727882,27393,1727882,16,0,c145225da32e37856d731513bdbac833a15c8a39,0,0,0,0,0,
20200727,MI,87173,1613316,,670,,195,,113,,57502,A+,7/27/2020 00:00,2020-07-27T07:00:00Z,07/27 03:00,6405,,2020-07-27T00:00:00Z,1723892,110576,1613316,78507,6154,251,,,208729,,,,,,,,,,26,512,29233,1700489,1700489,29745,1700489,5,0,80e1b4ef88451b067825f583af252daf06263f76,0,0,0,0,0,
20200726,MI,86661,1584083,,680,,210,,113,,57502,A+,7/26/2020 00:00,2020-07-26T07:00:00Z,07/26 03:00,6400,,2020-07-26T00:00:00Z,1693712,109629,1584083,78019,6149,251,,,207540,,,,,,,,,,26,1589,54509,1670744,1670744,56098,1670744,0,0,2ce66533275b466232ae0197730ce9ebe7b7f193,0,0,0,0,0,
20200725,MI,85072,1529574,,751,,215,,113,,55162,A+,7/24/2020 00:00,2020-07-24T07:00:00Z,07/24 03:00,6400,,2020-07-24T00:00:00Z,1637017,107443,1529574,76541,6151,249,,,204810,,,,,,,,,,26,0,0,1614646,1614646,0,1614646,0,0,ad1d84200a8e0913319d872549ce3a84b35237c2,0,0,0,0,0,
20200724,MI,85072,1529574,,751,,215,,113,,55162,A+,7/24/2020 00:00,2020-07-24T07:00:00Z,07/24 03:00,6400,,2020-07-24T00:00:00Z,1637017,107443,1529574,76541,6151,249,,,204810,,,,,,,,,,26,641,27281,1614646,1614646,27922,1614646,5,0,4206335fed3a749b1860d6c0385ef372135ea40e,0,0,0,0,0,
20200723,MI,84431,1502293,,680,,210,,120,,55162,A+,7/23/2020 00:00,2020-07-23T07:00:00Z,07/23 03:00,6395,,2020-07-23T00:00:00Z,1608660,106367,1502293,75947,6148,247,,,202720,,,,,,,,,,26,701,26410,1586724,1586724,27111,1586724,7,0,304ac20dfd1d4c48d1d7fd7679ac12d6535d9478,0,0,0,0,0,
20200722,MI,83730,1475883,,680,,210,,120,,55162,A+,7/22/2020 00:00,2020-07-22T07:00:00Z,07/22 03:00,6388,,2020-07-22T00:00:00Z,1581285,105402,1475883,75248,6141,247,,,200528,,,,,,,,,,26,671,29567,1559613,1559613,30238,1559613,6,0,cdccc63542d150c4a6384e8319c2f7833f7da922,0,0,0,0,0,
20200721,MI,83059,1446316,,680,,210,,130,,55162,A+,7/21/2020 00:00,2020-07-21T07:00:00Z,07/21 03:00,6382,,2020-07-21T00:00:00Z,1550697,104381,1446316,74725,6135,247,,,199230,,,,,,,,,,26,664,21922,1529375,1529375,22586,1529375,9,0,6cb8debf8151cd7edad48bc34ac53234498c7244,0,0,0,0,0,
20200720,MI,82395,1424394,,680,,210,,102,,55162,A+,7/20/2020 00:00,2020-07-20T07:00:00Z,07/20 03:00,6373,,2020-07-20T00:00:00Z,1527804,103410,1424394,74152,6126,247,,,198479,,,,,,,,,,26,527,21803,1506789,1506789,22330,1506789,7,0,f300c8587113d28f190178f1c8a75484fd8ed955,0,0,0,0,0,
20200719,MI,81868,1402591,,680,,201,,102,,55162,A+,7/19/2020 00:00,2020-07-19T07:00:00Z,07/19 03:00,6366,,2020-07-19T00:00:00Z,1505204,102613,1402591,73663,6119,247,,,197569,,,,,,,,,,26,530,27851,1484459,1484459,28381,1484459,2,0,ec0eb4a290ff51c526a65186bc069ef3a0dd91cf,0,0,0,0,0,
20200718,MI,81338,1374740,,680,,201,,102,,55162,A+,7/18/2020 00:00,2020-07-18T07:00:00Z,07/18 03:00,6364,,2020-07-18T00:00:00Z,1476385,101645,1374740,73180,6117,247,,,195843,,,,,,,,,,26,745,29827,1456078,1456078,30572,1456078,9,0,7d991b789412101194942b1b1c56c8f73cffc2a7,0,0,0,0,0,
20200717,MI,80593,1344913,,680,,201,,88,,53867,A+,7/17/2020 00:00,2020-07-17T07:00:00Z,07/17 03:00,6355,,2020-07-17T00:00:00Z,1445361,100448,1344913,72502,6108,247,,,192929,,,,,,,,,,26,754,29598,1425506,1425506,30352,1425506,7,0,7833719533252e7d07d39c10a5a6bd23d2023c28,0,0,0,0,0,
20200716,MI,79839,1315315,,680,,201,,107,,53867,A+,7/16/2020 00:00,2020-07-16T07:00:00Z,07/16 03:00,6348,,2020-07-16T00:00:00Z,1414802,99487,1315315,71842,6101,247,,,190043,,,,,,,,,,26,926,26309,1395154,1395154,27235,1395154,18,0,7d77214fc1a4afe93c4f4387ffb304c77a6c0be0,0,0,0,0,0,
20200715,MI,78913,1289006,,543,,184,,107,,53867,A+,7/15/2020 00:00,2020-07-15T07:00:00Z,07/15 03:00,6330,,2020-07-15T00:00:00Z,1387545,98539,1289006,71197,6085,245,,,187617,,,,,,,,,,26,1049,33084,1367919,1367919,34133,1367919,4,0,b586367fe2916ab6bc6f8b9138c82d14361d8885,0,0,0,0,0,
