date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200812,MN,62303,890482,,335,5711,154,1657,,,55855,,8/11/2020 17:00,2020-08-12T00:00:00Z,08/11 20:00,1724,5711,2020-08-11T17:00:00Z,1188288,,,62303,1678,46,,952785,,,,,,,,,,,27,464,6291,952785,952785,6755,952785,17,50,ae7e931b3d64c72600150dff38682479e1a59050,0,0,0,0,0,
20200811,MN,61839,884191,,337,5661,147,1648,,,55151,A,8/10/2020 17:00,2020-08-11T00:00:00Z,08/10 20:00,1707,5661,2020-08-10T17:00:00Z,1177935,,,61839,1666,41,,946030,,,,,,,,,,,27,323,1547,946030,946030,1870,946030,6,55,344b2ce9e98378169b3daeafca27496de8ea61fa,0,0,0,0,0,
20200810,MN,61516,882644,,320,5606,159,1633,,,54364,A,8/9/2020 17:00,2020-08-10T00:00:00Z,08/09 20:00,1701,5606,2020-08-09T17:00:00Z,1172118,,,61516,1660,41,,944160,,,,,,,,,,,27,618,8569,944160,944160,9187,944160,3,51,09fe3325a3b5b1a1274acdcea4196e97bdd13ad4,0,0,0,0,0,
20200809,MN,60898,874075,,312,5555,148,1615,,,53568,A,8/8/2020 17:00,2020-08-09T00:00:00Z,08/08 20:00,1698,5555,2020-08-08T17:00:00Z,1159139,,,60898,1657,41,,934973,,,,,,,,,,,27,797,12779,934973,934973,13576,934973,9,49,e439aebd2bc9b7fa244b19481f99d1b836893667,0,0,0,0,0,
20200808,MN,60101,861296,,309,5506,154,1603,,,52768,A,8/7/2020 17:00,2020-08-08T00:00:00Z,08/07 20:00,1689,5506,2020-08-07T17:00:00Z,1138595,,,60101,1648,41,,921397,,,,,,,,,,,27,916,10210,921397,921397,11126,921397,8,48,da83ffa070fecc02dc68651a97d3f1ca4ca3bec5,0,0,0,0,0,
20200807,MN,59185,851086,,300,5458,155,1592,,,51940,A,8/6/2020 17:00,2020-08-07T00:00:00Z,08/06 20:00,1681,5458,2020-08-06T17:00:00Z,1121299,,,59185,1640,41,,910271,,,,,,,,,,,27,545,10246,910271,910271,10791,910271,4,37,8428fb895f7b3e7318976c3ca512b1602d83a5ea,0,0,0,0,0,
20200806,MN,58640,840840,,319,5421,153,1583,,,51604,A,8/5/2020 17:00,2020-08-06T00:00:00Z,08/05 20:00,1677,5421,2020-08-05T17:00:00Z,1105094,,,58640,1636,41,,899480,,,,,,,,,,,27,861,10996,899480,899480,11857,899480,7,48,e837e3587e7d251897fea06f5f24e8df9c69309e,0,0,0,0,0,
20200805,MN,57779,829844,,305,5373,152,1575,,,51223,A,8/4/2020 17:00,2020-08-05T00:00:00Z,08/04 20:00,1670,5373,2020-08-04T17:00:00Z,1090303,,,57779,1629,41,,887623,,,,,,,,,,,27,617,8895,887623,887623,9512,887623,10,27,7786e7d496594c5a6cc1bd0c2787c13a8dd487ad,0,0,0,0,0,
20200804,MN,57162,820949,,328,5346,159,1563,,,50426,A,8/3/2020 17:00,2020-08-04T00:00:00Z,08/03 20:00,1660,5346,2020-08-03T17:00:00Z,1078695,,,57162,1620,40,,878111,,,,,,,,,,,27,602,5505,878111,878111,6107,878111,4,48,e2669797c4ebd84b0b2db46f2348bce007dd13bf,0,0,0,0,0,
20200803,MN,56560,815444,,302,5298,153,1545,,,49565,A,8/2/2020 17:00,2020-08-03T00:00:00Z,08/02 20:00,1656,5298,2020-08-02T17:00:00Z,1070925,,,56560,1616,40,,872004,,,,,,,,,,,27,613,13050,872004,872004,13663,872004,2,57,bbb088dd0f63bd6e166db5f1d726dd4eed287aa4,0,0,0,0,0,
