date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200812,MO,62530,736051,,861,,,,107,,,,8/12/2020 00:00,2020-08-12T07:00:00Z,08/12 03:00,1323,,2020-08-12T00:00:00Z,1057708,72841,983054,62530,,,,798581,,,,62801,2397,60404,,,,,29,1595,9766,798581,798581,11361,798581,11,0,e569e4107c5e964ada7a48c5f0ff0332257782d7,0,0,0,0,0,
20200811,MO,60935,726285,,923,,,,112,,,B,8/11/2020 00:00,2020-08-11T07:00:00Z,08/11 03:00,1312,,2020-08-11T00:00:00Z,1046810,72091,972909,60935,,,,787220,,,,62908,2394,60514,,,,,29,981,16321,787220,787220,17302,787220,5,0,ffda5b7c4b801a53e297e2eccb0db98e05655ea6,0,0,0,0,0,
20200810,MO,59954,709964,,923,,,,112,,,B,8/10/2020 00:00,2020-08-10T07:00:00Z,08/10 03:00,1307,,2020-08-10T00:00:00Z,1028968,69115,958061,59954,,,,769918,,,,62414,2345,60069,,,,,29,2575,14603,769918,769918,17178,769918,6,0,8375f951382be6f4957a2f1f0bac60650ea40bcb,0,0,0,0,0,
20200809,MO,57379,695361,,895,,,,105,,,B,8/7/2020 00:00,2020-08-07T07:00:00Z,08/07 03:00,1301,,2020-08-07T00:00:00Z,996617,66665,928188,57379,,,,752740,,,,61708,2324,59384,,,,,29,0,0,752740,752740,0,752740,0,0,447c71595797497c58fae478e51fe4396125f796,0,0,0,0,0,
20200808,MO,57379,695361,,924,,,,108,,,B,8/7/2020 00:00,2020-08-07T07:00:00Z,08/07 03:00,1301,,2020-08-07T00:00:00Z,996617,66665,928188,57379,,,,752740,,,,61708,2324,59384,,,,,29,0,0,752740,752740,0,752740,0,0,e4ebca2f97118ea9f086aabc6364d813a748bb87,0,0,0,0,0,
20200807,MO,57379,695361,,930,,,,113,,,B,8/7/2020 00:00,2020-08-07T07:00:00Z,08/07 03:00,1301,,2020-08-07T00:00:00Z,996617,66665,928188,57379,,,,752740,,,,61708,2324,59384,,,,,29,996,9433,752740,752740,10429,752740,21,0,b8ac5b70486e334a033a181b4398a18faacbfb05,0,0,0,0,0,
20200806,MO,56383,685928,,966,,,,110,,,B,8/6/2020 00:00,2020-08-06T07:00:00Z,08/06 03:00,1280,,2020-08-06T00:00:00Z,968131,64892,901518,56383,,,,742311,,,,61253,2293,58960,,,,,29,1062,10675,742311,742311,11737,742311,8,0,e11582b85a6fde92779b2e0b3b471093e29e29b4,0,0,0,0,0,
20200805,MO,55321,675253,,882,,,,101,,,B,8/5/2020 00:00,2020-08-05T07:00:00Z,08/05 03:00,1272,,2020-08-05T00:00:00Z,957863,63881,892311,55321,,,,730574,,,,60779,2265,58514,,,,,29,1241,7810,730574,730574,9051,730574,6,0,f4ef066110175dec35a892466c25ffc832407ab3,0,0,0,0,0,
20200804,MO,54080,667443,,891,,,,99,,,B,8/4/2020 00:00,2020-08-04T07:00:00Z,08/04 03:00,1266,,2020-08-04T00:00:00Z,946923,62399,882902,54080,,,,721523,,,,60510,2246,58264,,,,,29,1193,7382,721523,721523,8575,721523,11,0,22594b041f62918f01a51b186d9f74b569bb74a2,0,0,0,0,0,
20200803,MO,52887,660061,,889,,,,99,,,B,8/3/2020 00:00,2020-08-03T07:00:00Z,08/03 03:00,1255,,2020-08-03T00:00:00Z,936013,61559,872832,52887,,,,712948,,,,60381,2228,58153,,,,,29,1047,9434,712948,712948,10481,712948,2,0,26987997778db3f2f933f7468fed2430537d0bb5,0,0,0,0,0,
20200802,MO,51840,650627,,889,,,,96,,,B,8/2/2020 15:00,2020-08-02T22:00:00Z,08/02 18:00,1253,,2020-08-02T15:00:00Z,920290,60974,858109,51840,,,,702467,,,,59983,2215,57768,,,,,29,582,5140,702467,702467,5722,702467,0,0,cc61c1c1a2553393222838a1dc6755df2ff5c935,0,0,0,0,0,
20200801,MO,51258,645487,,812,,,,103,,,B,8/1/2020 15:00,2020-08-01T22:00:00Z,08/01 18:00,1253,,2020-08-01T15:00:00Z,910956,59544,849835,51258,,,,696745,,,,59883,2206,57677,,,,,29,935,9037,696745,696745,9972,696745,10,0,1a75d78279ed1cd34a6b70c7a70bcbb81bc1d79b,0,0,0,0,0,
20200731,MO,50323,636450,,869,,,,108,,,B,7/31/2020 15:00,2020-07-31T22:00:00Z,07/31 18:00,1243,,2020-07-31T15:00:00Z,895691,57753,836423,50323,,,,686773,,,,59610,2178,57432,,,,,29,1489,10151,686773,686773,11640,686773,10,0,e16ea937acfaef11a062accdf38d77a0dfdd04d5,0,0,0,0,0,
20200730,MO,48834,626299,,813,,,,111,,,B,7/30/2020 15:00,2020-07-30T22:00:00Z,07/30 18:00,1233,,2020-07-30T15:00:00Z,877684,54787,821441,48834,,,,675133,,,,59210,2137,57073,,,,,29,2084,12150,675133,675133,14234,675133,13,0,8413d65e5e41ee98ebb5ef9c2abdd24b98b4654d,0,0,0,0,0,
20200729,MO,46750,614149,,797,,,,112,,,B,7/29/2020 15:00,2020-07-29T22:00:00Z,07/29 18:00,1220,,2020-07-29T15:00:00Z,856436,52623,802399,46750,,,,660899,,,,58833,2114,56719,,,,,29,1927,6048,660899,660899,7975,660899,7,0,865e7c2975162370a8eee6bfddba66c346757c7f,0,0,0,0,0,
20200728,MO,44823,608101,,797,,,,112,,,B,7/28/2020 15:00,2020-07-28T22:00:00Z,07/28 18:00,1213,,2020-07-28T15:00:00Z,846657,50511,794773,44823,,,,652924,,,,58467,2087,56380,,,,,29,1773,9247,652924,652924,11020,652924,12,0,30b18c61e7efb7f6c4da81a6acab6759b8c933d2,0,0,0,0,0,
20200727,MO,43050,598854,,1057,,,,159,,,B,7/27/2020 15:00,2020-07-27T22:00:00Z,07/27 18:00,1201,,2020-07-27T15:00:00Z,830014,47812,780858,43050,,,,641904,,,,58069,2027,56042,,,,,29,1123,13830,641904,641904,14953,641904,4,0,d5a90b40cee2b846ff620e1a659e8591ec78d4f0,0,0,0,0,0,
20200726,MO,41927,585024,,1057,,,,159,,,B,7/26/2020 15:00,2020-07-26T22:00:00Z,07/26 18:00,1197,,2020-07-26T15:00:00Z,806753,47784,757625,41927,,,,626951,,,,57483,2027,55456,,,,,29,1218,6012,626951,626951,7230,626951,15,0,87880783523d1c4c2dccd4c3f095a44d619efcc1,0,0,0,0,0,
20200725,MO,40709,579012,,1057,,,,159,,,B,7/25/2020 15:00,2020-07-25T22:00:00Z,07/25 18:00,1182,,2020-07-25T15:00:00Z,795966,45726,748933,40709,,,,619721,,,,57152,1994,55158,,,,,29,1357,5749,619721,619721,7106,619721,4,0,9e76c698aaffe1bc11b07ec9cc22ce497545e2f0,0,0,0,0,0,
20200724,MO,39352,573263,,1057,,,,159,,,B,7/24/2020 15:00,2020-07-24T22:00:00Z,07/24 18:00,1178,,2020-07-24T15:00:00Z,784770,43687,739825,39352,,,,612615,,,,56784,1935,54849,,,,,29,1652,7679,612615,612615,9331,612615,-1,0,757b02c1daba1bc0c22ed19b5ff46b68ec3be317,0,0,0,0,0,
20200723,MO,37700,565584,,875,,,,86,,,B,7/23/2020 15:00,2020-07-23T22:00:00Z,07/23 18:00,1179,,2020-07-23T15:00:00Z,769616,42073,726302,37700,,,,603284,,,,56303,1909,54394,,,,,29,1637,12187,603284,603284,13824,603284,20,0,25edde92c50216c194b73e8e310a77524fe25757,0,0,0,0,0,
20200722,MO,36063,553397,,875,,,,86,,,B,7/22/2020 15:00,2020-07-22T22:00:00Z,07/22 18:00,1159,,2020-07-22T15:00:00Z,749051,40767,707077,36063,,,,589460,,,,55622,1876,53746,,,,,29,1301,7839,589460,589460,9140,589460,16,0,0310ec79625d1a7078ad2badfb597e9e0f94dae9,0,0,0,0,0,
20200721,MO,34762,545558,,875,,,,86,,,B,7/21/2020 15:00,2020-07-21T22:00:00Z,07/21 18:00,1143,,2020-07-21T15:00:00Z,739140,39567,698398,34762,,,,580320,,,,54991,1861,53130,,,,,29,1138,7270,580320,580320,8408,580320,11,0,21720186956814fb653da9ebf7665aae22983fad,0,0,0,0,0,
20200720,MO,33624,538288,,875,,,,86,,,B,7/20/2020 15:00,2020-07-20T22:00:00Z,07/20 18:00,1132,,2020-07-20T15:00:00Z,728137,38855,688187,33624,,,,571912,,,,54765,1842,52923,,,,,29,530,12303,571912,571912,12833,571912,3,0,55241f59986b2c78806fff4ad5caf227f3c0b3f2,0,0,0,0,0,
20200719,MO,33094,525985,,875,,,,86,,,B,7/19/2020 15:00,2020-07-19T22:00:00Z,07/19 18:00,1129,,2020-07-19T15:00:00Z,709043,37936,670037,33094,,,,559079,,,,53533,1829,51704,,,,,29,846,7357,559079,559079,8203,559079,-1,0,2d973c1ac9048ff49babc9fb1bfd875378b4c07d,0,0,0,0,0,
20200718,MO,32248,518628,,875,,,,86,,,B,7/18/2020 15:00,2020-07-18T22:00:00Z,07/18 18:00,1130,,2020-07-18T15:00:00Z,696291,36842,658406,32248,,,,550876,,,,52960,1817,51143,,,,,29,960,12020,550876,550876,12980,550876,9,0,074dfedaae3bae9b52c3bace8255154ba45a3a83,0,0,0,0,0,
20200717,MO,31288,506608,,875,,,,86,,,B,7/17/2020 15:00,2020-07-17T22:00:00Z,07/17 18:00,1121,,2020-07-17T15:00:00Z,677038,36023,639989,31288,,,,537896,,,,52265,1798,50467,,,,,29,866,7729,537896,537896,8595,537896,8,0,846afc8f5bc0749bf143111a7b8b961ecfbe7503,0,0,0,0,0,
20200716,MO,30422,498879,,875,,,,86,,,B,7/16/2020 15:00,2020-07-16T22:00:00Z,07/16 18:00,1113,,2020-07-16T15:00:00Z,664810,35179,628610,30422,,,,529301,,,,52063,1789,50274,,,,,29,708,10646,529301,529301,11354,529301,11,0,bf246f726062a6c8b3b1b74aefbfca87908e006a,0,0,0,0,0,
20200715,MO,29714,488233,,875,,,,86,,,B,7/15/2020 15:00,2020-07-15T22:00:00Z,07/15 18:00,1102,,2020-07-15T15:00:00Z,646880,34290,611600,29714,,,,517947,,,,51446,1779,49667,,,,,29,888,11956,517947,517947,12844,517947,9,0,593fd389e4ca3b2c7eba37379e6d0baeeaee1e0f,0,0,0,0,0,
20200714,MO,28826,476277,,811,,,,74,,,B,7/14/2020 15:00,2020-07-14T22:00:00Z,07/14 18:00,1093,,2020-07-14T15:00:00Z,633226,33231,599011,28826,,,,505103,,,,51099,1766,49333,,,,,29,936,8390,505103,505103,9326,505103,10,0,41b81425e68a234e32f061d4c801b81255ba830e,0,0,0,0,0,
20200713,MO,27890,467887,,932,,,,89,,,B,7/13/2020 15:00,2020-07-13T22:00:00Z,07/13 18:00,1083,,2020-07-13T15:00:00Z,621043,32874,587188,27890,,,,495777,,,,50495,1746,48749,,,,,29,447,9822,495777,495777,10269,495777,14,0,526c4627ff5033ba52633b0dae4b52d97bdb6d6f,0,0,0,0,0,
20200712,MO,27443,458065,,883,,,,80,,,B,7/12/2020 15:00,2020-07-12T22:00:00Z,07/12 18:00,1069,,2020-07-12T15:00:00Z,605046,32546,571520,27443,,,,485508,,,,50108,1745,48363,,,,,29,310,10648,485508,485508,10958,485508,0,0,6854d4efea30ee7620f34bcf9651d82deb7deba6,0,0,0,0,0,
20200711,MO,27133,447417,,883,,,,72,,,B,7/11/2020 15:00,2020-07-11T22:00:00Z,07/11 18:00,1069,,2020-07-11T15:00:00Z,590426,32518,556928,27133,,,,474550,,,,49395,1745,47650,,,,,29,1134,18591,474550,474550,19725,474550,18,0,01c7bba9eba10950e0c3fa13231b457a0edcf57c,0,0,0,0,0,
20200710,MO,25999,428826,,886,,,,79,,,B,7/10/2020 15:00,2020-07-10T22:00:00Z,07/10 18:00,1051,,2020-07-10T15:00:00Z,576537,31075,544522,25999,,,,454825,,,,48179,1670,46509,,,,,29,0,0,454825,454825,0,454825,0,0,ebc3bc31e40ff1321dcb7b2059e5243dd309824c,0,0,0,0,0,
20200709,MO,25999,428826,,811,,,,75,,,B,7/9/2020 15:00,2020-07-09T22:00:00Z,07/09 18:00,1051,,2020-07-09T15:00:00Z,563325,30270,532133,25999,,,,454825,,,,48179,1670,46509,,,,,29,795,11690,454825,454825,12485,454825,5,0,c0b0e335571b18009b20c8fe137b91a0cbecefda,0,0,0,0,0,
20200708,MO,25204,417136,,694,,,,74,,,B,7/8/2020 15:00,2020-07-08T22:00:00Z,07/08 18:00,1046,,2020-07-08T15:00:00Z,547352,29458,517004,25204,,,,442340,,,,47496,1661,45835,,,,,29,575,6417,442340,442340,6992,442340,4,0,f077002df7c917dc373c6f2cc3e636c9bb4e154d,0,0,0,0,0,
20200707,MO,24629,410719,,676,,,,67,,,B,7/7/2020 15:00,2020-07-07T22:00:00Z,07/07 18:00,1042,,2020-07-07T15:00:00Z,539395,28652,509876,24629,,,,435348,,,,47180,1636,45544,,,,,29,773,7830,435348,435348,8603,435348,14,0,cc7f05a8f77846f5db8a62cdfa33b32f12eaa8be,0,0,0,0,0,
20200706,MO,23856,402889,,740,,,,73,,,B,7/5/2020 15:00,2020-07-05T22:00:00Z,07/05 18:00,1028,,2020-07-05T15:00:00Z,528835,28348,499619,23856,,,,426745,,,,46848,1628,45220,,,,,29,420,6816,426745,426745,7236,426745,0,0,9e42089b4515794f587bb50a9a35b7f1a1747de2,0,0,0,0,0,
20200705,MO,23436,396073,,739,,,,72,,,B,7/5/2020 15:00,2020-07-05T22:00:00Z,07/05 18:00,1028,,2020-07-05T15:00:00Z,424214,23527,399926,23436,,,,419509,,,,46489,1626,44863,,,,,29,221,7027,419509,419509,7248,419509,1,0,3f0392a2cb24b51eb18607d48f8843458efc083e,0,0,0,0,0,
20200704,MO,23215,389046,,740,,,,73,,,B,7/4/2020 15:00,2020-07-04T22:00:00Z,07/04 18:00,1027,,2020-07-04T15:00:00Z,424214,23527,399926,23215,,,,412261,,,,46053,1614,44439,,,,,29,385,6917,412261,412261,7302,412261,1,0,6528d18badc664aeea68a125f4031e78bb3ab45d,0,0,0,0,0,
20200703,MO,22830,382129,,716,,,,78,,,B,7/3/2020 00:00,2020-07-03T07:00:00Z,07/03 03:00,1026,,2020-07-03T00:00:00Z,424214,23527,399926,22830,,,,404959,,,,45079,1581,43498,,,,,29,547,7094,404959,404959,7641,404959,4,0,8ad7c1c123f048e3bf30ef26c7abdf982a912506,0,0,0,0,0,
20200702,MO,22283,375035,,716,,,,77,,,B,7/2/2020 15:00,2020-07-02T22:00:00Z,07/02 18:00,1022,,2020-07-02T15:00:00Z,424214,23527,399926,22283,,,,397318,,,,44202,1580,42622,,,,,29,356,7222,397318,397318,7578,397318,5,0,338a7bc690342f29093477337591831107d129a5,0,0,0,0,0,
20200701,MO,21927,367813,,592,,,,75,,,B,7/1/2020 15:00,2020-07-01T22:00:00Z,07/01 18:00,1017,,2020-07-01T15:00:00Z,424214,23527,399926,21927,,,,389740,,,,43529,1568,41961,,,,,29,376,16357,389740,389740,16733,389740,2,0,47fd85d38b5e867dc5433d367300427bf94594d7,0,0,0,0,0,
20200630,MO,21551,351456,,599,,,,66,,,B,6/30/2020 15:00,2020-06-30T22:00:00Z,06/30 18:00,1015,,2020-06-30T15:00:00Z,424214,23527,399926,21551,,,,373007,,,,42984,1548,41436,,,,,29,508,5093,373007,373007,5601,373007,17,0,b2ea7097f2ff7f70208bd601976fbb390536c56e,0,0,0,0,0,
20200629,MO,21043,346363,,599,,,,,,,B,6/29/2020 15:00,2020-06-29T22:00:00Z,06/29 18:00,998,,2020-06-29T15:00:00Z,424214,23527,399926,21043,,,,367406,,,,42388,1537,40851,,,,,29,468,5765,367406,367406,6233,367406,1,0,5a758d8fb17f00712a0be808fa7eae261df5aa03,0,0,0,0,0,
20200628,MO,20575,340598,,412,,,,,,,B,6/28/2020 15:00,2020-06-28T22:00:00Z,06/28 18:00,997,,2020-06-28T15:00:00Z,424214,23527,399926,20575,,,,361173,,,,41486,1523,39963,,,,,29,314,5569,361173,361173,5883,361173,1,0,4204690bf6b00ccb2170c737cb95ef4e3991f79b,0,0,0,0,0,
20200627,MO,20261,335029,,680,,,,66,,,B,6/27/2020 15:00,2020-06-27T22:00:00Z,06/27 18:00,996,,2020-06-27T15:00:00Z,424214,23527,399926,20261,,,,355290,,,,41486,1506,39980,,,,,29,347,6325,355290,355290,6672,355290,6,0,ae201172633b2ced00782f8fbb048b36b24d02a5,0,0,0,0,0,
20200626,MO,19914,328704,,600,,,,66,,,B,6/26/2020 15:00,2020-06-26T22:00:00Z,06/26 18:00,990,,2020-06-26T15:00:00Z,424214,23527,399926,19914,,,,348618,,,,40812,1497,39315,,,,,29,493,6477,348618,348618,6970,348618,8,0,55bcc3eb87eef6bc8cc8bf439620bca040733a75,0,0,0,0,0,
20200625,MO,19421,322227,,546,,,,66,,,B,6/25/2020 15:00,2020-06-25T22:00:00Z,06/25 18:00,982,,2020-06-25T15:00:00Z,327024,21737,360303,19421,,,,341648,,,,38268,1451,37177,,,,,29,553,14071,341648,341648,14624,341648,7,0,eeb3d0f7422b61cc98df5b4940f4197b46900e89,0,0,0,0,0,
20200624,MO,18868,308156,,546,,,,66,,,B,6/24/2020 15:00,2020-06-24T22:00:00Z,06/24 18:00,975,,2020-06-24T15:00:00Z,327024,21737,360303,18868,,,,327024,,,,38268,1446,36822,,,,,29,725,8925,327024,327024,9650,327024,14,0,c3d5923ace06b499d66a92ebc9f0ea67c1b4a58f,0,0,0,0,0,
20200623,MO,18143,299231,,595,,,,66,,,B,6/22/2020 15:00,2020-06-22T22:00:00Z,06/22 18:00,961,,2020-06-22T15:00:00Z,382610,21737,360303,18143,,,,317374,,,,37664,1421,36243,,,,,29,0,0,317374,317374,0,317374,0,0,422164ba341ca1f578a9b277dca3a15438b3e841,0,0,0,0,0,
20200622,MO,18143,299231,,415,,,,66,,,B,6/22/2020 15:00,2020-06-22T22:00:00Z,06/22 18:00,961,,2020-06-22T15:00:00Z,270232,17275,252506,18143,,,,317374,,,,37664,1421,36243,,,,,29,140,2077,317374,317374,2217,317374,5,0,7ae646c22752affdcad06b2adfa9673cbf1a4dda,0,0,0,0,0,
20200621,MO,18003,297154,,415,,,,66,,,B,6/21/2020 15:00,2020-06-21T22:00:00Z,06/21 18:00,956,,2020-06-21T15:00:00Z,270232,17275,252506,18003,,,,315157,,,,37632,1419,36213,,,,,29,413,3629,315157,315157,4042,315157,1,0,698e77ca4b2781d97766fc24540b0b850a92a37a,0,0,0,0,0,
20200620,MO,17590,293525,,415,,,,66,,,B,6/20/2020 15:00,2020-06-20T22:00:00Z,06/20 18:00,955,,2020-06-20T15:00:00Z,270232,17275,252506,17590,,,,311115,,,,37210,1387,35823,,,,,29,389,4442,311115,311115,4831,311115,7,0,4158bcf7d3a274687c38638db100d3b39c1dc58a,0,0,0,0,0,
20200619,MO,17201,289083,,594,,,,70,,,B,6/19/2020 15:00,2020-06-19T22:00:00Z,06/19 18:00,948,,2020-06-19T15:00:00Z,270232,17275,252506,17201,,,,306284,,,,36650,1385,35265,,,,,29,293,8649,306284,306284,8942,306284,2,0,bba53f8249a95768997999fa697dafa53591e5e3,0,0,0,0,0,
20200618,MO,16908,280434,,533,,,,64,,,B,6/18/2020 15:00,2020-06-18T22:00:00Z,06/18 18:00,946,,2020-06-18T15:00:00Z,270232,17275,252506,16908,,,,297342,,,,36078,1363,34715,,,,,29,283,12057,297342,297342,12340,297342,37,0,c0f1790cc0908b184ec07aacc332a2015b41283a,0,0,0,0,0,
20200617,MO,16625,268377,,533,,,,66,,,B,6/17/2020 15:00,2020-06-17T22:00:00Z,06/17 18:00,909,,2020-06-17T15:00:00Z,270232,17275,252506,16625,,,,284791,,,,34945,1308,33637,,,,,29,211,0,285002,285002,211,285002,27,0,6a9c62e9060804a01bfeba29aaebe3f20f44795f,0,0,0,0,0,
20200616,MO,16414,268377,,524,,,,66,,,B,6/16/2020 15:00,2020-06-16T22:00:00Z,06/16 18:00,882,,2020-06-16T15:00:00Z,270232,17275,252506,16414,,,,284791,,,,34945,1308,33637,,,,,29,225,4625,284791,284791,4850,284791,2,0,ad45270ce9fd43107a83867c04e259167d5b8a76,0,0,0,0,0,
20200615,MO,16189,263752,,612,,,,64,,,B,6/15/2020 15:00,2020-06-15T22:00:00Z,06/15 18:00,880,,2020-06-15T15:00:00Z,270232,17275,252506,16189,,,,279941,,,,34415,1288,33127,,,,,29,379,4073,279941,279941,4452,279941,1,0,c5a5c38713ecda060b61356b7c24e998fb6987c0,0,0,0,0,0,
20200614,MO,15810,259679,,647,,,,65,,,B,6/14/2020 15:00,2020-06-14T22:00:00Z,06/14 18:00,879,,2020-06-14T15:00:00Z,270232,17275,252506,15810,,,,275489,,,,34292,1275,33017,,,,,29,0,5693,275489,275489,5693,275489,0,0,802192d3dde72139da2a897565eebb08332d571a,0,0,0,0,0,
20200613,MO,15810,253986,,595,,,,69,,,B,6/13/2020 15:00,2020-06-13T22:00:00Z,06/13 18:00,879,,2020-06-13T15:00:00Z,270232,17275,252506,15810,,,,269796,,,,33588,1275,32313,,,,,29,225,4436,269796,269796,4661,269796,7,0,b7c211d46efea8d75141d538e39912b29ecfb73a,0,0,0,0,0,
20200612,MO,15585,249550,,593,,,,69,,,B,6/12/2020 15:00,2020-06-12T22:00:00Z,06/12 18:00,872,,2020-06-12T15:00:00Z,270232,17275,252506,15585,,,,265135,,,,32452,1232,31220,,,,,29,195,5900,265135,265135,6095,265135,12,0,134d57051330396277770a266ffafee9c9b22a6e,0,0,0,0,0,
20200611,MO,15390,243650,,537,,,,59,,,B,6/11/2020 15:00,2020-06-11T22:00:00Z,06/11 18:00,860,,2020-06-11T15:00:00Z,270232,17275,252506,15390,,,,259040,,,,31470,1195,30275,,,,,29,203,7208,259040,259040,7411,259040,12,0,5b30ac378a6be94a1fdeec700f674bd4a772d032,0,0,0,0,0,
20200610,MO,15187,236442,,533,,,,59,,,B,6/10/2020 15:00,2020-06-10T22:00:00Z,06/10 18:00,848,,2020-06-10T15:00:00Z,270232,17275,252506,15187,,,,251629,,,,30893,1175,29718,,,,,29,274,5660,251629,251629,5934,251629,8,0,403e6d3558b2a66f2ef2883583b58f318cfd4485,0,0,0,0,0,
20200609,MO,14913,230782,,533,,,,59,,,B,6/9/2020 15:00,2020-06-09T22:00:00Z,06/09 18:00,840,,2020-06-09T15:00:00Z,270232,17275,252506,14913,,,,245695,,,,30136,1159,28977,,,,,29,179,4055,245695,245695,4234,245695,21,0,23293f6b95a952a7d40d7f77ce29e917ad056d14,0,0,0,0,0,
20200608,MO,14734,226727,,611,,,,76,,,B,6/8/2020 15:00,2020-06-08T22:00:00Z,06/08 18:00,819,,2020-06-08T15:00:00Z,270232,17275,252506,14734,,,,241461,,,,28745,1084,27626,,,,,29,181,4422,241461,241461,4603,241461,10,0,12c47b002583ab39680e208f9120d380d69ec30c,0,0,0,0,0,
20200607,MO,14553,222305,,657,,,,84,,,B,6/7/2020 00:00,2020-06-07T07:00:00Z,06/07 03:00,809,,2020-06-07T00:00:00Z,270232,17275,252506,14553,,,,236755,,,,29518,1117,28401,,,,,29,111,6682,236858,236858,6793,236858,0,0,594571c6c9b58b381a5cfc602c3534ce28aa95a7,0,0,0,0,0,
20200606,MO,14442,215623,,666,,,,79,,,B,6/6/2020 00:00,2020-06-06T07:00:00Z,06/06 03:00,809,,2020-06-06T00:00:00Z,270232,17275,252506,14442,,,,229867,,,,28480,1084,27396,,,,,29,189,5334,230065,230065,5523,230065,10,0,a3a981fe30451faf5e5931565f0322ca4184ae44,0,0,0,0,0,
20200605,MO,14253,210289,,666,,,,79,,,B,6/5/2020 15:00,2020-06-05T22:00:00Z,06/05 18:00,799,,2020-06-05T15:00:00Z,254990,16681,237939,14253,,,,224542,,,,27567,1061,26506,,,,,29,196,5685,224542,224542,5881,224542,13,0,690ee36afce61f3e3e0eb038d3f7ab5f7ec7372b,0,0,0,0,0,
20200604,MO,14057,204604,,599,,,,82,,,B,6/4/2020 15:00,2020-06-04T22:00:00Z,06/04 18:00,786,,2020-06-04T15:00:00Z,183650,14498,168871,13774,,,,218378,,,,26869,1041,25828,,,,,29,290,7018,218661,218661,7308,218661,0,0,464351ca3dffaac61447738759ad126934f3d8a8,0,0,0,0,0,
