date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200812,MP,49,12252,,,4,,,,,29,,8/10/2020 17:54,2020-08-11T00:54:00Z,08/10 20:54,2,4,2020-08-10T17:54:00Z,14419,,,49,2,,,12301,,,,,,,,,,,69,0,0,12301,12301,0,12301,0,0,693ac3d020bd53795bb2220db7f13f072a54c75c,0,0,0,0,0,
20200811,MP,49,12252,,,4,,,,,29,D,8/10/2020 17:54,2020-08-11T00:54:00Z,08/10 20:54,2,4,2020-08-10T17:54:00Z,14419,,,49,2,,,12301,,,,,,,,,,,69,0,0,12301,12301,0,12301,0,0,1024fb70aa0453e1ad1888fcc5324bd93abfcf0e,0,0,0,0,0,
20200810,MP,49,12252,,,4,,,,,29,D,8/8/2020 06:59,2020-08-08T13:59:00Z,08/08 09:59,2,4,2020-08-08T06:59:00Z,14419,,,49,2,,,12301,,,,,,,,,,,69,1,-1,12301,12301,0,12301,0,0,177c822e250b1b0c0ca616d8911eb22fb2ef432f,0,0,0,0,0,
20200809,MP,48,12253,,,4,,,,,29,D,8/9/2020 06:59,2020-08-09T13:59:00Z,08/09 09:59,2,4,2020-08-09T06:59:00Z,14419,,,48,2,,,12301,,,,,,,,,,,69,0,0,12301,12301,0,12301,0,0,a333802d441371b148160449662f8e0a6bb41ae3,0,0,0,0,0,
20200808,MP,48,12253,,,4,,,,,29,D,8/8/2020 06:59,2020-08-08T13:59:00Z,08/08 09:59,2,4,2020-08-08T06:59:00Z,14419,,,48,2,,,12301,,,,,,,,,,,69,1,-1,12301,12301,0,12301,0,0,cb877de83b0129475aa4a7b004ed705990aa1c20,0,0,0,0,0,
20200807,MP,47,12254,,,4,,,,,29,D,8/6/2020 04:01,2020-08-06T11:01:00Z,08/06 07:01,2,4,2020-08-06T04:01:00Z,14419,,,47,2,,,12301,,,,,,,,,,,69,0,0,12301,12301,0,12301,0,0,bd23463a1d48045f5f102efc1a1c2585405b7f5a,0,0,0,0,0,
20200806,MP,47,12254,,,4,,,,,29,D,8/6/2020 04:01,2020-08-06T11:01:00Z,08/06 07:01,2,4,2020-08-06T04:01:00Z,14419,,,47,2,,,12301,,,,,,,,,,,69,1,-1,12301,12301,0,12301,0,0,5a600e6a19ea7cd423edd623cced65fb51668df1,0,0,0,0,0,
20200805,MP,46,12255,,,4,,,,,29,D,8/5/2020 00:22,2020-08-05T07:22:00Z,08/05 03:22,2,4,2020-08-05T00:22:00Z,14419,,,46,2,,,12301,,,,,,,,,,,69,0,0,12301,12301,0,12301,0,0,aeac3b4fa2bf54f6f210c45a98ef8bb3765a30e7,0,0,0,0,0,
20200804,MP,46,12255,,,4,,,,,29,D,8/3/2020 03:26,2020-08-03T10:26:00Z,08/03 06:26,2,4,2020-08-03T03:26:00Z,14419,,,46,2,,,12301,,,,,,,,,,,69,0,0,12301,12301,0,12301,0,0,fbb1edcb867b49cf970d6b26a81fd52f47303cbc,0,0,0,0,0,
20200803,MP,46,12255,,,4,,,,,29,D,8/3/2020 03:26,2020-08-03T10:26:00Z,08/03 06:26,2,4,2020-08-03T03:26:00Z,14419,,,46,2,,,12301,,,,,,,,,,,69,1,536,12301,12301,537,12301,0,0,e6453b373535be7937012fe57fbdc1c78a9dae96,0,0,0,0,0,
20200802,MP,45,11719,,,4,,,,,29,D,8/1/2020 11:33,2020-08-01T18:33:00Z,08/01 14:33,2,4,2020-08-01T11:33:00Z,12745,,,45,2,,,11759,,,,,,,,,,,69,3,0,11764,11764,3,11764,0,0,0f500862ebb649ba8038e6c4d5ca6da129bfc64f,0,0,0,0,0,
20200801,MP,42,11719,,,4,,,,,29,D,7/30/2020 02:49,2020-07-30T09:49:00Z,07/30 05:49,2,4,2020-07-30T02:49:00Z,12745,,,42,2,,,11759,,,,,,,,,,,69,0,0,11761,11761,0,11761,0,0,98684d1145e306bae14c879fe57936bc0bb235e9,0,0,0,0,0,
20200731,MP,42,11719,,,4,,,,,29,D,7/29/2020 23:49,2020-07-30T06:49:00Z,07/30 02:49,2,4,2020-07-29T23:49:00Z,12745,,,42,2,,,11759,,,,,,,,,,,69,0,0,11761,11761,0,11761,0,0,7b2ea43d9ada3f185705d9b2dc70bbd7d85dc381,0,0,0,0,0,
20200730,MP,42,11719,,,4,,,,,29,D,7/29/2020 23:49,2020-07-30T06:49:00Z,07/30 02:49,2,4,2020-07-29T23:49:00Z,12745,,,42,2,,,11759,,,,,,,,,,,69,2,0,11761,11761,2,11761,0,0,c0e9b75b9bcce1696cb94476f0e33df6f7026a66,0,0,0,0,0,
20200729,MP,40,11719,,,4,,,,,29,D,7/29/2020 02:48,2020-07-29T09:48:00Z,07/29 05:48,2,4,2020-07-29T02:48:00Z,12745,,,40,2,,,11759,,,,,,,,,,,69,0,0,11759,11759,0,11759,0,0,235743c7687b604aa5be6c93955e14030448c158,0,0,0,0,0,
20200728,MP,40,11719,,,4,,,,,29,D,7/28/2020 01:35,2020-07-28T08:35:00Z,07/28 04:35,2,4,2020-07-28T01:35:00Z,12745,,,40,2,,,11759,,,,,,,,,,,69,0,0,11759,11759,0,11759,0,0,3c1fbaed36cec62bca68bfbfde2b67f88b7066a5,0,0,0,0,0,
20200727,MP,40,11719,,,4,,,,,29,D,7/27/2020 03:22,2020-07-27T10:22:00Z,07/27 06:22,2,4,2020-07-27T03:22:00Z,12745,,,40,2,,,11759,,,,,,,,,,,69,0,419,11759,11759,419,11759,0,0,989bbceb39ab1445a82978e2c138612014d1a482,0,0,0,0,0,
20200726,MP,40,11300,,,4,,,,,29,D,7/25/2020 23:05,2020-07-26T06:05:00Z,07/26 02:05,2,4,2020-07-25T23:05:00Z,12745,,,40,2,,,11338,,,,,,,,,,,69,1,0,11340,11340,1,11340,0,0,216dc78feb5567be4bd69c24762f37cc0f5686ba,0,0,0,0,0,
20200725,MP,39,11300,,,4,,,,,29,D,7/25/2020 07:47,2020-07-25T14:47:00Z,07/25 10:47,2,4,2020-07-25T07:47:00Z,12745,,,39,2,,,11338,,,,,,,,,,,69,1,0,11339,11339,1,11339,0,0,e19fc29de224a47e37fe122c68f938d8ab879ff1,0,0,0,0,0,
20200724,MP,38,11300,,,4,,,,,29,D,7/24/2020 02:47,2020-07-24T09:47:00Z,07/24 05:47,2,4,2020-07-24T02:47:00Z,12745,,,38,2,,,11338,,,,,,,,,,,69,0,0,11338,11338,0,11338,0,0,0bca0c31536d009e1ccc9648282cfb39b9ec0511,0,0,0,0,0,
20200723,MP,38,11300,,,4,,,,,29,D,7/22/2020 19:22,2020-07-23T02:22:00Z,07/22 22:22,2,4,2020-07-22T19:22:00Z,12745,,,38,2,,,11338,,,,,,,,,,,69,0,-1407,11338,11338,-1407,11338,0,0,02e32d6d086b4ceb816699cb933655ad6be47150,0,0,0,0,0,
20200722,MP,38,12707,,,4,,,,,29,D,7/21/2020 08:46,2020-07-21T15:46:00Z,07/21 11:46,2,4,2020-07-21T08:46:00Z,12745,,,38,2,,,11338,,,,,,,,,,,69,0,1652,12745,12745,1652,12745,0,0,294d66a6691e265367c21867b0c583ba77ee495d,0,0,0,0,0,
20200721,MP,38,11055,,,4,,,,,29,D,7/20/2020 19:53,2020-07-21T02:53:00Z,07/20 22:53,2,4,2020-07-20T19:53:00Z,12236,,,38,2,,,11092,,,,,,,,,,,69,1,0,11093,11093,1,11093,0,0,f1752e13f330cc36af54338db90fc32563b7b9b6,0,0,0,0,0,
20200720,MP,37,11055,,,4,,,,,29,D,7/19/2020 19:55,2020-07-20T02:55:00Z,07/19 22:55,2,4,2020-07-19T19:55:00Z,12236,,,37,2,,,11092,,,,,,,,,,,69,0,391,11092,11092,391,11092,0,0,7a625c81e70543ccfe61ca27fcf9f45c4edbce82,0,0,0,0,0,
20200719,MP,37,10664,,,4,,,,,29,D,7/16/2020 19:06,2020-07-17T02:06:00Z,07/16 22:06,2,4,2020-07-16T19:06:00Z,11335,,,37,2,,,10697,,,,,,,,,,,69,0,0,10701,10701,0,10701,0,0,1477e9b59cc21ec5c00558fe1351513a6053c037,0,0,0,0,0,
20200718,MP,37,10664,,,4,,,,,29,D,7/16/2020 19:06,2020-07-17T02:06:00Z,07/16 22:06,2,4,2020-07-16T19:06:00Z,11335,,,37,2,,,10697,,,,,,,,,,,69,0,0,10701,10701,0,10701,0,0,63029a2ea44a5a26d7ad52812eacbbaef13ee154,0,0,0,0,0,
20200717,MP,37,10664,,,4,,,,,29,D,7/16/2020 19:06,2020-07-17T02:06:00Z,07/16 22:06,2,4,2020-07-16T19:06:00Z,11335,,,37,2,,,10697,,,,,,,,,,,69,1,0,10701,10701,1,10701,0,0,35bc1b117f2abcfe0ea284be44aefd453955efc2,0,0,0,0,0,
20200716,MP,36,10664,,,4,,,,,29,D,7/13/2020 18:48,2020-07-14T01:48:00Z,07/13 21:48,2,4,2020-07-13T18:48:00Z,11335,,,36,2,,,10697,,,,,,,,,,,69,0,0,10700,10700,0,10700,0,0,119cec3c8a0c72a5a2f0a948f94fe474e82843ef,0,0,0,0,0,
20200715,MP,36,10664,,,4,,,,,29,D,7/14/2020 04:48,2020-07-14T11:48:00Z,07/14 07:48,2,4,2020-07-14T04:48:00Z,11335,,,36,2,,,10697,,,,,,,,,,,69,3,0,10700,10700,3,10700,0,0,4f233d26d6674ce1c86bf2ab1241f2ec375e3193,0,0,0,0,0,
