date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200811,MS,68293,436111,,1114,4738,325,,192,,49836,A+,8/10/2020 19:00,2020-08-11T02:00:00Z,08/10 22:00,1944,4738,2020-08-10T19:00:00Z,503050,,,66939,1879,65,,,17684,95,,,,,,,,,28,644,9167,504404,504404,9811,504404,32,58,f4c834562b7293bdad673e796f29342588d38b8d,0,0,0,0,0,
20200810,MS,67649,426944,,1074,4680,328,,196,,42391,A+,8/9/2020 19:00,2020-08-10T02:00:00Z,08/09 22:00,1912,4680,2020-08-09T19:00:00Z,492386,,,66334,1847,65,,,17226,95,,,,,,,,,28,476,0,494593,494593,476,494593,16,74,3b200db97acbaefee481f6fb494d0ee5aa2e7402,0,0,0,0,0,
20200809,MS,67173,426944,,1151,4606,334,,198,,42391,A+,8/7/2020 19:00,2020-08-08T02:00:00Z,08/07 22:00,1896,4606,2020-08-07T19:00:00Z,492386,,,65906,1832,64,,,17226,95,,,,,,,,,28,527,0,494117,494117,527,494117,22,0,c911ec9c4b8a54577de39b70dda8a839f376be61,0,0,0,0,0,
20200808,MS,66646,426944,,1151,4606,334,,198,,42391,A+,8/7/2020 19:00,2020-08-08T02:00:00Z,08/07 22:00,1874,4606,2020-08-07T19:00:00Z,492386,,,65442,1812,62,,,17226,95,,,,,,,,,28,1210,5168,493590,493590,6378,493590,26,29,12bda23f8fe54b3009cf841a9a4fb19e863f5d0c,0,0,0,0,0,
20200807,MS,65436,421776,,1136,4577,335,,191,,42391,A+,8/6/2020 19:00,2020-08-07T02:00:00Z,08/06 22:00,1848,4577,2020-08-06T19:00:00Z,486071,,,64295,1793,55,,,17096,95,,,,,,,,,28,1036,3635,487212,487212,4671,487212,23,66,48e77e8e6703d70e0c2b58a024404179a4b8435e,0,0,0,0,0,
20200806,MS,64400,418141,,1184,4511,337,,193,,42391,A+,8/5/2020 19:00,2020-08-06T02:00:00Z,08/05 22:00,1825,4511,2020-08-05T19:00:00Z,481443,,,63302,1772,53,,,17031,95,,,,,,,,,28,956,3763,482541,482541,4719,482541,21,39,0ca7b4baa22e7895d249baf6297b0ef96826586b,0,0,0,0,0,
20200805,MS,63444,414378,,1179,4472,329,,192,,42391,A+,8/4/2020 19:00,2020-08-05T02:00:00Z,08/04 22:00,1804,4472,2020-08-04T19:00:00Z,476762,,,62384,1754,50,,,17016,95,,,,,,,,,28,1245,12786,477822,477822,14031,477822,51,48,a4b0e2e0b8bca08fed6b958a23b079a8b2c595aa,0,0,0,0,0,
20200804,MS,62199,401592,,1164,4424,314,,173,,42391,A+,8/3/2020 19:00,2020-08-04T02:00:00Z,08/03 22:00,1753,4424,2020-08-03T19:00:00Z,460594,,,61186,1705,48,,,16566,95,,,,,,,,,28,1074,0,463791,463791,1074,463791,42,44,c8009e8996d66eb90f4d1310bcd6b6f47fad2889,0,0,0,0,0,
20200803,MS,61125,401592,,1172,4380,302,,172,,42391,A+,8/2/2020 19:00,2020-08-03T02:00:00Z,08/02 22:00,1711,4380,2020-08-02T19:00:00Z,460594,,,60147,1664,47,,,16566,95,,,,,,,,,28,572,0,462717,462717,572,462717,8,66,8e2a63aad7672ac54ef0dd53ebe4385737107592,0,0,0,0,0,
20200802,MS,60553,401592,,1172,4314,302,,172,,35071,A+,7/31/2020 19:00,2020-08-01T02:00:00Z,07/31 22:00,1703,4314,2020-07-31T19:00:00Z,460594,,,59637,1657,46,,,16566,95,,,,,,,,,28,672,0,462145,462145,672,462145,10,0,1d805f17d23f0b7cf157b16822677b60ae6b49b4,0,0,0,0,0,
20200801,MS,59881,401592,,1172,4314,302,,172,,35071,A+,7/31/2020 19:00,2020-08-01T02:00:00Z,07/31 22:00,1693,4314,2020-07-31T19:00:00Z,460594,,,59002,1648,45,,,16566,95,,,,,,,,,28,1134,5834,461473,461473,6968,461473,30,38,a3b0591d713d3f3ddcf44bcfd31a01ada9038f3a,0,0,0,0,0,
