date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200811,MT,5104,189308,,77,276,,,,,3542,C,8/11/2020 00:00,2020-08-11T07:00:00Z,08/11 03:00,77,276,2020-08-11T00:00:00Z,,,,5104,,,,194412,,,,,,,,,,,30,87,920,194412,194412,1007,194412,2,3,ebea6fa95c745dcfd617697af56469fa25a91a2b,0,0,0,0,0,
20200810,MT,5017,188388,,80,273,,,,,3413,C,8/10/2020 00:00,2020-08-10T07:00:00Z,08/10 03:00,75,273,2020-08-10T00:00:00Z,,,,5017,,,,193405,,,,,,,,,,,30,65,3394,193405,193405,3459,193405,0,1,fd1da271c2c3849190d1121c18f6b270183659ab,0,0,0,0,0,
20200809,MT,4952,184994,,83,272,,,,,3275,C,8/9/2020 00:00,2020-08-09T07:00:00Z,08/09 03:00,75,272,2020-08-09T00:00:00Z,,,,4952,,,,189946,,,,,,,,,,,30,63,1037,189946,189946,1100,189946,0,4,b344964d1b272497450867e5e42134c481b495e1,0,0,0,0,0,
20200808,MT,4889,183957,,81,268,,,,,3255,C,8/8/2020 00:00,2020-08-08T07:00:00Z,08/08 03:00,75,268,2020-08-08T00:00:00Z,,,,4889,,,,188846,,,,,,,,,,,30,132,958,188846,188846,1090,188846,5,4,1a419267ed3ac6bc135258554b88497876ea72d4,0,0,0,0,0,
20200807,MT,4757,182999,,84,264,,,,,3122,C,8/7/2020 00:00,2020-08-07T07:00:00Z,08/07 03:00,70,264,2020-08-07T00:00:00Z,,,,4757,,,,187756,,,,,,,,,,,30,155,1786,187756,187756,1941,187756,5,5,2479e8fcfdd8fab656ed0db555f29efb5051049a,0,0,0,0,0,
20200806,MT,4602,181213,,87,259,,,,,2964,C,8/6/2020 00:00,2020-08-06T07:00:00Z,08/06 03:00,65,259,2020-08-06T00:00:00Z,,,,4602,,,,185815,,,,,,,,,,,30,173,2518,185815,185815,2691,185815,0,11,1f174669ea2428856030ff7c86e79dc4544aae45,0,0,0,0,0,
20200805,MT,4429,178695,,79,248,,,,,2820,C,8/5/2020 00:00,2020-08-05T07:00:00Z,08/05 03:00,65,248,2020-08-05T00:00:00Z,,,,4429,,,,183124,,,,,,,,,,,30,115,1773,183124,183124,1888,183124,1,10,c8be6ceafa1e0ac3dd5da29f49a220ec90316a79,0,0,0,0,0,
20200804,MT,4314,176922,,70,238,,,,,2766,C,8/4/2020 00:00,2020-08-04T07:00:00Z,08/04 03:00,64,238,2020-08-04T00:00:00Z,,,,4314,,,,181236,,,,,,,,,,,30,81,1647,181236,181236,1728,181236,0,2,d264990ef1e04024f530a58dd1898626a9d4283d,0,0,0,0,0,
20200803,MT,4233,175275,,69,236,,,,,2653,C,8/3/2020 00:00,2020-08-03T07:00:00Z,08/03 03:00,64,236,2020-08-03T00:00:00Z,,,,4233,,,,179508,,,,,,,,,,,30,40,5173,179508,179508,5213,179508,3,3,901ba0684899e1c6543e697a52f2e5db406a0ae5,0,0,0,0,0,
20200802,MT,4193,170102,,72,233,,,,,2466,C,8/2/2020 00:00,2020-08-02T07:00:00Z,08/02 03:00,61,233,2020-08-02T00:00:00Z,,,,4193,,,,174295,,,,,,,,,,,30,112,2630,174295,174295,2742,174295,0,3,5b987602866a311e10be97011dc6b8eb03f184c2,0,0,0,0,0,
20200801,MT,4081,167472,,71,230,,,,,2456,C,8/1/2020 00:00,2020-08-01T07:00:00Z,08/01 03:00,61,230,2020-08-01T00:00:00Z,,,,4081,,,,171553,,,,,,,,,,,30,116,1467,171553,171553,1583,171553,1,0,0f1be621b5969f5ae1c1e336ec2e9a2cc4368c53,0,0,0,0,0,
20200731,MT,3965,166005,,71,230,,,,,2331,C,7/31/2020 00:00,2020-07-31T07:00:00Z,07/31 03:00,60,230,2020-07-31T00:00:00Z,,,,3965,,,,169970,,,,,,,,,,,30,151,1203,169970,169970,1354,169970,5,9,509d6429bd2b5497cf797307c21793e35a776fc6,0,0,0,0,0,
20200730,MT,3814,164802,,69,221,,,,,2240,C,7/30/2020 00:00,2020-07-30T07:00:00Z,07/30 03:00,55,221,2020-07-30T00:00:00Z,,,,3814,,,,168616,,,,,,,,,,,30,138,3123,168616,168616,3261,168616,1,10,ec12e3d57e99fc4bef50a960f4d9c6fb8142bb45,0,0,0,0,0,
20200729,MT,3676,161679,,59,211,,,,,2212,C,7/29/2020 00:00,2020-07-29T07:00:00Z,07/29 03:00,54,211,2020-07-29T00:00:00Z,,,,3676,,,,165355,,,,,,,,,,,30,201,3746,165355,165355,3947,165355,3,6,532cce5a7ec8d3c6017954198c297f10666ca533,0,0,0,0,0,
20200728,MT,3475,157933,,62,205,,,,,2104,C,7/28/2020 00:00,2020-07-28T07:00:00Z,07/28 03:00,51,205,2020-07-28T00:00:00Z,,,,3475,,,,161408,,,,,,,,,,,30,94,2659,161408,161408,2753,161408,4,4,39a2c529c406cff19ca1f92ea4bbb8a9ae1e3d20,0,0,0,0,0,
20200727,MT,3381,155274,,61,201,,,,,2090,C,7/27/2020 00:00,2020-07-27T07:00:00Z,07/27 03:00,47,201,2020-07-27T00:00:00Z,,,,3381,,,,158655,,,,,,,,,,,30,39,6301,158655,158655,6340,158655,1,2,29d79261c113d8fd1bb1123086f001a9d3ee7970,0,0,0,0,0,
20200726,MT,3342,148973,,62,199,,,,,2079,C,7/26/2020 00:00,2020-07-26T07:00:00Z,07/26 03:00,46,199,2020-07-26T00:00:00Z,,,,3342,,,,152315,,,,,,,,,,,30,82,1218,152315,152315,1300,152315,0,4,d0054e692eda57c278b8ae6f5d8feb3ada378847,0,0,0,0,0,
