date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200812,NC,139061,1684222,,1062,,311,,,,116969,,8/12/2020 14:15,2020-08-12T21:15:00Z,08/12 17:15,2249,,2020-08-12T14:15:00Z,1823283,,,139061,2249,,,,,,,,,,,,,,37,1166,-195381,1823283,1823283,-194215,1823283,45,0,42ffe5368a477ac5106a8733aab9c2fe1529071f,0,0,0,0,0,
20200811,NC,137895,1879603,,1122,,329,,,,116969,A+,8/11/2020 15:40,2020-08-11T22:40:00Z,08/11 18:40,2204,,2020-08-11T15:40:00Z,2017498,,,137895,2204,,,,,,,,,,,,,,37,1051,14528,2017498,2017498,15579,2017498,32,0,5859ae76ace0284214532006555c0ae6aa109b1c,0,0,0,0,0,
20200810,NC,136844,1865075,,1111,,317,,,,105093,A+,8/10/2020 14:20,2020-08-10T21:20:00Z,08/10 17:20,2172,,2020-08-10T14:20:00Z,2001919,,,136844,2172,,,,,,,,,,,,,,37,626,14745,2001919,2001919,15371,2001919,4,0,2bfbb18331c0003fcefb5efd92e99ce7c5f60913,0,0,0,0,0,
20200809,NC,136218,1850330,,1109,,315,,,,105093,A+,8/9/2020 11:55,2020-08-09T18:55:00Z,08/09 14:55,2168,,2020-08-09T11:55:00Z,1986548,,,136218,2168,,,,,,,,,,,,,,37,1452,15330,1986548,1986548,16782,1986548,8,0,646b490a3c12c4144f7c59e0ea56856003bdba1c,0,0,0,0,0,
20200808,NC,134766,1835000,,1129,,335,,,,105093,A+,8/8/2020 12:10,2020-08-08T19:10:00Z,08/08 15:10,2160,,2020-08-08T12:10:00Z,1969766,,,134766,2160,,,,,,,,,,,,,,37,1954,28000,1969766,1969766,29954,1969766,26,0,a7ff278a405fee397f803bf2d3ed9cd733a3f04a,0,0,0,0,0,
20200807,NC,132812,1807000,,1123,,339,,,,105093,A+,8/7/2020 12:00,2020-08-07T19:00:00Z,08/07 15:00,2134,,2020-08-07T12:00:00Z,1939812,,,132812,2134,,,,,,,,,,,,,,37,1545,33517,1939812,1939812,35062,1939812,42,0,c09df2126406477f0d9ba2af8802e19be7b1f43e,0,0,0,0,0,
20200806,NC,131267,1773483,,1147,,333,,,,105093,A+,8/6/2020 12:00,2020-08-06T19:00:00Z,08/06 15:00,2092,,2020-08-06T12:00:00Z,1904750,,,131267,2092,,,,,,,,,,,,,,37,1979,29103,1904750,1904750,31082,1904750,42,0,76692e49f62b8c56d59e9b22e56387b6bdbaabe1,0,0,0,0,0,
20200805,NC,129288,1744380,,1167,,346,,,,105093,A+,8/5/2020 12:00,2020-08-05T19:00:00Z,08/05 15:00,2050,,2020-08-05T12:00:00Z,1873668,,,129288,2050,,,,,,,,,,,,,,37,1127,18515,1873668,1873668,19642,1873668,40,0,146620ef80c5ffd1d23810786ba8421cdbf95b54,0,0,0,0,0,
20200804,NC,128161,1725865,,1166,,339,,,,105093,A+,8/4/2020 12:30,2020-08-04T19:30:00Z,08/04 15:30,2010,,2020-08-04T12:30:00Z,1854026,,,128161,2010,,,,,,,,,,,,,,37,1629,14987,1854026,1854026,16616,1854026,28,0,d25bad710ccb46e470691957fab5ca042805dbc3,0,0,0,0,0,
20200803,NC,126532,1710878,,1057,,318,,,,105093,A+,8/3/2020 13:10,2020-08-03T20:10:00Z,08/03 16:10,1982,,2020-08-03T13:10:00Z,1837410,,,126532,1982,,,,,,,,,,,,,,37,1313,22587,1837410,1837410,23900,1837410,13,0,f654be56eaa088618acfa641f73527957b41977c,0,0,0,0,0,
