date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200811,ND,7885,163973,,55,430,,,,,6668,C,8/11/2020 00:00,2020-08-11T07:00:00Z,08/11 03:00,102,430,2020-08-11T00:00:00Z,368487,,,7885,98,4,,171858,7745,275,7470,,,,,,,,38,172,1847,171858,171858,2019,171858,1,13,366676b9fdcfb5fcae8f58d617ed2a248fdbece7,0,0,0,0,0,
20200810,ND,7713,162126,,48,417,,,,,6434,C,8/10/2020 00:00,2020-08-10T07:00:00Z,08/10 03:00,101,417,2020-08-10T00:00:00Z,362730,,,7713,97,4,,169839,7675,272,7403,,,,,,,,38,117,1050,169839,169839,1167,169839,3,2,3c348467bdfcaffff9693a930002ba0d8746e26f,0,0,0,0,0,
20200809,ND,7596,161076,,47,415,,,,,6355,C,8/9/2020 00:00,2020-08-09T07:00:00Z,08/09 03:00,98,415,2020-08-09T00:00:00Z,358142,,,7596,94,4,,168672,7663,272,7391,,,,,,,,38,88,1217,168672,168672,1305,168672,0,1,0e6fdf5e7ab85060647a6b7811985216c576d2e1,0,0,0,0,0,
20200808,ND,7508,159859,,49,414,,,,,6268,C,8/8/2020 00:00,2020-08-08T07:00:00Z,08/08 03:00,98,414,2020-08-08T00:00:00Z,352480,,,7508,94,4,,167367,7654,272,7382,,,,,,,,38,181,1485,167367,167367,1666,167367,0,6,0681d1431c97fd6cbebec933d380abf708ae1335,0,0,0,0,0,
20200807,ND,7327,158374,,48,408,,,,,6164,C,8/7/2020 00:00,2020-08-07T07:00:00Z,08/07 03:00,98,408,2020-08-07T00:00:00Z,346437,,,7327,94,4,,165701,7609,272,7337,,,,,,,,38,150,1832,165701,165701,1982,165701,0,8,84b6470a64f54766dd09ef48de9e2fdb14c2745a,0,0,0,0,0,
20200806,ND,7177,156542,,46,400,,,,,5949,C,8/6/2020 00:00,2020-08-06T07:00:00Z,08/06 03:00,98,400,2020-08-06T00:00:00Z,341001,,,7177,94,4,,163719,7561,271,7290,,,,,,,,38,120,1585,163719,163719,1705,163719,2,6,428075b0ec9bb6391bf3f911d1a436848c556404,0,0,0,0,0,
20200805,ND,7057,154957,,42,394,,,,,5837,C,8/5/2020 00:00,2020-08-05T07:00:00Z,08/05 03:00,96,394,2020-08-05T00:00:00Z,335542,,,7057,92,4,,162014,7494,268,7226,,,,,,,,38,124,1420,162014,162014,1544,162014,0,5,dc7dc92b46c77f9e56867ef2a3aaf85604929f77,0,0,0,0,0,
20200804,ND,6933,153537,,51,389,,,,,5715,C,8/4/2020 00:00,2020-08-04T07:00:00Z,08/04 03:00,96,389,2020-08-04T00:00:00Z,329812,,,6933,92,4,,160470,7457,266,7191,,,,,,,,38,148,1571,160470,160470,1719,160470,1,10,20df9690a53672a69c615cc327d072ae1430f3f1,0,0,0,0,0,
20200803,ND,6785,151966,,46,379,,,,,5590,C,8/3/2020 00:00,2020-08-03T07:00:00Z,08/03 03:00,95,379,2020-08-03T00:00:00Z,324901,,,6785,91,4,,158751,7399,263,7136,,,,,,,,38,183,2383,158751,158751,2566,158751,0,8,5c57b07bcc27cf4043ea39b84f8f732721e8d4e2,0,0,0,0,0,
20200802,ND,6602,149583,,45,371,,,,,5396,C,8/1/2020 00:00,2020-08-01T07:00:00Z,08/01 03:00,95,371,2020-08-01T00:00:00Z,316217,,,6602,91,4,,156185,7374,262,7112,,,,,,,,38,0,0,156185,156185,0,156185,0,0,300717a0f00a5e447eae79f1841bd5b69cf76059,0,0,0,0,0,
