date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200812,NE,29030,279432,,157,1880,,,,,21312,,8/11/2020 19:15,2020-08-12T02:15:00Z,08/11 22:15,351,1880,2020-08-11T19:15:00Z,,,,29030,,,,308755,,,,,,,,,,,31,334,2396,308462,308462,2730,308462,3,139,355a08094a2d4622e9ac298e65f87f3678676029,0,0,0,0,0,
20200811,NE,28696,277036,,162,1741,,,,,21113,A,8/10/2020 15:20,2020-08-10T22:20:00Z,08/10 18:20,348,1741,2020-08-10T15:20:00Z,,,,28696,,,,306023,,,,,,,,,,,31,264,2833,305732,305732,3097,305732,3,19,c8f45e0268f091cdafedb0a590c64c312371e287,0,0,0,0,0,
20200810,NE,28432,274203,,146,1722,,,,,20896,A,8/9/2020 15:20,2020-08-09T22:20:00Z,08/09 18:20,345,1722,2020-08-09T15:20:00Z,,,,28432,,,,302926,,,,,,,,,,,31,187,2774,302635,302635,2961,302635,0,7,33ad9fb1bf52813e525a61d437f2b5b34d3d97d8,0,0,0,0,0,
20200809,NE,28245,271429,,147,1715,,,,,20746,A,8/8/2020 22:45,2020-08-09T05:45:00Z,08/09 01:45,345,1715,2020-08-08T22:45:00Z,,,,28245,,,,299967,,,,,,,,,,,31,141,1995,299674,299674,2136,299674,0,11,dcef9bd3d143a9db09f725d1b19296fa8d4fc511,0,0,0,0,0,
20200808,NE,28104,269434,,156,1704,,,,,20333,A,8/7/2020 20:15,2020-08-08T03:15:00Z,08/07 23:15,345,1704,2020-08-07T20:15:00Z,,,,28104,,,,297832,,,,,,,,,,,31,283,3353,297538,297538,3636,297538,5,16,7ef6400f2c34d338d4ba9ef7a1f8263bb0079f48,0,0,0,0,0,
20200807,NE,27821,266081,,151,1688,,,,,20176,A,8/6/2020 20:15,2020-08-07T03:15:00Z,08/06 23:15,340,1688,2020-08-06T20:15:00Z,,,,27821,,,,294198,,,,,,,,,,,31,332,3389,293902,293902,3721,293902,5,7,695ad49acea6d8220c0e74bf6a2c60af45ee3e37,0,0,0,0,0,
20200806,NE,27489,262692,,148,1681,,,,,19885,A,8/5/2020 20:30,2020-08-06T03:30:00Z,08/05 23:30,335,1681,2020-08-05T20:30:00Z,,,,27489,,,,290477,,,,,,,,,,,31,311,2765,290181,290181,3076,290181,3,37,b6ccbb04706713a6aee48e1bcaa1addd6e51e516,0,0,0,0,0,
20200805,NE,27178,259927,,151,1644,,,,,19764,A,8/4/2020 20:30,2020-08-05T03:30:00Z,08/04 23:30,332,1644,2020-08-04T20:30:00Z,,,,27178,,,,287394,,,,,,,,,,,31,222,3024,287105,287105,3246,287105,0,0,29078f612aa3b7b375c8b10843e49b2e6096200b,0,0,0,0,0,
20200804,NE,26956,256903,,152,1644,,,,,19677,A,8/3/2020 20:35,2020-08-04T03:35:00Z,08/03 23:35,332,1644,2020-08-03T20:35:00Z,,,,26956,,,,284145,,,,,,,,,,,31,254,2499,283859,283859,2753,283859,0,14,d7baf8de2a1004a038cf70795cb83186edf3c9c6,0,0,0,0,0,
20200803,NE,26702,254404,,144,1630,,,,,19575,A,8/2/2020 20:10,2020-08-03T03:10:00Z,08/02 23:10,332,1630,2020-08-02T20:10:00Z,,,,26702,,,,281387,,,,,,,,,,,31,311,3552,281106,281106,3863,281106,0,1,a7fc42c0f2fcc0b87280a3b6bac8c0b9b4ee2ce7,0,0,0,0,0,
20200802,NE,26391,250852,,142,1629,,,,,19325,A,8/1/2020 20:10,2020-08-02T03:10:00Z,08/01 23:10,332,1629,2020-08-01T20:10:00Z,,,,26391,,,,277526,,,,,,,,,,,31,180,1804,277243,277243,1984,277243,0,7,585c817048c02093f132373c521df16351744def,0,0,0,0,0,
20200801,NE,26211,249048,,152,1622,,,,,19172,A,7/31/2020 20:10,2020-08-01T03:10:00Z,07/31 23:10,332,1622,2020-07-31T20:10:00Z,,,,26211,,,,275544,,,,,,,,,,,31,445,3858,275259,275259,4303,275259,4,12,e260e8da2962c902008440a47a6518ec28dd7ad6,0,0,0,0,0,
