date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200812,NH,6887,173564,,18,705,,213,,,6162,,8/12/2020 09:00,2020-08-12T16:00:00Z,08/12 12:00,420,705,2020-08-12T09:00:00Z,,,,6887,,,,180451,,,,28195,,,,,,,33,26,5026,180451,180451,5052,180451,1,0,16332a529541fa449999ef947af2947877b41b05,0,0,0,0,0,
20200811,NH,6861,168538,,21,705,,211,,,6126,B,8/11/2020 09:00,2020-08-11T16:00:00Z,08/11 12:00,419,705,2020-08-11T09:00:00Z,,,,6861,,,,175399,,,,28105,,,,,,,33,21,1100,175399,175399,1121,175399,0,1,2185d87ce090986fc2d074f38d51ee45e4c8a72c,0,0,0,0,0,
20200810,NH,6840,167438,,20,704,,210,,,6095,B,8/10/2020 09:00,2020-08-10T16:00:00Z,08/10 12:00,419,704,2020-08-10T09:00:00Z,,,,6840,,,,174278,,,,28046,,,,,,,33,9,1684,174278,174278,1693,174278,0,3,752bc04d4b0773fb1dee2a444ea000fe07bbe5ee,0,0,0,0,0,
20200809,NH,6831,165754,,23,701,,210,,,6063,B,8/9/2020 09:00,2020-08-09T16:00:00Z,08/09 12:00,419,701,2020-08-09T09:00:00Z,,,,6831,,,,172585,,,,27975,,,,,,,33,13,1321,172585,172585,1334,172585,0,1,98ce8888f3c3ddc7b416f9a3a0f9235406b7cbe2,0,0,0,0,0,
20200808,NH,6818,164433,,24,700,,209,,,6049,B,8/8/2020 09:00,2020-08-08T16:00:00Z,08/08 12:00,419,700,2020-08-08T09:00:00Z,,,,6818,,,,171251,,,,27857,,,,,,,33,76,2710,171251,171251,2786,171251,0,1,e431c85e4f353934d1a489916c38251fdb7b4998,0,0,0,0,0,
20200807,NH,6742,161723,,21,699,,209,,,5941,B,8/6/2020 09:00,2020-08-06T16:00:00Z,08/06 12:00,419,699,2020-08-06T09:00:00Z,,,,6742,,,,168465,,,,27611,,,,,,,33,23,1035,168465,168465,1058,168465,1,1,d8645152b1ed666655b712fc9382521a3fb8a986,0,0,0,0,0,
20200806,NH,6719,160688,,20,698,,209,,,5923,B,8/5/2020 09:00,2020-08-05T16:00:00Z,08/05 12:00,418,698,2020-08-05T09:00:00Z,,,,6719,,,,167407,,,,27506,,,,,,,33,26,1405,167407,167407,1431,167407,0,0,c8bfc3de67cb746ea1a01ccc2e6bc331060dadee,0,0,0,0,0,
20200805,NH,6693,159283,,23,698,,209,,,5915,B,8/4/2020 09:00,2020-08-04T16:00:00Z,08/04 12:00,418,698,2020-08-04T09:00:00Z,,,,6693,,,,165976,,,,27364,,,,,,,33,33,1107,165976,165976,1140,165976,1,1,94244c00d2ad19b0b1fed2b228fea6c48acc78f5,0,0,0,0,0,
20200804,NH,6660,158176,,23,697,,209,,,5848,B,8/3/2020 09:00,2020-08-03T16:00:00Z,08/03 12:00,417,697,2020-08-03T09:00:00Z,,,,6660,,,,164836,,,,27314,,,,,,,33,26,2188,164836,164836,2214,164836,0,1,5538511d843a3f8cadd0d6ac63c581918f05a9c0,0,0,0,0,0,
20200803,NH,6634,155988,,24,696,,209,,,5820,B,8/2/2020 09:00,2020-08-02T16:00:00Z,08/02 12:00,417,696,2020-08-02T09:00:00Z,,,,6634,,,,162622,,,,27251,,,,,,,33,21,1639,162622,162622,1660,162622,1,1,c3054a2b091072b492a0d3b4cd1e4257adfbfd13,0,0,0,0,0,
