date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200811,NJ,185475,2164835,,538,22052,101,,43,,33223,A+,8/11/2020 00:00,2020-08-11T07:00:00Z,08/11 03:00,15890,22052,2020-08-11T00:00:00Z,,,,185475,14037,1853,,2350310,,,,,,,,,,,34,444,25820,2350310,2350310,26264,2350310,12,60,ed4495f11d05d468f024c46ffd148c69b4fbfb29,0,0,0,0,0,
20200810,NJ,185031,2139015,,545,21992,83,,29,,33013,A+,8/10/2020 00:00,2020-08-10T07:00:00Z,08/10 03:00,15878,21992,2020-08-10T00:00:00Z,,,,185031,14025,1853,,2324046,,,,,,,,,,,34,258,21936,2324046,2324046,22194,2324046,4,0,a6075d1ce44ea370e90290a31bda9054b88bdd33,0,0,0,0,0,
20200809,NJ,184773,2117079,,483,21992,83,,31,,32977,A+,8/9/2020 00:00,2020-08-09T07:00:00Z,08/09 03:00,15874,21992,2020-08-09T00:00:00Z,,,,184773,14021,1853,,2301852,,,,,,,,,,,34,344,48716,2301852,2301852,49060,2301852,5,43,1b4977f8f44009574eba104d1a17bbb01226f1a9,0,0,0,0,0,
20200808,NJ,184429,2068363,,540,21949,94,,34,,32956,A+,8/8/2020 00:00,2020-08-08T07:00:00Z,08/08 03:00,15869,21949,2020-08-08T00:00:00Z,,,,184429,14016,1853,,2252792,,,,,,,,,,,34,368,-368,2252792,2252792,0,2252792,9,0,b1b94c2d50f4d9f4c8a4ac838958cca20f9d1f13,0,0,0,0,0,
20200807,NJ,184061,2068731,,551,21949,120,,73,,32956,A+,8/7/2020 00:00,2020-08-07T07:00:00Z,08/07 03:00,15860,21949,2020-08-07T00:00:00Z,,,,184061,14007,1853,,2252792,,,,,,,,,,,34,360,22187,2252792,2252792,22547,2252792,11,384,c8ac06aff31c8f780cdcb448d819424b6cb36c3d,0,0,0,0,0,
20200806,NJ,183701,2046544,,754,21565,129,,54,,32811,A+,8/6/2020 00:00,2020-08-06T07:00:00Z,08/06 03:00,15849,21565,2020-08-06T00:00:00Z,,,,183701,13996,1853,,2230245,,,,,,,,,,,34,374,42853,2230245,2230245,43227,2230245,7,0,ae3db2919560d11b8595c1b6728fa75530844e39,0,0,0,0,0,
20200805,NJ,183327,2003691,,784,21565,117,,47,,32749,A+,8/5/2020 00:00,2020-08-05T07:00:00Z,08/05 03:00,15842,21565,2020-08-05T00:00:00Z,,,,183327,13989,1853,,2187018,,,,,,,,,,,34,357,21725,2187018,2187018,22082,2187018,7,0,e9d125428d5b518182f8e8a95e1a4ba1282a75bd,0,0,0,0,0,
20200804,NJ,182970,1981966,,470,21565,126,,53,,32697,A+,8/4/2020 00:00,2020-08-04T07:00:00Z,08/04 03:00,15835,21565,2020-08-04T00:00:00Z,,,,182970,13982,1853,,2164580,,,,,,,,,,,34,356,0,2164936,2164936,356,2164936,11,0,0d762ba7a858d4fdb73a72c648b7a99e2f24a655,0,0,0,0,0,
20200803,NJ,182614,1981966,,738,21565,144,,49,,32660,A+,8/3/2020 00:00,2020-08-03T07:00:00Z,08/03 03:00,15824,21565,2020-08-03T00:00:00Z,,,,182614,13971,1853,,2164580,,,,,,,,,,,34,264,18438,2164580,2164580,18702,2164580,10,0,a3eeb8d14ac819a0a61b8eb30f40cc9beb433253,0,0,0,0,0,
20200802,NJ,182350,1963528,,695,21565,113,,45,,32475,A+,8/2/2020 00:00,2020-08-02T07:00:00Z,08/02 03:00,15814,21565,2020-08-02T00:00:00Z,,,,182350,13961,1853,,2145878,,,,,,,,,,,34,321,48859,2145878,2145878,49180,2145878,6,0,1d8f003f576e48c1e23ecfffcd09f2d066a50a12,0,0,0,0,0,
