date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200811,NM,22444,610553,,127,2870,,,,,9428,B,8/10/2020 17:50,2020-08-11T00:50:00Z,08/10 20:50,690,2870,2020-08-10T17:50:00Z,,,,22444,,,,632997,,,,,,,,,,,35,129,5241,632997,632997,5370,632997,5,19,c4e620fc0a0aa7a446a48ad66a0e145af522d686,0,0,0,0,0,
20200810,NM,22315,605312,,121,2851,,,,,9319,B,8/9/2020 17:30,2020-08-10T00:30:00Z,08/09 20:30,685,2851,2020-08-09T17:30:00Z,,,,22315,,,,627627,,,,,,,,,,,35,200,7299,627627,627627,7499,627627,4,13,ef656ada38c934d92a0d545e2a7f1ddee79e5907,0,0,0,0,0,
20200809,NM,22115,598013,,127,2838,,,,,9262,B,8/8/2020 17:50,2020-08-09T00:50:00Z,08/08 20:50,681,2838,2020-08-08T17:50:00Z,,,,22115,,,,620128,,,,,,,,,,,35,150,7124,620128,620128,7274,620128,6,19,14e342a47323a581834f57ac498703fb658d0478,0,0,0,0,0,
20200808,NM,21965,590889,,132,2819,,,,,9166,B,8/7/2020 17:50,2020-08-08T00:50:00Z,08/07 20:50,675,2819,2020-08-07T17:50:00Z,,,,21965,,,,612854,,,,,,,,,,,35,192,8280,612854,612854,8472,612854,6,16,12b46234e3b0a6ef9f4909ddd9df0a35f79332e8,0,0,0,0,0,
20200807,NM,21773,582609,,138,2803,,,,,8950,B,8/6/2020 17:52,2020-08-07T00:52:00Z,08/06 20:52,669,2803,2020-08-06T17:52:00Z,,,,21773,,,,604382,,,,,,,,,,,35,207,6767,604382,604382,6974,604382,2,22,50258b09422f91157b154c6ebfb1f9a2846101f6,0,0,0,0,0,
20200806,NM,21566,575842,,138,2781,,,,,8828,B,8/5/2020 17:50,2020-08-06T00:50:00Z,08/05 20:50,667,2781,2020-08-05T17:50:00Z,,,,21566,,,,597408,,,,,,,,,,,35,226,6357,597408,597408,6583,597408,9,28,cd0c72f0c861a7ad072bc7482979681ca0c29bf0,0,0,0,0,0,
20200805,NM,21340,569485,,133,2753,,,,,8685,B,8/4/2020 17:54,2020-08-05T00:54:00Z,08/04 20:54,658,2753,2020-08-04T17:54:00Z,,,,21340,,,,590825,,,,,,,,,,,35,210,12805,590825,590825,13015,590825,3,23,0167c101f4c7698dfd1de0aef4d21ea45fbd48b6,0,0,0,0,0,
20200804,NM,21130,556680,,131,2730,,,,,8463,B,8/3/2020 17:50,2020-08-04T00:50:00Z,08/03 20:50,655,2730,2020-08-03T17:50:00Z,,,,21130,,,,577810,,,,,,,,,,,35,114,3443,577810,577810,3557,577810,1,10,a4a1378f51533482701854d1f493017692c729fc,0,0,0,0,0,
20200803,NM,21016,553237,,127,2720,,,,,8343,B,8/2/2020 17:50,2020-08-03T00:50:00Z,08/02 20:50,654,2720,2020-08-02T17:50:00Z,,,,21016,,,,574253,,,,,,,,,,,35,220,8147,574253,574253,8367,574253,3,17,21790a149c433c8ed5c90f39ab0c79c767fee4be,0,0,0,0,0,
20200802,NM,20796,545090,,134,2703,,,,,8286,B,8/1/2020 17:50,2020-08-02T00:50:00Z,08/01 20:50,651,2703,2020-08-01T17:50:00Z,,,,20796,,,,565886,,,,,,,,,,,35,196,7678,565886,565886,7874,565886,9,17,2fc49dbd4ef66715a9407d121ddb5607b7d41185,0,0,0,0,0,
20200801,NM,20600,537412,,152,2686,,,,,8139,B,7/31/2020 17:50,2020-08-01T00:50:00Z,07/31 20:50,642,2686,2020-07-31T17:50:00Z,,,,20600,,,,558012,,,,,,,,,,,35,212,6163,558012,558012,6375,558012,7,19,5818d5542a997728c1ac56737c682d95097470dd,0,0,0,0,0,
20200731,NM,20388,531249,,156,2667,,,,,8015,B,7/30/2020 19:31,2020-07-31T02:31:00Z,07/30 22:31,635,2667,2020-07-30T19:31:00Z,,,,20388,,,,551637,,,,,,,,,,,35,252,6774,551637,551637,7026,551637,3,24,49268dd57087e851e65b66230e33f4a36ee6b457,0,0,0,0,0,
20200730,NM,20136,524475,,158,2643,,,,,7817,B,7/30/2020 17:31,2020-07-31T00:31:00Z,07/30 20:31,632,2643,2020-07-30T17:31:00Z,,,,20136,,,,544611,,,,,,,,,,,35,345,7413,544611,544611,7758,544611,6,29,49244275004c59cd3cfa05313021c8198fcc32ec,0,0,0,0,0,
20200729,NM,19791,517062,,160,2614,,,,,7657,B,7/28/2020 17:50,2020-07-29T00:50:00Z,07/28 20:50,626,2614,2020-07-28T17:50:00Z,,,,19791,,,,536853,,,,,,,,,,,35,289,7674,536853,536853,7963,536853,7,24,a694af9d8ef4b1b3b0b4b95bb78a5ac35c0ec043,0,0,0,0,0,
20200728,NM,19502,509388,,159,2590,,,,,7459,B,7/27/2020 17:50,2020-07-28T00:50:00Z,07/27 20:50,619,2590,2020-07-27T17:50:00Z,,,,19502,,,,528890,,,,,,,,,,,35,460,7712,528890,528890,8172,528890,5,30,9fcebf660e9a8a4eb382d26f6a077cbecda4e36e,0,0,0,0,0,
20200727,NM,19042,501676,,144,2560,,,,,7349,B,7/26/2020 17:30,2020-07-27T00:30:00Z,07/26 20:30,614,2560,2020-07-26T17:30:00Z,,,,19042,,,,520718,,,,,,,,,,,35,254,8039,520718,520718,8293,520718,7,18,25a6cccede07b7122210651eb20111ae1ff6b07a,0,0,0,0,0,
