date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200812,NV,58048,469487,,998,,268,,177,,1385,,8/12/2020 02:59,2020-08-12T09:59:00Z,08/12 05:59,996,,2020-08-12T02:59:00Z,717306,,,58048,,,,527501,,,,,,,,,,,32,528,2258,527535,527535,2786,527535,15,0,d889a55b2821ada1fb3c335e0025133e83ecb8f9,0,0,0,0,0,
20200811,NV,57520,467229,,971,,257,,171,,1361,A+,8/11/2020 02:59,2020-08-11T09:59:00Z,08/11 05:59,981,,2020-08-11T02:59:00Z,712619,,,57520,,,,524812,,,,,,,,,,,32,548,2009,524749,524749,2557,524749,18,0,7c933d6371fbab0b87a0bd346c2202009e9df886,0,0,0,0,0,
20200810,NV,56972,465220,,1014,,266,,172,,1326,A+,8/10/2020 13:00,2020-08-10T20:00:00Z,08/10 16:00,963,,2020-08-10T13:00:00Z,708461,,,56972,,,,522403,,,,,,,,,,,32,742,3846,522192,522192,4588,522192,6,0,3c4ca7411046888dd8c2a4e46a2eb6d585a00b54,0,0,0,0,0,
20200809,NV,56230,461374,,976,,278,,173,,1297,A+,8/9/2020 02:59,2020-08-09T09:59:00Z,08/09 05:59,957,,2020-08-09T02:59:00Z,700212,,,56230,,,,517740,,,,,,,,,,,32,811,3774,517604,517604,4585,517604,8,0,3ff4f20b6f4607d8f0ea9edb18cf2e0678807d5b,0,0,0,0,0,
20200808,NV,55419,457600,,976,,278,,173,,1297,A+,8/8/2020 02:59,2020-08-08T09:59:00Z,08/08 05:59,949,,2020-08-08T02:59:00Z,691615,,,55419,,,,513036,,,,,,,,,,,32,886,5135,513019,513019,6021,513019,29,0,6f3b8d09db87999e0eab82acf700edf6eb75fa4d,0,0,0,0,0,
20200807,NV,54533,452465,,1035,,289,,178,,1297,A+,8/7/2020 02:59,2020-08-07T09:59:00Z,08/07 05:59,920,,2020-08-07T02:59:00Z,679482,,,54533,,,,506737,,,,,,,,,,,32,976,5827,506998,506998,6803,506998,20,0,cb294f6a731dd0c2e5a59b1d6e4a581f673a7c62,0,0,0,0,0,
20200806,NV,53557,446638,,1117,,307,,208,,1251,A+,8/6/2020 02:59,2020-08-06T09:59:00Z,08/06 05:59,900,,2020-08-06T02:59:00Z,666990,,,53557,,,,499606,,,,,,,,,,,32,729,8349,500195,500195,9078,500195,10,0,f8f44a136c464271d6e728f46cc0e91f614a1adc,0,0,0,0,0,
20200805,NV,52828,438289,,1148,,320,,214,,1234,A+,8/5/2020 02:59,2020-08-05T09:59:00Z,08/05 05:59,890,,2020-08-05T02:59:00Z,650621,,,52828,,,,489247,,,,,,,,,,,32,649,1381,491117,491117,2030,491117,28,0,cedb1eefdc5fc15c52af211f709293f6933bb596,0,0,0,0,0,
20200804,NV,52179,436908,,1146,,310,,202,,1209,A+,8/4/2020 02:59,2020-08-04T09:59:00Z,08/04 05:59,862,,2020-08-04T02:59:00Z,647677,,,52179,,,,487602,,,,,,,,,,,32,980,3241,489087,489087,4221,489087,15,0,24c8f202683ae6884a3342f4735dc2b00194793b,0,0,0,0,0,
20200803,NV,51199,433667,,1152,,326,,207,,1158,A+,8/3/2020 02:59,2020-08-03T09:59:00Z,08/03 05:59,847,,2020-08-03T02:59:00Z,641665,,,51199,,,,483520,,,,,,,,,,,32,994,1753,484866,484866,2747,484866,15,0,14d9a275b90ac1ae607c822cc7f72ddd79b615c2,0,0,0,0,0,
