date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200812,NY,422703,6305778,,558,89995,123,,62,,73842,,8/11/2020 23:59,2020-08-12T06:59:00Z,08/12 02:59,25218,89995,2020-08-11T23:59:00Z,,,,422703,,,,6728481,,,,,,,,,,,36,700,87076,6728481,6728481,87776,6728481,7,0,0a9ea268b34cb03c108380c80ab50245320b0384,0,0,0,0,0,
20200811,NY,422003,6218702,,540,89995,120,,60,,73779,A,8/10/2020 23:59,2020-08-11T06:59:00Z,08/11 02:59,25211,89995,2020-08-10T23:59:00Z,,,,422003,,,,6640705,,,,,,,,,,,36,667,76392,6640705,6640705,77059,6640705,7,0,c8dbe5961092888d9b8e52e5211f20895daf5a59,0,0,0,0,0,
20200810,NY,421336,6142310,,535,89995,127,,62,,73736,A,8/9/2020 23:59,2020-08-10T06:59:00Z,08/10 02:59,25204,89995,2020-08-09T23:59:00Z,,,,421336,,,,6563646,,,,,,,,,,,36,476,53526,6563646,6563646,54002,6563646,2,0,b76dc6f78eeeb671e7fb1b58a1133b3095f8d431,0,0,0,0,0,
20200809,NY,420860,6088784,,548,89995,131,,66,,73689,A,8/8/2020 23:59,2020-08-09T06:59:00Z,08/09 02:59,25202,89995,2020-08-08T23:59:00Z,,,,420860,,,,6509644,,,,,,,,,,,36,515,65297,6509644,6509644,65812,6509644,7,0,e9f6a97036a25d681aae5dc0d4a07adfa3e15c38,0,0,0,0,0,
20200808,NY,420345,6023487,,573,89995,133,,64,,73609,A,8/7/2020 23:59,2020-08-08T06:59:00Z,08/08 02:59,25195,89995,2020-08-07T23:59:00Z,,,,420345,,,,6443832,,,,,,,,,,,36,703,74154,6443832,6443832,74857,6443832,5,0,8bb2832f26e1dac615dc82cdbd19c9e158bbded2,0,0,0,0,0,
20200807,NY,419642,5949333,,579,89995,139,,66,,73530,A,8/6/2020 23:59,2020-08-07T06:59:00Z,08/07 02:59,25190,89995,2020-08-06T23:59:00Z,,,,419642,,,,6368975,,,,,,,,,,,36,714,69456,6368975,6368975,70170,6368975,5,0,5960e81619cc795b1cd1560d28898bbd969ffb62,0,0,0,0,0,
20200806,NY,418928,5879877,,570,89995,132,,69,,73472,A,8/5/2020 23:59,2020-08-06T06:59:00Z,08/06 02:59,25185,89995,2020-08-05T23:59:00Z,,,,418928,,,,6298805,,,,,,,,,,,36,703,71667,6298805,6298805,72370,6298805,6,0,1523acce46ff5f86a09ab52bf0863650332ad258,0,0,0,0,0,
20200805,NY,418225,5808210,,564,89995,134,,69,,73410,A,8/4/2020 23:59,2020-08-05T06:59:00Z,08/05 02:59,25179,89995,2020-08-04T23:59:00Z,,,,418225,,,,6226435,,,,,,,,,,,36,636,72032,6226435,6226435,72668,6226435,4,0,37e6bc578d8f78f3d8002db5365d1225e4b13b80,0,0,0,0,0,
20200804,NY,417589,5736178,,568,89995,139,,69,,73326,A,8/3/2020 23:59,2020-08-04T06:59:00Z,08/04 02:59,25175,89995,2020-08-03T23:59:00Z,,,,417589,,,,6153767,,,,,,,,,,,36,746,70247,6153767,6153767,70993,6153767,3,0,bb62e65044647ae229555951d7e6eca36c90417c,0,0,0,0,0,
20200803,NY,416843,5665931,,536,89995,136,,62,,73279,A,8/2/2020 23:59,2020-08-03T06:59:00Z,08/03 02:59,25172,89995,2020-08-02T23:59:00Z,,,,416843,,,,6082774,,,,,,,,,,,36,545,51294,6082774,6082774,51839,6082774,2,0,11b6762c3978dc0da459f4d3b28d0cc5f4c0e0f7,0,0,0,0,0,
