date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200811,OH,102826,1604944,,968,11760,338,2699,172,,80885,B,8/11/2020 14:00,2020-08-11T21:00:00Z,08/11 17:00,3708,11760,2020-08-11T14:00:00Z,,,,97373,3435,273,,1702317,,,,,,,,,,,39,1095,19031,1707770,1707770,20126,1707770,35,131,b266169573476086b92088c221f2d3af127bef44,0,0,0,0,0,
20200810,OH,101731,1585913,,968,11629,351,2680,195,,79321,B,8/10/2020 14:00,2020-08-10T21:00:00Z,08/10 17:00,3673,11629,2020-08-10T14:00:00Z,,,,96358,3405,268,,1682271,,,,,,,,,,,39,883,18213,1687644,1687644,19096,1687644,4,64,85cbe90a95e48cceef82dc4f5ebc0b62a115195b,0,0,0,0,0,
20200809,OH,100848,1567700,,952,11565,365,2665,193,,78435,B,8/9/2020 14:00,2020-08-09T21:00:00Z,08/09 17:00,3669,11565,2020-08-09T14:00:00Z,,,,95496,3397,272,,1663196,,,,,,,,,,,39,879,23176,1668548,1668548,24055,1668548,1,49,9addce29245ce012bac951ad3d736d86d63d39fa,0,0,0,0,0,
20200808,OH,99969,1544524,,936,11516,363,2654,185,,77429,B,8/8/2020 14:00,2020-08-08T21:00:00Z,08/08 17:00,3668,11516,2020-08-08T14:00:00Z,,,,94671,3396,272,,1639195,,,,,,,,,,,39,1294,20104,1644493,1644493,21398,1644493,16,69,9f61388665dc10b310d19e995581ffe59691b388,0,0,0,0,0,
20200807,OH,98675,1524420,,956,11447,334,2641,190,,75975,B,8/7/2020 14:00,2020-08-07T21:00:00Z,08/07 17:00,3652,11447,2020-08-07T14:00:00Z,,,,93402,3381,271,,1617822,,,,,,,,,,,39,1204,23852,1623095,1623095,25056,1623095,34,81,b7d3da0b5c9185ee953fc21e09137ba0c3c25eb7,0,0,0,0,0,
20200806,OH,97471,1500568,,979,11366,342,2627,182,,74612,B,8/6/2020 14:00,2020-08-06T21:00:00Z,08/06 17:00,3618,11366,2020-08-06T14:00:00Z,,,,92273,3348,270,,1592841,,,,,,,,,,,39,1166,22260,1598039,1598039,23426,1598039,22,135,72bc071906617337335e0758d06c0cf78e24c884,0,0,0,0,0,
20200805,OH,96305,1478308,,1004,11231,340,2609,189,,72950,B,8/5/2020 14:00,2020-08-05T21:00:00Z,08/05 17:00,3596,11231,2020-08-05T14:00:00Z,,,,91171,3326,270,,1569479,,,,,,,,,,,39,1199,17602,1574613,1574613,18801,1574613,26,112,5e900f300b218795d70f0cf240f1d556135d5942,0,0,0,0,0,
20200804,OH,95106,1460706,,1038,11119,340,2593,197,,71338,B,8/4/2020 14:00,2020-08-04T21:00:00Z,08/04 17:00,3570,11119,2020-08-04T14:00:00Z,,,,90041,3301,269,,1550747,,,,,,,,,,,39,1143,19126,1555812,1555812,20269,1555812,31,127,480e826d691d3b82c02c0f52c03b37ea70d3e7db,0,0,0,0,0,
20200803,OH,93963,1441580,,1001,10992,348,2570,199,,69501,B,8/3/2020 14:00,2020-08-03T21:00:00Z,08/03 17:00,3539,10992,2020-08-03T14:00:00Z,,,,88997,3271,268,,1530577,,,,,,,,,,,39,932,17065,1535543,1535543,17997,1535543,10,92,084ceeedef7f3f0ec11a999eac69e8992ee48fd6,0,0,0,0,0,
20200802,OH,93031,1424515,,1049,10900,334,2560,187,,68394,B,8/2/2020 14:00,2020-08-02T21:00:00Z,08/02 17:00,3529,10900,2020-08-02T14:00:00Z,,,,88134,3261,268,,1512649,,,,,,,,,,,39,944,23699,1517546,1517546,24643,1517546,14,43,27a9ca6d0c3397d86a477d995cc7cf51fa2b0fd9,0,0,0,0,0,
20200801,OH,92087,1400816,,1049,10857,340,2557,188,,67319,B,8/1/2020 14:00,2020-08-01T21:00:00Z,08/01 17:00,3515,10857,2020-08-01T14:00:00Z,,,,87218,3246,269,,1488034,,,,,,,,,,,39,928,23641,1492903,1492903,24569,1492903,26,67,ef1682b08126c463434b47ec9368fd8250c6312a,0,0,0,0,0,
20200731,OH,91159,1377175,,1024,10790,330,2552,185,,65788,B,7/31/2020 14:00,2020-07-31T21:00:00Z,07/31 17:00,3489,10790,2020-07-31T14:00:00Z,,,,86333,3222,267,,1463508,,,,,,,,,,,39,1533,20329,1468334,1468334,21862,1468334,47,112,568662b63d82c542d200c3354e2c7f28a7d01397,0,0,0,0,0,
20200730,OH,89626,1356846,,1049,10678,319,2534,184,,64311,B,7/30/2020 14:00,2020-07-30T21:00:00Z,07/30 17:00,3442,10678,2020-07-30T14:00:00Z,,,,84862,3177,265,,1441708,,,,,,,,,,,39,1733,23902,1446472,1446472,25635,1446472,20,125,5f55b9451417b96685eb34e6c7a0e5f82d302ba9,0,0,0,0,0,
20200729,OH,87893,1332944,,1100,10553,348,2513,179,,62695,B,7/29/2020 14:00,2020-07-29T21:00:00Z,07/29 17:00,3422,10553,2020-07-29T14:00:00Z,,,,83213,3156,266,,1416157,,,,,,,,,,,39,1396,20708,1420837,1420837,22104,1420837,40,128,aa73710151507d156fc8377ba2f3919590d318cf,0,0,0,0,0,
20200728,OH,86497,1312236,,1144,10425,363,2488,176,,61056,B,7/28/2020 14:00,2020-07-28T21:00:00Z,07/28 17:00,3382,10425,2020-07-28T14:00:00Z,,,,81896,3118,264,,1394132,,,,,,,,,,,39,1320,53315,1398733,1398733,54635,1398733,38,140,a637120bfb67cf3d5a923ad1e042cf6e4b4788b5,0,0,0,0,0,
20200727,OH,85177,1258921,,1110,10285,356,2466,164,,59413,B,7/27/2020 14:00,2020-07-27T21:00:00Z,07/27 17:00,3344,10285,2020-07-27T14:00:00Z,,,,80628,3082,262,,1339549,,,,,,,,,,,39,1104,16563,1344098,1344098,17667,1344098,37,86,152ec07baccc5a9f4b28894e64c4dee56e29c3d2,0,0,0,0,0,
20200726,OH,84073,1242358,,1075,10199,357,2444,177,,58465,B,7/26/2020 14:00,2020-07-26T21:00:00Z,07/26 17:00,3307,10199,2020-07-26T14:00:00Z,,,,79573,3049,258,,1321931,,,,,,,,,,,39,889,31720,1326431,1326431,32609,1326431,10,54,bf149e321021b05060e0b575017bb40638777dad,0,0,0,0,0,
20200725,OH,83184,1210638,,1054,10145,356,2437,167,,57731,B,7/25/2020 14:00,2020-07-25T21:00:00Z,07/25 17:00,3297,10145,2020-07-25T14:00:00Z,,,,78735,3039,258,,1289373,,,,,,,,,,,39,1438,24756,1293822,1293822,26194,1293822,0,73,a1f922ef77053a2a027490be4e36121884f6a7db,0,0,0,0,0,
20200724,OH,81746,1185882,,1085,10072,354,2419,169,,56823,B,7/24/2020 14:00,2020-07-24T21:00:00Z,07/24 17:00,3297,10072,2020-07-24T14:00:00Z,,,,77309,3039,258,,1263191,,,,,,,,,,,39,1560,21042,1267628,1267628,22602,1267628,41,104,b3a8c49ecd98758a4fe6b3eb79d0d9555da64045,0,0,0,0,0,
20200723,OH,80186,1164840,,1105,9968,365,2403,178,,55702,B,7/23/2020 14:00,2020-07-23T21:00:00Z,07/23 17:00,3256,9968,2020-07-23T14:00:00Z,,,,75819,2997,259,,1240659,,,,,,,,,,,39,1444,21987,1245026,1245026,23431,1245026,21,104,da308f703866863d6cfdf2a671e58b9859fe65cb,0,0,0,0,0,
20200722,OH,78742,1142853,,1098,9864,347,2386,169,,54426,B,7/22/2020 14:00,2020-07-22T21:00:00Z,07/22 17:00,3235,9864,2020-07-22T14:00:00Z,,,,74409,2976,259,,1217262,,,,,,,,,,,39,1527,20045,1221595,1221595,21572,1221595,16,128,e983107dae45f12f1096341ce56a19f2bfddfacf,0,0,0,0,0,
20200721,OH,77215,1122808,,1097,9736,342,2367,168,,53077,B,7/21/2020 14:00,2020-07-21T21:00:00Z,07/21 17:00,3219,9736,2020-07-21T14:00:00Z,,,,72963,2959,260,,1195771,,,,,,,,,,,39,1047,17064,1200023,1200023,18111,1200023,30,126,bd4d5e21a66f29b9ed2ed65a57d4b1d09138e89d,0,0,0,0,0,
20200720,OH,76168,1105744,,1065,9610,318,2344,165,,51860,B,7/20/2020 14:00,2020-07-20T21:00:00Z,07/20 17:00,3189,9610,2020-07-20T14:00:00Z,,,,71952,2931,258,,1177696,,,,,,,,,,,39,1236,17762,1181912,1181912,18998,1181912,15,55,61d80538bf54ac60ca60d01c815ce7e89d5a9812,0,0,0,0,0,
20200719,OH,74932,1087982,,1065,9555,318,2315,163,,51086,B,7/19/2020 14:00,2020-07-19T21:00:00Z,07/19 17:00,3174,9555,2020-07-19T14:00:00Z,,,,70755,2916,258,,1158737,,,,,,,,,,,39,1110,23368,1162914,1162914,24478,1162914,42,42,d61f1cfa715d26349b58231a199e46663c60e6f1,0,0,0,0,0,
20200718,OH,73822,1064614,,1024,9513,315,2311,159,,50280,B,7/18/2020 14:00,2020-07-18T21:00:00Z,07/18 17:00,3132,9513,2020-07-18T14:00:00Z,,,,69684,2875,257,,1134298,,,,,,,,,,,39,1542,20770,1138436,1138436,22312,1138436,20,68,6f19dab2b48ac1fd352c37e2d1e69d46038eaa97,0,0,0,0,0,
20200717,OH,72280,1043844,,1016,9445,319,2305,161,,49302,B,7/17/2020 14:00,2020-07-17T21:00:00Z,07/17 17:00,3112,9445,2020-07-17T14:00:00Z,,,,68175,2858,254,,1112019,,,,,,,,,,,39,1679,25652,1116124,1116124,27331,1116124,9,121,c552432f404bf7aa24ce3285ea82941d68814284,0,0,0,0,0,
20200716,OH,70601,1018192,,1024,9324,310,2280,150,,48330,B,7/16/2020 14:00,2020-07-16T21:00:00Z,07/16 17:00,3103,9324,2020-07-16T14:00:00Z,,,,66540,2849,254,,1084732,,,,,,,,,,,39,1290,24880,1088793,1088793,26170,1088793,28,115,cde41b3166eab0528fbe107e901a7029ba53a4c5,0,0,0,0,0,
20200715,OH,69311,993312,,1027,9209,316,2259,146,,47303,B,7/15/2020 14:00,2020-07-15T21:00:00Z,07/15 17:00,3075,9209,2020-07-15T14:00:00Z,,,,65287,2819,256,,1058599,,,,,,,,,,,39,1316,17558,1062623,1062623,18874,1062623,6,160,d454668a000ab625623fdf115c7695e9f3e7d3a3,0,0,0,0,0,
20200714,OH,67995,975754,,1017,9049,314,2223,156,,46282,B,7/14/2020 14:00,2020-07-14T21:00:00Z,07/14 17:00,3069,9049,2020-07-14T14:00:00Z,,,,64013,2813,256,,1039767,,,,,,,,,,,39,1142,17856,1043749,1043749,18998,1043749,5,134,b75c16314f1bbbef261a80d5f8c0827ee1fcfd2d,0,0,0,0,0,
20200713,OH,66853,957898,,949,8915,293,2201,159,,45194,B,7/13/2020 14:00,2020-07-13T21:00:00Z,07/13 17:00,3064,8915,2020-07-13T14:00:00Z,,,,62913,2807,257,,1020811,,,,,,,,,,,39,1261,17104,1024751,1024751,18365,1024751,6,73,5e81b72cca9fabd90c8ef92ae46e51e36c046b6a,0,0,0,0,0,
20200712,OH,65592,940794,,954,8842,289,2185,154,,44663,B,7/12/2020 14:00,2020-07-12T21:00:00Z,07/12 17:00,3058,8842,2020-07-12T14:00:00Z,,,,61669,2801,257,,1002463,,,,,,,,,,,39,1378,21973,1006386,1006386,23351,1006386,22,72,df07e6ee92f0d284cb158b63f71ee2955169df69,0,0,0,0,0,
20200711,OH,64214,918821,,928,8770,299,2169,155,,44101,B,7/11/2020 14:00,2020-07-11T21:00:00Z,07/11 17:00,3036,8770,2020-07-11T14:00:00Z,,,,60328,2780,256,,979149,,,,,,,,,,,39,1358,22124,983035,983035,23482,983035,4,69,dc7164daf54f1afd5d80f7d5bcb0f89efd27f358,0,0,0,0,0,
20200710,OH,62856,896697,,928,8701,289,2161,151,,43435,B,7/10/2020 14:00,2020-07-10T21:00:00Z,07/10 17:00,3032,8701,2020-07-10T14:00:00Z,,,,59000,2776,256,,955697,,,,,,,,,,,39,1525,41626,959553,959553,43151,959553,26,131,df49c1a0258b9fda5bcf6aca49c133adbde9513d,0,0,0,0,0,
20200709,OH,61331,855071,,890,8570,289,2146,155,,42111,B,7/9/2020 14:00,2020-07-09T21:00:00Z,07/09 17:00,3006,8570,2020-07-09T14:00:00Z,,,,57506,2749,257,,911905,,,,,,,,,,,39,1150,0,916402,916402,1150,916402,15,81,bfe01ab077c3fd266b28390a82acc02d6568bc15,0,0,0,0,0,
