date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200812,OK,45398,676709,,519,3842,216,,,,37988,,8/12/2020 00:00,2020-08-12T07:00:00Z,08/12 03:00,627,3842,2020-08-12T00:00:00Z,729940,51862,676709,45398,,,,,62502,2446,60056,,,,,,,,40,670,7202,722107,722107,7872,722107,9,82,7ab6257670e173005d4c67a8aa15d0527609657d,0,0,0,0,0,
20200811,OK,44728,669507,,530,3760,218,,,,37193,A+,8/11/2020 00:00,2020-08-11T07:00:00Z,08/11 03:00,618,3760,2020-08-11T00:00:00Z,722098,51238,669507,44728,,,,,62502,2446,60056,,,,,,,,40,765,19022,714235,714235,19787,714235,13,135,f0a80a9a14a18af1a8a18fc8afe896d79c49ce4e,0,0,0,0,0,
20200810,OK,43963,650485,,594,3625,223,,,,36378,A+,8/10/2020 00:00,2020-08-10T07:00:00Z,08/10 03:00,605,3625,2020-08-10T00:00:00Z,700981,49186,650485,43963,,,,,62502,2446,60056,,,,,,,,40,397,0,694448,694448,397,694448,2,20,c1035884c469b9ca8dab23e18b4f9b10dd7026ca,0,0,0,0,0,
20200809,OK,43566,650485,,594,3605,223,,,,36052,A+,8/9/2020 00:00,2020-08-09T07:00:00Z,08/09 03:00,603,3605,2020-08-09T00:00:00Z,700981,49186,650485,43566,,,,,62502,2446,60056,,,,,,,,40,486,0,694051,694051,486,694051,0,11,0bc2630fe5ce683a4c937629a102eb226d190c90,0,0,0,0,0,
20200808,OK,43080,650485,,594,3594,223,,,,35745,A+,8/8/2020 00:00,2020-08-08T07:00:00Z,08/08 03:00,603,3594,2020-08-08T00:00:00Z,700981,49186,650485,43080,,,,,62502,2446,60056,,,,,,,,40,825,6925,693565,693565,7750,693565,3,39,8b1802ac4deb9a816363099debfcfec33156375e,0,0,0,0,0,
20200807,OK,42255,643560,,561,3555,216,,,,35001,A+,8/7/2020 00:00,2020-08-07T07:00:00Z,08/07 03:00,600,3555,2020-08-07T00:00:00Z,693309,48461,643560,42255,,,,,60293,2272,58021,,,,,,,,40,854,10308,685815,685815,11162,685815,7,58,4acbbc7d5437b7433a604fafea50538163e48aea,0,0,0,0,0,
20200806,OK,41401,633252,,643,3497,216,,,,34320,A+,8/6/2020 00:00,2020-08-06T07:00:00Z,08/06 03:00,593,3497,2020-08-06T00:00:00Z,681848,47329,633252,41401,,,,,60293,2272,58021,,,,,,,,40,837,9086,674653,674653,9923,674653,10,52,f03bf555b2ee629a4b1795b9a7d5bfae87badf9c,0,0,0,0,0,
20200805,OK,40564,624166,,645,3445,207,,,,33383,A+,8/5/2020 00:00,2020-08-05T07:00:00Z,08/05 03:00,583,3445,2020-08-05T00:00:00Z,671712,46281,624166,40564,,,,,60293,2272,58021,,,,,,,,40,1101,6353,664730,664730,7454,664730,17,70,fed3ee4cb7779cd7de92767374421c9ee77ab836,0,0,0,0,0,
20200804,OK,39463,617813,,504,3375,232,,,,32319,A+,8/4/2020 00:00,2020-08-04T07:00:00Z,08/04 03:00,566,3375,2020-08-04T00:00:00Z,664579,45521,617813,39463,,,,,60293,2272,58021,,,,,,,,40,861,18352,657276,657276,19213,657276,15,100,4dbe565359af6f8937505ddecdd282eed729fbaf,0,0,0,0,0,
20200803,OK,38602,599461,,628,3275,258,,,,31165,A+,8/3/2020 00:00,2020-08-03T07:00:00Z,08/03 03:00,551,3275,2020-08-03T00:00:00Z,644042,43360,599461,38602,,,,,60293,2272,58021,,,,,,,,40,377,0,638063,638063,377,638063,1,34,8ed7b39d9fb59da48dbea22c28b0f37460010ecc,0,0,0,0,0,
20200802,OK,38225,599461,,628,3241,258,,,,30820,A+,8/2/2020 00:00,2020-08-02T07:00:00Z,08/02 03:00,550,3241,2020-08-02T00:00:00Z,644042,43360,599461,38225,,,,,60293,2272,58021,,,,,,,,40,494,0,637686,637686,494,637686,1,13,2479e78b7cf410c867c5f5ee6dcc4e1a928104c6,0,0,0,0,0,
