date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200811,OR,21774,435314,,234,1813,59,,15,,4226,A+,8/11/2020 03:01,2020-08-11T10:01:00Z,08/11 06:01,368,1813,2020-08-11T03:01:00Z,,,435314,20643,,,,455957,,,,,,,,,,,41,286,6070,457088,457088,6356,457088,11,15,43aff54f24d9766775999b9b84f852e58f3b0184,0,0,0,0,0,
20200810,OR,21488,429244,,214,1798,58,,22,,4226,A+,8/10/2020 03:01,2020-08-10T10:01:00Z,08/10 06:01,357,1798,2020-08-10T03:01:00Z,,,429244,20385,,,,449629,,,,,,,,,,,41,216,3479,450732,450732,3695,450732,1,40,df4ab008ed78fede091e8be686783410af029948,0,0,0,0,0,
20200809,OR,21272,425765,,204,1758,51,,18,,4111,A+,8/9/2020 03:01,2020-08-09T10:01:00Z,08/09 06:01,356,1758,2020-08-09T03:01:00Z,,,425765,19562,,,,436619,,,,,,,,,,,41,262,8708,447037,447037,8970,447037,1,0,7f540c65133753e3ebf4699561d10dce4683786f,0,0,0,0,0,
20200808,OR,21010,417057,,204,1758,51,,18,,4111,A+,8/8/2020 00:00,2020-08-08T07:00:00Z,08/08 03:00,355,1758,2020-08-08T00:00:00Z,,,422358,19562,,,,436619,,,,,,,,,,,41,374,0,438067,438067,374,438067,7,0,f29e79ce397689e66c7ec03b1dce57c72f89d243,0,0,0,0,0,
20200807,OR,20636,417057,,204,1758,51,,18,,4111,A+,8/7/2020 03:01,2020-08-07T10:01:00Z,08/07 06:01,348,1758,2020-08-07T03:01:00Z,,,417057,19562,,,,436619,,,,,,,,,,,41,411,5020,437693,437693,5431,437693,9,15,285ec767ee737a652319e210f9021f540fc1916d,0,0,0,0,0,
20200806,OR,20225,412037,,230,1743,58,,29,,4065,A+,8/6/2020 03:01,2020-08-06T10:01:00Z,08/06 06:01,339,1743,2020-08-06T03:01:00Z,,,412037,19162,,,,431199,,,,,,,,,,,41,246,5214,432262,432262,5460,432262,1,17,5f09a0fda07a191ac2fdd78f9901d206380ecea5,0,0,0,0,0,
20200805,OR,19979,406823,,228,1726,60,,25,,4037,A+,8/5/2020 03:01,2020-08-05T10:01:00Z,08/05 06:01,338,1726,2020-08-05T03:01:00Z,,,406823,18936,,,,425759,,,,,,,,,,,41,280,6608,426802,426802,6888,426802,5,38,51fa830b34b681525710bf8fbdc012fa93bd6eec,0,0,0,0,0,
20200804,OR,19699,400215,,219,1688,62,,27,,3960,A+,8/4/2020 03:01,2020-08-04T10:01:00Z,08/04 06:01,333,1688,2020-08-04T03:01:00Z,,,400215,18654,,,,418869,,,,,,,,,,,41,333,2450,419914,419914,2783,419914,5,33,237c38202bc93742c1567f53f1ba08772ea576bd,0,0,0,0,0,
20200803,OR,19366,397765,,215,1655,62,,27,,3960,A+,8/3/2020 03:01,2020-08-03T10:01:00Z,08/03 06:01,328,1655,2020-08-03T03:01:00Z,,,397765,18355,,,,416120,,,,,,,,,,,41,269,3205,417131,417131,3474,417131,2,48,68fc35693a286ebd9121f9f9777a8cc07834705f,0,0,0,0,0,
20200802,OR,19097,394560,,208,1607,65,,32,,3872,A+,8/2/2020 03:01,2020-08-02T10:01:00Z,08/02 06:01,326,1607,2020-08-02T03:01:00Z,,,394560,17540,,,,403241,,,,,,,,,,,41,280,3761,413657,413657,4041,413657,1,0,a2d32f9f041bf74ab19f61f4b385f13479283d35,0,0,0,0,0,
