date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200811,PA,120281,1255313,,598,,,,98,,92616,A+,8/11/2020 00:00,2020-08-11T07:00:00Z,08/11 03:00,7352,,2020-08-11T00:00:00Z,,,,116925,,,,1372238,,,,,,,,,,,42,828,14483,1375594,1375594,15311,1375594,35,0,98463aae183d34198ea3a95a62dad3a4fb2ed73e,0,0,0,0,0,
20200810,PA,119453,1240830,,591,,,,108,,91978,A+,8/10/2020 00:00,2020-08-10T07:00:00Z,08/10 03:00,7317,,2020-08-10T00:00:00Z,,,,116098,,,,1356928,,,,,,,,,,,42,601,12472,1360283,1360283,13073,1360283,3,0,b11340a1e58e5ceef947d8c32c069c9906478fe9,0,0,0,0,0,
20200809,PA,118852,1228358,,600,,,,103,,90930,A+,8/9/2020 00:00,2020-08-09T07:00:00Z,08/09 03:00,7314,,2020-08-09T00:00:00Z,,,,115505,,,,1343863,,,,,,,,,,,42,760,13393,1347210,1347210,14153,1347210,1,0,7223787d389a7f161ddb93a69ef36a7ff258dd82,0,0,0,0,0,
20200808,PA,118092,1214965,,634,,,,106,,90930,A+,8/8/2020 00:00,2020-08-08T07:00:00Z,08/08 03:00,7313,,2020-08-08T00:00:00Z,,,,114755,,,,1329720,,,,,,,,,,,42,813,15345,1333057,1333057,16158,1333057,16,0,df984395d93db1d1ab91235e2d0f397b8e9186a6,0,0,0,0,0,
20200807,PA,117279,1199620,,651,,,,99,,90304,A+,8/7/2020 00:00,2020-08-07T07:00:00Z,08/07 03:00,7297,,2020-08-07T00:00:00Z,,,,113969,,,,1313589,,,,,,,,,,,42,758,15890,1316899,1316899,16648,1316899,15,0,8c6d28944e5bda9531992a56eea84aa93605eab9,0,0,0,0,0,
20200806,PA,116521,1183730,,663,,,,98,,88555,A+,8/6/2020 00:00,2020-08-06T07:00:00Z,08/06 03:00,7282,,2020-08-06T00:00:00Z,,,,113241,,,,1296971,,,,,,,,,,,42,807,14719,1300251,1300251,15526,1300251,38,0,ac30aedba53bea2214c0d2dd109eebd0c57fea5b,0,0,0,0,0,
20200805,PA,115714,1169011,,639,,,,102,,87942,A+,8/5/2020 00:00,2020-08-05T07:00:00Z,08/05 03:00,7244,,2020-08-05T00:00:00Z,,,,112462,,,,1281473,,,,,,,,,,,42,705,12491,1284725,1284725,13196,1284725,12,0,b32cd3907314208a8c5f7bdca01c58e279a0d19f,0,0,0,0,0,
20200804,PA,115009,1156520,,656,,,,100,,86256,A+,8/4/2020 00:00,2020-08-04T07:00:00Z,08/04 03:00,7232,,2020-08-04T00:00:00Z,,,,111780,,,,1268300,,,,,,,,,,,42,854,14106,1271529,1271529,14960,1271529,23,0,35e24afafbcab150bbdcf02bf437a320029f1334,0,0,0,0,0,
20200803,PA,114155,1142414,,585,,,,103,,86757,A+,8/3/2020 00:00,2020-08-03T07:00:00Z,08/03 03:00,7209,,2020-08-03T00:00:00Z,,,,110970,,,,1253384,,,,,,,,,,,42,565,11435,1256569,1256569,12000,1256569,0,0,b70905fa2be6ef1e13165f70a8571ba901bc8d7d,0,0,0,0,0,
20200802,PA,113590,1130979,,564,,,,90,,86328,A+,8/2/2020 00:00,2020-08-02T07:00:00Z,08/02 03:00,7209,,2020-08-02T00:00:00Z,,,,110416,,,,1241395,,,,,,,,,,,42,654,11593,1244569,1244569,12247,1244569,5,0,d22db8b272114523c8cce0f63777f5bd0e47fb22,0,0,0,0,0,
20200801,PA,112936,1119386,,579,,,,89,,85831,A+,8/1/2020 00:00,2020-08-01T07:00:00Z,08/01 03:00,7204,,2020-08-01T00:00:00Z,,,,109779,,,,1229165,,,,,,,,,,,42,888,14562,1232322,1232322,15450,1232322,15,0,d8d2cfa6794f8f4428998172e0710d69e306f55f,0,0,0,0,0,
20200731,PA,112048,1104824,,522,,,,89,,84036,A+,7/31/2020 00:00,2020-07-31T07:00:00Z,07/31 03:00,7189,,2020-07-31T00:00:00Z,,,,108907,,,,1213731,,,,,,,,,,,42,970,15965,1216872,1216872,16935,1216872,13,0,e95da6213128326330331dadbfddddb2497559d6,0,0,0,0,0,
20200730,PA,111078,1088859,,756,,,,109,,83308,A+,7/30/2020 00:00,2020-07-30T07:00:00Z,07/30 03:00,7176,,2020-07-30T00:00:00Z,,,,107958,,,,1196817,,,,,,,,,,,42,860,14996,1199937,1199937,15856,1199937,14,0,4fc454133b6c792aa0eceba7fbff01b151da1e77,0,0,0,0,0,
20200729,PA,110218,1073863,,756,,,,109,,82663,A+,7/29/2020 00:00,2020-07-29T07:00:00Z,07/29 03:00,7162,,2020-07-29T00:00:00Z,,,,107138,,,,1181001,,,,,,,,,,,42,834,14087,1184081,1184081,14921,1184081,16,0,f8e58545cdc03ed0f1b2ec2dce979e054155ac1d,0,0,0,0,0,
20200728,PA,109384,1059776,,716,,,,98,,82038,A+,7/28/2020 00:00,2020-07-28T07:00:00Z,07/28 03:00,7146,,2020-07-28T00:00:00Z,,,,106331,,,,1166107,,,,,,,,,,,42,1120,17352,1169160,1169160,18472,1169160,24,0,1a9813593fb6b3845dda92cb9c0f428188b42db4,0,0,0,0,0,
20200727,PA,108264,1042424,,704,,,,98,,81198,A+,7/27/2020 00:00,2020-07-27T07:00:00Z,07/27 03:00,7122,,2020-07-27T00:00:00Z,,,,105228,,,,1147652,,,,,,,,,,,42,839,13648,1150688,1150688,14487,1150688,4,0,3ac5da30139652332dc5859b82f405b0b2ea9e9c,0,0,0,0,0,
20200726,PA,107425,1028776,,707,,,,104,,80568,A+,7/26/2020 00:00,2020-07-26T07:00:00Z,07/26 03:00,7118,,2020-07-26T00:00:00Z,,,,104401,,,,1133177,,,,,,,,,,,42,800,12071,1136201,1136201,12871,1136201,4,0,c40a59b1f71278b7f040e8a9b745e2e88b546ac8,0,0,0,0,0,
20200725,PA,106625,1016705,,709,,,,102,,79968,A+,7/25/2020 00:00,2020-07-25T07:00:00Z,07/25 03:00,7114,,2020-07-25T00:00:00Z,,,,103632,,,,1120337,,,,,,,,,,,42,1054,17328,1123330,1123330,18382,1123330,13,0,74b390293eebbb277ed295272a47870a11f8d55d,0,0,0,0,0,
20200724,PA,105571,999377,,736,,,,96,,79178,A+,7/24/2020 00:00,2020-07-24T07:00:00Z,07/24 03:00,7101,,2020-07-24T00:00:00Z,,,,102602,,,,1101979,,,,,,,,,,,42,1213,18118,1104948,1104948,19331,1104948,22,0,34ace8c8babf567fd5ecdd67cc722623ab313b98,0,0,0,0,0,
20200723,PA,104358,981259,,736,,,,96,,78268,A+,7/23/2020 00:00,2020-07-23T07:00:00Z,07/23 03:00,7079,,2020-07-23T00:00:00Z,,,,101408,,,,1082667,,,,,,,,,,,42,962,13178,1085617,1085617,14140,1085617,16,0,61428b9570eafe37b5c078b9b64d406cfef4e7d7,0,0,0,0,0,
20200722,PA,103396,968081,,735,,,,100,,77547,A+,7/22/2020 00:00,2020-07-22T07:00:00Z,07/22 03:00,7063,,2020-07-22T00:00:00Z,,,,100483,,,,1068564,,,,,,,,,,,42,631,15083,1071477,1071477,15714,1071477,25,0,4cc8cc84c4df2e717460c34541891f6a75da1202,0,0,0,0,0,
20200721,PA,102765,952998,,736,,,,98,,77073,A+,7/21/2020 00:00,2020-07-21T07:00:00Z,07/21 03:00,7038,,2020-07-21T00:00:00Z,,,,99875,,,,1052873,,,,,,,,,,,42,1027,14823,1055763,1055763,15850,1055763,20,0,1207296aa8a97e02aa7651144c2e5b880e2c4763,0,0,0,0,0,
20200720,PA,101738,938175,,706,,,,98,,76780,A+,7/20/2020 00:00,2020-07-20T07:00:00Z,07/20 03:00,7018,,2020-07-20T00:00:00Z,,,,98872,,,,1037047,,,,,,,,,,,42,711,11823,1039913,1039913,12534,1039913,3,0,bc04a127ae20b494813d8b8c531b8edf1ff5fda4,0,0,0,0,0,
20200719,PA,101027,926352,,703,,,,96,,76780,A+,7/19/2020 00:00,2020-07-19T07:00:00Z,07/19 03:00,7015,,2020-07-19T00:00:00Z,,,,98164,,,,1024516,,,,,,,,,,,42,786,13866,1027379,1027379,14652,1027379,8,0,e06e890c19af43d7c4bb9ed40efd38f2418d82df,0,0,0,0,0,
20200718,PA,100241,912486,,699,,,,93,,76183,A+,7/18/2020 00:00,2020-07-18T07:00:00Z,07/18 03:00,7007,,2020-07-18T00:00:00Z,,,,97388,,,,1009874,,,,,,,,,,,42,763,12574,1012727,1012727,13337,1012727,15,0,0d96cde7b89b98ccb340dcc79cb91691da4edabc,0,0,0,0,0,
20200717,PA,99478,899912,,680,,,,98,,75603,A+,7/17/2020 00:00,2020-07-17T07:00:00Z,07/17 03:00,6992,,2020-07-17T00:00:00Z,,,,96651,,,,996563,,,,,,,,,,,42,1032,14717,999390,999390,15749,999390,19,0,5c8a8d75a5faee4c5a057be3dc1c0060e75f4eeb,0,0,0,0,0,
20200716,PA,98446,885195,,652,,,,95,,74818,A+,7/16/2020 00:00,2020-07-16T07:00:00Z,07/16 03:00,6973,,2020-07-16T00:00:00Z,,,,95632,,,,980827,,,,,,,,,,,42,781,14211,983641,983641,14992,983641,16,0,38122609d94fbaf86d1cb5f53c5807e65f5ba28a,0,0,0,0,0,
20200715,PA,97665,870984,,667,,,,92,,74436,A+,7/15/2020 00:00,2020-07-15T07:00:00Z,07/15 03:00,6957,,2020-07-15T00:00:00Z,,,,94873,,,,965857,,,,,,,,,,,42,994,20372,968649,968649,21366,968649,26,0,2a68474ea766ceb5c90b539265b9f0321500b946,0,0,0,0,0,
20200714,PA,96671,850612,,678,,,,95,,74436,A+,7/14/2020 00:00,2020-07-14T07:00:00Z,07/14 03:00,6931,,2020-07-14T00:00:00Z,,,,93906,,,,944518,,,,,,,,,,,42,929,14880,947283,947283,15809,947283,20,0,c29a5716cffa6178dbc58a0cd06a4737d769228b,0,0,0,0,0,
20200713,PA,95742,835732,,682,,,,96,,73721,A+,7/13/2020 00:00,2020-07-13T07:00:00Z,07/13 03:00,6911,,2020-07-13T00:00:00Z,,,,93015,,,,928747,,,,,,,,,,,42,476,6714,931474,931474,7190,931474,7,0,b759349092c9aadd1bbbb998faa8018fe26b57eb,0,0,0,0,0,
20200712,PA,95266,829018,,652,,,,96,,73354,A+,7/12/2020 00:00,2020-07-12T07:00:00Z,07/12 03:00,6904,,2020-07-12T00:00:00Z,,,,92552,,,,921570,,,,,,,,,,,42,577,11384,924284,924284,11961,924284,7,0,42e9c1567e3a1c502c1a1493e1348e5cb1ab6899,0,0,0,0,0,
20200711,PA,94689,817634,,646,,,,97,,72910,A+,7/11/2020 00:00,2020-07-11T07:00:00Z,07/11 03:00,6897,,2020-07-11T00:00:00Z,,,,92001,,,,909635,,,,,,,,,,,42,813,12870,912323,912323,13683,912323,17,0,d7d54b946539f16bd3b02c87326d4af0949795bc,0,0,0,0,0,
20200710,PA,93876,804764,,653,,,,103,,72284,A+,7/10/2020 00:00,2020-07-10T07:00:00Z,07/10 03:00,6880,,2020-07-10T00:00:00Z,,,,91206,,,,895970,,,,,,,,,,,42,1009,17608,898640,898640,18617,898640,32,0,a62a6b3c5792343e766199c06b71f5c76066139e,0,0,0,0,0,
20200709,PA,92867,787156,,650,,,,102,,71507,A+,7/9/2020 00:00,2020-07-09T07:00:00Z,07/09 03:00,6848,,2020-07-09T00:00:00Z,,,,90202,,,,877358,,,,,,,,,,,42,719,12778,880023,880023,13497,880023,36,0,95539a023f8136ac674df3f93f759999656d20ef,0,0,0,0,0,
20200708,PA,92148,774378,,649,,,,104,,70953,A+,7/8/2020 00:00,2020-07-08T07:00:00Z,07/08 03:00,6812,,2020-07-08T00:00:00Z,,,,89515,,,,863893,,,,,,,,,,,42,849,15575,866526,866526,16424,866526,25,0,6d7d2d09d6e8bc55d70fa4e2dac1fae15b4b84dd,0,0,0,0,0,
20200707,PA,91299,758803,,637,,,,101,,70437,A+,7/7/2020 00:00,2020-07-07T07:00:00Z,07/07 03:00,6787,,2020-07-07T00:00:00Z,,,,88691,,,,847494,,,,,,,,,,,42,995,15783,850102,850102,16778,850102,33,0,bc0a15126b0ebf03552abc8b7c0fdb0b8f4c04c5,0,0,0,0,0,
20200706,PA,90304,743020,,598,,,,107,,70437,A+,7/6/2020 00:00,2020-07-06T07:00:00Z,07/06 03:00,6754,,2020-07-06T00:00:00Z,,,,87705,,,,830725,,,,,,,,,,,42,450,8174,833324,833324,8624,833324,1,0,3229693bd774741a972d1b9506527562319489a9,0,0,0,0,0,
20200705,PA,89854,734846,,592,,,,106,,70086,A+,7/5/2020 00:00,2020-07-05T07:00:00Z,07/05 03:00,6753,,2020-07-05T00:00:00Z,,,,87267,,,,822113,,,,,,,,,,,42,479,9398,824700,824700,9877,824700,4,0,d6695398146d8278dab0dc35f90733ec7e5ed58f,0,0,0,0,0,
20200704,PA,89375,725448,,589,,,,102,,69712,A+,7/4/2020 00:00,2020-07-04T07:00:00Z,07/04 03:00,6749,,2020-07-04T00:00:00Z,,,,86813,,,,812261,,,,,,,,,,,42,634,10045,814823,814823,10679,814823,3,0,8788c4c638160d11f145a4b6dad439fcbba9faa2,0,0,0,0,0,
20200703,PA,88741,715403,,598,,,,105,,69217,A+,7/3/2020 00:00,2020-07-03T07:00:00Z,07/03 03:00,6746,,2020-07-03T00:00:00Z,,,,86205,,,,801608,,,,,,,,,,,42,667,13204,804144,804144,13871,804144,34,0,79f8135611b2304f3339a82b4809516939ab17c3,0,0,0,0,0,
20200702,PA,88074,702199,,631,,,,106,,68697,A+,7/2/2020 00:00,2020-07-02T07:00:00Z,07/02 03:00,6712,,2020-07-02T00:00:00Z,,,,85573,,,,787772,,,,,,,,,,,42,832,12637,790273,790273,13469,790273,63,0,f7337375c097ce71148102d110cc7a939418f0f5,0,0,0,0,0,
20200701,PA,87242,689562,,632,,,,111,,68048,A+,7/1/2020 00:00,2020-07-01T07:00:00Z,07/01 03:00,6649,,2020-07-01T00:00:00Z,,,,84751,,,,774313,,,,,,,,,,,42,636,11981,776804,776804,12617,776804,0,0,16328c3e134da2935fddb028f7b0e78f99a623bf,0,0,0,0,0,
20200630,PA,86606,677581,,634,,,,110,,67552,A+,6/30/2020 00:00,2020-06-30T07:00:00Z,06/30 03:00,6649,,2020-06-30T00:00:00Z,,,,84130,,,,761711,,,,,,,,,,,42,618,10680,764187,764187,11298,764187,35,0,62dc521ac86fe0d49d0c472d19b382cd1ecef930,0,0,0,0,0,
20200629,PA,85988,666901,,635,,,,111,,67070,A+,6/29/2020 00:00,2020-06-29T07:00:00Z,06/29 03:00,6614,,2020-06-29T00:00:00Z,,,,83529,,,,750430,,,,,,,,,,,42,492,9415,752889,752889,9907,752889,35,0,3fe2ea184c4e0e13f36d54eb78006ad5e0d15e31,0,0,0,0,0,
20200628,PA,85496,657486,,648,,,,121,,66686,A+,6/28/2020 12:00,2020-06-28T19:00:00Z,06/28 15:00,6579,,2020-06-28T12:00:00Z,,,,81956,,,,716667,,,,,,,,,,,42,1126,22775,742982,742982,23901,742982,0,0,6072eaefa27f28e5fb1fd334f349fb32791971a7,0,0,0,0,0,
20200627,PA,84370,634711,,651,,,,126,,65808,A+,6/26/2020 12:00,2020-06-26T19:00:00Z,06/26 15:00,6579,,2020-06-26T12:00:00Z,,,,81956,,,,716667,,,,,,,,,,,42,0,0,719081,719081,0,719081,0,0,8772745cbabcb7502aaf688b2617b172f6adc1c1,0,0,0,0,0,
20200626,PA,84370,634711,,661,,,,131,,65808,A+,6/26/2020 00:00,2020-06-26T07:00:00Z,06/26 03:00,6579,,2020-06-26T00:00:00Z,,,,81956,,,,716667,,,,,,,,,,,42,600,13680,719081,719081,14280,719081,22,0,b9798bb76c4d13d52436d98bc118873f69c2b8aa,0,0,0,0,0,
20200625,PA,83770,621031,,704,,,,142,,65340,A+,6/24/2020 00:00,2020-06-24T07:00:00Z,06/24 03:00,6557,,2020-06-24T00:00:00Z,,,,81374,,,,702405,,,,,,,,,,,42,579,12814,704801,704801,13393,704801,39,0,61086adf4bb33f1179f0045d226201088abced08,0,0,0,0,0,
20200624,PA,83191,608217,,707,,,,136,,64502,A+,6/24/2020 00:00,2020-06-24T07:00:00Z,06/24 03:00,6518,,2020-06-24T00:00:00Z,,,,80810,,,,689027,,,,,,,,,,,42,495,11810,691408,691408,12305,691408,54,0,0271ba703769d98c9914fbd4b5a9da2cb89e5ac1,0,0,0,0,0,
20200623,PA,82696,596407,,738,,,,151,,64502,A+,6/23/2020 00:00,2020-06-23T07:00:00Z,06/23 03:00,6464,,2020-06-23T00:00:00Z,,,,80347,,,,676754,,,,,,,,,,,42,510,10745,679103,679103,11255,679103,38,0,5c1ca5b4603b11358d43385fddc81cb80dba5a65,0,0,0,0,0,
20200622,PA,82186,585662,,745,,,,156,,64105,A+,6/22/2020 00:00,2020-06-22T07:00:00Z,06/22 03:00,6426,,2020-06-22T00:00:00Z,,,,79859,,,,665521,,,,,,,,,,,42,456,9647,667848,667848,10103,667848,3,0,54872ddc319b8f4867a9c6d51cdf65ce325d954a,0,0,0,0,0,
20200621,PA,81730,576015,,735,,,,157,,62932,A+,6/21/2020 00:00,2020-06-21T07:00:00Z,06/21 03:00,6423,,2020-06-21T00:00:00Z,,,,79405,,,,655420,,,,,,,,,,,42,464,9554,657745,657745,10018,657745,4,0,b0b382647b39da6f83203f2c173bbe1aeaf0b2c7,0,0,0,0,0,
20200620,PA,81266,566461,,715,,,,161,,62574,A+,6/19/2020 00:00,2020-06-19T07:00:00Z,06/19 03:00,6419,,2020-06-19T00:00:00Z,,,,78947,,,,645408,,,,,,,,,,,42,504,10005,647727,647727,10509,647727,20,0,1f6c43b2e946b43292410e10d8354c2e8aceb545,0,0,0,0,0,
20200619,PA,80762,556456,,731,,,,169,,62186,A+,6/19/2020 00:00,2020-06-19T07:00:00Z,06/19 03:00,6399,,2020-06-19T00:00:00Z,,,,78451,,,,634907,,,,,,,,,,,42,526,12624,637218,637218,13150,637218,38,0,be6f9a8bdb896b5f0443588637770c152af30baf,0,0,0,0,0,
20200618,PA,80236,543832,,740,,,,170,,60979,A+,6/18/2020 00:00,2020-06-18T07:00:00Z,06/18 03:00,6361,,2020-06-18T00:00:00Z,,,,77949,,,,621781,,,,,,,,,,,42,418,10819,624068,624068,11237,624068,42,0,2469cf0f0e2567fc08d02710ea30a52da730913b,0,0,0,0,0,
20200617,PA,79818,533013,,788,,,,179,,59863,A+,6/17/2020 00:00,2020-06-17T07:00:00Z,06/17 03:00,6319,,2020-06-17T00:00:00Z,,,,77543,,,,610556,,,,,,,,,,,42,335,9404,612831,612831,9739,612831,43,0,7d8eb905818bd375ada242b07e9146264ef79ba7,0,0,0,0,0,
20200616,PA,79483,523609,,800,,,,179,,59612,A+,6/16/2020 00:00,2020-06-16T07:00:00Z,06/16 03:00,6276,,2020-06-16T00:00:00Z,,,,77230,,,,600839,,,,,,,,,,,42,362,9700,603092,603092,10062,603092,33,0,58ef8f46a19c12e292a9f22e9f89034b36cf4b45,0,0,0,0,0,
20200615,PA,79121,513909,,851,,,,178,,58549,A+,6/15/2020 00:00,2020-06-15T07:00:00Z,06/15 03:00,6243,,2020-06-15T00:00:00Z,,,,76883,,,,590792,,,,,,,,,,,42,323,9474,593030,593030,9797,593030,28,0,91a8b22f3e24a527bfd0e1dc623218d86ae5370c,0,0,0,0,0,
