date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200811,PR,23403,305972,,439,,80,,62,,,B,8/11/2020 00:00,2020-08-11T07:00:00Z,08/11 03:00,287,,2020-08-11T00:00:00Z,310546,7002,303412,9605,167,120,,,,13798,,,,,,,,,72,582,0,329375,329375,582,329375,8,0,8eca71061f8275db76f75c92c017f65e7c941fc2,0,0,0,0,0,
20200810,PR,22821,305972,,423,,77,,50,,,B,8/10/2020 00:00,2020-08-10T07:00:00Z,08/10 03:00,279,,2020-08-10T00:00:00Z,310546,7002,303412,9319,161,118,,,,13502,,,,,,,,,72,700,0,328793,328793,700,328793,0,0,5f2200c212eb9d4cd1ceeda6110c01dc14bb634d,0,0,0,0,0,
20200809,PR,22121,305972,,424,,79,,53,,,B,8/9/2020 00:00,2020-08-09T07:00:00Z,08/09 03:00,279,,2020-08-09T00:00:00Z,310546,7002,303412,8934,161,118,,,,13187,,,,,,,,,72,697,0,328093,328093,697,328093,5,0,48363b1e9f4cd10b1655625eb265de0bc21a62d4,0,0,0,0,0,
20200808,PR,21424,305972,,399,,77,,54,,,B,8/8/2020 00:00,2020-08-08T07:00:00Z,08/08 03:00,274,,2020-08-08T00:00:00Z,310546,7002,303412,8573,158,116,,,,12851,,,,,,,,,72,738,0,327396,327396,738,327396,9,0,3ed5df02f48ce2d993286a736f979937978378a3,0,0,0,0,0,
20200807,PR,20686,305972,,440,,73,,58,,,B,8/7/2020 00:00,2020-08-07T07:00:00Z,08/07 03:00,265,,2020-08-07T00:00:00Z,310546,7002,303412,8230,149,116,,,,12456,,,,,,,,,72,752,0,326658,326658,752,326658,7,0,282c75d912dd636055dfc9ce2ec0d21ec7ac9781,0,0,0,0,0,
20200806,PR,19934,305972,,456,,76,,53,,,B,8/6/2020 00:00,2020-08-06T07:00:00Z,08/06 03:00,258,,2020-08-06T00:00:00Z,310546,7002,303412,7824,144,114,,,,12110,,,,,,,,,72,283,0,325906,325906,283,325906,12,0,3ac0c435607f11c9196b9a39f0acfd7ef85d60fe,0,0,0,0,0,
20200805,PR,19651,305972,,507,,73,,54,,,B,8/5/2020 00:00,2020-08-05T07:00:00Z,08/05 03:00,246,,2020-08-05T00:00:00Z,310546,7002,303412,7684,133,113,,,,11967,,,,,,,,,72,327,0,325623,325623,327,325623,9,0,0e0d7c6049f607530ac5e3c2718dc746543c6faa,0,0,0,0,0,
20200804,PR,19324,305972,,509,,75,,56,,,B,8/4/2020 06:30,2020-08-04T13:30:00Z,08/04 09:30,237,,2020-08-04T06:30:00Z,310546,7002,303412,7413,127,110,,,,11911,,,,,,,,,72,533,0,325296,325296,533,325296,7,0,65cf15aeff9d2b4c972832c77ec4930690ce8848,0,0,0,0,0,
20200803,PR,18791,305972,,533,,66,,51,,,B,8/3/2020 06:30,2020-08-03T13:30:00Z,08/03 09:30,230,,2020-08-03T06:30:00Z,310546,7002,303412,7113,119,111,,,,11678,,,,,,,,,72,380,0,324763,324763,380,324763,0,0,49920db9033d19acee7ae43f4853293e9ec07403,0,0,0,0,0,
20200802,PR,18411,305972,,506,,64,,46,,,B,8/2/2020 06:30,2020-08-02T13:30:00Z,08/02 09:30,230,,2020-08-02T06:30:00Z,310546,7002,303412,6835,119,111,,,,11576,,,,,,,,,72,539,0,324383,324383,539,324383,5,0,eee88e823edc00e2bccccaba8c36306125141370,0,0,0,0,0,
20200801,PR,17872,305972,,508,,65,,41,,,B,8/1/2020 06:30,2020-08-01T13:30:00Z,08/01 09:30,225,,2020-08-01T06:30:00Z,310546,7002,303412,6543,115,110,,,,11329,,,,,,,,,72,1091,0,323844,323844,1091,323844,6,0,f930452eb5d8c4593becdad845ae28bfe5e63e81,0,0,0,0,0,
20200731,PR,16781,305972,,488,,62,,39,,,B,7/31/2020 06:30,2020-07-31T13:30:00Z,07/31 09:30,219,,2020-07-31T06:30:00Z,310546,7002,303412,5997,113,106,,,,10784,,,,,,,,,72,209,0,322753,322753,209,322753,5,0,a99a47d120b444572f55bc31249913d53f001047,0,0,0,0,0,
20200730,PR,16572,305972,,504,,63,,40,,,B,7/30/2020 06:30,2020-07-30T13:30:00Z,07/30 09:30,214,,2020-07-30T06:30:00Z,310546,7002,303412,5920,109,105,,,,10652,,,,,,,,,72,511,0,322544,322544,511,322544,3,0,6c66258de075feabd9d5a778bc598eb81dd9f0c4,0,0,0,0,0,
20200729,PR,16061,305972,,495,,66,,37,,,B,7/29/2020 06:30,2020-07-29T13:30:00Z,07/29 09:30,211,,2020-07-29T06:30:00Z,310546,7002,303412,5700,106,105,,,,10361,,,,,,,,,72,221,0,322033,322033,221,322033,2,0,a25047b494ef9ae2a506cbfacf164ae54ecee346,0,0,0,0,0,
20200728,PR,15840,305972,,469,,66,,37,,,B,7/28/2020 06:30,2020-07-28T13:30:00Z,07/28 09:30,209,,2020-07-28T06:30:00Z,310546,7002,303412,5585,104,105,,,,10255,,,,,,,,,72,409,0,321812,321812,409,321812,8,0,f370e614c4651b2267a8c9df8c11b20b61523d81,0,0,0,0,0,
20200727,PR,15431,305972,,509,,66,,37,,,B,7/27/2020 06:30,2020-07-27T13:30:00Z,07/27 09:30,201,,2020-07-27T06:30:00Z,310546,7002,303412,5416,99,102,,,,10015,,,,,,,,,72,288,0,321403,321403,288,321403,0,0,4df277cbf887e85f1f7d0a9b5ec4267dec49f3dc,0,0,0,0,0,
20200726,PR,15143,305972,,496,,61,,34,,,B,7/26/2020 06:30,2020-07-26T13:30:00Z,07/26 09:30,201,,2020-07-26T06:30:00Z,310546,7002,303412,5236,99,102,,,,9907,,,,,,,,,72,603,0,321115,321115,603,321115,0,0,663c397d8ea90c8727ccb1b32802a2975f374c4f,0,0,0,0,0,
20200725,PR,14540,305972,,496,,57,,35,,,B,7/25/2020 06:30,2020-07-25T13:30:00Z,07/25 09:30,201,,2020-07-25T06:30:00Z,310546,7002,303412,5042,99,102,,,,9498,,,,,,,,,72,573,0,320512,320512,573,320512,10,0,61baa6cbbab16e9cf1323cd4c633e51a6cbd6d1b,0,0,0,0,0,
20200724,PR,13967,305972,,460,,58,,31,,,B,7/24/2020 06:30,2020-07-24T13:30:00Z,07/24 09:30,191,,2020-07-24T06:30:00Z,310546,7002,303412,4794,90,101,,,,9173,,,,,,,,,72,494,0,319939,319939,494,319939,3,0,6d54a1092240db921687282debd7e687d0027b11,0,0,0,0,0,
20200723,PR,13473,305972,,442,,56,,40,,,B,7/23/2020 06:30,2020-07-23T13:30:00Z,07/23 09:30,188,,2020-07-23T06:30:00Z,310546,7002,303412,4574,87,101,,,,8899,,,,,,,,,72,435,50206,319445,319445,50641,319445,3,0,b4120e460df1650016c328de090dd790ece042c5,0,0,0,0,0,
20200722,PR,13038,255766,,415,,49,,31,,,B,7/22/2020 06:30,2020-07-22T13:30:00Z,07/22 09:30,185,,2020-07-22T06:30:00Z,258001,3966,253922,4330,84,101,,,,8708,,,,,,,,,72,98,0,268804,268804,98,268804,5,0,b910889f2306e2f1f3229a5d84e88f61b923a2f0,0,0,0,0,0,
20200721,PR,12940,255766,,375,,40,,24,,,B,7/21/2020 06:30,2020-07-21T13:30:00Z,07/21 09:30,180,,2020-07-21T06:30:00Z,258001,3966,253922,4255,81,99,,,,8685,,,,,,,,,72,479,0,268706,268706,479,268706,0,0,864b1c44b24741416fe42bfe5288fe92563a4856,0,0,0,0,0,
20200720,PR,12461,255766,,336,,31,,20,,,B,7/20/2020 06:30,2020-07-20T13:30:00Z,07/20 09:30,180,,2020-07-20T06:30:00Z,258001,3966,253922,4011,81,99,,,,8450,,,,,,,,,72,398,0,268227,268227,398,268227,2,0,17dec5f05742a370274b1969f1da985c1fe55088,0,0,0,0,0,
20200719,PR,12063,255766,,315,,26,,18,,,B,7/19/2020 06:30,2020-07-19T13:30:00Z,07/19 09:30,178,,2020-07-19T06:30:00Z,258001,3966,253922,3791,81,97,,,,8272,,,,,,,,,72,610,0,267829,267829,610,267829,0,0,8c822b77d3e5fca41955dfae113e68fe2cb9ab9f,0,0,0,0,0,
20200718,PR,11453,255766,,316,,29,,25,,,B,7/18/2020 06:30,2020-07-18T13:30:00Z,07/18 09:30,178,,2020-07-18T06:30:00Z,258001,3966,253922,3461,81,97,,,,7992,,,,,,,,,72,333,0,267219,267219,333,267219,1,0,757109adeb19572e4f8573233278068e6d8f03ec,0,0,0,0,0,
20200717,PR,11120,255766,,302,,34,,27,,,B,7/17/2020 06:30,2020-07-17T13:30:00Z,07/17 09:30,177,,2020-07-17T06:30:00Z,258001,3966,253922,3272,80,97,,,,7848,,,,,,,,,72,546,0,266886,266886,546,266886,5,0,b56b43d0ec3fc7f3a1e7b02f7cbd7da241dd7ceb,0,0,0,0,0,
20200716,PR,10574,255766,,280,,25,,14,,,B,7/16/2020 06:30,2020-07-16T13:30:00Z,07/16 09:30,172,,2020-07-16T06:30:00Z,258001,3966,253922,3119,75,97,,,,7455,,,,,,,,,72,195,0,266340,266340,195,266340,1,0,29407428067fac39ff17db5d1d1d46cc6fec4d2c,0,0,0,0,0,
20200715,PR,10379,255766,,254,,18,,11,,,B,7/15/2020 06:30,2020-07-15T13:30:00Z,07/15 09:30,171,,2020-07-15T06:30:00Z,258001,3966,253922,3043,75,96,,,,7336,,,,,,,,,72,256,0,266145,266145,256,266145,2,0,d78561a01c0ac07432326d1da8f8baa6cf4cc311,0,0,0,0,0,
20200714,PR,10123,255766,,206,,14,,9,,,B,7/14/2020 06:30,2020-07-14T13:30:00Z,07/14 09:30,169,,2020-07-14T06:30:00Z,258001,3966,253922,2904,73,96,,,,7219,,,,,,,,,72,113,0,265889,265889,113,265889,2,0,4b012327efe5ecb31b455ab73d79f0a589d96a76,0,0,0,0,0,
20200713,PR,10010,255766,,159,,15,,8,,,B,7/13/2020 06:30,2020-07-13T13:30:00Z,07/13 09:30,167,,2020-07-13T06:30:00Z,258001,3966,253922,2811,71,96,,,,7199,,,,,,,,,72,356,0,265776,265776,356,265776,0,0,aa7f28ac7cb031ec62a8bf19da2246f267fe0f09,0,0,0,0,0,
20200712,PR,9654,255766,,174,,12,,11,,,B,7/12/2020 06:30,2020-07-12T13:30:00Z,07/12 09:30,167,,2020-07-12T06:30:00Z,258001,3966,253922,2583,71,96,,,,7071,,,,,,,,,72,288,0,265420,265420,288,265420,0,0,bba5ccb2d1c184c68419dac29b6d538345108b05,0,0,0,0,0,
20200711,PR,9366,255766,,174,,12,,7,,,B,7/11/2020 06:30,2020-07-11T13:30:00Z,07/11 09:30,167,,2020-07-11T06:30:00Z,258001,3966,253922,2435,71,96,,,,6931,,,,,,,,,72,229,0,265132,265132,229,265132,8,0,128e80db62bc06c4e94e2815c734327871b406a0,0,0,0,0,0,
20200710,PR,9137,255766,,140,,12,,10,,,B,7/9/2020 06:30,2020-07-09T13:30:00Z,07/09 09:30,159,,2020-07-09T06:30:00Z,258001,3966,253922,2351,64,95,,,,6786,,,,,,,,,72,275,0,264903,264903,275,264903,0,0,0c78e0f109e896d8371ae4c018a2c5dfd03d49fb,0,0,0,0,0,
20200709,PR,8862,255766,,147,,11,,7,,,B,7/9/2020 06:30,2020-07-09T13:30:00Z,07/09 09:30,159,,2020-07-09T06:30:00Z,258001,3966,253922,2235,64,95,,,,6627,,,,,,,,,72,117,63080,264628,264628,63197,264628,0,0,bbaee3a087f74deb27cea3968f86fdf24b2d0261,0,0,0,0,0,
20200708,PR,8745,192686,,127,,9,,10,,,B,7/8/2020 06:30,2020-07-08T13:30:00Z,07/08 09:30,159,,2020-07-08T06:30:00Z,194324,2627,191601,2171,64,95,,,,6574,,,,,,,,,72,31,0,201431,201431,31,201431,2,0,2e122d75505c0a73cca3d88e0d84a37221c9a045,0,0,0,0,0,
20200707,PR,8714,192686,,122,,19,,7,,,C,7/7/2020 06:30,2020-07-07T13:30:00Z,07/07 09:30,157,,2020-07-07T06:30:00Z,194324,2627,191601,2147,62,95,,,,6567,,,,,,,,,72,129,0,201400,201400,129,201400,2,0,286a0203365ed7a190b028e49088435e3bcb512f,0,0,0,0,0,
20200706,PR,8585,192686,,115,,18,,11,,,C,7/6/2020 06:30,2020-07-06T13:30:00Z,07/06 09:30,155,,2020-07-06T06:30:00Z,194324,2627,191601,2071,60,95,,,,6514,,,,,,,,,72,669,0,201271,201271,669,201271,0,0,21ad6925cfd43d3333086503749b5a28631fb20f,0,0,0,0,0,
20200705,PR,7916,192686,,118,,9,,5,,,C,7/5/2020 06:30,2020-07-05T13:30:00Z,07/05 09:30,155,,2020-07-05T06:30:00Z,194324,2627,191601,1846,60,95,,,,6070,,,,,,,,,72,129,0,200602,200602,129,200602,0,0,15282c9d80d447b86bdb9d7239c5b6ebfae09c2a,0,0,0,0,0,
20200704,PR,7787,192686,,100,,8,,4,,,C,7/4/2020 06:30,2020-07-04T13:30:00Z,07/04 09:30,155,,2020-07-04T06:30:00Z,194324,2627,191601,1817,60,95,,,,5970,,,,,,,,,72,104,0,200473,200473,104,200473,1,0,e94fb9021609fd70d8a0f7780b73f539a130b020,0,0,0,0,0,
