date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200811,RI,20053,204117,,88,2317,9,,2,,1911,A+,8/11/2020 12:00,2020-08-11T19:00:00Z,08/11 15:00,1016,2317,2020-08-11T12:00:00Z,409435,28836,380599,20053,,,,224170,,,,,,,,,,,44,119,1704,224170,224170,1823,224170,1,6,73cacf34147a8728bbe8ff31d366e75e430401ed,0,0,0,0,0,
20200810,RI,19934,202413,,93,2311,8,,2,,1900,A+,8/10/2020 12:00,2020-08-10T19:00:00Z,08/10 15:00,1015,2311,2020-08-10T12:00:00Z,405152,28707,376445,19934,,,,222347,,,,,,,,,,,44,0,0,222347,222347,0,222347,0,0,44de0f5708c89593b77dda07089025ca7e88a113,0,0,0,0,0,
20200809,RI,19934,202413,,93,2311,8,,2,,1900,A+,8/7/2020 12:00,2020-08-07T19:00:00Z,08/07 15:00,1015,2311,2020-08-07T12:00:00Z,405152,28707,376445,19934,,,,222347,,,,,,,,,,,44,28,829,222347,222347,857,222347,0,0,56ccfb9b7a1f78c8cc3c8b1ebe0975968a7f2b47,0,0,0,0,0,
20200808,RI,19906,201584,,93,2311,8,,2,,1900,A+,8/7/2020 12:00,2020-08-07T19:00:00Z,08/07 15:00,1015,2311,2020-08-07T12:00:00Z,403746,28674,375072,19906,,,,221490,,,,,,,,,,,44,168,3349,221490,221490,3517,221490,1,35,af3e99c97b482d4a4253153d2153d4d16f2591c1,0,0,0,0,0,
20200807,RI,19738,198235,,84,2276,10,,4,,1876,A+,8/7/2020 12:00,2020-08-07T19:00:00Z,08/07 15:00,1014,2276,2020-08-07T12:00:00Z,395798,28471,367327,19738,,,,217973,,,,,,,,,,,44,127,2123,217973,217973,2250,217973,0,12,17715b68bb78cf0690a2a1897833dad6a18a2b5d,0,0,0,0,0,
20200806,RI,19611,196112,,83,2264,11,,4,,1866,A+,8/6/2020 12:00,2020-08-06T19:00:00Z,08/06 15:00,1014,2264,2020-08-06T12:00:00Z,390478,28299,362179,19611,,,,215723,,,,,,,,,,,44,130,2058,215723,215723,2188,215723,2,16,5326c53df550fc81b80f1a0717fb147d2c54f8d6,0,0,0,0,0,
20200805,RI,19481,194054,,79,2248,14,,5,,1855,A+,8/5/2020 12:00,2020-08-05T19:00:00Z,08/05 15:00,1012,2248,2020-08-05T12:00:00Z,384902,28145,356757,19481,,,,213535,,,,,,,,,,,44,91,1491,213535,213535,1582,213535,1,6,f1288beff075533da85f420e4f77ff37b75f1cfa,0,0,0,0,0,
20200804,RI,19390,192563,,80,2242,14,,6,,1848,A+,8/4/2020 12:00,2020-08-04T19:00:00Z,08/04 15:00,1011,2242,2020-08-04T12:00:00Z,381478,28029,353449,19390,,,,211953,,,,,,,,,,,44,144,1743,211953,211953,1887,211953,1,11,395c279f5f23b250dcbd5cfc32713b53c755ef6e,0,0,0,0,0,
20200803,RI,19246,190820,,80,2231,14,,5,,1838,A+,8/3/2020 12:00,2020-08-03T19:00:00Z,08/03 15:00,1010,2231,2020-08-03T12:00:00Z,376671,27878,348793,19246,,,,210066,,,,,,,,,,,44,224,3826,210066,210066,4050,210066,3,20,a522f28d9d1acd2128975baada293a639a1085f1,0,0,0,0,0,
20200802,RI,19022,186994,,76,2211,15,,5,,1823,A+,7/31/2020 12:00,2020-07-31T19:00:00Z,07/31 15:00,1007,2211,2020-07-31T12:00:00Z,365066,27600,337466,19022,,,,206016,,,,,,,,,,,44,0,0,206016,206016,0,206016,0,0,cb3167fdec9c4290f43407ab095271b7f5c18ecc,0,0,0,0,0,
20200801,RI,19022,186994,,76,2211,15,,5,,1823,A+,7/31/2020 12:00,2020-07-31T19:00:00Z,07/31 15:00,1007,2211,2020-07-31T12:00:00Z,365066,27600,337466,19022,,,,206016,,,,,,,,,,,44,0,0,206016,206016,0,206016,0,0,597de965cec9bd88c30656a505216ebb2e8ecbd8,0,0,0,0,0,
20200731,RI,19022,186994,,76,2211,15,,5,,1823,A+,7/31/2020 12:00,2020-07-31T19:00:00Z,07/31 15:00,1007,2211,2020-07-31T12:00:00Z,365066,27600,337466,19022,,,,206016,,,,,,,,,,,44,72,1425,206016,206016,1497,206016,0,9,3598c5ec5e0c8ce7a59a4007788e1712b7ffec9a,0,0,0,0,0,
20200730,RI,18950,185569,,77,2202,13,,5,,1813,A+,7/30/2020 12:00,2020-07-30T19:00:00Z,07/30 15:00,1007,2202,2020-07-30T12:00:00Z,360947,27495,333452,18950,,,,204519,,,,,,,,,,,44,150,1904,204519,204519,2054,204519,0,7,db08fc26361b15d129968415ab6b3b28daf21299,0,0,0,0,0,
20200729,RI,18800,183665,,74,2195,12,,6,,1810,A+,7/29/2020 12:00,2020-07-29T19:00:00Z,07/29 15:00,1007,2195,2020-07-29T12:00:00Z,356186,27348,328838,18800,,,,202465,,,,,,,,,,,44,75,1430,202465,202465,1505,202465,2,13,d0b3b0332aaa48a550d1fe0992e239290d35d1a3,0,0,0,0,0,
20200728,RI,18725,182235,,68,2182,10,,7,,1803,A+,7/28/2020 12:00,2020-07-28T19:00:00Z,07/28 15:00,1005,2182,2020-07-28T12:00:00Z,352500,27247,325253,18725,,,,200960,,,,,,,,,,,44,210,4132,200960,200960,4342,200960,1,8,987c2cebc58e07d41b30fd85648a9abec50b7d2a,0,0,0,0,0,
20200727,RI,18515,178103,,71,2174,8,,6,,1792,A+,7/27/2020 12:00,2020-07-27T19:00:00Z,07/27 15:00,1004,2174,2020-07-27T12:00:00Z,345652,26961,318691,18515,,,,196618,,,,,,,,,,,44,291,6299,196618,196618,6590,196618,2,28,ee3b8baa6a1695f8b2c05b62c1b32b950b620eb7,0,0,0,0,0,
20200726,RI,18224,171804,,66,2146,6,,5,,1769,A+,7/24/2020 12:00,2020-07-24T19:00:00Z,07/24 15:00,1002,2146,2020-07-24T12:00:00Z,329556,26593,302963,18224,,,,190028,,,,,,,,,,,44,0,0,190028,190028,0,190028,0,0,95fe988eea78965ce2eb80713fd4de880651424b,0,0,0,0,0,
20200725,RI,18224,171804,,66,2146,6,,5,,1769,A+,7/24/2020 12:00,2020-07-24T19:00:00Z,07/24 15:00,1002,2146,2020-07-24T12:00:00Z,329556,26593,302963,18224,,,,190028,,,,,,,,,,,44,0,0,190028,190028,0,190028,0,0,5c3656c34c2928a49da5eceb133d6b99cf984e58,0,0,0,0,0,
20200724,RI,18224,171804,,66,2146,6,,5,,1769,A+,7/24/2020 12:00,2020-07-24T19:00:00Z,07/24 15:00,1002,2146,2020-07-24T12:00:00Z,329556,26593,302963,18224,,,,190028,,,,,,,,,,,44,76,613,190028,190028,689,190028,1,9,e5613ec06b973f35433cffac2b018a0ed41cc496,0,0,0,0,0,
20200723,RI,18148,171191,,67,2137,7,,4,,1759,A+,7/23/2020 12:00,2020-07-23T19:00:00Z,07/23 15:00,1001,2137,2020-07-23T12:00:00Z,325979,26489,299490,18148,,,,189339,,,,,,,,,,,44,86,2397,189339,189339,2483,189339,4,10,7b65853c5d01fa9e80a8d89d396e89b15c517fb5,0,0,0,0,0,
20200722,RI,18062,168794,,67,2127,5,,3,,1749,A+,7/22/2020 12:00,2020-07-22T19:00:00Z,07/22 15:00,997,2127,2020-07-22T12:00:00Z,321872,26350,295522,18062,,,,186856,,,,,,,,,,,44,76,1816,186856,186856,1892,186856,1,11,e8cbcbc40b12a83c368888dadecb0c5cb35c3d10,0,0,0,0,0,
20200721,RI,17986,166978,,64,2116,4,,2,,1741,A+,7/21/2020 12:00,2020-07-21T19:00:00Z,07/21 15:00,996,2116,2020-07-21T12:00:00Z,317544,26222,291322,17986,,,,184964,,,,,,,,,,,44,82,1257,184964,184964,1339,184964,1,6,c5639ba525fa40a0bc1aa11dada17501cc72faf9,0,0,0,0,0,
