date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200811,SC,102130,694221,,1330,6482,339,,207,,40837,A+,8/10/2020 23:59,2020-08-11T06:59:00Z,08/11 02:59,2098,6482,2020-08-10T23:59:00Z,795581,128846,666735,101360,2012,86,,,56148,4049,52099,,,,,,,,45,971,3750,796351,796351,4721,796351,49,329,6b566c862ce735ee666be3970d5327220af3cafc,0,0,0,0,0,
20200810,SC,101159,690471,,1353,6153,360,,217,,37798,A+,8/9/2020 23:59,2020-08-10T06:59:00Z,08/10 02:59,2049,6153,2020-08-09T23:59:00Z,790902,127842,663060,100431,1966,83,,,56070,4035,52035,,,,,,,,45,724,4922,791630,791630,5646,791630,18,0,9fe019044f8541c63754e21f5628b6ee911cd328,0,0,0,0,0,
20200809,SC,100435,685549,,1378,6153,365,,219,,37798,A+,8/8/2020 23:59,2020-08-09T06:59:00Z,08/09 02:59,2031,6153,2020-08-08T23:59:00Z,785262,127056,658206,99713,1949,82,,,55882,4011,51871,,,,,,,,45,975,6934,785984,785984,7909,785984,24,0,d6bcda3923e172abd8fc13575ecad96f5a9e4d3a,0,0,0,0,0,
20200808,SC,99460,678615,,1402,6153,357,,234,,37798,A+,8/7/2020 23:59,2020-08-08T06:59:00Z,08/08 02:59,2007,6153,2020-08-07T23:59:00Z,777358,126005,651353,98743,1931,76,,,55713,3993,51720,,,,,,,,45,1241,8873,778075,778075,10114,778075,45,0,1c4fffd44dcbd95929b4fb81f5856e2add743bcd,0,0,0,0,0,
20200807,SC,98219,669742,,1415,6153,358,,231,,37798,A+,8/6/2020 23:59,2020-08-07T06:59:00Z,08/07 02:59,1962,6153,2020-08-06T23:59:00Z,767296,124324,642972,97554,1883,79,,,55182,3905,51277,,,,,,,,45,1422,10394,767961,767961,11816,767961,19,354,187a9a82c5830eda4bb50f050fc3a70007ec7712,0,0,0,0,0,
20200806,SC,96797,659348,,1492,5799,356,,276,,32859,A+,8/5/2020 23:59,2020-08-06T06:59:00Z,08/06 02:59,1943,5799,2020-08-05T23:59:00Z,755480,122278,633202,96132,1863,80,,,54487,3761,50726,,,,,,,,45,1325,6198,756145,756145,7523,756145,49,0,ab01d56beafbf65f951335dfd4082c5efc425ef5,0,0,0,0,0,
20200805,SC,95472,653150,,1469,5799,363,,270,,32859,A+,8/4/2020 23:59,2020-08-05T06:59:00Z,08/05 02:59,1894,5799,2020-08-04T23:59:00Z,747987,120715,627272,94837,1819,75,,,54232,3736,50496,,,,,,,,45,1282,6883,748622,748622,8165,748622,47,0,065b9af00aec85df2fc4569f444879cc00b30a3a,0,0,0,0,0,
20200804,SC,94190,646267,,1458,5799,355,,254,,32859,A+,8/3/2020 23:59,2020-08-04T06:59:00Z,08/04 02:59,1847,5799,2020-08-03T23:59:00Z,739871,118989,620882,93604,1774,73,,,54061,3683,50378,,,,,,,,45,1239,7543,740457,740457,8782,740457,54,272,8d45f5943067d7eb50f811ff61a4d3e59a5de0e2,0,0,0,0,0,
20200803,SC,92951,638724,,1401,5527,366,,224,,32859,A+,8/2/2020 23:59,2020-08-03T06:59:00Z,08/03 02:59,1793,5527,2020-08-02T23:59:00Z,731675,117336,614339,92404,1721,72,,,53960,3671,50289,,,,,,,,45,1163,8255,731675,731675,9418,731675,16,0,7a693cfa1f7852e985e160dc8acc7cd89508c698,0,0,0,0,0,
20200802,SC,91788,630469,,1427,5527,365,,230,,32859,A+,8/1/2020 23:59,2020-08-02T06:59:00Z,08/02 02:59,1777,5527,2020-08-01T23:59:00Z,721726,115794,605932,91257,1709,68,,,53637,3635,50002,,,,,,,,45,1189,9199,722257,722257,10388,722257,26,0,3d011ca4447a338c79f977b7b83ee057936749ec,0,0,0,0,0,
20200801,SC,90599,621270,,1453,5527,359,,235,,32859,A+,7/31/2020 23:59,2020-08-01T06:59:00Z,08/01 02:59,1751,5527,2020-07-31T23:59:00Z,711346,114251,597095,90076,1683,68,,,53233,3557,49676,,,,,,,,45,1583,17451,711869,711869,19034,711869,39,410,22f2a5872449f0e9f67ffc1619194f0e0211f892,0,0,0,0,0,
20200731,SC,89016,603819,,1516,5117,373,,237,,32859,A+,7/31/2020 00:00,2020-07-31T07:00:00Z,07/31 03:00,1712,5117,2020-07-31T00:00:00Z,690936,110168,580768,88523,1647,65,,,52407,3430,48977,,,,,,,,45,1444,0,692835,692835,1444,692835,45,0,fdf520769595af3a1ab7daa1a77d27d30ec5ac87,0,0,0,0,0,
20200730,SC,87572,603819,,1563,5117,389,,245,,32859,A+,7/29/2020 23:59,2020-07-30T06:59:00Z,07/30 02:59,1667,5117,2020-07-29T23:59:00Z,690936,110168,580768,87117,1600,67,,,52407,3430,48977,,,,,,,,45,1726,8675,691391,691391,10401,691391,52,0,340892081b695bddb6d175437765a0a9ace61146,0,0,0,0,0,
20200729,SC,85846,595144,,1596,5117,404,,242,,32859,A+,7/28/2020 23:59,2020-07-29T06:59:00Z,07/29 02:59,1615,5117,2020-07-28T23:59:00Z,680567,107922,572645,85423,1551,64,,,51771,3319,48452,,,,,,,,45,1737,8923,680990,680990,10660,680990,50,0,c056d6d7f506a0fc97e94d952921c50cfe087938,0,0,0,0,0,
20200728,SC,84109,586221,,1575,5117,401,,256,,32859,A+,7/27/2020 23:59,2020-07-28T06:59:00Z,07/28 02:59,1565,5117,2020-07-27T23:59:00Z,669941,105449,564492,83720,1505,60,,,51503,3235,48268,,,,,,,,45,1692,9737,670330,670330,11429,670330,59,290,e7e6d4043fb20da222e51f4521c085863d7a7c9b,0,0,0,0,0,
20200727,SC,82417,576484,,1668,4827,,,263,,29378,A+,7/26/2020 23:59,2020-07-27T06:59:00Z,07/27 02:59,1506,4827,2020-07-26T23:59:00Z,658555,103238,555317,82071,1452,54,,,51401,3214,48187,,,,,,,,45,1218,9870,658901,658901,11088,658901,15,0,07aa3be68f8ebb72a2607ddee63cbad8151d6971,0,0,0,0,0,
20200726,SC,81199,566614,,1668,4827,,,263,,29378,A+,7/25/2020 23:59,2020-07-26T06:59:00Z,07/26 02:59,1491,4827,2020-07-25T23:59:00Z,647470,101570,545900,80856,1436,55,,,51222,3183,48039,,,,,,,,45,1191,8132,647813,647813,9323,647813,26,0,fd4226ecaa975dffd2eb90743375aa015eb1a97b,0,0,0,0,0,
20200725,SC,80008,558482,,1668,4827,,,263,,29378,A+,7/24/2020 23:59,2020-07-25T06:59:00Z,07/25 02:59,1465,4827,2020-07-24T23:59:00Z,638156,100090,538066,79674,1412,53,,,50741,3105,47636,,,,,,,,45,1401,7717,638490,638490,9118,638490,80,0,2c3e75719df3e0a1af5b4ea452df6775a1592c3d,0,0,0,0,0,
