date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200812,SD,9815,113813,,59,892,,,,,8606,,8/11/2020 14:00,2020-08-11T21:00:00Z,08/11 17:00,147,892,2020-08-11T14:00:00Z,156759,,,,,,,123628,,,,,,,,,,,46,102,1117,123628,123628,1219,123628,1,5,cc003439e98b7809e604956b8fa097d2bb59559e,0,0,0,0,0,
20200811,SD,9713,112696,,57,887,,,,,8507,A,8/10/2020 14:00,2020-08-10T21:00:00Z,08/10 17:00,146,887,2020-08-10T14:00:00Z,154777,,,,,,,122409,,,,,,,,,,,46,50,882,122409,122409,932,122409,0,5,ce27c89d6a5dd936d0f72bfdedc2130019cea412,0,0,0,0,0,
20200810,SD,9663,111814,,63,882,,,,,8371,A,8/9/2020 14:00,2020-08-09T21:00:00Z,08/09 17:00,146,882,2020-08-09T14:00:00Z,153507,,,,,,,121477,,,,,,,,,,,46,58,522,121477,121477,580,121477,0,6,c5f2266e85289b56820fab3f13d05eb426e8bc31,0,0,0,0,0,
20200809,SD,9605,111292,,55,876,,,,,8334,A,8/8/2020 14:00,2020-08-08T21:00:00Z,08/08 17:00,146,876,2020-08-08T14:00:00Z,152416,,,,,,,120897,,,,,,,,,,,46,128,782,120897,120897,910,120897,0,5,1cbc262bea560d4c82f00c2d98e615da853ad051,0,0,0,0,0,
20200808,SD,9477,110510,,48,871,,,,,8307,A,8/7/2020 14:00,2020-08-07T21:00:00Z,08/07 17:00,146,871,2020-08-07T14:00:00Z,151085,,,,,,,119987,,,,,,,,,,,46,106,1154,119987,119987,1260,119987,2,5,aacbb317009b7673c28cbd6202a4a4897a2f11a4,0,0,0,0,0,
20200807,SD,9371,109356,,47,866,,,,,8244,A,8/6/2020 14:00,2020-08-06T21:00:00Z,08/06 17:00,144,866,2020-08-06T14:00:00Z,149344,,,,,,,118727,,,,,,,,,,,46,98,1055,118727,118727,1153,118727,3,5,7ecad129c06eabd62328b3a8f0006aa95bef6903,0,0,0,0,0,
20200806,SD,9273,108301,,44,861,,,,,8145,B,8/5/2020 14:00,2020-08-05T21:00:00Z,08/05 17:00,141,861,2020-08-05T14:00:00Z,147336,,,,,,,117574,,,,,,,,,,,46,105,1095,117574,117574,1200,117574,4,5,eeb200b23e16e7eea252ec56f4a686443cf0e238,0,0,0,0,0,
20200805,SD,9168,107206,,43,856,,,,,8080,B,8/4/2020 14:00,2020-08-04T21:00:00Z,08/04 17:00,137,856,2020-08-04T14:00:00Z,145555,,,,,,,116374,,,,,,,,,,,46,89,904,116374,116374,993,116374,1,10,b8f5a346cb0a6d4c4a7fdaf66b49122757110335,0,0,0,0,0,
20200804,SD,9079,106302,,42,846,,,,,8008,B,8/3/2020 14:00,2020-08-03T21:00:00Z,08/03 17:00,136,846,2020-08-03T14:00:00Z,143980,,,,,,,115381,,,,,,,,,,,46,59,674,115381,115381,733,115381,1,8,10852bf623789b09cd1e80c5f901d9df855923d7,0,0,0,0,0,
20200803,SD,9020,105628,,39,838,,,,,7939,B,8/2/2020 14:00,2020-08-02T21:00:00Z,08/02 17:00,135,838,2020-08-02T14:00:00Z,142922,,,,,,,114648,,,,,,,,,,,46,65,630,114648,114648,695,114648,0,3,bac8ef642f7d8e5ddf0d795be9bbbb50a3f8095a,0,0,0,0,0,
