date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200812,TN,126393,1633299,,1295,5554,428,,185,,87290,,8/12/2020 15:00,2020-08-12T22:00:00Z,08/12 18:00,1289,5554,2020-08-12T15:00:00Z,1757690,149367,1608323,124391,1249,40,,,,,,,,,,,,,47,1478,17430,1759692,1759692,18908,1759692,18,90,0df3485c1981f0bf94a203efe6bfcbad6b15a419,0,0,0,0,0,
20200811,TN,124915,1615869,,1378,5464,,,,,85313,A,8/11/2020 15:00,2020-08-11T22:00:00Z,08/11 18:00,1271,5464,2020-08-11T15:00:00Z,1738875,147566,1591309,123006,1232,39,,,,,,,,,,,,,47,1001,11876,1740784,1740784,12877,1740784,38,125,1f2435b3c6e696fb494b60a77b58bf7ec6269029,0,0,0,0,0,
20200810,TN,123914,1603993,,1167,5339,,,,,83170,A,8/10/2020 15:00,2020-08-10T22:00:00Z,08/10 18:00,1233,5339,2020-08-10T15:00:00Z,1726090,146416,1579674,122097,1194,39,,,,,,,,,,,,,47,1202,13585,1727907,1727907,14787,1727907,10,35,2788269d820c9198fb33934efa68a76d1fcf8338,0,0,0,0,0,
20200809,TN,122712,1590408,,1290,5304,,,,,80997,A,8/9/2020 15:00,2020-08-09T22:00:00Z,08/09 18:00,1223,5304,2020-08-09T15:00:00Z,1711319,144931,1566388,120911,1184,39,,,,,,,,,,,,,47,2127,25507,1713120,1713120,27634,1713120,8,42,1fe86383540456a68f6bf9633ce13040a23404b2,0,0,0,0,0,
20200808,TN,120585,1564901,,1393,5262,,,,,80340,A,8/8/2020 15:00,2020-08-08T22:00:00Z,08/08 18:00,1215,5262,2020-08-08T15:00:00Z,1683722,142450,1541272,118821,1176,39,,,,,,,,,,,,,47,1803,21651,1685486,1685486,23454,1685486,9,72,1ec92bb82fc63ffab50f8f08ed8b6ebdb55382ee,0,0,0,0,0,
20200807,TN,118782,1543250,,1406,5190,,,,,79357,A,8/7/2020 15:00,2020-08-07T22:00:00Z,08/07 18:00,1206,5190,2020-08-07T15:00:00Z,1660337,140166,1520171,117087,1167,39,,,,,,,,,,,,,47,2432,24409,1662032,1662032,26841,1662032,20,81,d9432566d0ad8d3cfc4a3dbaced27b683839c036,0,0,0,0,0,
20200806,TN,116350,1518841,,1497,5109,,,,,77558,A,8/6/2020 15:00,2020-08-06T22:00:00Z,08/06 18:00,1186,5109,2020-08-06T15:00:00Z,1633642,137277,1496365,114801,1147,39,,,,,,,,,,,,,47,2252,20894,1635191,1635191,23146,1635191,42,108,e011046bfa16c49298707d3ed41abc58a4ef9706,0,0,0,0,0,
20200805,TN,114098,1497947,,1448,5001,,,,,75550,A,8/4/2020 15:00,2020-08-04T22:00:00Z,08/04 18:00,1144,5001,2020-08-04T15:00:00Z,1610604,134738,1475866,112657,1104,40,,,,,,,,,,,,,47,1657,17738,1612045,1612045,19395,1612045,27,101,d63e0a551a34fbad059426c958259e0de6db10d4,0,0,0,0,0,
20200804,TN,112441,1480209,,1433,4900,,,,,73259,A,8/4/2020 15:00,2020-08-04T22:00:00Z,08/04 18:00,1117,4900,2020-08-04T15:00:00Z,1591310,132703,1458607,111101,1079,38,,,,,,,,,,,,,47,1805,16312,1592650,1592650,18117,1592650,25,92,707f77e8214cd2acd79fad78d7df9e48fc70220e,0,0,0,0,0,
20200803,TN,110636,1463897,,1323,4808,,,,,70878,A,8/3/2020 15:00,2020-08-03T22:00:00Z,08/03 18:00,1092,4808,2020-08-03T15:00:00Z,1573222,130662,1442560,109325,1055,37,,,,,,,,,,,,,47,1009,11226,1574533,1574533,12235,1574533,19,52,652505df0bf867b399aabd3e18d3a383e67b06ad,0,0,0,0,0,
20200802,TN,109627,1452671,,1271,4756,,,,,68471,A,8/2/2020 15:00,2020-08-02T22:00:00Z,08/02 18:00,1073,4756,2020-08-02T15:00:00Z,1561021,129493,1431528,108350,1036,37,,,,,,,,,,,,,47,1443,18002,1562298,1562298,19445,1562298,6,32,54dbafd2b8970ffa9dd7ea7c9b243c14e2d3ee5f,0,0,0,0,0,
20200801,TN,108184,1434669,,1446,4724,,,,,67651,A,8/1/2020 15:00,2020-08-01T22:00:00Z,08/01 18:00,1067,4724,2020-08-01T15:00:00Z,1541615,127773,1413842,106946,1030,37,,,,,,,,,,,,,47,2225,27223,1542853,1542853,29448,1542853,7,63,d34a2fe7c8eb2b652f1488e2e4a2931cead86fe8,0,0,0,0,0,
20200731,TN,105959,1407446,,1494,4661,,,,,66357,A,7/31/2020 15:00,2020-07-31T22:00:00Z,07/31 18:00,1060,4661,2020-07-31T15:00:00Z,1512224,124910,1387314,104778,1023,37,,,,,,,,,,,,,47,3088,29505,1513405,1513405,32593,1513405,27,89,f6c31336aa8c96cfde51779970db87a74cd90b41,0,0,0,0,0,
20200730,TN,102871,1377941,,1493,4572,,,,,64234,A,7/30/2020 15:00,2020-07-30T22:00:00Z,07/30 18:00,1033,4572,2020-07-30T15:00:00Z,1479669,121118,1358551,101728,996,37,,,,,,,,,,,,,47,2049,22524,1480812,1480812,24573,1480812,13,90,e17868d13afd6e3629a6fb2e3a11f13bbb349dcc,0,0,0,0,0,
20200729,TN,100822,1355417,,1417,4482,,,,,62129,A,7/29/2020 15:00,2020-07-29T22:00:00Z,07/29 18:00,1020,4482,2020-07-29T15:00:00Z,1455120,118715,1336405,99703,983,37,,,,,,,,,,,,,47,4333,40454,1456239,1456239,44787,1456239,42,202,fffc19eb1f80425defa4869d0620b35b4171fc18,0,0,0,0,0,
20200728,TN,96489,1314963,,1420,4280,,,,,57239,A,7/27/2020 15:00,2020-07-27T22:00:00Z,07/27 18:00,978,4280,2020-07-27T15:00:00Z,1410396,113557,1296839,95433,943,35,,,,,,,,,,,,,47,0,0,1411452,1411452,0,1411452,0,0,2aabe9e15030194399500ec54fff80dcb8523eb7,0,0,0,0,0,
20200727,TN,96489,1314963,,1328,4280,,,,,57239,A,7/27/2020 15:00,2020-07-27T22:00:00Z,07/27 18:00,978,4280,2020-07-27T15:00:00Z,1410396,113557,1296839,95433,943,35,,,,,,,,,,,,,47,2553,26047,1411452,1411452,28600,1411452,11,36,357cfd038f6812a6e856cdf73387b153bd13a54d,0,0,0,0,0,
20200726,TN,93936,1288916,,1313,4244,,,,,54730,A,7/26/2020 15:00,2020-07-26T22:00:00Z,07/26 18:00,967,4244,2020-07-26T15:00:00Z,1381859,110435,1271424,92943,933,34,,,,,,,,,,,,,47,3140,47338,1382852,1382852,50478,1382852,3,48,642a8b6e49ba6849852931b7879be397b64ade9e,0,0,0,0,0,
20200725,TN,90796,1241578,,1414,4196,,,,,53808,A,7/25/2020 15:00,2020-07-25T22:00:00Z,07/25 18:00,964,4196,2020-07-25T15:00:00Z,1331428,104656,1226772,89850,930,34,,,,,,,,,,,,,47,1718,8043,1332374,1332374,9761,1332374,26,76,8276f33faf192896da86a8309e0a31ce4da14194,0,0,0,0,0,
20200724,TN,89078,1233535,,1460,4120,,,,,52983,A,7/24/2020 15:00,2020-07-24T22:00:00Z,07/24 18:00,938,4120,2020-07-24T15:00:00Z,1321707,104274,1217433,88172,904,34,,,,,,,,,,,,,47,2091,24537,1322613,1322613,26628,1322613,13,104,ce6256834015bb3549b4ebc2584765739112ea15,0,0,0,0,0,
20200723,TN,86987,1208998,,1465,4016,,,,,51661,A,7/23/2020 15:00,2020-07-23T22:00:00Z,07/23 18:00,925,4016,2020-07-23T15:00:00Z,1295115,101782,1193333,86117,891,34,,,,,,,,,,,,,47,2570,29587,1295985,1295985,32157,1295985,37,109,1753a7c3ad224d980efb8544b7279c8929c02fa4,0,0,0,0,0,
20200722,TN,84417,1179411,,1451,3907,,,,,49748,A,7/22/2020 15:00,2020-07-22T22:00:00Z,07/22 18:00,888,3907,2020-07-22T15:00:00Z,1262993,98743,1164250,83582,855,33,,,,,,,,,,,,,47,2473,23122,1263828,1263828,25595,1263828,17,109,341614215a145bb9f56bf82dd66bb85cc72cefde,0,0,0,0,0,
20200721,TN,81944,1156289,,1461,3798,,,,,47852,A,7/21/2020 15:00,2020-07-21T22:00:00Z,07/21 18:00,871,3798,2020-07-21T15:00:00Z,1237411,95765,1141646,81122,840,31,,,,,,,,,,,,,47,2190,20876,1238233,1238233,23066,1238233,24,86,653821c2f6286616e0219645d1344b79fc8295a5,0,0,0,0,0,
20200720,TN,79754,1135413,,1368,3712,,,,,45974,A,7/20/2020 15:00,2020-07-20T22:00:00Z,07/20 18:00,847,3712,2020-07-20T15:00:00Z,1214383,93257,1121126,78970,816,31,,,,,,,,,,,,,47,1639,16231,1215167,1215167,17870,1215167,4,31,984b960a9e4b480ea4f94f9c78f866f723b19053,0,0,0,0,0,
20200719,TN,78115,1119182,,1327,3681,,,,,44319,A,7/19/2020 15:00,2020-07-19T22:00:00Z,07/19 18:00,843,3681,2020-07-19T15:00:00Z,1196543,91295,1105248,77361,812,31,,,,,,,,,,,,,47,1779,21866,1197297,1197297,23645,1197297,5,32,7645aad45b11caf1e23f5822812ad73c13bb2d94,0,0,0,0,0,
20200718,TN,76336,1097316,,1378,3649,,,,,43706,A,7/18/2020 15:00,2020-07-18T22:00:00Z,07/18 18:00,838,3649,2020-07-18T15:00:00Z,1172913,89132,1083781,75597,807,31,,,,,,,,,,,,,47,2517,20463,1173652,1173652,22980,1173652,23,87,66576534e9a17d8216b57229d8c48e1306411b69,0,0,0,0,0,
20200717,TN,73819,1076853,,1436,3562,,,,,42734,A,7/17/2020 15:00,2020-07-17T22:00:00Z,07/17 18:00,815,3562,2020-07-17T15:00:00Z,1149991,86064,1063927,73138,785,30,,,,,,,,,,,,,47,2279,24696,1150672,1150672,26975,1150672,19,65,1096fe44e4a5c1eab7e76eeca04f199323656811,0,0,0,0,0,
20200716,TN,71540,1052157,,1416,3497,,,,,41250,A,7/16/2020 15:00,2020-07-16T22:00:00Z,07/16 18:00,796,3497,2020-07-16T15:00:00Z,1123038,83227,1039811,70881,767,29,,,,,,,,,,,,,47,2479,23545,1123697,1123697,26024,1123697,13,63,1d204c57de4197342655d50a0793d65dbb19fef5,0,0,0,0,0,
20200715,TN,69061,1028612,,1282,3434,,,,,39857,A,7/15/2020 15:00,2020-07-15T22:00:00Z,07/15 18:00,783,3434,2020-07-15T15:00:00Z,1097053,80368,1016685,68441,755,28,,,,,,,,,,,,,47,2273,23512,1097673,1097673,25785,1097673,16,56,421640be4e7cc93308b4a1534494853def568144,0,0,0,0,0,
20200714,TN,66788,1005100,,1222,3378,,,,,38272,A,7/14/2020 15:00,2020-07-14T22:00:00Z,07/14 18:00,767,3378,2020-07-14T15:00:00Z,1071320,77673,993647,66220,740,27,,,,,,,,,,,,,47,1514,16413,1071888,1071888,17927,1071888,18,94,f6c67979f3bd74238cd17c84ea9ae1687f94fb0e,0,0,0,0,0,
20200713,TN,65274,988687,,1120,3284,,,,,36996,A,7/13/2020 15:00,2020-07-13T22:00:00Z,07/13 18:00,749,3284,2020-07-13T15:00:00Z,1053424,75920,977504,64737,722,27,,,,,,,,,,,,,47,3314,32632,1053961,1053961,35946,1053961,8,34,5aebdee7e07198eea3f3672cb74a0b2429b2f389,0,0,0,0,0,
20200712,TN,61960,956055,,1184,3250,,,,,35855,A,7/12/2020 15:00,2020-07-12T22:00:00Z,07/12 18:00,741,3250,2020-07-12T15:00:00Z,1017498,71982,945516,61443,714,27,,,,,,,,,,,,,47,954,9947,1018015,1018015,10901,1018015,3,57,6fff304a78efc4fdd54103e2d60713c6977b70a7,0,0,0,0,0,
