date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200812,TX,506820,3599540,,7028,,2479,,,,367354,,8/12/2020 17:05,2020-08-13T00:05:00Z,08/12 20:05,9034,,2020-08-12T17:05:00Z,4106360,,,506820,,,,,299037,20241,278796,,,,,,16409,2536,48,6200,11297,4106360,4106360,17497,4106360,324,0,8642a219b55dee43b3d0ef94ab45da1ab32fdaef,0,0,0,0,0,
20200811,TX,500620,3588243,,7216,,2495,,,,358312,A,8/11/2020 16:25,2020-08-11T23:25:00Z,08/11 19:25,8710,,2020-08-11T16:25:00Z,4088863,,,500620,,,,,295617,19800,275817,,,,,,15569,2432,48,9803,5399,4088863,4088863,15202,4088863,220,0,f367237b3c05b2d77aacad2f87ac323cc7492b4d,0,0,0,0,0,
20200810,TX,490817,3582844,,7304,,2552,,,,349833,A,8/10/2020 18:20,2020-08-11T01:20:00Z,08/10 21:20,8490,,2020-08-10T18:20:00Z,4073661,,,490817,,,,,290944,18924,272020,,,,,,14841,2350,48,4455,43342,4073661,4073661,47797,4073661,31,0,0ed12444b5f7179fb89e1e19607e874ecde9c9c8,0,0,0,0,0,
20200809,TX,486362,3539502,,7437,,2608,,,,344845,A,8/9/2020 16:20,2020-08-09T23:20:00Z,08/09 19:20,8459,,2020-08-09T16:20:00Z,4025864,,,486362,,,,,288928,18561,270367,,,,,,14466,2319,48,4879,8328,4025864,4025864,13207,4025864,116,0,eec65c673f665176b8d2952824849f7a213dd4f1,0,0,0,0,0,
20200808,TX,481483,3531174,,7872,,2730,,,,338343,A,8/8/2020 16:35,2020-08-08T23:35:00Z,08/08 19:35,8343,,2020-08-08T16:35:00Z,4012657,,,481483,,,,,280434,16924,263510,,,,,,13887,2227,48,6959,5166,4012657,4012657,12125,4012657,247,0,e3224953060c5e794f1403c9106c6e4281d62837,0,0,0,0,0,
20200807,TX,474524,3526008,,8065,,2742,,,,331668,A,8/7/2020 17:45,2020-08-08T00:45:00Z,08/07 20:45,8096,,2020-08-07T17:45:00Z,4000532,,,474524,,,,,276849,15364,261485,,,,,,2206,505,48,7039,49013,4000532,4000532,56052,4000532,293,0,c43b6b8e11e0be3cef438116108b51c24361e550,0,0,0,0,0,
20200806,TX,467485,3476995,,8302,,2917,,,,323804,A,8/6/2020 16:15,2020-08-06T23:15:00Z,08/06 19:15,7803,,2020-08-06T16:15:00Z,3944480,,,467485,,,,,276849,15364,261485,,,,,,,,48,7598,28647,3944480,3944480,36245,3944480,306,0,a079c80eeaaea3e849c22b466cd91dd0e20b130a,0,0,0,0,0,
20200805,TX,459887,3448348,,8455,,2917,,,,315652,A,8/5/2020 16:30,2020-08-05T23:30:00Z,08/05 19:30,7497,,2020-08-05T16:30:00Z,3908235,,,459887,,,,,268978,14535,254443,,,,,,,,48,8706,14681,3908235,3908235,23387,3908235,236,0,572c03302cd674ab51e4f21e3aa92be52b377c16,0,0,0,0,0,
20200804,TX,451181,3433667,,8674,,3006,,,,306262,A,8/4/2020 16:45,2020-08-04T23:45:00Z,08/04 19:45,7261,,2020-08-04T16:45:00Z,3884848,,,451181,,,,,258494,13478,245016,,,,,,,,48,9167,41095,3884848,3884848,50262,3884848,245,0,fdd1c49cc17b8d21cbc49de8447ca7a76e255665,0,0,0,0,0,
20200803,TX,442014,3392572,,8819,,3045,,,,297422,A,8/3/2020 16:20,2020-08-03T23:20:00Z,08/03 19:20,7016,,2020-08-03T16:20:00Z,3834586,,,442014,,,,,243777,12054,231723,,,,,,,,48,11529,75278,3834586,3834586,86807,3834586,179,0,58003f9e6ac1128c58ec79a3f20f41cbf5fd8a7f,0,0,0,0,0,
