date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200811,UT,44752,533797,,208,2677,81,685,,277,34764,A+,8/11/2020 11:14,2020-08-11T18:14:00Z,08/11 14:14,349,2677,2020-08-11T11:14:00Z,700182,,,44752,,,,578549,,,,,,,,,,,49,362,3627,578549,578549,3989,578549,4,35,929224862be9ed0b45db08de505faa7c742af85e,0,0,0,0,0,
20200810,UT,44390,530170,,222,2642,79,673,,275,34319,A+,8/10/2020 10:59,2020-08-10T17:59:00Z,08/10 13:59,345,2642,2020-08-10T10:59:00Z,694668,,,44390,,,,574560,,,,,,,,,,,49,263,3684,574560,574560,3947,574560,9,22,ce26d54f5b52cd2ceff04c5c45d5d969e4d92a3a,0,0,0,0,0,
20200809,UT,44127,526486,,224,2620,78,669,,274,33914,A+,8/9/2020 11:38,2020-08-09T18:38:00Z,08/09 14:38,336,2620,2020-08-09T11:38:00Z,689272,,,44127,,,,570613,,,,,,,,,,,49,376,3882,570613,570613,4258,570613,1,16,f738a1980a4fea1524b122ee2f7795e3bda01fbc,0,0,0,0,0,
20200808,UT,43751,522604,,222,2604,77,667,,272,33115,A+,8/8/2020 11:03,2020-08-08T18:03:00Z,08/08 14:03,335,2604,2020-08-08T11:03:00Z,683550,,,43751,,,,566355,,,,,,,,,,,49,376,6879,566355,566355,7255,566355,0,26,ccf6b9e6266fcfcb0e56642d51be982fdd2443d2,0,0,0,0,0,
20200807,UT,43375,515725,,234,2578,81,657,,269,32371,A+,8/7/2020 10:33,2020-08-07T17:33:00Z,08/07 13:33,335,2578,2020-08-07T10:33:00Z,673509,,,43375,,,,559100,,,,,,,,,,,49,460,3249,559100,559100,3709,559100,5,24,f7c0a126ebd6bce77ba4eb4e6ab9ef4780e4829f,0,0,0,0,0,
20200806,UT,42915,512476,,220,2554,80,657,,266,31619,A+,8/6/2020 10:42,2020-08-06T17:42:00Z,08/06 13:42,330,2554,2020-08-06T10:42:00Z,667936,,,42915,,,,555391,,,,,,,,,,,49,587,4482,555391,555391,5069,555391,3,35,7bea8a356fa758f0f87ac19304b100919ab4ac42,0,0,0,0,0,
20200805,UT,42328,507994,,220,2519,81,650,,265,30911,A+,8/5/2020 09:57,2020-08-05T16:57:00Z,08/05 12:57,327,2519,2020-08-05T09:57:00Z,660553,,,42328,,,,550322,,,,,,,,,,,49,421,4945,550322,550322,5366,550322,6,37,60fe3614a650f626953b28af26b5c504a80fe4f6,0,0,0,0,0,
20200804,UT,41907,503049,,220,2482,81,640,,261,30449,A+,8/4/2020 10:30,2020-08-04T17:30:00Z,08/04 13:30,321,2482,2020-08-04T10:30:00Z,653315,,,41907,,,,544956,,,,,,,,,,,49,378,4396,544956,544956,4774,544956,7,32,04cd8426aca69a064ab483f1843ebe3042df3ffb,0,0,0,0,0,
20200803,UT,41529,498653,,252,2450,83,630,,257,29967,A+,8/3/2020 10:20,2020-08-03T17:20:00Z,08/03 13:20,314,2450,2020-08-03T10:20:00Z,647027,,,41529,,,,540182,,,,,,,,,,,49,354,3112,540182,540182,3466,540182,3,20,fb3a212279182ce3fa397341941d8ca1ed63817c,0,0,0,0,0,
20200802,UT,41175,495541,,289,2430,84,628,,256,29389,A+,8/2/2020 10:32,2020-08-02T17:32:00Z,08/02 13:32,311,2430,2020-08-02T10:32:00Z,642368,,,41175,,,,536716,,,,,,,,,,,49,473,2983,536716,536716,3456,536716,1,18,5e4a85c89ee502e0dc43afeed4f2f6e4d41fc434,0,0,0,0,0,
20200801,UT,40702,492558,,268,2412,82,627,,255,28747,A+,8/1/2020 11:41,2020-08-01T18:41:00Z,08/01 14:41,310,2412,2020-08-01T11:41:00Z,637428,,,40702,,,,533260,,,,,,,,,,,49,506,3844,533260,533260,4350,533260,6,35,10c10a82c8f997f4829001162a98a382ab78605b,0,0,0,0,0,
20200731,UT,40196,488714,,258,2377,81,618,,250,28130,A+,7/31/2020 10:58,2020-07-31T17:58:00Z,07/31 13:58,304,2377,2020-07-31T10:58:00Z,631309,,,40196,,,,528910,,,,,,,,,,,49,500,4043,528910,528910,4543,528910,4,31,c76c853d74a6c23669ec3f348330bcb769a7e9e4,0,0,0,0,0,
20200730,UT,39696,484671,,238,2346,87,610,,249,27261,A+,7/30/2020 11:19,2020-07-30T18:19:00Z,07/30 14:19,300,2346,2020-07-30T11:19:00Z,624952,,,39696,,,,524367,,,,,,,,,,,49,502,5674,524367,524367,6176,524367,8,22,14a1d2671dd2b077a06427bbdfc3d4936649af6a,0,0,0,0,0,
20200729,UT,39194,478997,,232,2324,88,605,,244,26643,A+,7/29/2020 10:45,2020-07-29T17:45:00Z,07/29 13:45,292,2324,2020-07-29T10:45:00Z,616512,,,39194,,,,518191,,,,,,,,,,,49,339,3343,518191,518191,3682,518191,6,29,f9b45a84b6d622dd9c6cb3c757dccc2918f248a6,0,0,0,0,0,
20200728,UT,38855,475654,,233,2295,90,592,,240,25905,A+,7/28/2020 10:15,2020-07-28T17:15:00Z,07/28 13:15,286,2295,2020-07-28T10:15:00Z,613190,,,38855,,,,514509,,,,,,,,,,,49,446,4205,514509,514509,4651,514509,5,42,3a058ba6367f921d0dc738e332ac8c3adb5808b4,0,0,0,0,0,
20200727,UT,38409,471449,,225,2253,83,580,,239,25321,A+,7/27/2020 10:59,2020-07-27T17:59:00Z,07/27 13:59,281,2253,2020-07-27T10:59:00Z,607008,,,38409,,,,509858,,,,,,,,,,,49,436,4071,509858,509858,4507,509858,7,19,ae14153eddf1afe1343bf0d36f45675b117cd698,0,0,0,0,0,
20200726,UT,37973,467378,,251,2234,83,577,,239,24798,A+,7/26/2020 10:29,2020-07-26T17:29:00Z,07/26 13:29,274,2234,2020-07-26T10:29:00Z,600765,,,37973,,,,505351,,,,,,,,,,,49,350,4862,505351,505351,5212,505351,0,21,9d34036aec9d1958fba13ebe353fe35a52c8b040,0,0,0,0,0,
20200725,UT,37623,462516,,232,2213,79,576,,238,24390,A+,7/25/2020 10:57,2020-07-25T17:57:00Z,07/25 13:57,274,2213,2020-07-25T10:57:00Z,594012,,,37623,,,,500139,,,,,,,,,,,49,661,5407,500139,500139,6068,500139,1,25,43cc10c28edc00d5d2a85b4dc3b5379a4c82e287,0,0,0,0,0,
20200724,UT,36962,457109,,250,2188,97,574,,237,23715,A+,7/24/2020 10:19,2020-07-24T17:19:00Z,07/24 13:19,273,2188,2020-07-24T10:19:00Z,585839,,,36962,,,,494071,,,,,,,,,,,49,863,7786,494071,494071,8649,494071,6,38,62bd89ccfe4730b8f94427517e22b23b1abf64c5,0,0,0,0,0,
20200723,UT,36099,449323,,249,2150,98,568,,234,23093,A+,7/23/2020 10:55,2020-07-23T17:55:00Z,07/23 13:55,267,2150,2020-07-23T10:55:00Z,574216,,,36099,,,,485422,,,,,,,,,,,49,521,3499,485422,485422,4020,485422,7,15,b86fdea2dbd08004e95e15c038e15b2e3b89b2c1,0,0,0,0,0,
20200722,UT,35578,445824,,234,2135,94,563,,231,22532,A+,7/22/2020 11:41,2020-07-22T18:41:00Z,07/22 14:41,260,2135,2020-07-22T11:41:00Z,569107,,,35578,,,,481402,,,,,,,,,,,49,566,5393,481402,481402,5959,481402,9,26,9f8c6dbbc46d653f6371fda87c2ad7b96302fda7,0,0,0,0,0,
20200721,UT,35012,440431,,219,2109,96,554,,229,22032,A+,7/21/2020 10:35,2020-07-21T17:35:00Z,07/21 13:35,251,2109,2020-07-21T10:35:00Z,561500,,,35012,,,,475443,,,,,,,,,,,49,486,5553,475443,475443,6039,475443,4,43,0515f1c33c11a898c1f43e721c95bbf28a2700d6,0,0,0,0,0,
20200720,UT,34526,434878,,247,2066,105,543,,224,21504,A+,7/20/2020 10:13,2020-07-20T17:13:00Z,07/20 13:13,247,2066,2020-07-20T10:13:00Z,553616,,,34526,,,,469404,,,,,,,,,,,49,409,6173,469404,469404,6582,469404,4,33,d2eefb420ea79f3c8e965081682f62792fe4ec45,0,0,0,0,0,
20200719,UT,34117,428705,,296,2033,102,543,,222,20915,A+,7/19/2020 11:08,2020-07-19T18:08:00Z,07/19 14:08,243,2033,2020-07-19T11:08:00Z,545296,,,34117,,,,462822,,,,,,,,,,,49,785,5797,462822,462822,6582,462822,0,19,2cefa845b8f7210d3f6fe0079d8b65f215996f7c,0,0,0,0,0,
20200718,UT,33332,422908,,251,2014,91,541,,222,20421,A+,7/18/2020 10:53,2020-07-18T17:53:00Z,07/18 13:53,243,2014,2020-07-18T10:53:00Z,536950,,,33332,,,,456240,,,,,,,,,,,49,760,7674,456240,456240,8434,456240,8,30,83ea5c5f7f57fcc6c77b37e181d45f4f9d0b1f41,0,0,0,0,0,
20200717,UT,32572,415234,,256,1984,96,532,,220,19862,A+,7/17/2020 09:43,2020-07-17T16:43:00Z,07/17 12:43,235,1984,2020-07-17T09:43:00Z,526288,,,32572,,,,447806,,,,,,,,,,,49,727,7551,447806,447806,8278,447806,1,28,6e37ae4a5de891642f2caedd69d5281387848ad2,0,0,0,0,0,
20200716,UT,31845,407683,,236,1956,89,523,,214,19214,A+,7/16/2020 10:58,2020-07-16T17:58:00Z,07/16 13:58,234,1956,2020-07-16T10:58:00Z,516003,,,31845,,,,439528,,,,,,,,,,,49,954,6494,439528,439528,7448,439528,1,43,4d47514b8a953874301f3ee9be776f521cee9ae4,0,0,0,0,0,
20200715,UT,30891,401189,,250,1913,83,515,,214,18593,A+,7/15/2020 11:01,2020-07-15T18:01:00Z,07/15 14:01,233,1913,2020-07-15T11:01:00Z,,,,30891,,,,432080,,,,,,,,,,,49,413,7146,432080,432080,7559,432080,7,25,f31a56ae2b4431d4135e0a846f76cb231d7f67cb,0,0,0,0,0,
20200714,UT,30478,394043,,231,1888,80,505,,210,18111,A+,7/14/2020 11:21,2020-07-14T18:21:00Z,07/14 14:21,226,1888,2020-07-14T11:21:00Z,,,,30478,,,,424521,,,,,,,,,,,49,448,5738,424521,424521,6186,424521,10,38,0904adb5f19645bd9014fd7661ba4a409866808a,0,0,0,0,0,
20200713,UT,30030,388305,,252,1850,86,487,,208,17728,A+,7/13/2020 10:41,2020-07-13T17:41:00Z,07/13 13:41,216,1850,2020-07-13T10:41:00Z,,,,30030,,,,418335,,,,,,,,,,,49,546,4731,418335,418335,5277,418335,1,26,3694c6cd1889f3dcf84967553d743ac62c3956d2,0,0,0,0,0,
20200712,UT,29484,383574,,276,1824,84,486,,207,17303,A+,7/12/2020 13:34,2020-07-12T20:34:00Z,07/12 16:34,215,1824,2020-07-12T13:34:00Z,,,,29484,,,,413058,,,,,,,,,,,49,629,7077,413058,413058,7706,413058,3,27,6efdcde7fa909791bea4ddb8e3e83ca9b2d128d4,0,0,0,0,0,
20200711,UT,28855,376497,,269,1797,84,483,,207,16897,A+,7/11/2020 11:13,2020-07-11T18:13:00Z,07/11 14:13,212,1797,2020-07-11T11:13:00Z,,,,28855,,,,405352,,,,,,,,,,,49,632,8746,405352,405352,9378,405352,5,49,10273b47b6152fa442dacc208b64f0e74b44e12a,0,0,0,0,0,
20200710,UT,28223,367751,,229,1748,79,477,,205,16261,A+,7/10/2020 10:27,2020-07-10T17:27:00Z,07/10 13:27,207,1748,2020-07-10T10:27:00Z,,,,28223,,,,395974,,,,,,,,,,,49,867,6374,395974,395974,7241,395974,2,48,e7e27dd374741ecd623fb41fddcba696b849e5db,0,0,0,0,0,
20200709,UT,27356,361377,,207,1700,74,472,,204,15661,A+,7/9/2020 11:13,2020-07-09T18:13:00Z,07/09 14:13,205,1700,2020-07-09T11:13:00Z,,,,27356,,,,388733,,,,,,,,,,,49,601,2372,388733,388733,2973,388733,4,22,e9251e8b71a492973563d5f7f6aaedd337888019,0,0,0,0,0,
20200708,UT,26755,359005,,236,1678,76,465,,203,15178,A+,7/8/2020 11:13,2020-07-08T18:13:00Z,07/08 14:13,201,1678,2020-07-08T11:13:00Z,,,,26755,,,,385760,,,,,,,,,,,49,722,2189,385760,385760,2911,385760,7,25,90236f3b0293a299dcb9e8cd82b3cd2a4d300d52,0,0,0,0,0,
20200707,UT,26033,356816,,248,1653,84,455,,200,14764,A+,7/7/2020 10:30,2020-07-07T17:30:00Z,07/07 13:30,194,1653,2020-07-07T10:30:00Z,,,,26033,,,,382849,,,,,,,,,,,49,564,6443,382849,382849,7007,382849,4,49,3f77f6c52a2f98292f6cacfecf162f9624834657,0,0,0,0,0,
20200706,UT,25469,350373,,244,1604,83,438,,194,14448,A+,7/6/2020 11:02,2020-07-06T18:02:00Z,07/06 14:02,190,1604,2020-07-06T11:02:00Z,,,,25469,,,,375842,,,,,,,,,,,49,517,4017,375842,375842,4534,375842,6,22,2a926a8377ca005acc1905453abf06644426ecb6,0,0,0,0,0,
20200705,UT,24952,346356,,237,1582,84,438,,195,14147,A+,7/5/2020 10:48,2020-07-05T17:48:00Z,07/05 13:48,184,1582,2020-07-05T10:48:00Z,,,,24952,,,,371308,,,,,,,,,,,49,410,4182,371308,371308,4592,371308,3,17,c05d1a214b473bcc0fc23bafb53431b1da4a4bea,0,0,0,0,0,
20200704,UT,24542,342174,,255,1565,88,436,,194,13807,A+,7/4/2020 10:43,2020-07-04T17:43:00Z,07/04 13:43,181,1565,2020-07-04T10:43:00Z,,,,24542,,,,366716,,,,,,,,,,,49,676,9404,366716,366716,10080,366716,0,36,176c682f14207214f07af501599a7d1d9aa82f24,0,0,0,0,0,
