date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200812,VA,102521,1185035,397,1281,14528,290,,142,,13247,,8/11/2020 17:00,2020-08-12T00:00:00Z,08/11 20:00,2352,14528,2020-08-11T17:00:00Z,,,,98374,2238,114,1283409,,111414,,,,,,,,,,51,776,15235,1287953,1287556,16011,1287556,8,83,dd579e9795c1afde92ebdcfa1f85e7563a78e5b8,0,0,0,0,0,
20200811,VA,101745,1169800,427,1293,14445,280,,148,,13152,A+,8/10/2020 17:00,2020-08-11T00:00:00Z,08/10 20:00,2344,14445,2020-08-10T17:00:00Z,,,,97712,2232,112,1267512,,110946,,,,,,,,,,51,996,9002,1271972,1271545,9998,1271545,17,233,0861335249911196e93320ee144d3dd65559fcc6,0,0,0,0,0,
20200810,VA,100749,1160798,396,1251,14212,279,,159,,12961,A+,8/9/2020 17:00,2020-08-10T00:00:00Z,08/09 20:00,2327,14212,2020-08-09T17:00:00Z,,,,96807,2215,112,1257605,,110790,,,,,,,,,,51,663,16626,1261943,1261547,17289,1261547,1,89,c791730e655bfb1c62c3731d4cb13cef4d726a70,0,0,0,0,0,
20200809,VA,100086,1144172,344,1200,14123,260,,146,,12923,A+,8/8/2020 17:00,2020-08-09T00:00:00Z,08/08 20:00,2326,14123,2020-08-08T17:00:00Z,,,,96167,2214,112,1240339,,110147,,,,,,,,,,51,897,20333,1244602,1244258,21230,1244258,4,22,3c40a53f6961192eb27fffa15449e7b6e6a2802c,0,0,0,0,0,
20200808,VA,99189,1123839,362,1258,14101,271,,145,,12843,A+,8/7/2020 17:00,2020-08-08T00:00:00Z,08/07 20:00,2322,14101,2020-08-07T17:00:00Z,,,,95326,2211,111,1219165,,109468,,,,,,,,,,51,1307,12976,1223390,1223028,14283,1223028,5,4,cf4556d863f1467053f7b153fec4cd05839c5b5d,0,0,0,0,0,
20200807,VA,97882,1110863,475,1372,14097,284,,159,,12725,A+,8/6/2020 17:00,2020-08-07T00:00:00Z,08/06 20:00,2317,14097,2020-08-06T17:00:00Z,,,,94141,2208,109,1205004,,108689,,,,,,,,,,51,2015,11803,1209220,1208745,13818,1208745,18,113,ddd94527b03a0538de2c5565938bbf25d588f10d,0,0,0,0,0,
20200806,VA,95867,1099060,474,1349,13984,284,,157,,12635,A+,8/5/2020 17:00,2020-08-06T00:00:00Z,08/05 20:00,2299,13984,2020-08-05T17:00:00Z,,,,92244,2191,108,1191304,,107953,,,,,,,,,,51,818,14353,1195401,1194927,15171,1194927,25,158,a4fab0d68a10e805ec995591c151cc8290d15096,0,0,0,0,0,
20200805,VA,95049,1084707,423,1304,13826,283,,144,,12522,A+,8/4/2020 17:00,2020-08-05T00:00:00Z,08/04 20:00,2274,13826,2020-08-04T17:00:00Z,,,,91473,2164,110,1176180,,106956,,,,,,,,,,51,798,10920,1180179,1179756,11718,1179756,30,186,b78df0372025c7d02b8a4e1da7a0bb7f6a6a7422,0,0,0,0,0,
20200804,VA,94251,1073787,375,1255,13640,282,,144,,12385,A+,8/3/2020 17:00,2020-08-04T00:00:00Z,08/03 20:00,2244,13640,2020-08-03T17:00:00Z,,,,90728,2134,110,1164515,,106659,,,,,,,,,,51,1145,11785,1168413,1168038,12930,1168038,26,180,80efbe8a253654410c077d3669ab039b7df56506,0,0,0,0,0,
20200803,VA,93106,1062002,322,1205,13460,271,,151,,12255,A+,8/2/2020 17:00,2020-08-03T00:00:00Z,08/02 20:00,2218,13460,2020-08-02T17:00:00Z,,,,89602,2108,110,1151604,,106443,,,,,,,,,,51,1324,13758,1155430,1155108,15082,1155108,0,180,f35070c927a3cf535c641c402c12ac6882c75b8f,0,0,0,0,0,
20200802,VA,91782,1048244,315,1172,13280,267,,138,,12108,A+,8/1/2020 17:00,2020-08-02T00:00:00Z,08/01 20:00,2218,13280,2020-08-01T17:00:00Z,,,,88324,2108,110,1136568,,105769,,,,,,,,,,51,981,11684,1140341,1140026,12665,1140026,3,17,ce0128ac855dd483e26694e3665f11b97df97718,0,0,0,0,0,
20200801,VA,90801,1036560,352,1256,13263,275,,150,,12007,A+,7/31/2020 17:00,2020-08-01T00:00:00Z,07/31 20:00,2215,13263,2020-07-31T17:00:00Z,,,,87367,2105,110,1123927,,105098,,,,,,,,,,51,913,15701,1127713,1127361,16614,1127361,41,-8,cd7c3c177d1e0bc5c70e309db28fe075e95f7d6b,0,0,0,0,0,
20200731,VA,89888,1020859,449,1334,13271,279,,145,,11937,A+,7/30/2020 17:00,2020-07-31T00:00:00Z,07/30 20:00,2174,13271,2020-07-30T17:00:00Z,,,,86501,2067,107,1107360,,104262,,,,,,,,,,51,984,14790,1111196,1110747,15774,1110747,33,186,736d526cca7ec87b285001ffd37ac498c51165c1,0,0,0,0,0,
20200730,VA,88904,1006069,492,1357,13085,284,,147,,11728,A+,7/29/2020 17:00,2020-07-30T00:00:00Z,07/29 20:00,2141,13085,2020-07-29T17:00:00Z,,,,85546,2035,106,1091615,,103486,,,,,,,,,,51,911,17306,1095465,1094973,18217,1094973,16,85,db91d2bb6e31f680daaac7fc37ef172b3bb46292,0,0,0,0,0,
20200729,VA,87993,988763,484,1350,13000,276,,155,,11650,A+,7/28/2020 17:00,2020-07-29T00:00:00Z,07/28 20:00,2125,13000,2020-07-28T17:00:00Z,,,,84700,2020,105,1073463,,102351,,,,,,,,,,51,999,16347,1077240,1076756,17346,1076756,30,156,d45edec541d2b95145ccbedbb80c3b577505b7b8,0,0,0,0,0,
20200728,VA,86994,972416,436,1294,12844,261,,153,,11550,A+,7/27/2020 17:00,2020-07-28T00:00:00Z,07/27 20:00,2095,12844,2020-07-27T17:00:00Z,,,,83732,1991,104,1056148,,101776,,,,,,,,,,51,922,19277,1059846,1059410,20199,1059410,13,704,60469d5cf5fe9679d2b9bcdaf19fff70808b91d6,0,0,0,0,0,
20200727,VA,86072,953139,379,1200,12140,260,,140,,10940,A+,7/26/2020 17:00,2020-07-27T00:00:00Z,07/26 20:00,2082,12140,2020-07-26T17:00:00Z,,,,82871,1978,104,1036010,,101405,,,,,,,,,,51,1505,9466,1039590,1039211,10971,1039211,4,84,be6365a9812349ffaf5a9a1c7449e059d83e9dc5,0,0,0,0,0,
20200726,VA,84567,943673,393,1174,12056,268,,143,,10882,A+,7/25/2020 17:00,2020-07-26T00:00:00Z,07/25 20:00,2078,12056,2020-07-25T17:00:00Z,,,,81393,1975,103,1025066,,101186,,,,,,,,,,51,958,16839,1028633,1028240,17797,1028240,3,55,84784d8893e60f32f696d62abbf2aa69b8461a14,0,0,0,0,0,
20200725,VA,83609,926834,416,1201,12001,266,,138,,10800,A+,7/24/2020 17:00,2020-07-25T00:00:00Z,07/24 20:00,2075,12001,2020-07-24T17:00:00Z,,,,80480,1972,103,1007314,,100381,,,,,,,,,,51,1245,18899,1010859,1010443,20144,1010443,8,175,b7d0d796aa70a541ef17708570510fbbfef4bd12,0,0,0,0,0,
20200724,VA,82364,907935,451,1250,11826,274,,142,,10576,A+,7/23/2020 17:00,2020-07-24T00:00:00Z,07/23 20:00,2067,11826,2020-07-23T17:00:00Z,,,,79253,1964,103,987188,,99052,,,,,,,,,,51,1127,16972,990750,990299,18099,990299,13,129,d03c272938dabcbc9131c97e5d530f45152b1b99,0,0,0,0,0,
20200723,VA,81237,890963,417,1218,11697,257,,136,,10479,A+,7/22/2020 17:00,2020-07-23T00:00:00Z,07/22 20:00,2054,11697,2020-07-22T17:00:00Z,,,,78182,1951,103,969145,,97440,,,,,,,,,,51,844,17169,972617,972200,18013,972200,3,209,4226b9ee9a6e9a7ef11b5d05fe5361f2859ebe86,0,0,0,0,0,
20200722,VA,80393,873794,385,1157,11488,253,,136,,10331,A+,7/21/2020 17:00,2020-07-22T00:00:00Z,07/21 20:00,2051,11488,2020-07-21T17:00:00Z,,,,77380,1948,103,951174,,95847,,,,,,,,,,51,1022,13073,954572,954187,14095,954187,3,64,e2a5b1264843925740c761006f3989d702672db0,0,0,0,0,0,
20200721,VA,79371,860721,427,1189,11424,258,,127,,10235,A+,7/20/2020 17:00,2020-07-21T00:00:00Z,07/20 20:00,2048,11424,2020-07-20T17:00:00Z,,,,76427,1945,103,937148,,94828,,,,,,,,,,51,996,18635,940519,940092,19631,940092,17,159,158e49106cd79548dd7dff1847f30e285d878a92,0,0,0,0,0,
20200720,VA,78375,842086,415,1158,11265,265,,125,,10107,A+,7/19/2020 17:00,2020-07-20T00:00:00Z,07/19 20:00,2031,11265,2020-07-19T17:00:00Z,,,,75415,1927,104,917501,,94241,,,,,,,,,,51,945,12153,920876,920461,13098,920461,4,62,c69e660f7badb7ce11804f74fb344c33be1c8a1f,0,0,0,0,0,
20200719,VA,77430,829933,453,1186,11203,249,,127,,10017,A+,7/18/2020 17:00,2020-07-19T00:00:00Z,07/18 20:00,2027,11203,2020-07-18T17:00:00Z,,,,74490,1923,104,904423,,93869,,,,,,,,,,51,1057,16605,907816,907363,17662,907363,2,61,89c693ac27a45d432d12f8300f213bc034a30724,0,0,0,0,0,
