date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200812,VI,639,10778,27,,,,,,,468,,8/11/2020 21:05,2020-08-12T04:05:00Z,08/12 00:05,9,,2020-08-11T21:05:00Z,,,,,9,,,11444,,,,,,,,,,,78,63,291,11444,11417,354,11417,0,0,641fcfb8061501029ee4230a2dc230eb5305d7d0,0,0,0,0,0,
20200811,VI,576,10487,26,,,,,,,439,C,8/10/2020 21:14,2020-08-11T04:14:00Z,08/11 00:14,9,,2020-08-10T21:14:00Z,,,,,9,,,11089,,,,,,,,,,,78,29,130,11089,11063,159,11063,0,0,fa5a05c224e3bb029ad1875870be80e872d77985,0,0,0,0,0,
20200810,VI,547,10357,1,,,,,,,410,C,8/10/2020 09:31,2020-08-10T16:31:00Z,08/10 12:31,9,,2020-08-10T09:31:00Z,,,,,9,,,10905,,,,,,,,,,,78,0,25,10905,10904,25,10904,0,0,3256d7baa50902eeab5be70b17f336de981d0cd1,0,0,0,0,0,
20200809,VI,547,10332,21,,,,,,,404,C,8/9/2020 01:51,2020-08-09T08:51:00Z,08/09 04:51,9,,2020-08-09T01:51:00Z,,,,,9,,,10900,,,,,,,,,,,78,19,241,10900,10879,260,10879,0,0,61f36b90da859a01d4fca19e1c07a408dc140d5d,0,0,0,0,0,
20200808,VI,528,10091,24,,,,,,,404,C,8/7/2020 21:11,2020-08-08T04:11:00Z,08/08 00:11,9,,2020-08-07T21:11:00Z,,,,,9,,,10643,,,,,,,,,,,78,6,114,10643,10619,120,10619,0,0,422222b404c8183b49facaae84adc9e2b05fcef7,0,0,0,0,0,
20200807,VI,522,9977,21,,,,,,,398,C,8/6/2020 20:38,2020-08-07T03:38:00Z,08/06 23:38,9,,2020-08-06T20:38:00Z,,,,,9,,,10520,,,,,,,,,,,78,21,103,10520,10499,124,10499,0,0,4f40b3e17b03ce96b2ee127f992edafbcc154160,0,0,0,0,0,
20200806,VI,501,9874,12,,,,,,,384,C,8/5/2020 20:20,2020-08-06T03:20:00Z,08/05 23:20,9,,2020-08-05T20:20:00Z,,,,,9,,,10387,,,,,,,,,,,78,20,252,10387,10375,272,10375,1,0,604ff156296926b534c519f2fa6b24144ad284f2,0,0,0,0,0,
20200805,VI,481,9622,26,,,,,,,374,C,8/5/2020 13:44,2020-08-05T20:44:00Z,08/05 16:44,8,,2020-08-05T13:44:00Z,,,,,8,,,10129,,,,,,,,,,,78,18,310,10129,10103,328,10103,0,0,556dc16f98d7fa0887775cdc091e2882ce1e6967,0,0,0,0,0,
20200804,VI,463,9312,26,,,,,,,364,C,8/4/2020 07:09,2020-08-04T14:09:00Z,08/04 10:09,8,,2020-08-04T07:09:00Z,,,,,8,,,9801,,,,,,,,,,,78,24,315,9801,9775,339,9775,0,0,dc048777bb7e8b6cde36aa6ce095662ca201700f,0,0,0,0,0,
20200803,VI,439,8997,7,,,,,,,354,C,8/3/2020 06:23,2020-08-03T13:23:00Z,08/03 09:23,8,,2020-08-03T06:23:00Z,,,,,8,,,9443,,,,,,,,,,,78,18,129,9443,9436,147,9436,0,0,3a1954caa57c0a5ce5cad3d8a9be73c2a57bb2ed,0,0,0,0,0,
