date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200812,VT,1478,103595,,9,,,,,,1302,,8/12/2020 00:00,2020-08-12T07:00:00Z,08/12 03:00,58,,2020-08-12T00:00:00Z,,,,1478,58,,,105073,,,,,,,,,,,50,6,1110,105073,105073,1116,105073,0,0,d6a4c4c2c936b3ff6472c498482820d9f83af167,0,0,0,0,0,
20200811,VT,1472,102485,,12,,,,,,1295,B,8/11/2020 00:00,2020-08-11T07:00:00Z,08/11 03:00,58,,2020-08-11T00:00:00Z,,,,1472,58,,,103957,,,,,,,,,,,50,10,594,103957,103957,604,103957,0,0,e7190572cadc97ab92d669dc55a3964eaa965937,0,0,0,0,0,
20200810,VT,1462,101891,,11,,,,,,1282,B,8/10/2020 00:00,2020-08-10T07:00:00Z,08/10 03:00,58,,2020-08-10T00:00:00Z,,,,1462,58,,,103353,,,,,,,,,,,50,3,659,103353,103353,662,103353,0,0,0fc07d22725d5aa5c95240f33b4015470398d314,0,0,0,0,0,
20200809,VT,1459,101232,,6,,,,,,1279,B,8/9/2020 00:00,2020-08-09T07:00:00Z,08/09 03:00,58,,2020-08-09T00:00:00Z,,,,1459,58,,,102691,,,,,,,,,,,50,5,883,102691,102691,888,102691,0,0,2f3d11833469da0bc917a1e38b9fc1a2e5dae4c0,0,0,0,0,0,
20200808,VT,1454,100349,,8,,,,,,1272,B,8/8/2020 00:00,2020-08-08T07:00:00Z,08/08 03:00,58,,2020-08-08T00:00:00Z,,,,1454,58,,,101803,,,,,,,,,,,50,6,835,101803,101803,841,101803,0,0,44a2012a26d5e3c990b71b854a7edce43f58158b,0,0,0,0,0,
20200807,VT,1448,99514,,6,,,,,,1260,B,8/7/2020 00:00,2020-08-07T07:00:00Z,08/07 03:00,58,,2020-08-07T00:00:00Z,,,,1448,58,,,100962,,,,,,,,,,,50,3,907,100962,100962,910,100962,0,0,42ec949f87e6d131675a7d864d1caf6251f9450f,0,0,0,0,0,
20200806,VT,1445,98607,,6,,,,,,1258,B,8/6/2020 00:00,2020-08-06T07:00:00Z,08/06 03:00,58,,2020-08-06T00:00:00Z,,,,1445,58,,,100052,,,,,,,,,,,50,9,1053,100052,100052,1062,100052,1,0,9f7e941f63a5fbc56b09ac57aa652e94a4253b62,0,0,0,0,0,
20200805,VT,1436,97554,,9,,,,,,1254,B,8/5/2020 00:00,2020-08-05T07:00:00Z,08/05 03:00,57,,2020-08-05T00:00:00Z,,,,1436,57,,,98990,,,,,,,,,,,50,5,184,98990,98990,189,98990,0,0,25a9ec4de19651dd4ed4ef9c1c66ef4e77b43480,0,0,0,0,0,
20200804,VT,1431,97370,,14,,,,,,1249,B,8/4/2020 00:00,2020-08-04T07:00:00Z,08/04 03:00,57,,2020-08-04T00:00:00Z,,,,1431,57,,,98801,,,,,,,,,,,50,4,1559,98801,98801,1563,98801,0,0,81603ca7bcc0b06357e0f68f69d949d60fdccbdf,0,0,0,0,0,
20200803,VT,1427,95811,,14,,,,,,1240,B,8/3/2020 00:00,2020-08-03T07:00:00Z,08/03 03:00,57,,2020-08-03T00:00:00Z,,,,1427,57,,,97238,,,,,,,,,,,50,1,556,97238,97238,557,97238,0,0,6f6c39595c73b4173f41bf515c93e1be7b9facfa,0,0,0,0,0,
