date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200811,WA,63647,950107,,386,6049,,,35,,,B,8/10/2020 02:59,2020-08-10T09:59:00Z,08/10 05:59,1697,6049,2020-08-10T02:59:00Z,,,,63647,1697,,,1009486,,,,,,,,,,,53,575,0,1013754,1013754,575,1013754,9,48,7dfb46d47c194a98e65bccf1dd33d3125c76e113,0,0,0,0,0,
20200810,WA,63072,950107,,402,6001,,,49,,,B,8/9/2020 02:59,2020-08-09T09:59:00Z,08/09 05:59,1688,6001,2020-08-09T02:59:00Z,,,,63072,1688,,,1009486,,,,,,,,,,,53,549,0,1013179,1013179,549,1013179,0,105,7600511cb6883ce39a9e48e3c1723fbc231f3ab4,0,0,0,0,0,
20200809,WA,62523,950107,,400,5896,,,60,,,B,8/8/2020 02:59,2020-08-08T09:59:00Z,08/08 05:59,1688,5896,2020-08-08T02:59:00Z,,,,62523,1688,,,1009486,,,,,,,,,,,53,936,0,1012630,1012630,936,1012630,16,6,94e0529456e1590ab97f24320151a790106319ec,0,0,0,0,0,
20200808,WA,61587,950107,,415,5890,,,56,,,B,8/6/2020 20:30,2020-08-07T03:30:00Z,08/06 23:30,1672,5890,2020-08-06T20:30:00Z,,,,61587,1672,,,1009486,,,,,,,,,,,53,670,0,1011694,1011694,670,1011694,19,16,11984c8af736f3ce3e7ab7950ac9ba2b5caac998,0,0,0,0,0,
20200807,WA,60917,950107,,405,5874,,,50,,,B,8/6/2020 02:59,2020-08-06T09:59:00Z,08/06 05:59,1653,5874,2020-08-06T02:59:00Z,,,,60917,1653,,,1009486,,,,,,,,,,,53,833,0,1011024,1011024,833,1011024,29,34,578c741343073c94240f5f384fc0adf90ca2b25f,0,0,0,0,0,
20200806,WA,60084,950107,,426,5840,,,58,,,B,8/5/2020 02:59,2020-08-05T09:59:00Z,08/05 05:59,1624,5840,2020-08-05T02:59:00Z,,,,60084,1624,,,1009486,,,,,,,,,,,53,705,0,1010191,1010191,705,1010191,5,61,d5fee4776f413c453e273e0cc683a4e80b840516,0,0,0,0,0,
20200805,WA,59379,950107,,424,5779,,,47,,,B,8/4/2020 02:59,2020-08-04T09:59:00Z,08/04 05:59,1619,5779,2020-08-04T02:59:00Z,,,,59379,1619,,,1009486,,,,,,,,,,,53,664,0,1009486,1009486,664,1009486,19,35,071de6b8a535c5e359b09a4b7513207152d81633,0,0,0,0,0,
20200804,WA,58715,950107,,401,5744,,,52,,,B,8/3/2020 02:59,2020-08-03T09:59:00Z,08/03 05:59,1600,5744,2020-08-03T02:59:00Z,,,,58715,1600,,,1008822,,,,,,,,,,,53,542,0,1008822,1008822,542,1008822,4,52,90de124eaf54ba4cd2b88d6a64862a3c85c341d8,0,0,0,0,0,
20200803,WA,58173,950107,,401,5692,,,51,,,B,8/2/2020 02:59,2020-08-02T09:59:00Z,08/02 05:59,1596,5692,2020-08-02T02:59:00Z,,,,58173,1596,,,1008280,,,,,,,,,,,53,632,6120,1008280,1008280,6752,1008280,4,37,83b1ac2528dc8bd6149b553cf7760488ab1d1a69,0,0,0,0,0,
20200802,WA,57541,943987,,407,5655,,,57,,,B,8/1/2020 02:59,2020-08-01T09:59:00Z,08/01 05:59,1592,5655,2020-08-01T02:59:00Z,,,,57541,1592,,,1001528,,,,,,,,,,,53,1738,26136,1001528,1001528,27874,1001528,28,87,5426c3c81614a7ced9f26a7a3d1ef7ff40dbda85,0,0,0,0,0,
20200801,WA,55803,917851,,415,5568,,,56,,,B,7/30/2020 02:59,2020-07-30T09:59:00Z,07/30 05:59,1564,5568,2020-07-30T02:59:00Z,,,,55803,1564,,,973654,,,,,,,,,,,53,0,0,973654,973654,0,973654,0,0,7561465705f57800ff2102268594cbcf56db1cca,0,0,0,0,0,
20200731,WA,55803,917851,,415,5568,,,56,,,B,7/30/2020 02:59,2020-07-30T09:59:00Z,07/30 05:59,1564,5568,2020-07-30T02:59:00Z,,,,55803,1564,,,973654,,,,,,,,,,,53,818,14529,973654,973654,15347,973654,9,92,46a54d4f3f568eecde2cd2e1e314e958920e0f4b,0,0,0,0,0,
20200730,WA,54985,903322,,399,5476,,,57,,,B,7/29/2020 02:59,2020-07-29T09:59:00Z,07/29 05:59,1555,5476,2020-07-29T02:59:00Z,,,,54985,1555,,,958307,,,,,,,,,,,53,780,12293,958307,958307,13073,958307,7,2,255e53438d5f4ed6254bae0d60c379e65ac2d24b,0,0,0,0,0,
20200729,WA,54205,891029,,407,5474,,,48,,,B,7/28/2020 02:59,2020-07-28T09:59:00Z,07/28 05:59,1548,5474,2020-07-28T02:59:00Z,,,,54205,1548,,,945234,,,,,,,,,,,53,884,11046,945234,945234,11930,945234,30,77,5f4156be1c2297821a33666e18f8b4a452922483,0,0,0,0,0,
20200728,WA,53321,879983,,386,5397,,,49,,,B,7/27/2020 02:59,2020-07-27T09:59:00Z,07/27 05:59,1518,5397,2020-07-27T02:59:00Z,,,,53321,1518,,,933304,,,,,,,,,,,53,686,13271,933304,933304,13957,933304,17,23,ddd58732676094785d8752f4dd3b0fdbc399dc74,0,0,0,0,0,
20200727,WA,52635,866712,,396,5374,,,42,,,B,7/26/2020 02:59,2020-07-26T09:59:00Z,07/26 05:59,1501,5374,2020-07-26T02:59:00Z,,,,52635,1501,,,919347,,,,,,,,,,,53,786,14887,919347,919347,15673,919347,7,33,2a90e9a4fa8901e1ca29c0eca3c2f013d9f387fc,0,0,0,0,0,
20200726,WA,51849,851825,,407,5341,,,51,,,B,7/25/2020 02:59,2020-07-25T09:59:00Z,07/25 05:59,1494,5341,2020-07-25T02:59:00Z,,,,51849,1494,,,903674,,,,,,,,,,,53,1025,18667,903674,903674,19692,903674,-1,40,1945a7a9ad5f09eb53f209246225622e6fdf69b2,0,0,0,0,0,
20200725,WA,50824,833158,,407,5301,,,52,,,B,7/24/2020 02:59,2020-07-24T09:59:00Z,07/24 05:59,1495,5301,2020-07-24T02:59:00Z,,,,50824,1495,,,883982,,,,,,,,,,,53,815,12404,883982,883982,13219,883982,13,25,4a2215167094a4c2f799f3fcd1379fe8e84be658,0,0,0,0,0,
20200724,WA,50009,820754,,386,5276,,,47,,,B,7/23/2020 02:59,2020-07-23T09:59:00Z,07/23 05:59,1482,5276,2020-07-23T02:59:00Z,,,,50009,1482,,,870763,,,,,,,,,,,53,762,14849,870763,870763,15611,870763,14,65,c78d163c157a3f004f3b5fdea07aff45dc430d96,0,0,0,0,0,
20200723,WA,49247,805905,,385,5211,,,55,,,B,7/22/2020 02:59,2020-07-22T09:59:00Z,07/22 05:59,1468,5211,2020-07-22T02:59:00Z,,,,49247,1468,,,855152,,,,,,,,,,,53,672,13296,855152,855152,13968,855152,3,50,64dae5a52f6a49bb11353f4a7f2ceeae28a32c3a,0,0,0,0,0,
20200722,WA,48575,792609,,392,5161,,,51,,,B,7/21/2020 02:59,2020-07-21T09:59:00Z,07/21 05:59,1465,5161,2020-07-21T02:59:00Z,,,,48575,1465,,,841184,,,,,,,,,,,53,832,13998,841184,841184,14830,841184,12,59,e8d0f07b0e6d75eb188175fc685003e17aee5a32,0,0,0,0,0,
20200721,WA,47743,778611,,365,5102,,,43,,,B,7/20/2020 02:59,2020-07-20T09:59:00Z,07/20 05:59,1453,5102,2020-07-20T02:59:00Z,,,,47743,1453,,,826354,,,,,,,,,,,53,797,16218,826354,826354,17015,826354,6,39,ec7d4b5fd868710502a034f3f2c6eec2e411f434,0,0,0,0,0,
20200720,WA,46946,762393,,354,5063,,,42,,,B,7/19/2020 02:59,2020-07-19T09:59:00Z,07/19 05:59,1447,5063,2020-07-19T02:59:00Z,,,,46946,1447,,,809339,,,,,,,,,,,53,920,16633,809339,809339,17553,809339,3,30,6c81f549352c9bb4498cae669bc6718a6f8b4230,0,0,0,0,0,
20200719,WA,46026,745760,,364,5033,,,62,,,B,7/18/2020 02:59,2020-07-18T09:59:00Z,07/18 05:59,1444,5033,2020-07-18T02:59:00Z,,,,46026,1444,,,791786,,,,,,,,,,,53,959,23170,791786,791786,24129,791786,10,49,b8e1e6671de741bc7d48ce82dbd2c20e2d97a54b,0,0,0,0,0,
20200718,WA,45067,722590,,348,4984,,,46,,,B,7/17/2020 02:59,2020-07-17T09:59:00Z,07/17 05:59,1434,4984,2020-07-17T02:59:00Z,,,,45067,1434,,,767657,,,,,,,,,,,53,754,13729,767657,767657,14483,767657,7,40,c5461d2b800409e75503b1393ddbaf2e54d63cfd,0,0,0,0,0,
20200717,WA,44313,708861,,379,4944,,,45,,,B,7/16/2020 02:59,2020-07-16T09:59:00Z,07/16 05:59,1427,4944,2020-07-16T02:59:00Z,,,,44313,1427,,,753174,,,,,,,,,,,53,1267,18021,753174,753174,19288,753174,6,115,4757387db719dc523a0db071e429b5f090f2f01b,0,0,0,0,0,
20200716,WA,43046,690840,,372,4829,,,53,,,B,7/15/2020 02:59,2020-07-15T09:59:00Z,07/15 05:59,1421,4829,2020-07-15T02:59:00Z,,,,43046,1421,,,733886,,,,,,,,,,,53,742,14910,733886,733886,15652,733886,17,41,e29144d7d286c3901ae54a00e3562324be81ce80,0,0,0,0,0,
20200715,WA,42304,675930,,353,4788,,,55,,,B,7/14/2020 02:59,2020-07-14T09:59:00Z,07/14 05:59,1404,4788,2020-07-14T02:59:00Z,,,,42304,1404,,,718234,,,,,,,,,,,53,547,9413,718234,718234,9960,718234,5,10,9aff339de4a31b248bb42f68b5a6a81b3ddf6a49,0,0,0,0,0,
20200714,WA,41757,666517,,332,4778,,,39,,,B,7/13/2020 02:59,2020-07-13T09:59:00Z,07/13 05:59,1399,4778,2020-07-13T02:59:00Z,,,,41757,1399,,,708274,,,,,,,,,,,53,1101,21168,708274,708274,22269,708274,-39,27,8c9945d75a0282a7258e308141bb41c92168ffa6,0,0,0,0,0,
20200713,WA,40656,645349,,331,4751,,,35,,,B,7/12/2020 02:59,2020-07-12T09:59:00Z,07/12 05:59,1438,4751,2020-07-12T02:59:00Z,,,,40656,1438,,,686005,,,,,,,,,,,53,1438,16101,686005,686005,17539,686005,14,89,b74678e1ba6eec264bb7a686558c6e549e642a17,0,0,0,0,0,
20200712,WA,39218,629248,,326,4662,,,57,,,B,7/10/2020 02:59,2020-07-10T09:59:00Z,07/10 05:59,1424,4662,2020-07-10T02:59:00Z,,,,39218,1424,,,668466,,,,,,,,,,,53,0,0,668466,668466,0,668466,0,0,11e7a3ee0efbb10684064e447db93ca331805678,0,0,0,0,0,
20200711,WA,39218,629248,,326,4662,,,57,,,B,7/10/2020 02:59,2020-07-10T09:59:00Z,07/10 05:59,1424,4662,2020-07-10T02:59:00Z,,,,39218,1424,,,668466,,,,,,,,,,,53,637,7499,668466,668466,8136,668466,15,-3,bfa35aa03bde9f86f5fa5d87328db88b6de05b6c,0,0,0,0,0,
20200710,WA,38581,621749,,326,4665,,,60,,,B,7/9/2020 02:59,2020-07-09T09:59:00Z,07/09 05:59,1409,4665,2020-07-09T02:59:00Z,,,,38581,1409,,,660330,,,,,,,,,,,53,640,14618,660330,660330,15258,660330,15,35,e9545a2ff190414cd044ce795ded077627d9f952,0,0,0,0,0,
20200709,WA,37941,607131,,329,4630,,,59,,,B,7/8/2020 02:59,2020-07-08T09:59:00Z,07/08 05:59,1394,4630,2020-07-08T02:59:00Z,,,,37941,1394,,,645072,,,,,,,,,,,53,521,9027,645072,645072,9548,645072,10,48,b2db078a03c745c127decc7c8c71aec6e2773b08,0,0,0,0,0,
20200708,WA,37420,598104,,318,4582,,,52,,,B,7/7/2020 02:59,2020-07-07T09:59:00Z,07/07 05:59,1384,4582,2020-07-07T02:59:00Z,,,,37420,1384,,,635524,,,,,,,,,,,53,435,5833,635524,635524,6268,635524,14,38,e26227ee03c4b2205fa998704d19e9a0642541d8,0,0,0,0,0,
20200707,WA,36985,592271,,222,4544,,,37,,,B,7/6/2020 02:59,2020-07-06T09:59:00Z,07/06 05:59,1370,4544,2020-07-06T02:59:00Z,,,,36985,1370,,,629256,,,,,,,,,,,53,1087,15463,629256,629256,16550,629256,11,62,078ae5b4eed2dffd1c7f95f1bd243da61d361155,0,0,0,0,0,
20200706,WA,35898,576808,,248,4482,,,39,,,B,7/5/2020 02:59,2020-07-05T09:59:00Z,07/05 05:59,1359,4482,2020-07-05T02:59:00Z,,,,35898,1359,,,612706,,,,,,,,,,,53,651,4779,612706,612706,5430,612706,5,9,761a0143e92e3f9f56065e5bc65929985eaa0fee,0,0,0,0,0,
20200705,WA,35247,572029,,305,4473,,,56,,,B,7/4/2020 02:59,2020-07-04T09:59:00Z,07/04 05:59,1354,4473,2020-07-04T02:59:00Z,,,,35247,1354,,,607276,,,,,,,,,,,53,469,6832,607276,607276,7301,607276,2,10,fc1431e3f98e9b60b6217d6845523145428fbf12,0,0,0,0,0,
