date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200812,WI,66654,1023723,221,364,5125,111,941,,,52350,,8/12/2020 00:00,2020-08-12T07:00:00Z,08/12 03:00,1018,5125,2020-08-12T00:00:00Z,,,,62263,1011,7,,1085986,,,,,,,,,,,55,531,9446,1090598,1090377,9977,1090377,5,33,7a9a83e2af9c6bda3f1aedeac35d21b683e86247,0,0,0,0,0,
20200811,WI,66123,1014277,221,364,5092,111,939,,,51456,A+,8/11/2020 00:00,2020-08-11T07:00:00Z,08/11 03:00,1013,5092,2020-08-11T00:00:00Z,,,,61785,1006,7,,1076062,,,,,,,,,,,55,767,12875,1080621,1080400,13642,1080400,8,61,dcf951f5f3559277f511f776bd13102f2cc7d39c,0,0,0,0,0,
20200810,WI,65356,1001402,207,414,5031,119,938,,,50662,A+,8/10/2020 00:00,2020-08-10T07:00:00Z,08/10 03:00,1005,5031,2020-08-10T00:00:00Z,,,,61061,998,7,,1062463,,,,,,,,,,,55,521,7660,1066965,1066758,8181,1066758,0,31,41d9b1fd3aa9dfc8732446adcae385c56d64f2c5,0,0,0,0,0,
20200809,WI,64835,993742,153,355,5000,94,938,,,50028,A+,8/9/2020 00:00,2020-08-09T07:00:00Z,08/09 03:00,1005,5000,2020-08-09T00:00:00Z,,,,60554,998,7,,1054296,,,,,,,,,,,55,622,6797,1058730,1058577,7419,1058577,2,20,2fe4ab1b51c54c8dd0a3e85370786cb26cf6643d,0,0,0,0,0,
20200808,WI,64213,986945,152,311,4980,96,937,,,49283,A+,8/8/2020 00:00,2020-08-08T07:00:00Z,08/08 03:00,1003,4980,2020-08-08T00:00:00Z,,,,59933,996,7,,1046878,,,,,,,,,,,55,1185,11997,1051310,1051158,13182,1051158,6,50,76be33dbbe0a2fe89f2d0421ac2bf547cfe98692,0,0,0,0,0,
20200807,WI,63028,974948,118,296,4930,101,931,,,48244,A+,8/7/2020 00:00,2020-08-07T07:00:00Z,08/07 03:00,997,4930,2020-08-07T00:00:00Z,,,,58768,990,7,,1033716,,,,,,,,,,,55,1043,13097,1038094,1037976,14140,1037976,12,49,f1f6fc8f6ead1b3fb2af2b9170bd2705fa787c18,0,0,0,0,0,
20200806,WI,61985,961851,92,251,4881,104,927,,,47221,A+,8/6/2020 00:00,2020-08-06T07:00:00Z,08/06 03:00,985,4881,2020-08-06T00:00:00Z,,,,57779,978,7,,1019630,,,,,,,,,,,55,875,16867,1023928,1023836,17742,1023836,8,55,419a504ecad318f8dba0bfe22fc407c641676627,0,0,0,0,0,
20200805,WI,61110,944984,116,258,4826,96,919,,,46323,A+,8/5/2020 00:00,2020-08-05T07:00:00Z,08/05 03:00,977,4826,2020-08-05T00:00:00Z,,,,56940,970,7,,1001924,,,,,,,,,,,55,939,16139,1006210,1006094,17078,1006094,9,43,e256e75e3dc41c633430a08789ec7abdddcf0457,0,0,0,0,0,
20200804,WI,60171,928845,108,294,4783,111,916,,,45368,A+,8/4/2020 00:00,2020-08-04T07:00:00Z,08/04 03:00,968,4783,2020-08-04T00:00:00Z,,,,56056,961,7,,984901,,,,,,,,,,,55,770,17410,989124,989016,18180,989016,12,51,10ce3cd810a2d614e974e4601eaac51708dcdeb7,0,0,0,0,0,
20200803,WI,59401,911435,105,294,4732,106,910,,,44495,A+,8/3/2020 00:00,2020-08-03T07:00:00Z,08/03 03:00,956,4732,2020-08-03T00:00:00Z,,,,55328,949,7,,966763,,,,,,,,,,,55,411,6769,970941,970836,7180,970836,1,15,81ec2b28ee98d609de3f4e3b42d4e4b18927e6fa,0,0,0,0,0,
20200802,WI,58990,904666,122,268,4717,100,910,,,43964,A+,8/2/2020 00:00,2020-08-02T07:00:00Z,08/02 03:00,955,4717,2020-08-02T00:00:00Z,,,,54924,948,7,,959590,,,,,,,,,,,55,932,8721,963778,963656,9653,963656,1,36,6b995bcd00be209a942bf25f844d7b6ae0cceca8,0,0,0,0,0,
20200801,WI,58058,895945,157,279,4681,88,904,,,43284,A+,8/1/2020 00:00,2020-08-01T07:00:00Z,08/01 03:00,954,4681,2020-08-01T00:00:00Z,,,,54002,947,7,,949947,,,,,,,,,,,55,1124,13796,954160,954003,14920,954003,13,44,e9b10c951a8d3dc096b3e5ede59734e20badeb93,0,0,0,0,0,
20200731,WI,56934,882149,132,255,4637,108,900,,,42317,A+,7/31/2020 00:00,2020-07-31T07:00:00Z,07/31 03:00,941,4637,2020-07-31T00:00:00Z,,,,52940,934,7,,935089,,,,,,,,,,,55,855,14547,939215,939083,15402,939083,15,47,e41544d1dc723267deb9711c929180589d937dd5,0,0,0,0,0,
