date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200812,WV,8008,327231,,135,,48,,16,,5960,,8/12/2020 10:00,2020-08-12T17:00:00Z,08/12 13:00,153,,2020-08-12T10:00:00Z,,,,7844,,,,335075,14831,,,,,,,,,,54,133,4497,335239,335239,4630,335239,6,0,9f604829ae50c0dea7a3b0702631ddb83c5bef2c,0,0,0,0,0,
20200811,WV,7875,322734,,130,,46,,14,,5863,B,8/11/2020 10:00,2020-08-11T17:00:00Z,08/11 13:00,147,,2020-08-11T10:00:00Z,,,,7713,,,,330447,14810,,,,,,,,,,54,121,3444,330609,330609,3565,330609,6,0,3b979fd5e6a6c2ddfd4474d007d8b88a67ad27d7,0,0,0,0,0,
20200810,WV,7754,319290,,123,,43,,17,,5699,B,8/10/2020 10:00,2020-08-10T17:00:00Z,08/10 13:00,141,,2020-08-10T10:00:00Z,,,,7596,,,,326886,14806,,,,,,,,,,54,60,3912,327044,327044,3972,327044,2,0,b724e93c80e9c8432b8c23db0e03077d16af9c82,0,0,0,0,0,
20200809,WV,7694,315378,,124,,50,,15,,5678,B,8/9/2020 10:00,2020-08-09T17:00:00Z,08/09 13:00,139,,2020-08-09T10:00:00Z,,,,7536,,,,322914,14766,,,,,,,,,,54,131,5021,323072,323072,5152,323072,8,0,b3fbf91cd45ad94024277902803992576ee06f09,0,0,0,0,0,
20200808,WV,7563,310357,,121,,46,,15,,5609,B,8/8/2020 10:00,2020-08-08T17:00:00Z,08/08 13:00,131,,2020-08-08T10:00:00Z,,,,7406,,,,317763,14705,,,,,,,,,,54,130,5113,317920,317920,5243,317920,4,0,f8ea7b18ce16f51920122e9839ef218480d2c97c,0,0,0,0,0,
20200807,WV,7433,305244,,122,,46,,14,,5510,B,8/7/2020 10:00,2020-08-07T17:00:00Z,08/07 13:00,127,,2020-08-07T10:00:00Z,,,,7277,,,,312521,14597,,,,,,,,,,54,156,5112,312677,312677,5268,312677,3,0,549ce051c507475e901f62fa4d1edf0948bed9ad,0,0,0,0,0,
20200806,WV,7277,300132,,123,,47,,11,,5330,B,8/6/2020 10:00,2020-08-06T17:00:00Z,08/06 13:00,124,,2020-08-06T10:00:00Z,,,,7123,,,,307255,14524,,,,,,,,,,54,118,4697,307409,307409,4815,307409,0,0,fba90740b88ca64bc6e79bfa57010c548d66df7e,0,0,0,0,0,
20200805,WV,7159,295435,,115,,47,,13,,5218,B,8/5/2020 10:00,2020-08-05T17:00:00Z,08/05 13:00,124,,2020-08-05T10:00:00Z,,,,7008,,,,302443,14441,,,,,,,,,,54,108,4047,302594,302594,4155,302594,0,0,dcb107aed123ac9911f9e59a3546983eab7fda0f,0,0,0,0,0,
20200804,WV,7051,291388,,111,,40,,14,,5063,B,8/4/2020 11:30,2020-08-04T18:30:00Z,08/04 14:30,124,,2020-08-04T11:30:00Z,,,,6902,,,,298290,14418,,,,,,,,,,54,78,3315,298439,298439,3393,298439,7,0,a5ba3cb1c5c24c81563e332c75972af968880a66,0,0,0,0,0,
20200803,WV,6973,288073,,116,,50,,17,,4918,B,8/3/2020 10:00,2020-08-03T17:00:00Z,08/03 13:00,117,,2020-08-03T10:00:00Z,,,,6829,,,,294902,14399,,,,,,,,,,54,119,3715,295046,295046,3834,295046,0,0,ba64100930fe2de361aedcdbecd1c6d9c99fd925,0,0,0,0,0,
20200802,WV,6854,284358,,112,,47,,16,,4897,B,8/2/2020 10:00,2020-08-02T17:00:00Z,08/02 13:00,117,,2020-08-02T10:00:00Z,,,,6713,,,,291071,14364,,,,,,,,,,54,119,3869,291212,291212,3988,291212,1,0,6a95233e91d304ad232f0d634d9e057cb6f83eee,0,0,0,0,0,
