date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200812,WY,3086,56245,,15,187,,,,,2577,,8/12/2020 18:05,2020-08-13T01:05:00Z,08/12 21:05,29,187,2020-08-12T18:05:00Z,84929,2632,82296,2600,,,,58845,,,,,,,,,,,56,13,466,59331,59331,479,59331,0,4,696241464922d09659ceec5c62d71f35cb92134a,0,0,0,0,0,
20200811,WY,3073,55779,,15,183,,,,,2541,B,8/11/2020 18:39,2020-08-12T01:39:00Z,08/11 21:39,29,183,2020-08-11T18:39:00Z,84264,2612,81651,2584,,,,58363,,,,,,,,,,,56,31,1139,58852,58852,1170,58852,1,4,a0ddd46d64da3fdf9ff28cba11d6d702bf3c819e,0,0,0,0,0,
20200810,WY,3042,54640,,15,179,,,,,2483,B,8/10/2020 17:39,2020-08-11T00:39:00Z,08/10 20:39,28,179,2020-08-10T17:39:00Z,82445,2638,79806,2565,,,,57205,,,,,,,,,,,56,-8,1015,57682,57682,1007,57682,0,2,a8ebdd1eb1d0abc04fa307705a13dc9a1ea435b8,0,0,0,0,0,
20200809,WY,3050,53625,,17,177,,,,,2465,B,8/9/2020 11:46,2020-08-09T18:46:00Z,08/09 14:46,28,177,2020-08-09T11:46:00Z,80681,2581,78099,2533,,,,56115,,,,,,,,,,,56,37,0,56675,56675,37,56675,0,0,b59d833936b4d8493319eeb83d8ac8f71510eb9b,0,0,0,0,0,
20200808,WY,3013,53625,,17,177,,,,,2462,B,8/8/2020 12:22,2020-08-08T19:22:00Z,08/08 15:22,28,177,2020-08-08T12:22:00Z,80681,2581,78099,2498,,,,56115,,,,,,,,,,,56,13,0,56638,56638,13,56638,0,1,f25f3a188a87b9cf3e0ba30957a09dc1859d3b8c,0,0,0,0,0,
20200807,WY,3000,53625,,17,176,,,,,2420,B,8/7/2020 17:53,2020-08-08T00:53:00Z,08/07 20:53,28,176,2020-08-07T17:53:00Z,80681,2581,78099,2490,,,,56115,,,,,,,,,,,56,42,475,56625,56625,517,56625,1,5,ca67e5fbbeb4d4ac2712400f4b1c0f256b5ca106,0,0,0,0,0,
20200806,WY,2958,53150,,16,171,,,,,2366,B,8/6/2020 17:00,2020-08-07T00:00:00Z,08/06 20:00,27,171,2020-08-06T17:00:00Z,79982,2559,77422,2449,,,,55599,,,,,,,,,,,56,35,359,56108,56108,394,56108,0,2,8a2e796536db4233d28609489bb39d4faaa20a3d,0,0,0,0,0,
20200805,WY,2923,52791,,16,169,,,,,2323,B,8/5/2020 16:45,2020-08-05T23:45:00Z,08/05 19:45,27,169,2020-08-05T16:45:00Z,79405,2540,76864,2424,,,,55215,,,,,,,,,,,56,39,432,55714,55714,471,55714,0,0,93bdf9dcb3ddb5b037c5d21e161935033ed63a60,0,0,0,0,0,
20200804,WY,2884,52359,,17,169,,,,,2284,B,8/4/2020 17:26,2020-08-05T00:26:00Z,08/04 20:26,27,169,2020-08-04T17:26:00Z,78634,2516,76117,2392,,,,54751,,,,,,,,,,,56,36,327,55243,55243,363,55243,0,2,ed6c943b1e49fb356a0cf0d090ab0534ad0ffb6f,0,0,0,0,0,
20200803,WY,2848,52032,,19,167,,,,,2214,B,8/3/2020 16:25,2020-08-03T23:25:00Z,08/03 19:25,27,167,2020-08-03T16:25:00Z,78011,2418,75592,2364,,,,54396,,,,,,,,,,,56,40,1459,54880,54880,1499,54880,1,0,7b51fa7badeb50644d59f3e5648db55fb39abf29,0,0,0,0,0,
