date,states,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dateChecked,death,antibodyNegative,antibodyPositive,antibodyTotal,deathConfirmed,deathProbable,pcrNegativeTests,pcrPositiveCases,pcrPositiveTests,pcrTotalTests,positiveConfirmed,totalTestsPeople,hospitalized,lastModified,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,hash
20200622,56,2297383,25262109,2028,28490,233099,5311,10002,2299,909,640198,2020-06-22T00:00:00Z,114034,717808,41627,1238754,96969,2915,4937366,2147569,385277,16033705,,16978788,233099,2020-06-22T00:00:00Z,27561520,27559492,27559492,285,824,446664,27928,474592,da7070867f3e41f31dd3bbd57f53ab2db1cddae2
20200621,56,2269455,24815445,2084,27718,232275,5155,9944,2321,904,622133,2020-06-21T00:00:00Z,113749,709577,41360,1227287,96720,2912,4867574,2122935,377992,15757224,,16713288,232275,2020-06-21T00:00:00Z,27086984,27084900,27084900,297,532,490882,27465,518347,2b8cf62bd1eb015207d280cb7a97e9c0fb87b170
20200620,56,2241990,24324563,2108,27757,231743,5220,9908,2380,888,617460,2020-06-20T00:00:00Z,113452,702053,41106,1212633,96519,2908,4796092,2099606,371817,15428136,,16042812,231743,2020-06-20T00:00:00Z,26568661,26566553,26566553,630,830,551615,32325,583940,fa3af90a3dfda7483d8dca8d6891dc7fdf222851
20200619,56,2209665,23772948,2032,28392,230913,5332,9876,2434,884,606715,2020-06-19T00:00:00Z,112822,659212,39456,1158163,96074,2898,4706251,2072708,361743,15079514,,15690521,230913,2020-06-19T00:00:00Z,25984645,25982613,25982613,648,1701,547338,31327,578665,19cdc6af8b1e089192a547e60648b991f64a52c9
20200618,56,2178338,23225610,1903,28185,229212,5458,9736,2520,869,599288,2020-06-18T00:00:00Z,112174,643325,38364,1129770,95545,2856,4616602,2045297,352857,14780309,,14680967,229212,2020-06-18T00:00:00Z,25405851,25403948,25403948,697,1118,438665,27406,466071,ffa953ea2f038a2f27844d9d07d90ff3802554c2
20200617,56,2150932,22786945,1745,28311,228094,5605,9665,2588,857,592191,2020-06-17T00:00:00Z,111477,637258,38033,1118404,95046,2825,4559249,2021839,346020,14509040,,14426356,228094,2020-06-17T00:00:00Z,24939622,24937877,24937877,782,1168,464685,23885,488570,45db32fbf9ac0d0def272685956354b32a3773cb
20200616,56,2127047,22322260,1604,28028,226926,5564,9590,2594,845,583503,2020-06-16T00:00:00Z,110695,632942,37803,1108339,94438,2814,4486786,2001434,340308,14228625,,14147681,226926,2020-06-16T00:00:00Z,24450911,24449307,24449307,713,1356,441217,23498,464715,195135b2fdf39bc490d47dbb0be3b547a1703e41
20200615,56,2103549,21881043,1619,27115,225570,5695,9516,2636,835,576334,2020-06-15T00:00:00Z,109982,629016,37539,1100135,93850,2800,4409610,1982161,333626,13059940,,13891345,225570,2020-06-15T00:00:00Z,23986211,23984592,23984592,375,509,430967,18521,449488,255bfbe8dbb7576c76df3ebe6ce18aac1f90c104
20200614,56,2085028,21450076,1672,27247,225061,5743,9466,2716,834,561816,2020-06-14T00:00:00Z,109607,623067,37170,1087531,93359,2796,4342741,1965081,329060,12820615,,13643443,225061,2020-06-14T00:00:00Z,23536776,23535104,23535104,358,641,463596,21486,485082,fe59a1f31779b2cbe971eaf2365ef399ec94a31c
20200613,56,2063542,20986480,1698,27902,224420,5878,9430,2726,830,556606,2020-06-13T00:00:00Z,109249,614756,36706,1071589,93108,2791,4246449,1948047,323040,12540209,,13383669,224420,2020-06-13T00:00:00Z,23051720,23050022,23050022,695,1139,483023,25344,508367,19b0b174d7be3fb443cc9e6e7a8c9d5d61dd641e
20200612,56,2038198,20503457,1783,28524,223281,6012,9373,2734,814,547386,2020-06-12T00:00:00Z,108554,607611,36219,1050759,92509,2782,4169383,1920996,316795,12276363,,13073162,223281,2020-06-12T00:00:00Z,22543438,22541655,22541655,775,1298,571643,23318,594961,47923590d55ee2cf88ab7c8dedccee024cd9e8f5
20200611,56,2014880,19931814,1816,29064,221983,6067,9295,2886,792,540292,2020-06-11T00:00:00Z,107779,573951,35316,1008398,91925,2752,3540246,1900910,278760,11398487,,15805073,221983,2020-06-11T00:00:00Z,21948510,21946694,21946694,912,1381,426097,22023,448120,7c581d034d8d0f58930e03c23cc3610319d93431
20200610,56,1992857,19505717,1737,30203,220602,6242,9225,3020,780,533504,2020-06-10T00:00:00Z,106867,541268,33593,963595,89711,2643,3496690,1852393,276235,11167396,,15467737,220602,2020-06-10T00:00:00Z,21500311,21498574,21498574,878,1513,401955,20749,422704,7329bba9dcbf127a10e18deb5da9568e5bd81c3f
20200609,56,1972108,19103762,1661,30547,219089,6450,9141,3090,771,524855,2020-06-09T00:00:00Z,105989,535826,33190,954226,89059,2609,3448405,1836300,272852,10973092,,15167771,219089,2020-06-09T00:00:00Z,21077531,21075870,21075870,902,1508,398716,17166,415882,8712cd39144e638cea9982b6ba1343184fb71b12
20200608,56,1954942,18705046,1606,29969,217581,6394,9013,3240,762,518522,2020-06-08T00:00:00Z,105087,482290,30601,899082,88340,2604,3380266,1814333,269599,10756045,,14864853,217581,2020-06-08T00:00:00Z,20661594,20659988,20659988,655,675,382742,17123,399865,fd8af67f74867d9810b2f3436cda1060f9b4f13c
20200607,56,1937819,18322304,1733,30299,216906,6493,8957,3298,753,506367,2020-06-07T00:00:00Z,104432,478244,30325,889492,87918,2418,3324149,1799727,266706,10548699,,14537301,216906,2020-06-07T00:00:00Z,20261856,20260123,20260123,460,647,426169,19307,445476,7ede7b6a029486c82cd74fbd301894ff4daee392
20200606,56,1918512,17896135,1796,30909,216259,6754,8920,3476,750,500849,2020-06-06T00:00:00Z,103972,375397,29781,873094,87559,2414,3247935,1782992,262473,9300496,,14226392,216259,2020-06-06T00:00:00Z,19816443,19814647,19814647,717,1007,455349,22355,477704,a2831b36a902d02ae27f9bb7854205727120e54c
20200605,56,1896157,17440786,1749,31335,215252,6912,8863,3523,740,491706,2020-06-05T00:00:00Z,103255,368918,29028,850921,87026,2410,3534060,1737257,282160,9042957,,13889155,215252,2020-06-05T00:00:00Z,19338692,19336943,19336943,848,1440,481203,22990,504193,ceaa0ffc536b3cfe768a974864e0b5e3f8a68d1a
20200604,56,1873167,16959583,3474,31659,213812,7054,8787,3665,723,485002,2020-06-04T00:00:00Z,102407,361578,28443,822284,86370,2403,3391794,1617417,276772,9731182,,13531554,213812,2020-06-04T00:00:00Z,18836224,18832750,18832750,876,-2828,439938,20566,460504,480f784d64750ee26d5a62b59463f921de8f1603
20200603,56,1852601,16519645,3556,32081,216640,7224,8688,3749,717,479258,2020-06-03T00:00:00Z,101531,352808,27400,804162,85711,2390,3315718,1601666,272854,9491118,,13191698,216640,2020-06-03T00:00:00Z,18375802,18372246,18372246,960,2258,447631,20189,467820,3547ea954dec0b1152c78efe91fb4d38f8b2e0cf
20200602,56,1832412,16072014,4054,32728,214382,7403,8566,3852,710,463868,2020-06-02T00:00:00Z,100571,347236,27033,792077,85082,2379,3230096,1585369,267059,9231394,,11883179,214382,2020-06-02T00:00:00Z,17908480,17904426,17904426,969,1549,400513,19940,420453,ea3fb6d6106b4679fe39281765129a889849222c
20200601,56,1812472,15671501,3455,33160,212833,7588,8485,3950,704,458231,2020-06-01T00:00:00Z,99602,340966,21283,697677,83568,2382,2745522,1571108,222146,9034167,,12595309,212833,2020-06-01T00:00:00Z,17487428,17483973,17483973,675,2750,393682,20251,413933,a85ef252168b1072f168150d351698a529fd8b3d
20200531,56,1792221,15277819,3270,33840,210083,7623,8445,3669,704,444758,2020-05-31T00:00:00Z,98927,220261,15514,566986,80039,1371,2667304,1558603,219120,8798095,,12223414,210083,2020-05-31T00:00:00Z,17073310,17070040,17070040,655,949,377751,21566,399317,98fb511b778686c188161712b9216abb65c4849c
20200530,56,1770655,14900068,1668,34650,209134,7956,8305,4004,698,416461,2020-05-30T00:00:00Z,98272,210760,15041,547291,79569,1351,2640436,1541301,222279,8614755,,10310728,209134,2020-05-30T00:00:00Z,16672391,16670723,16670723,937,1440,404097,23712,427809,136f1a815eb5d52f17d72bae1227e49e01f0ee49
20200529,56,1746943,14495971,2978,35871,207694,8175,8235,4032,689,406446,2020-05-29T00:00:00Z,97335,203848,14596,530670,78897,1343,2560942,1519684,213536,8353312,,9919782,207694,2020-05-29T00:00:00Z,16245892,16242914,16242914,1178,1720,468999,23365,492364,5980aceca5859a55ba09e6e002f2e7bb0717b525
20200528,56,1723578,14026972,1906,36967,205974,8389,8109,4080,676,399991,2020-05-28T00:00:00Z,96157,189281,13777,505992,78049,1330,2506020,1502182,210462,7834952,,9722905,205974,2020-05-28T00:00:00Z,15752456,15750550,15750550,1272,2396,397332,22467,419799,b75fb8b91a34fc8b9cda35b58675851f9ef0cbe5
20200527,56,1701111,13629640,3132,37251,203578,8547,8015,4222,666,391508,2020-05-27T00:00:00Z,94885,184767,13562,497506,77097,1274,2471945,1483546,208798,7650747,,9465369,203578,2020-05-27T00:00:00Z,15333883,15330751,15330751,1271,1706,288310,19300,307610,42cb32a80f1d060e040b442eff3eb28fe15bd36b
20200526,56,1681811,13341330,1549,36609,201872,8585,7899,4215,650,384902,2020-05-26T00:00:00Z,93614,179499,13188,393877,76188,1247,2403365,1468132,206109,7529581,,9281145,201872,2020-05-26T00:00:00Z,15024690,15023141,15023141,635,17302,291081,16571,307652,99b5dd3b91a3a013cb74ab983f76c717ad14f09e
20200525,56,1665240,13050249,3368,36668,184570,8472,7847,4237,642,379157,2020-05-25T00:00:00Z,92979,174988,12843,384088,75669,1229,2357203,1455989,203822,7279658,,9106052,184570,2020-05-25T00:00:00Z,14718857,14715489,14715489,562,967,402999,18669,421668,a0f99af3873e249bab2da384a7f22bcd833885b2
20200524,56,1646571,12647250,3860,36706,183603,8487,7801,4383,639,366736,2020-05-24T00:00:00Z,92417,163485,12301,364486,75242,1232,2297416,1548710,202349,6056276,,9845606,183603,2020-05-24T00:00:00Z,14297681,14293821,14293821,678,894,363042,20101,383143,f26aa4bf5f2de24930a55976e99e9c6c2f97a983
20200523,56,1626470,12284208,4084,37873,182709,8812,7770,4620,638,361239,2020-05-23T00:00:00Z,91739,146914,13174,340575,74719,1228,2260030,1530287,212389,5892106,,9613610,182709,2020-05-23T00:00:00Z,13914762,13910678,13910678,1048,1388,369953,21653,391606,c666a38e28610ece271befcd521479168263847b
20200522,56,1604817,11914255,3709,38802,181321,9048,7689,4716,633,350135,2020-05-22T00:00:00Z,90691,128838,11156,245186,73981,1181,2128833,1446682,196378,5635602,,9391945,181321,2020-05-22T00:00:00Z,13522781,13519072,13519072,1287,4037,387803,24452,412255,ca2fdb61a772875730013a38d73c0ca5232343c5
20200521,56,1580365,11526452,3641,39915,177284,9090,7412,4868,616,298418,2020-05-21T00:00:00Z,89404,123134,9566,233116,73034,1181,1955463,1476657,180687,5345588,,10004872,177284,2020-05-21T00:00:00Z,13110458,13106817,13106817,1403,4619,396647,26490,423137,bffbbca3a2e315fbdf2568d1117ba1646d79a6a4
20200520,56,1553875,11129805,2973,40884,172665,9829,7319,4911,613,294312,2020-05-20T00:00:00Z,88001,61119,7125,208438,72133,1090,1875216,1454086,177073,5169620,,9700132,172665,2020-05-20T00:00:00Z,12686653,12683680,12683680,1387,2006,388829,21469,410298,b576aa12f8114982a64c6dd808f85a074860d1f3
20200519,56,1532406,10740976,2944,41091,170659,9829,7217,5032,606,289484,2020-05-19T00:00:00Z,86614,57731,6831,196393,71021,1062,1742305,1433003,172489,4957188,,9406393,170659,2020-05-19T00:00:00Z,12276326,12273382,12273382,1298,1583,381588,20731,402319,a61d00abc1edff6b174d654ac8c1033d40149804
